item;sent_id;source;correct_sentence;sentence_en;correct_form;lemma;mutation_type;trigger_type;specific_trigger
0;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;The flame was passed from one community to another, and in each community there were then events such as gigs and activities to accompany the race.;phasio;pasio;AM;L;ei
1;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;The flame was passed from one community to another, and in each community there were then events such as gigs and activities to accompany the race.;mhob;pob;NM;L;ym
2;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;The flame was passed from one community to another, and in each community there were then events such as gigs and activities to accompany the race.;gydfynd;cydfynd;SM;L;i
3;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;The flame was passed from one community to another, and in each community there were then events such as gigs and activities to accompany the race.;cael;cael;no_AM;no_mutation;no_mutation
4;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;The flame was passed from one community to another, and in each community there were then events such as gigs and activities to accompany the race.;gymuned;cymuned;SM;MS;num_fem_sing_noun
5;1;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.;We were part of the race in the center of the city of Barcelona, ​​where they invited communities of other minority languages ​​to them.;nghanol;canol;NM;L;yng
6;1;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.;We were part of the race in the center of the city of Barcelona, ​​where they invited communities of other minority languages ​​to them.;rhan;rhan;no_SM;no_mutation;no_mutation
7;1;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.;We were part of the race in the center of the city of Barcelona, ​​where they invited communities of other minority languages ​​to them.;wahodd;gwahodd;SM;MS;direct_object_mutation
8;2;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;It is believed that the current system has the capacity to power around 144,000 homes.;gred;crec;SM;MS;def_art_fem_sing_noun
9;2;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;It is believed that the current system has the capacity to power around 144,000 homes.;bresennol;presennol;SM;MS;fem_sing_noun_modifier
10;2;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;It is believed that the current system has the capacity to power around 144,000 homes.;chapasiti;capasiti;AM;L;â
11;2;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;It is believed that the current system has the capacity to power around 144,000 homes.;bweru;pweru;SM;L;i
12;3;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint;The largest project in progress is the Alaw Môn solar farm on Anglesey, which will be 660 acres in size;prosiect;prosiect;no_AM;no_mutation;no_mutation
13;3;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint;The largest project in progress is the Alaw Môn solar farm on Anglesey, which will be 660 acres in size;fydd;bod;SM;MS;relative_zero_trigger
14;4;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.;Last month the Cofis won the Welsh Cup for the first time in the club's history, securing a place in the Europa Congress next season.;Fis;mis;SM;MS;adverb_time_place_manner
15;4;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.;Last month the Cofis won the Welsh Cup for the first time in the club's history, securing a place in the Europa Congress next season.;cyntaf;cyntaf;no_AM;no_mutation;no_mutation
16;4;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.;Last month the Cofis won the Welsh Cup for the first time in the club's history, securing a place in the Europa Congress next season.;gipiodd;cipio;SM;L;fe
17;4;https://www.bbc.com/cymrufyw/erthyglau/cp8p3j4er7eo;Fis diwethaf fe gipiodd y Cofis Gwpan Cymru am y tro cyntaf yn hanes y clwb, gan sicrhau lle yng Nghyngres Europa y tymor nesaf.;Last month the Cofis won the Welsh Cup for the first time in the club's history, securing a place in the Europa Congress next season.;Nghyngres;cyngres;NM;L;yng
