index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of item                                                                  0
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                     phasio
lemma                                                             pasio
mutation_type                                                        AM
trigger_type                                                          L
specific_trigger                                                     ei
token_id                                                            7.0
prev_word                                                            ei
incorrect_form                                                    pasio
incorrect_sentence    Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                             1
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,1.5466152284596417,1.6333050793164396,0.08668985085679792,"[10.369721283783784, 10.23849239864865, 10.09543918918919, 10.00929054054054, 10.008709881756756, 9.969594594594595, 9.943676097972974, 9.90799197635135, 9.790593327702704, 9.745988175675675, 13.117081925675675, 13.04054054054054, 13.005173141891891, 12.915857263513514, 12.880806587837839, 12.78542018581081, 12.675622888513514, 12.60837204391892, 12.511190878378379, 12.28051097972973, 12.00754856418919, 11.522751266891891, 10.744694890202704, 10.370433910472974, 9.905379011824325, 10.01414695945946, 9.669031916437921, 9.124524503140837, 8.178910419747636, 7.761398932418308, 6.49628002901335, 3.2517489645932174, 1.5466152284596417]","[10.370184075342467, 10.23972602739726, 10.097816780821917, 10.010595034246576, 10.012146832191782, 9.97468964041096, 9.94777397260274, 9.917701198630137, 9.801048801369863, 9.763966181506849, 13.175727739726028, 13.09578339041096, 13.049657534246576, 12.959118150684931, 12.916577482876713, 12.820473030821917, 12.716556078767123, 12.646939212328768, 12.555650684931507, 12.324967893835616, 12.061804366438356, 11.575181934931507, 10.792594178082192, 10.380511558219178, 9.915092572773972, 10.057630565068493, 9.663818359375, 9.1622436732462, 8.178957738288462, 7.759525073717718, 6.593915573538166, 3.4335049096852135, 1.6333050793164396]"
1,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of item                                                                  1
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       mhob
lemma                                                               pob
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                     ym
token_id                                                           15.0
prev_word                                                            ym
incorrect_form                                                      pob
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 1, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,1.5466152284596417,1.6819170321503731,0.13530180369073141,"[10.369721283783784, 10.23849239864865, 10.09543918918919, 10.00929054054054, 10.008709881756756, 9.969594594594595, 9.943676097972974, 9.90799197635135, 9.790593327702704, 9.745988175675675, 13.117081925675675, 13.04054054054054, 13.005173141891891, 12.915857263513514, 12.880806587837839, 12.78542018581081, 12.675622888513514, 12.60837204391892, 12.511190878378379, 12.28051097972973, 12.00754856418919, 11.522751266891891, 10.744694890202704, 10.370433910472974, 9.905379011824325, 10.01414695945946, 9.669031916437921, 9.124524503140837, 8.178910419747636, 7.761398932418308, 6.49628002901335, 3.2517489645932174, 1.5466152284596417]","[10.369970034246576, 10.239190924657533, 10.093857020547945, 10.009417808219178, 10.008187071917808, 9.968321917808218, 9.943332619863014, 9.91079837328767, 9.789972174657533, 9.746468321917808, 13.155500856164384, 13.07544948630137, 13.03660102739726, 12.939907962328768, 12.909781678082192, 12.825128424657533, 12.712489297945206, 12.64206977739726, 12.537457191780822, 12.314105308219178, 12.04874785958904, 11.565924657534246, 10.752274186643836, 10.360070633561644, 9.943787457191782, 10.07935573630137, 9.706615291229665, 9.12534358403454, 8.245668582720299, 7.880931893440142, 6.6476330332560085, 3.4440479164254176, 1.6819170321503731]"
2,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of item                                                                  2
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gydfynd
lemma                                                           cydfynd
mutation_type                                                        SM
trigger_type                                                          L
specific_trigger                                                      i
token_id                                                           25.0
prev_word                                                             i
incorrect_form                                                  cydfynd
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 2, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,1.5466152284596417,1.6899182103775643,0.14330298191792257,"[10.369721283783784, 10.23849239864865, 10.09543918918919, 10.00929054054054, 10.008709881756756, 9.969594594594595, 9.943676097972974, 9.90799197635135, 9.790593327702704, 9.745988175675675, 13.117081925675675, 13.04054054054054, 13.005173141891891, 12.915857263513514, 12.880806587837839, 12.78542018581081, 12.675622888513514, 12.60837204391892, 12.511190878378379, 12.28051097972973, 12.00754856418919, 11.522751266891891, 10.744694890202704, 10.370433910472974, 9.905379011824325, 10.01414695945946, 9.669031916437921, 9.124524503140837, 8.178910419747636, 7.761398932418308, 6.49628002901335, 3.2517489645932174, 1.5466152284596417]","[10.369932432432432, 10.238809121621621, 10.097128378378379, 10.013830236486486, 10.013249577702704, 9.97677364864865, 9.949271537162161, 9.909470016891891, 9.78858741554054, 9.743454391891891, 13.105152027027026, 13.047191722972974, 13.005912162162161, 12.91501266891892, 12.881228885135135, 12.782041807432432, 12.67604518581081, 12.60763302364865, 12.524757179054054, 12.29027660472973, 12.024018158783784, 11.548722550675675, 10.762748099662161, 10.405220650337839, 9.97434543918919, 10.044869087837839, 9.711815911370355, 9.165183814796242, 8.21993676713995, 7.812581138030903, 6.696249037175565, 3.5936608282295435, 1.6899182103775643]"
3,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of item                                                                  3
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       cael
lemma                                                              cael
mutation_type                                                     no_AM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            5.0
prev_word                                                            yn
incorrect_form                                                    chael
incorrect_sentence    Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                             1
Name: 3, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,1.5466152284596417,1.7371562590470184,0.1905410305873767,"[10.369721283783784, 10.23849239864865, 10.09543918918919, 10.00929054054054, 10.008709881756756, 9.969594594594595, 9.943676097972974, 9.90799197635135, 9.790593327702704, 9.745988175675675, 13.117081925675675, 13.04054054054054, 13.005173141891891, 12.915857263513514, 12.880806587837839, 12.78542018581081, 12.675622888513514, 12.60837204391892, 12.511190878378379, 12.28051097972973, 12.00754856418919, 11.522751266891891, 10.744694890202704, 10.370433910472974, 9.905379011824325, 10.01414695945946, 9.669031916437921, 9.124524503140837, 8.178910419747636, 7.761398932418308, 6.49628002901335, 3.2517489645932174, 1.5466152284596417]","[10.36961570945946, 10.239336993243244, 10.098078547297296, 10.01097972972973, 10.00881545608108, 9.970069679054054, 9.94357052364865, 9.906936233108109, 9.794921875, 9.74292652027027, 13.111908783783784, 13.034522804054054, 12.988175675675675, 12.893739442567568, 12.86428420608108, 12.768105996621621, 12.666015625, 12.59522804054054, 12.497255067567568, 12.28420608108108, 11.987436655405405, 11.484955658783784, 10.70067039695946, 10.340292440878379, 9.880542652027026, 10.004810230152026, 9.729347847603464, 9.226424810048696, 8.24768989794963, 7.916716955803536, 6.758941637503134, 3.658006516662804, 1.7371562590470184]"
4,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of item                                                                  4
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gymuned
lemma                                                           cymuned
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                      num_fem_sing_noun
token_id                                                           10.0
prev_word                                                            un
incorrect_form                                                  cymuned
incorrect_sentence    Oedd y fflam yn cael ei phasio o un cymuned i'...
num_diffs                                                             1
Name: 4, dtype: object>",0,gymuned,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cymuned,"Oedd y fflam yn cael ei phasio o un cymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",SM,MS,num_fem_sing_noun,1.5466152284596417,1.560396186403326,0.01378095794368428,"[10.369721283783784, 10.23849239864865, 10.09543918918919, 10.00929054054054, 10.008709881756756, 9.969594594594595, 9.943676097972974, 9.90799197635135, 9.790593327702704, 9.745988175675675, 13.117081925675675, 13.04054054054054, 13.005173141891891, 12.915857263513514, 12.880806587837839, 12.78542018581081, 12.675622888513514, 12.60837204391892, 12.511190878378379, 12.28051097972973, 12.00754856418919, 11.522751266891891, 10.744694890202704, 10.370433910472974, 9.905379011824325, 10.01414695945946, 9.669031916437921, 9.124524503140837, 8.178910419747636, 7.761398932418308, 6.49628002901335, 3.2517489645932174, 1.5466152284596417]","[10.370038006756756, 10.239548141891891, 10.09617820945946, 10.008445945945946, 10.006017736486486, 9.965424408783784, 9.936813766891891, 9.90017947635135, 9.78346706081081, 9.738650760135135, 13.115392736486486, 13.033994932432432, 13.002322635135135, 12.912109375, 12.88186233108108, 12.78684543918919, 12.669921875, 12.606524493243244, 12.51784206081081, 12.28293918918919, 11.989336993243244, 11.501530827702704, 10.727671030405405, 10.3251953125, 9.879513302364865, 10.01004275760135, 9.676490577491554, 9.136946807036528, 8.162210545024356, 7.772816593582566, 6.500007577844568, 3.2394819162987374, 1.560396186403326]"
5,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of item                                                                  5
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                    nghanol
lemma                                                             canol
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                    yng
token_id                                                            9.0
prev_word                                                           yng
incorrect_form                                                    canol
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng canol dinas Ba...
num_diffs                                                             1
Name: 5, dtype: object>",1,nghanol,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",canol,"O'n ni yn rhan o'r ras oedd yng canol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",NM,L,yng,1.8683461499592615,2.044561949468428,0.17621579950916666,"[10.36892361111111, 10.235243055555555, 10.106150793650794, 10.011532738095237, 10.005766369047619, 9.973090277777779, 9.961309523809524, 9.91827876984127, 9.768973214285714, 9.793526785714286, 16.52467757936508, 16.485243055555557, 16.426463293650794, 16.40277777777778, 16.35280257936508, 16.218998015873016, 16.123387896825395, 16.006200396825395, 15.899305555555555, 15.63702876984127, 15.327628968253968, 14.778645833333334, 14.045262896825397, 13.530908978174603, 12.943746899801587, 12.385060143849206, 11.972586495535714, 11.555592370411706, 10.788170216575502, 10.333234385838585, 10.630642607098533, 5.037051938828968, 1.8683461499592615]","[10.368321572580646, 10.23210685483871, 10.09929435483871, 10.007560483870968, 10.006237399193548, 9.96811995967742, 9.958291330645162, 9.911668346774194, 9.754410282258064, 9.791582661290322, 16.644657258064516, 16.60345262096774, 16.549395161290324, 16.503780241935484, 16.455393145161292, 16.333417338709676, 16.228263608870968, 16.104334677419356, 15.99477066532258, 15.729586693548388, 15.430758568548388, 14.88571068548387, 14.162550403225806, 13.664188508064516, 13.078975554435484, 12.558373235887096, 12.18362525201613, 11.754007277950164, 10.932808945255895, 10.55199570040549, 10.910135544115498, 5.266225003427075, 2.044561949468428]"
6,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of item                                                                  6
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                       rhan
lemma                                                              rhan
mutation_type                                                     no_SM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            4.0
prev_word                                                            yn
incorrect_form                                                      ran
incorrect_sentence    O'n ni yn ran o'r ras oedd yng nghanol dinas B...
num_diffs                                                             1
Name: 6, dtype: object>",1,rhan,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",ran,"O'n ni yn ran o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",no_SM,no_mutation,no_mutation,1.8683461499592615,1.9565934250431676,0.08824727508390606,"[10.36892361111111, 10.235243055555555, 10.106150793650794, 10.011532738095237, 10.005766369047619, 9.973090277777779, 9.961309523809524, 9.91827876984127, 9.768973214285714, 9.793526785714286, 16.52467757936508, 16.485243055555557, 16.426463293650794, 16.40277777777778, 16.35280257936508, 16.218998015873016, 16.123387896825395, 16.006200396825395, 15.899305555555555, 15.63702876984127, 15.327628968253968, 14.778645833333334, 14.045262896825397, 13.530908978174603, 12.943746899801587, 12.385060143849206, 11.972586495535714, 11.555592370411706, 10.788170216575502, 10.333234385838585, 10.630642607098533, 5.037051938828968, 1.8683461499592615]","[10.369203629032258, 10.236265120967742, 10.109627016129032, 10.016003024193548, 10.007371471774194, 9.972908266129032, 9.962449596774194, 9.920740927419354, 9.768145161290322, 9.79851310483871, 16.657258064516128, 16.600428427419356, 16.54624495967742, 16.50453629032258, 16.457157258064516, 16.337701612903224, 16.23891129032258, 16.111580141129032, 16.006111391129032, 15.73601310483871, 15.43000252016129, 14.87210181451613, 14.138671875, 13.641885080645162, 13.038337953629032, 12.496330015120968, 12.053451045866936, 11.721241612588205, 10.984840792994346, 10.484078391905754, 10.859674282612339, 5.359419126664439, 1.9565934250431676]"
7,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of item                                                                  7
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                     wahodd
lemma                                                           gwahodd
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 direct_object_mutation
token_id                                                           15.0
prev_word                                                           nhw
incorrect_form                                                  gwahodd
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
num_diffs                                                             1
Name: 7, dtype: object>",1,wahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",gwahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw gwahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",SM,MS,direct_object_mutation,1.8683461499592615,1.8922816831618547,0.02393553320259323,"[10.36892361111111, 10.235243055555555, 10.106150793650794, 10.011532738095237, 10.005766369047619, 9.973090277777779, 9.961309523809524, 9.91827876984127, 9.768973214285714, 9.793526785714286, 16.52467757936508, 16.485243055555557, 16.426463293650794, 16.40277777777778, 16.35280257936508, 16.218998015873016, 16.123387896825395, 16.006200396825395, 15.899305555555555, 15.63702876984127, 15.327628968253968, 14.778645833333334, 14.045262896825397, 13.530908978174603, 12.943746899801587, 12.385060143849206, 11.972586495535714, 11.555592370411706, 10.788170216575502, 10.333234385838585, 10.630642607098533, 5.037051938828968, 1.8683461499592615]","[10.3682861328125, 10.2335205078125, 10.1065673828125, 10.00927734375, 10.00396728515625, 9.970947265625, 9.9576416015625, 9.9180908203125, 9.7655029296875, 9.786376953125, 16.4151611328125, 16.3699951171875, 16.3084716796875, 16.2911376953125, 16.2388916015625, 16.09228515625, 15.990966796875, 15.877197265625, 15.76580810546875, 15.52197265625, 15.2080078125, 14.6492919921875, 13.91815185546875, 13.395355224609375, 12.778167724609375, 12.28497314453125, 11.828048706054688, 11.383837938308716, 10.572839438915253, 10.123758919537067, 10.380949176847935, 4.788388375192881, 1.8922816831618547]"
8,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of item                                                                  8
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                       gred
lemma                                                              cred
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                  def_art_fem_sing_noun
token_id                                                            2.0
prev_word                                                             Y
incorrect_form                                                     cred
incorrect_sentence    Y cred yw bod y system bresennol â chapasiti i...
num_diffs                                                             1
Name: 8, dtype: object>",2,gred,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",cred,"Y cred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,def_art_fem_sing_noun,1.772050673897202,2.0774372782972126,0.30538660440001064,"[10.373099662162161, 10.23458614864865, 10.065878378378379, 9.96896114864865, 9.919341216216216, 9.904349662162161, 9.874155405405405, 9.836782094594595, 9.745777027027026, 9.79075168918919, 20.822846283783782, 20.73902027027027, 20.65287162162162, 20.582136824324323, 20.537267736486488, 20.534311655405407, 20.491342905405407, 20.3480785472973, 20.154455236486488, 19.87204391891892, 19.59691722972973, 19.05394847972973, 18.250316722972972, 17.79345703125, 17.317486737225508, 17.600946993441195, 17.501319369754277, 16.94812282356056, 15.898901153255153, 15.151363121496665, 14.950345458211126, 6.212154427090207, 1.772050673897202]","[10.37282986111111, 10.234375, 10.08984375, 10.019097222222221, 10.00954861111111, 9.998697916666666, 9.962022569444445, 9.907769097222221, 9.754340277777779, 9.725477430555555, 18.625651041666668, 18.56271701388889, 18.46918402777778, 18.393663194444443, 18.355360243055557, 18.372938368055557, 18.30805121527778, 18.162109375, 17.949544270833332, 17.65353732638889, 17.400716145833332, 16.86154513888889, 16.084147135416668, 15.575507269965279, 15.049016316731771, 14.937547047932943, 14.852419906192356, 14.378514051437378, 13.598380221260918, 13.235911531580818, 13.25851939453019, 6.229461607005861, 2.0774372782972126]"
9,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of item                                                                  9
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                  bresennol
lemma                                                         presennol
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 fem_sing_noun_modifier
token_id                                                            7.0
prev_word                                                        system
incorrect_form                                                presennol
incorrect_sentence    Y gred yw bod y system presennol â chapasiti i...
num_diffs                                                             1
Name: 9, dtype: object>",2,bresennol,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",presennol,"Y gred yw bod y system presennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,fem_sing_noun_modifier,1.772050673897202,1.9557498428556654,0.1836991689584635,"[10.373099662162161, 10.23458614864865, 10.065878378378379, 9.96896114864865, 9.919341216216216, 9.904349662162161, 9.874155405405405, 9.836782094594595, 9.745777027027026, 9.79075168918919, 20.822846283783782, 20.73902027027027, 20.65287162162162, 20.582136824324323, 20.537267736486488, 20.534311655405407, 20.491342905405407, 20.3480785472973, 20.154455236486488, 19.87204391891892, 19.59691722972973, 19.05394847972973, 18.250316722972972, 17.79345703125, 17.317486737225508, 17.600946993441195, 17.501319369754277, 16.94812282356056, 15.898901153255153, 15.151363121496665, 14.950345458211126, 6.212154427090207, 1.772050673897202]","[10.372395833333334, 10.235460069444445, 10.065755208333334, 9.964409722222221, 9.91189236111111, 9.905598958333334, 9.868272569444445, 9.822916666666666, 9.732421875, 9.800130208333334, 21.13302951388889, 21.06467013888889, 20.991102430555557, 20.913736979166668, 20.888780381944443, 20.87358940972222, 20.84526909722222, 20.680555555555557, 20.495768229166668, 20.208875868055557, 19.926432291666668, 19.37494574652778, 18.565049913194443, 18.13217502170139, 17.724287245008682, 18.08047972785102, 18.041289700402153, 17.463631603452896, 16.47099883026547, 15.738599081834158, 15.57284814119339, 6.712483968999651, 1.9557498428556654]"
