index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of item                                                                  0
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                     phasio
lemma                                                             pasio
mutation_type                                                        AM
trigger_type                                                          L
specific_trigger                                                     ei
token_id                                                            7.0
prev_word                                                            ei
incorrect_form                                                    pasio
incorrect_sentence    Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                             1
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,3.1896728988279377,3.1856147552791394,-0.004058143548798299,"[11.9375, 11.862938596491228, 11.888157894736842, 11.928728070175438, 11.900219298245615, 11.970394736842104, 12.213815789473685, 16.39144736842105, 16.450657894736842, 16.539473684210527, 16.48793859649123, 16.292763157894736, 16.19956140350877, 16.342105263157894, 16.378837719298247, 16.50657894736842, 16.486842105263158, 16.601973684210527, 16.87828947368421, 17.23739035087719, 17.89967105263158, 18.40734649122807, 19.093201754385966, 20.72752192982456, 25.099780701754387, 31.357456140350877, 39.08114035087719, 42.22539747807018, 45.23915287486294, 50.72392406798246, 64.42434210526316, 69.86508446408992, 85.68362373427341, 84.54792867417922, 63.95943270858965, 43.95615635211008, 3.1896728988279377]","[11.9375, 11.866228070175438, 11.898026315789474, 11.93530701754386, 11.893640350877194, 11.960526315789474, 12.221491228070175, 16.412280701754387, 16.48135964912281, 16.537280701754387, 16.478070175438596, 16.26425438596491, 16.19298245614035, 16.26864035087719, 16.27357456140351, 16.39144736842105, 16.405701754385966, 16.475877192982455, 16.714912280701753, 17.08388157894737, 17.705592105263158, 18.28234649122807, 18.961622807017545, 20.382127192982455, 24.86293859649123, 30.99561403508772, 38.42982456140351, 41.58799342105263, 44.50340726082785, 50.09484649122807, 63.71600877192982, 69.77761787280701, 85.56061540570175, 82.76586487209588, 63.69190832815672, 43.97634160100368, 3.1856147552791394]"
1,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of item                                                                  1
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       mhob
lemma                                                               pob
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                     ym
token_id                                                           15.0
prev_word                                                            ym
incorrect_form                                                      pob
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 1, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,3.1896728988279377,3.5009916573762894,0.31131875854835167,"[11.9375, 11.862938596491228, 11.888157894736842, 11.928728070175438, 11.900219298245615, 11.970394736842104, 12.213815789473685, 16.39144736842105, 16.450657894736842, 16.539473684210527, 16.48793859649123, 16.292763157894736, 16.19956140350877, 16.342105263157894, 16.378837719298247, 16.50657894736842, 16.486842105263158, 16.601973684210527, 16.87828947368421, 17.23739035087719, 17.89967105263158, 18.40734649122807, 19.093201754385966, 20.72752192982456, 25.099780701754387, 31.357456140350877, 39.08114035087719, 42.22539747807018, 45.23915287486294, 50.72392406798246, 64.42434210526316, 69.86508446408992, 85.68362373427341, 84.54792867417922, 63.95943270858965, 43.95615635211008, 3.1896728988279377]","[11.934151785714286, 11.861607142857142, 11.891741071428571, 11.954241071428571, 11.919642857142858, 11.984375, 12.248883928571429, 16.568080357142858, 16.590401785714285, 16.693080357142858, 16.65625, 16.505580357142858, 16.410714285714285, 16.544642857142858, 16.56640625, 16.744419642857142, 16.731026785714285, 16.848214285714285, 17.127790178571427, 17.498325892857142, 18.143415178571427, 18.680245535714285, 19.401785714285715, 21.122209821428573, 25.572544642857142, 31.805803571428573, 39.254464285714285, 42.579520089285715, 45.35077122279576, 50.79527064732143, 64.55022321428571, 70.08368791852679, 86.06148856239659, 85.53667341811317, 65.97656512047563, 47.34599842982633, 3.5009916573762894]"
2,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of item                                                                  2
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gydfynd
lemma                                                           cydfynd
mutation_type                                                        SM
trigger_type                                                          L
specific_trigger                                                      i
token_id                                                           25.0
prev_word                                                             i
incorrect_form                                                  cydfynd
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 2, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,3.1896728988279377,3.2833543681261834,0.09368146929824572,"[11.9375, 11.862938596491228, 11.888157894736842, 11.928728070175438, 11.900219298245615, 11.970394736842104, 12.213815789473685, 16.39144736842105, 16.450657894736842, 16.539473684210527, 16.48793859649123, 16.292763157894736, 16.19956140350877, 16.342105263157894, 16.378837719298247, 16.50657894736842, 16.486842105263158, 16.601973684210527, 16.87828947368421, 17.23739035087719, 17.89967105263158, 18.40734649122807, 19.093201754385966, 20.72752192982456, 25.099780701754387, 31.357456140350877, 39.08114035087719, 42.22539747807018, 45.23915287486294, 50.72392406798246, 64.42434210526316, 69.86508446408992, 85.68362373427341, 84.54792867417922, 63.95943270858965, 43.95615635211008, 3.1896728988279377]","[11.93859649122807, 11.867324561403509, 11.895833333333334, 11.93421052631579, 11.916666666666666, 11.989035087719298, 12.293859649122806, 16.410087719298247, 16.475877192982455, 16.526315789473685, 16.50219298245614, 16.349780701754387, 16.228070175438596, 16.364035087719298, 16.385416666666668, 16.525219298245613, 16.49780701754386, 16.614035087719298, 16.86732456140351, 17.21655701754386, 17.90844298245614, 18.45668859649123, 19.101973684210527, 20.66831140350877, 24.94188596491228, 31.292763157894736, 39.10526315789474, 42.332853618421055, 45.48367041872259, 51.06602933114035, 64.89144736842105, 70.19841779742325, 86.3459044339364, 85.29792867417922, 65.14802919981773, 44.526331790706564, 3.2833543681261834]"
3,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of item                                                                  3
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       cael
lemma                                                              cael
mutation_type                                                     no_AM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            5.0
prev_word                                                            yn
incorrect_form                                                    chael
incorrect_sentence    Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                             1
Name: 3, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,3.1896728988279377,3.4501007565280846,0.26042785770014687,"[11.9375, 11.862938596491228, 11.888157894736842, 11.928728070175438, 11.900219298245615, 11.970394736842104, 12.213815789473685, 16.39144736842105, 16.450657894736842, 16.539473684210527, 16.48793859649123, 16.292763157894736, 16.19956140350877, 16.342105263157894, 16.378837719298247, 16.50657894736842, 16.486842105263158, 16.601973684210527, 16.87828947368421, 17.23739035087719, 17.89967105263158, 18.40734649122807, 19.093201754385966, 20.72752192982456, 25.099780701754387, 31.357456140350877, 39.08114035087719, 42.22539747807018, 45.23915287486294, 50.72392406798246, 64.42434210526316, 69.86508446408992, 85.68362373427341, 84.54792867417922, 63.95943270858965, 43.95615635211008, 3.1896728988279377]","[11.9375, 11.861842105263158, 11.883771929824562, 11.918859649122806, 11.87280701754386, 11.926535087719298, 12.192982456140351, 16.341008771929825, 16.398026315789473, 16.50219298245614, 16.474780701754387, 16.29824561403509, 16.24342105263158, 16.330043859649123, 16.367872807017545, 16.458333333333332, 16.450657894736842, 16.582236842105264, 16.81030701754386, 17.172149122807017, 17.82510964912281, 18.296600877192983, 18.99232456140351, 20.586622807017545, 24.79605263157895, 30.93311403508772, 38.2609649122807, 41.396038925438596, 44.096609015213815, 49.5660978618421, 62.875, 67.68720981530976, 85.93891344781508, 83.36655359937434, 64.90131598606445, 45.834259039477296, 3.4501007565280846]"
4,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of item                                                                  4
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gymuned
lemma                                                           cymuned
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                      num_fem_sing_noun
token_id                                                           10.0
prev_word                                                            un
incorrect_form                                                  cymuned
incorrect_sentence    Oedd y fflam yn cael ei phasio o un cymuned i'...
num_diffs                                                             1
Name: 4, dtype: object>",0,gymuned,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cymuned,"Oedd y fflam yn cael ei phasio o un cymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",SM,MS,num_fem_sing_noun,3.1896728988279377,3.0418454901925447,-0.147827408635393,"[11.9375, 11.862938596491228, 11.888157894736842, 11.928728070175438, 11.900219298245615, 11.970394736842104, 12.213815789473685, 16.39144736842105, 16.450657894736842, 16.539473684210527, 16.48793859649123, 16.292763157894736, 16.19956140350877, 16.342105263157894, 16.378837719298247, 16.50657894736842, 16.486842105263158, 16.601973684210527, 16.87828947368421, 17.23739035087719, 17.89967105263158, 18.40734649122807, 19.093201754385966, 20.72752192982456, 25.099780701754387, 31.357456140350877, 39.08114035087719, 42.22539747807018, 45.23915287486294, 50.72392406798246, 64.42434210526316, 69.86508446408992, 85.68362373427341, 84.54792867417922, 63.95943270858965, 43.95615635211008, 3.1896728988279377]","[11.941810344827585, 11.86530172413793, 11.904094827586206, 11.932112068965518, 11.90625, 11.976293103448276, 12.214439655172415, 16.36637931034483, 16.45689655172414, 16.548491379310345, 16.43426724137931, 16.268318965517242, 16.135775862068964, 16.282327586206897, 16.296875, 16.408405172413794, 16.41487068965517, 16.548491379310345, 16.822198275862068, 17.09752155172414, 17.765625, 18.337823275862068, 18.98060344827586, 20.657866379310345, 25.07112068965517, 31.339439655172413, 39.133620689655174, 42.419450431034484, 45.48287437702047, 51.2948208512931, 64.65193965517241, 70.52727640086206, 85.46501212284483, 84.37933384755561, 62.56059143666563, 42.45906744948749, 3.0418454901925447]"
5,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of item                                                                  5
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                    nghanol
lemma                                                             canol
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                    yng
token_id                                                            9.0
prev_word                                                           yng
incorrect_form                                                    canol
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng canol dinas Ba...
num_diffs                                                             1
Name: 5, dtype: object>",1,nghanol,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",canol,"O'n ni yn rhan o'r ras oedd yng canol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",NM,L,yng,4.093727598384935,4.455789873997371,0.36206227561243587,"[11.938775510204081, 11.813775510204081, 11.823979591836734, 11.77295918367347, 11.670918367346939, 11.739795918367347, 11.998724489795919, 22.883928571428573, 22.676020408163264, 22.803571428571427, 22.690688775510203, 22.633290816326532, 22.68622448979592, 22.751913265306122, 22.742984693877553, 23.21938775510204, 23.132653061224488, 23.619260204081634, 23.7640306122449, 23.697704081632654, 24.419642857142858, 24.996173469387756, 25.728316326530614, 27.2984693877551, 30.637117346938776, 37.984693877551024, 46.8125, 50.545918367346935, 53.12948421556123, 56.83560305225606, 70.29910714285714, 70.80676020408163, 82.92986507805027, 82.19642857142857, 67.72368766337024, 57.39785827909197, 4.093727598384935]","[11.938802083333334, 11.813802083333334, 11.8203125, 11.772135416666666, 11.677083333333334, 11.71875, 11.962239583333334, 23.134114583333332, 23.015625, 23.0703125, 22.91015625, 22.8671875, 22.93359375, 23.02734375, 23.022786458333332, 23.565104166666668, 23.466145833333332, 23.964192708333332, 24.083333333333332, 24.03125, 24.736979166666668, 25.327473958333332, 26.013020833333332, 27.720052083333332, 31.310221354166668, 38.234375, 46.920572916666664, 51.047200520833336, 53.79728698730469, 57.67738469441732, 71.25162760416667, 72.29231770833333, 83.37708640098572, 84.05729166666667, 70.67938741048177, 60.835677690804005, 4.455789873997371]"
6,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of item                                                                  6
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                       rhan
lemma                                                              rhan
mutation_type                                                     no_SM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            4.0
prev_word                                                            yn
incorrect_form                                                      ran
incorrect_sentence    O'n ni yn ran o'r ras oedd yng nghanol dinas B...
num_diffs                                                             1
Name: 6, dtype: object>",1,rhan,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",ran,"O'n ni yn ran o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",no_SM,no_mutation,no_mutation,4.093727598384935,4.199338763952255,0.10561116556732042,"[11.938775510204081, 11.813775510204081, 11.823979591836734, 11.77295918367347, 11.670918367346939, 11.739795918367347, 11.998724489795919, 22.883928571428573, 22.676020408163264, 22.803571428571427, 22.690688775510203, 22.633290816326532, 22.68622448979592, 22.751913265306122, 22.742984693877553, 23.21938775510204, 23.132653061224488, 23.619260204081634, 23.7640306122449, 23.697704081632654, 24.419642857142858, 24.996173469387756, 25.728316326530614, 27.2984693877551, 30.637117346938776, 37.984693877551024, 46.8125, 50.545918367346935, 53.12948421556123, 56.83560305225606, 70.29910714285714, 70.80676020408163, 82.92986507805027, 82.19642857142857, 67.72368766337024, 57.39785827909197, 4.093727598384935]","[11.940104166666666, 11.8203125, 11.841145833333334, 11.778645833333334, 11.704427083333334, 11.795572916666666, 12.088541666666666, 23.182291666666668, 23.0703125, 23.151041666666668, 22.953125, 22.86328125, 22.87890625, 22.912760416666668, 22.993489583333332, 23.465494791666668, 23.319661458333332, 23.836588541666668, 23.93359375, 23.891927083333332, 24.5859375, 25.18359375, 25.990885416666668, 27.625651041666668, 30.879557291666668, 38.071614583333336, 46.971354166666664, 51.008463541666664, 53.073341369628906, 56.72277323404948, 70.40869140625, 70.24837239583333, 82.34322579701741, 82.0546875, 68.02954167624314, 57.77560376127561, 4.199338763952255]"
7,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of item                                                                  7
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                     wahodd
lemma                                                           gwahodd
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 direct_object_mutation
token_id                                                           15.0
prev_word                                                           nhw
incorrect_form                                                  gwahodd
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
num_diffs                                                             1
Name: 7, dtype: object>",1,wahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",gwahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw gwahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",SM,MS,direct_object_mutation,4.093727598384935,4.1605276775360105,0.06680007915107566,"[11.938775510204081, 11.813775510204081, 11.823979591836734, 11.77295918367347, 11.670918367346939, 11.739795918367347, 11.998724489795919, 22.883928571428573, 22.676020408163264, 22.803571428571427, 22.690688775510203, 22.633290816326532, 22.68622448979592, 22.751913265306122, 22.742984693877553, 23.21938775510204, 23.132653061224488, 23.619260204081634, 23.7640306122449, 23.697704081632654, 24.419642857142858, 24.996173469387756, 25.728316326530614, 27.2984693877551, 30.637117346938776, 37.984693877551024, 46.8125, 50.545918367346935, 53.12948421556123, 56.83560305225606, 70.29910714285714, 70.80676020408163, 82.92986507805027, 82.19642857142857, 67.72368766337024, 57.39785827909197, 4.093727598384935]","[11.94125, 11.825, 11.8225, 11.77625, 11.67375, 11.71625, 12.0375, 22.64875, 22.495, 22.58625, 22.45, 22.44625, 22.42625, 22.53625, 22.548125, 23.005625, 22.91, 23.39125, 23.51875, 23.53375, 24.35375, 24.9075, 25.56, 27.186875, 30.4053125, 37.54125, 46.46125, 50.023125, 52.79178955078125, 56.771285400390624, 70.21125, 71.5140625, 83.76450996398925, 83.2125, 68.59608402729035, 56.59560695886612, 4.1605276775360105]"
8,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of item                                                                  8
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                       gred
lemma                                                              cred
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                  def_art_fem_sing_noun
token_id                                                            2.0
prev_word                                                             Y
incorrect_form                                                     cred
incorrect_sentence    Y cred yw bod y system bresennol â chapasiti i...
num_diffs                                                             1
Name: 8, dtype: object>",2,gred,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",cred,"Y cred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,def_art_fem_sing_noun,4.440988807117238,4.597587115836866,0.15659830871962832,"[11.948529411764707, 11.838235294117647, 11.735294117647058, 11.669117647058824, 11.560661764705882, 11.590073529411764, 11.882352941176471, 31.909926470588236, 32.05330882352941, 32.356617647058826, 32.095588235294116, 31.90073529411765, 32.04779411764706, 31.957720588235293, 31.971507352941178, 32.50919117647059, 32.489889705882355, 33.06617647058823, 33.1516544117647, 33.4375, 33.90625, 34.4954044117647, 34.62408088235294, 36.052389705882355, 39.2922794117647, 46.8639705882353, 58.88235294117647, 62.23529411764706, 63.99632352941177, 69.28308823529412, 86.83823529411765, 82.59926470588235, 105.1470588235294, 108.625, 91.99081246993121, 76.53819382891936, 4.440988807117238]","[11.956439393939394, 11.816287878787879, 11.744318181818182, 11.666666666666666, 11.547348484848484, 11.587121212121213, 11.878787878787879, 38.441287878787875, 38.558712121212125, 38.90719696969697, 38.666666666666664, 38.52272727272727, 38.672348484848484, 38.446969696969695, 38.70170454545455, 39.270833333333336, 39.25, 40.13162878787879, 40.39393939393939, 40.67518939393939, 41.160037878787875, 41.65530303030303, 41.75662878787879, 43.28598484848485, 46.68560606060606, 54.09090909090909, 65.6590909090909, 69.22727272727273, 71.50757575757575, 76.79924242424242, 94.46969696969697, 90.74621212121212, 115.01893939393939, 117.25378787878788, 101.4687955451734, 84.1250000036124, 4.597587115836866]"
9,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of item                                                                  9
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                  bresennol
lemma                                                         presennol
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 fem_sing_noun_modifier
token_id                                                            7.0
prev_word                                                        system
incorrect_form                                                presennol
incorrect_sentence    Y gred yw bod y system presennol â chapasiti i...
num_diffs                                                             1
Name: 9, dtype: object>",2,bresennol,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",presennol,"Y gred yw bod y system presennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,fem_sing_noun_modifier,4.440988807117238,4.789431691169739,0.3484428840525009,"[11.948529411764707, 11.838235294117647, 11.735294117647058, 11.669117647058824, 11.560661764705882, 11.590073529411764, 11.882352941176471, 31.909926470588236, 32.05330882352941, 32.356617647058826, 32.095588235294116, 31.90073529411765, 32.04779411764706, 31.957720588235293, 31.971507352941178, 32.50919117647059, 32.489889705882355, 33.06617647058823, 33.1516544117647, 33.4375, 33.90625, 34.4954044117647, 34.62408088235294, 36.052389705882355, 39.2922794117647, 46.8639705882353, 58.88235294117647, 62.23529411764706, 63.99632352941177, 69.28308823529412, 86.83823529411765, 82.59926470588235, 105.1470588235294, 108.625, 91.99081246993121, 76.53819382891936, 4.440988807117238]","[11.952651515151516, 11.839015151515152, 11.721590909090908, 11.660984848484848, 11.551136363636363, 11.598484848484848, 11.776515151515152, 32.45075757575758, 32.61931818181818, 32.821969696969695, 32.696969696969695, 32.571969696969695, 32.77840909090909, 32.60606060606061, 32.666666666666664, 33.209280303030305, 33.09848484848485, 33.733901515151516, 33.78030303030303, 34.20170454545455, 34.78314393939394, 35.33617424242424, 35.47727272727273, 36.80113636363637, 40.04924242424242, 48.27272727272727, 60.015151515151516, 63.196969696969695, 65.14772727272727, 70.9469696969697, 88.5909090909091, 84.14393939393939, 109.16666666666667, 113.08712121212122, 95.00760338523172, 80.12268436677527, 4.789431691169739]"
