index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,incorrect_form_mut_type,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 0
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         pasio
incorrect_sentence         Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,none,2.380214248712914,2.3040507848605842,-0.07616346385232964,"[11.76083348926745, 11.758542362012362, 12.177985191345215, 12.179374711555347, 12.184842845849824, 12.196204135292454, 12.198344230651855, 12.217796409339236, 12.211409485130979, 12.201964763172885, 12.199555631269488, 12.198512328298468, 12.214955697979843, 12.189760174667626, 12.184063811051217, 12.17037856787966, 12.146310404727334, 12.03860346476237, 11.988096621998569, 11.922025412843938, 11.859282041850843, 11.759137203818874, 11.718108545269882, 11.588441413745546, 11.521308949119167, 11.255482640182763, 11.057869459453382, 10.783636327375445, 10.486255662483082, 10.132507148541903, 9.523354931881553, 8.504882703747665, 2.380214248712914]","[11.760609007718271, 11.757980145906147, 12.17741952862656, 12.1797512790613, 12.183942811530933, 12.193814779582777, 12.197021317063717, 12.217772500556812, 12.209327413324724, 12.197725630643076, 12.194381462900262, 12.193485260009766, 12.211107873080069, 12.190025664212412, 12.18234482146146, 12.162534630089475, 12.141291852582965, 12.030905037595515, 11.977690897489849, 11.91423114977385, 11.85167998598333, 11.749900633828682, 11.703609550208377, 11.570697985197368, 11.49560923325388, 11.238343422872978, 11.031098315590306, 10.748825993454247, 10.450034258658427, 10.091763839387058, 9.464773872442413, 8.453258288534064, 2.3040507848605842]"
1,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 1
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         basio
incorrect_sentence         Oedd y fflam yn cael ei basio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 1, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",basio,"Oedd y fflam yn cael ei basio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,SM,2.380214248712914,2.2854499065551064,-0.09476434215780749,"[11.76083348926745, 11.758542362012362, 12.177985191345215, 12.179374711555347, 12.184842845849824, 12.196204135292454, 12.198344230651855, 12.217796409339236, 12.211409485130979, 12.201964763172885, 12.199555631269488, 12.198512328298468, 12.214955697979843, 12.189760174667626, 12.184063811051217, 12.17037856787966, 12.146310404727334, 12.03860346476237, 11.988096621998569, 11.922025412843938, 11.859282041850843, 11.759137203818874, 11.718108545269882, 11.588441413745546, 11.521308949119167, 11.255482640182763, 11.057869459453382, 10.783636327375445, 10.486255662483082, 10.132507148541903, 9.523354931881553, 8.504882703747665, 2.380214248712914]","[11.760617021928754, 11.758396081757127, 12.177719986229611, 12.180679438406962, 12.184198128549676, 12.195754251982036, 12.198634248030814, 12.218204749257941, 12.210861540677255, 12.199410706235652, 12.19751108738414, 12.196476936340332, 12.214858439930698, 12.192133786385519, 12.182583189847177, 12.164052277280573, 12.142655389350757, 12.03502022592645, 11.985305083425422, 11.9253781636556, 11.86221206397341, 11.761713329114412, 11.72044603448165, 11.589768744351572, 11.520333925882975, 11.257425425345438, 11.056286410281533, 10.776586432206003, 10.479745212354159, 10.12023033175552, 9.501292303988809, 8.494466564111542, 2.2854499065551064]"
2,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 2
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                        mhasio
incorrect_sentence         Oedd y fflam yn cael ei mhasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 2, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",mhasio,"Oedd y fflam yn cael ei mhasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,NM,2.380214248712914,2.507129584400461,0.12691533568754698,"[11.76083348926745, 11.758542362012362, 12.177985191345215, 12.179374711555347, 12.184842845849824, 12.196204135292454, 12.198344230651855, 12.217796409339236, 12.211409485130979, 12.201964763172885, 12.199555631269488, 12.198512328298468, 12.214955697979843, 12.189760174667626, 12.184063811051217, 12.17037856787966, 12.146310404727334, 12.03860346476237, 11.988096621998569, 11.922025412843938, 11.859282041850843, 11.759137203818874, 11.718108545269882, 11.588441413745546, 11.521308949119167, 11.255482640182763, 11.057869459453382, 10.783636327375445, 10.486255662483082, 10.132507148541903, 9.523354931881553, 8.504882703747665, 2.380214248712914]","[11.760533793219205, 11.759869378188561, 12.169352630089069, 12.171297550201416, 12.175798909417514, 12.187656698555783, 12.190315509664602, 12.20944490103886, 12.202625439084809, 12.191742469524515, 12.190128951237119, 12.18737686091456, 12.204518942997373, 12.183366939939301, 12.171166814606766, 12.151578936083563, 12.127497475722741, 12.019053327626196, 11.97051345890966, 11.90335015592904, 11.836391300990664, 11.732663203930032, 11.692276872437576, 11.566823071446912, 11.495841009863492, 11.244767090369916, 11.040222085755447, 10.757600537661848, 10.460195475611194, 10.105373135928449, 9.494041303108478, 8.514681832543735, 2.507129584400461]"
3,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 3
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           pob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 3, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,none,2.380214248712914,2.6167239699508564,0.23650972123794256,"[11.76083348926745, 11.758542362012362, 12.177985191345215, 12.179374711555347, 12.184842845849824, 12.196204135292454, 12.198344230651855, 12.217796409339236, 12.211409485130979, 12.201964763172885, 12.199555631269488, 12.198512328298468, 12.214955697979843, 12.189760174667626, 12.184063811051217, 12.17037856787966, 12.146310404727334, 12.03860346476237, 11.988096621998569, 11.922025412843938, 11.859282041850843, 11.759137203818874, 11.718108545269882, 11.588441413745546, 11.521308949119167, 11.255482640182763, 11.057869459453382, 10.783636327375445, 10.486255662483082, 10.132507148541903, 9.523354931881553, 8.504882703747665, 2.380214248712914]","[11.760844843728202, 11.758266466004509, 12.186196225030082, 12.188000014850072, 12.1937883411135, 12.203738229615348, 12.205007467951093, 12.22259065083095, 12.219533273151942, 12.20948782988957, 12.207188435963221, 12.205908111163549, 12.223280838557653, 12.197806188038417, 12.19332776750837, 12.17867614541735, 12.157260247639247, 12.04664591380528, 11.998531120164055, 11.93144154548645, 11.867680140904017, 11.772147059440613, 11.732428738049098, 11.593606131417411, 11.524688839912415, 11.256229826382228, 11.057461261749268, 10.788910371916634, 10.489446588924952, 10.14862710237503, 9.549688696861267, 8.554016360214778, 2.6167239699508564]"
4,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 4
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           bob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 4, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",bob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym bob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,SM,2.380214248712914,2.597849213196501,0.2176349644835871,"[11.76083348926745, 11.758542362012362, 12.177985191345215, 12.179374711555347, 12.184842845849824, 12.196204135292454, 12.198344230651855, 12.217796409339236, 12.211409485130979, 12.201964763172885, 12.199555631269488, 12.198512328298468, 12.214955697979843, 12.189760174667626, 12.184063811051217, 12.17037856787966, 12.146310404727334, 12.03860346476237, 11.988096621998569, 11.922025412843938, 11.859282041850843, 11.759137203818874, 11.718108545269882, 11.588441413745546, 11.521308949119167, 11.255482640182763, 11.057869459453382, 10.783636327375445, 10.486255662483082, 10.132507148541903, 9.523354931881553, 8.504882703747665, 2.380214248712914]","[11.76025743143899, 11.757923092160906, 12.185884152139936, 12.188632334981646, 12.193626710346766, 12.203885623386928, 12.204696672303337, 12.2229277747018, 12.219644563538688, 12.20826552595411, 12.205163768359593, 12.205533504486084, 12.224390847342354, 12.197015694209508, 12.192403418677193, 12.175850306238447, 12.153240408216204, 12.043128388268608, 11.996722374643598, 11.926208632332939, 11.864338619368416, 11.767193743160792, 11.728927169527326, 11.591749208314079, 11.523513879094805, 11.258192692484174, 11.059571964400154, 10.791097181183952, 10.489129713603429, 10.142437160015106, 9.548409794058118, 8.561452959265027, 2.597849213196501]"
5,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 5
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                          phob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 5, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",phob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym phob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,AM,2.380214248712914,2.5541926265664587,0.17397837785354486,"[11.76083348926745, 11.758542362012362, 12.177985191345215, 12.179374711555347, 12.184842845849824, 12.196204135292454, 12.198344230651855, 12.217796409339236, 12.211409485130979, 12.201964763172885, 12.199555631269488, 12.198512328298468, 12.214955697979843, 12.189760174667626, 12.184063811051217, 12.17037856787966, 12.146310404727334, 12.03860346476237, 11.988096621998569, 11.922025412843938, 11.859282041850843, 11.759137203818874, 11.718108545269882, 11.588441413745546, 11.521308949119167, 11.255482640182763, 11.057869459453382, 10.783636327375445, 10.486255662483082, 10.132507148541903, 9.523354931881553, 8.504882703747665, 2.380214248712914]","[11.760299732810573, 11.757793209009003, 12.177810267398232, 12.181058866935864, 12.186747350190815, 12.196401964154159, 12.196545751471268, 12.214634627626653, 12.211864655477958, 12.200093988786664, 12.199092112089458, 12.197572574280857, 12.213590688872756, 12.189364148859392, 12.186142386051646, 12.16804383930407, 12.145335732844838, 12.0364060987506, 11.989289568181624, 11.921156665735078, 11.859567324320475, 11.758610173275596, 11.723163420693917, 11.588775952657064, 11.52292547727886, 11.255759356314677, 11.055334944474069, 10.78262211983664, 10.483900823091206, 10.133883819245456, 9.527889987878632, 8.5083875405161, 2.5541926265664587]"
6,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 6
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                       cydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 6, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,none,2.380214248712914,2.482376624656976,0.10216237594406197,"[11.76083348926745, 11.758542362012362, 12.177985191345215, 12.179374711555347, 12.184842845849824, 12.196204135292454, 12.198344230651855, 12.217796409339236, 12.211409485130979, 12.201964763172885, 12.199555631269488, 12.198512328298468, 12.214955697979843, 12.189760174667626, 12.184063811051217, 12.17037856787966, 12.146310404727334, 12.03860346476237, 11.988096621998569, 11.922025412843938, 11.859282041850843, 11.759137203818874, 11.718108545269882, 11.588441413745546, 11.521308949119167, 11.255482640182763, 11.057869459453382, 10.783636327375445, 10.486255662483082, 10.132507148541903, 9.523354931881553, 8.504882703747665, 2.380214248712914]","[11.760618561192564, 11.758220522027267, 12.177709428887619, 12.17894671256082, 12.18485552804512, 12.19515629818565, 12.196064664606462, 12.216348614609032, 12.20760623195715, 12.199431536490458, 12.19573221708599, 12.195535325167471, 12.212839143318043, 12.187306471038283, 12.181462488676372, 12.168340917219195, 12.142513693424693, 12.040882110595703, 11.99153058570728, 11.922893306665253, 11.860750901071649, 11.762247654429654, 11.719897671749717, 11.589242951911793, 11.519815177248235, 11.261060932226348, 11.058901820266456, 10.788741898118404, 10.490020768684253, 10.13706259978445, 9.531584438524748, 8.515818027027866, 2.482376624656976]"
7,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 7
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                     nghydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 7, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",nghydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i nghydfynd â'r ras.",SM,L,i,NM,2.380214248712914,2.525658419783777,0.14544417107086316,"[11.76083348926745, 11.758542362012362, 12.177985191345215, 12.179374711555347, 12.184842845849824, 12.196204135292454, 12.198344230651855, 12.217796409339236, 12.211409485130979, 12.201964763172885, 12.199555631269488, 12.198512328298468, 12.214955697979843, 12.189760174667626, 12.184063811051217, 12.17037856787966, 12.146310404727334, 12.03860346476237, 11.988096621998569, 11.922025412843938, 11.859282041850843, 11.759137203818874, 11.718108545269882, 11.588441413745546, 11.521308949119167, 11.255482640182763, 11.057869459453382, 10.783636327375445, 10.486255662483082, 10.132507148541903, 9.523354931881553, 8.504882703747665, 2.380214248712914]","[11.760922448388461, 11.758387187431598, 12.170881320690286, 12.171371492846259, 12.176901504911225, 12.187416520611993, 12.189643103500892, 12.211189944168616, 12.203987647747171, 12.196146356648413, 12.192426714403876, 12.191680299824682, 12.205742359161377, 12.183001814217404, 12.177535402363745, 12.161718516514219, 12.138180042135305, 12.035856329161545, 11.985674348370782, 11.923064560725772, 11.85998350998451, 11.76393826254483, 11.72480218163852, 11.602147348995867, 11.534372921647696, 11.281865202147385, 11.089116852858972, 10.825065711448932, 10.528009003606336, 10.174475316343637, 9.568252283951331, 8.546618642478153, 2.525658419783777]"
8,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 8
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                      chydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 8, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i chydfynd â'r ras.",SM,L,i,AM,2.380214248712914,2.4869453602862595,0.10673111157334558,"[11.76083348926745, 11.758542362012362, 12.177985191345215, 12.179374711555347, 12.184842845849824, 12.196204135292454, 12.198344230651855, 12.217796409339236, 12.211409485130979, 12.201964763172885, 12.199555631269488, 12.198512328298468, 12.214955697979843, 12.189760174667626, 12.184063811051217, 12.17037856787966, 12.146310404727334, 12.03860346476237, 11.988096621998569, 11.922025412843938, 11.859282041850843, 11.759137203818874, 11.718108545269882, 11.588441413745546, 11.521308949119167, 11.255482640182763, 11.057869459453382, 10.783636327375445, 10.486255662483082, 10.132507148541903, 9.523354931881553, 8.504882703747665, 2.380214248712914]","[11.760739811679773, 11.758490428589939, 12.17861178883335, 12.179850160029897, 12.185147787395277, 12.195631997627125, 12.197100823385673, 12.217315088238632, 12.209328651428223, 12.201161702473959, 12.197728976868747, 12.197918256123861, 12.213291737071255, 12.190728455259089, 12.184318944027549, 12.170773255197625, 12.147262623435573, 12.043270228201884, 11.994883637679251, 11.928574511879368, 11.867205552887498, 11.769021720216985, 11.725205505103396, 11.600536363166675, 11.53167612510815, 11.279113016630474, 11.079400999504223, 10.816785879302444, 10.52144035540129, 10.171051452034398, 9.560048906426681, 8.542326718045954, 2.4869453602862595]"
9,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 9
item                                                                       3
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            cael
lemma                                                                   cael
mutation_type                                                          no_AM
trigger_type                                                     no_mutation
specific_trigger                                                 no_mutation
token_id                                                                 5.0
prev_word                                                                 yn
incorrect_form                                                         chael
incorrect_sentence         Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 9, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,AM,2.380214248712914,2.5748825088294485,0.1946682601165346,"[11.76083348926745, 11.758542362012362, 12.177985191345215, 12.179374711555347, 12.184842845849824, 12.196204135292454, 12.198344230651855, 12.217796409339236, 12.211409485130979, 12.201964763172885, 12.199555631269488, 12.198512328298468, 12.214955697979843, 12.189760174667626, 12.184063811051217, 12.17037856787966, 12.146310404727334, 12.03860346476237, 11.988096621998569, 11.922025412843938, 11.859282041850843, 11.759137203818874, 11.718108545269882, 11.588441413745546, 11.521308949119167, 11.255482640182763, 11.057869459453382, 10.783636327375445, 10.486255662483082, 10.132507148541903, 9.523354931881553, 8.504882703747665, 2.380214248712914]","[11.761121766609058, 11.757770371018795, 12.176547953957005, 12.178005871019865, 12.184399420754952, 12.192093029356839, 12.196198179010759, 12.214217721370229, 12.207439874347887, 12.199118413423237, 12.197251838550233, 12.196298515587522, 12.210533409787898, 12.184375846595096, 12.180324002316123, 12.164597695333915, 12.143620022556238, 12.039716887892338, 11.98919779794258, 11.921633553086666, 11.854092012371932, 11.756936675623843, 11.72039948848256, 11.589884473566423, 11.524751596283494, 11.258898400423819, 11.068516781455592, 10.797672957704778, 10.496330395079495, 10.140905882182874, 9.547738694308096, 8.533415242245322, 2.5748825088294485]"
