index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of item                                                                  0
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                     phasio
lemma                                                             pasio
mutation_type                                                        AM
trigger_type                                                          L
specific_trigger                                                     ei
token_id                                                            7.0
prev_word                                                            ei
incorrect_form                                                    pasio
incorrect_sentence    Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                             1
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,4.015229034051299,3.934194238226001,-0.08103479582529838,"[10.780683150658241, 48.56473483305711, 63.37848730820876, 79.27455937312199, 88.88411300365742, 92.44630768115704, 95.67190008897047, 98.16035204667311, 100.84976155207707, 103.3632105753972, 105.56426871373104, 106.40888583843525, 106.96202113811786, 109.44622913507315, 110.53135880690354, 112.03653116959792, 115.32726049423218, 119.7481045796321, 120.11024725253765, 123.78636216383714, 124.99446452214168, 129.6163180424617, 129.79209493490364, 135.0106469301077, 134.26425624260537, 139.93554418637203, 141.98946212071638, 143.0062931042451, 142.44029981171613, 140.81464692262503, 140.96365707837617, 140.0929237292363, 137.94960789313683, 138.4152852986796, 135.43907758295242, 138.85489973109216, 138.51333936882708, 144.3142010505383, 158.73599389149592, 182.37051733457125, 4.015229034051299]","[10.753559948847844, 48.121597099304196, 62.77624457432673, 78.4525209573599, 88.30927829742431, 91.57324513655442, 94.68793119283824, 96.60923733344445, 99.0625647178063, 101.45185443438017, 103.85369013272799, 104.75675352536715, 105.56641090099629, 107.86477393370409, 108.97586466715886, 110.72637121494, 114.25929260253906, 119.06198690854586, 119.25772680135874, 122.98677316812369, 124.28415621243991, 129.03239426246057, 128.89807790609507, 134.1509300305293, 133.23470311531653, 138.9625851557805, 141.1327213360713, 142.13007094715363, 141.61209975460974, 139.94132731865795, 140.30150369497431, 139.83667518175565, 137.67291350638612, 137.89951362559748, 135.09029582096264, 138.27306773916533, 138.14109165983703, 143.81468899800228, 157.2864551617549, 179.84264728105984, 3.934194238226001]"
1,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of item                                                                  1
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       mhob
lemma                                                               pob
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                     ym
token_id                                                           15.0
prev_word                                                            ym
incorrect_form                                                      pob
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 1, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,4.015229034051299,4.086509193870283,0.07128015981898361,"[10.780683150658241, 48.56473483305711, 63.37848730820876, 79.27455937312199, 88.88411300365742, 92.44630768115704, 95.67190008897047, 98.16035204667311, 100.84976155207707, 103.3632105753972, 105.56426871373104, 106.40888583843525, 106.96202113811786, 109.44622913507315, 110.53135880690354, 112.03653116959792, 115.32726049423218, 119.7481045796321, 120.11024725253765, 123.78636216383714, 124.99446452214168, 129.6163180424617, 129.79209493490364, 135.0106469301077, 134.26425624260537, 139.93554418637203, 141.98946212071638, 143.0062931042451, 142.44029981171613, 140.81464692262503, 140.96365707837617, 140.0929237292363, 137.94960789313683, 138.4152852986796, 135.43907758295242, 138.85489973109216, 138.51333936882708, 144.3142010505383, 158.73599389149592, 182.37051733457125, 4.015229034051299]","[10.829966030423604, 49.45727972000364, 64.45302294171046, 80.6936063160972, 90.52697426932198, 94.19371100834438, 97.62286158970424, 100.1531633195423, 103.07113479432606, 105.65315295022631, 107.80824045150999, 108.73050031207856, 109.31269977206276, 112.07119420974973, 113.0500552767799, 114.61800556334238, 117.8894447674827, 122.3375496183123, 122.68546946843465, 126.57716832842145, 127.63570101298983, 132.44674246651786, 132.4385386118813, 137.64095707545204, 136.81536376287067, 142.29718564048645, 144.2988800586216, 145.39798220563904, 144.44218119839206, 143.02179157733832, 143.10247104697757, 142.28353811445692, 140.43156723276016, 141.03929410156024, 138.1341712115577, 141.6661436440874, 141.85783581559858, 147.69551934136285, 162.39356722907414, 185.85963452051556, 4.086509193870283]"
2,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of item                                                                  2
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gydfynd
lemma                                                           cydfynd
mutation_type                                                        SM
trigger_type                                                          L
specific_trigger                                                      i
token_id                                                           25.0
prev_word                                                             i
incorrect_form                                                  cydfynd
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 2, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,4.015229034051299,4.048707357364205,0.0334783233129059,"[10.780683150658241, 48.56473483305711, 63.37848730820876, 79.27455937312199, 88.88411300365742, 92.44630768115704, 95.67190008897047, 98.16035204667311, 100.84976155207707, 103.3632105753972, 105.56426871373104, 106.40888583843525, 106.96202113811786, 109.44622913507315, 110.53135880690354, 112.03653116959792, 115.32726049423218, 119.7481045796321, 120.11024725253765, 123.78636216383714, 124.99446452214168, 129.6163180424617, 129.79209493490364, 135.0106469301077, 134.26425624260537, 139.93554418637203, 141.98946212071638, 143.0062931042451, 142.44029981171613, 140.81464692262503, 140.96365707837617, 140.0929237292363, 137.94960789313683, 138.4152852986796, 135.43907758295242, 138.85489973109216, 138.51333936882708, 144.3142010505383, 158.73599389149592, 182.37051733457125, 4.015229034051299]","[10.781918012178862, 48.59864008976863, 63.37161645155687, 79.32735871535081, 88.94432032658504, 92.48770841451791, 95.6977001630343, 98.14746161240798, 100.81492597139798, 103.34700841170091, 105.55841616117037, 106.43351683983435, 107.02131937467135, 109.53360437980065, 110.60873139454769, 112.10087908231296, 115.36008985959566, 119.88075661292443, 120.23418770570021, 123.97974254901592, 125.18033840472881, 129.74956577007586, 129.85584405752329, 135.29295033674973, 134.62532698557928, 140.38780851730934, 142.40069184119884, 143.4526208565785, 143.03890826150533, 141.44741933162396, 141.70190819226778, 140.72064697559063, 138.25807151427637, 138.89156213967271, 136.0842043619287, 139.19059146051654, 138.64719793246343, 144.58742243693425, 159.47130936842697, 182.91026317889873, 4.048707357364205]"
3,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of item                                                                  3
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       cael
lemma                                                              cael
mutation_type                                                     no_AM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            5.0
prev_word                                                            yn
incorrect_form                                                    chael
incorrect_sentence    Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                             1
Name: 3, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,4.015229034051299,4.12994741155551,0.11471837750421088,"[10.780683150658241, 48.56473483305711, 63.37848730820876, 79.27455937312199, 88.88411300365742, 92.44630768115704, 95.67190008897047, 98.16035204667311, 100.84976155207707, 103.3632105753972, 105.56426871373104, 106.40888583843525, 106.96202113811786, 109.44622913507315, 110.53135880690354, 112.03653116959792, 115.32726049423218, 119.7481045796321, 120.11024725253765, 123.78636216383714, 124.99446452214168, 129.6163180424617, 129.79209493490364, 135.0106469301077, 134.26425624260537, 139.93554418637203, 141.98946212071638, 143.0062931042451, 142.44029981171613, 140.81464692262503, 140.96365707837617, 140.0929237292363, 137.94960789313683, 138.4152852986796, 135.43907758295242, 138.85489973109216, 138.51333936882708, 144.3142010505383, 158.73599389149592, 182.37051733457125, 4.015229034051299]","[10.790279740553636, 48.80823489702665, 63.81726423410269, 79.90513468522292, 89.26702549274151, 92.98204689025879, 96.28404026031494, 98.8371509552002, 101.43787417778601, 103.82955677325909, 105.87375796391414, 106.6706925025353, 107.18884391784668, 109.6292329934927, 110.72146332080547, 112.10990076798659, 115.3168447127709, 119.81389514482939, 120.49942175791814, 124.10005130767823, 125.30078202761136, 129.68274552271916, 130.1312858874981, 135.24639755395742, 134.50980879343473, 140.0151969066033, 141.84045958152183, 142.8921159047346, 141.9579257578945, 140.26342846613665, 140.09019154035127, 139.44980539908775, 137.42359798779853, 137.9618933359376, 135.33783434643706, 139.02697665618302, 138.55515269717344, 144.20702112271235, 159.4742601468013, 183.36914050028875, 4.12994741155551]"
4,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of item                                                                  4
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gymuned
lemma                                                           cymuned
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                      num_fem_sing_noun
token_id                                                           10.0
prev_word                                                            un
incorrect_form                                                  cymuned
incorrect_sentence    Oedd y fflam yn cael ei phasio o un cymuned i'...
num_diffs                                                             1
Name: 4, dtype: object>",0,gymuned,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cymuned,"Oedd y fflam yn cael ei phasio o un cymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",SM,MS,num_fem_sing_noun,4.015229034051299,3.9841992913530424,-0.031029742698256868,"[10.780683150658241, 48.56473483305711, 63.37848730820876, 79.27455937312199, 88.88411300365742, 92.44630768115704, 95.67190008897047, 98.16035204667311, 100.84976155207707, 103.3632105753972, 105.56426871373104, 106.40888583843525, 106.96202113811786, 109.44622913507315, 110.53135880690354, 112.03653116959792, 115.32726049423218, 119.7481045796321, 120.11024725253765, 123.78636216383714, 124.99446452214168, 129.6163180424617, 129.79209493490364, 135.0106469301077, 134.26425624260537, 139.93554418637203, 141.98946212071638, 143.0062931042451, 142.44029981171613, 140.81464692262503, 140.96365707837617, 140.0929237292363, 137.94960789313683, 138.4152852986796, 135.43907758295242, 138.85489973109216, 138.51333936882708, 144.3142010505383, 158.73599389149592, 182.37051733457125, 4.015229034051299]","[10.781403673612154, 48.61074363268339, 63.3068086037269, 79.23800792694092, 88.84627747168908, 92.56141922290509, 95.79134853069598, 98.2383682691134, 100.96746647174541, 103.51021963266226, 105.57709416609543, 106.28603985126202, 106.7557434962346, 109.29672687970675, 110.42901186576256, 112.25510798234205, 115.40724275295551, 119.9333195246183, 120.05951560093807, 123.8231236091027, 124.89588991311881, 129.36729441422682, 129.39049560840314, 134.54545811506418, 133.79168475041024, 139.4321429637762, 141.4963799715042, 142.5782519707313, 141.74052000779372, 140.28144075687115, 140.60420315815853, 139.95081209402818, 137.6391171478308, 138.0871533121224, 135.20697730599832, 138.58322325951346, 137.9998269164505, 143.55559351260845, 158.11259066875164, 181.79965364749614, 3.9841992913530424]"
5,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of item                                                                  5
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                    nghanol
lemma                                                             canol
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                    yng
token_id                                                            9.0
prev_word                                                           yng
incorrect_form                                                    canol
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng canol dinas Ba...
num_diffs                                                             1
Name: 5, dtype: object>",1,nghanol,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",canol,"O'n ni yn rhan o'r ras oedd yng canol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",NM,L,yng,4.539011567163299,4.683587723375799,0.14457615621250053,"[10.889291007563752, 49.41535683397977, 62.55470389240193, 72.99135172142172, 79.1731654832948, 79.1148857890435, 80.71431644007845, 81.63597856377656, 83.54573210230413, 85.77527433971188, 87.61854698972881, 88.43319386356282, 90.47384864879105, 92.50425492592578, 93.74518765143628, 96.0472443373698, 99.45353579521179, 102.77029031627583, 103.0412715066154, 106.43659973594377, 107.63031687601557, 110.80084069944778, 110.80411809345462, 115.85926755194394, 116.80956419683852, 121.38100075494422, 123.01176906531711, 125.17448039605932, 125.4760053734875, 124.72383503856416, 126.66700200087539, 127.84739562700366, 127.57568435622333, 128.63642275108478, 126.6817599287505, 132.10763807341107, 134.41670175992738, 143.16118064239078, 158.46236309690295, 187.60134008185904, 4.539011567163299]","[10.900961068960337, 49.228753447532654, 62.379172059205864, 72.91412841356717, 78.85112008681664, 78.95012338344867, 80.84365045107327, 81.9571600143726, 83.78312836243556, 86.20146463467525, 88.01711016434889, 88.88598544781024, 90.86174208384294, 92.94989066857558, 93.9411932871892, 96.15504335898619, 99.90252728645618, 103.46894336205263, 103.70189540202801, 107.36488379881932, 108.39263329826869, 111.55841507132237, 112.04962924810556, 117.11161319338359, 118.52035812918925, 122.98307940243103, 124.88284639211801, 127.07161488670569, 127.15963578550145, 126.67515705629684, 128.82830609778793, 130.04410402362143, 129.85072040990357, 131.23670507623177, 129.32566953163237, 135.09479888850407, 137.10291468268014, 146.03958586985252, 160.5654623760627, 189.00690003412848, 4.683587723375799]"
6,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of item                                                                  6
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                       rhan
lemma                                                              rhan
mutation_type                                                     no_SM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            4.0
prev_word                                                            yn
incorrect_form                                                      ran
incorrect_sentence    O'n ni yn ran o'r ras oedd yng nghanol dinas B...
num_diffs                                                             1
Name: 6, dtype: object>",1,rhan,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",ran,"O'n ni yn ran o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",no_SM,no_mutation,no_mutation,4.539011567163299,4.680300951792071,0.14128938462877194,"[10.889291007563752, 49.41535683397977, 62.55470389240193, 72.99135172142172, 79.1731654832948, 79.1148857890435, 80.71431644007845, 81.63597856377656, 83.54573210230413, 85.77527433971188, 87.61854698972881, 88.43319386356282, 90.47384864879105, 92.50425492592578, 93.74518765143628, 96.0472443373698, 99.45353579521179, 102.77029031627583, 103.0412715066154, 106.43659973594377, 107.63031687601557, 110.80084069944778, 110.80411809345462, 115.85926755194394, 116.80956419683852, 121.38100075494422, 123.01176906531711, 125.17448039605932, 125.4760053734875, 124.72383503856416, 126.66700200087539, 127.84739562700366, 127.57568435622333, 128.63642275108478, 126.6817599287505, 132.10763807341107, 134.41670175992738, 143.16118064239078, 158.46236309690295, 187.60134008185904, 4.539011567163299]","[10.901277230336117, 49.681496024131775, 62.73231684244596, 73.37957292336684, 79.63425219975986, 79.51753913439236, 81.26913751088657, 82.18806699606088, 84.11526661652785, 86.36556646457085, 88.22091982914851, 89.07406807862796, 91.03666474268987, 93.18609727345981, 94.55632471121274, 96.92760034707877, 100.52034727426675, 103.93938413950113, 104.21534502506256, 107.68787944775362, 109.22064552857326, 112.33481033490254, 112.16531910725014, 117.23088339549801, 118.25219549811803, 122.70646681005971, 124.32448217272758, 126.55694781473049, 126.91893550278976, 126.46877629939823, 128.79179687445068, 130.1374355187783, 130.65718844299184, 131.54203791114, 129.71893397661333, 135.11470415496996, 137.81560823778602, 147.18817668226072, 163.1695046077411, 192.81724107652778, 4.680300951792071]"
7,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of item                                                                  7
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                     wahodd
lemma                                                           gwahodd
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 direct_object_mutation
token_id                                                           15.0
prev_word                                                           nhw
incorrect_form                                                  gwahodd
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
num_diffs                                                             1
Name: 7, dtype: object>",1,wahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",gwahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw gwahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",SM,MS,direct_object_mutation,4.539011567163299,4.484587649972934,-0.05442391719036532,"[10.889291007563752, 49.41535683397977, 62.55470389240193, 72.99135172142172, 79.1731654832948, 79.1148857890435, 80.71431644007845, 81.63597856377656, 83.54573210230413, 85.77527433971188, 87.61854698972881, 88.43319386356282, 90.47384864879105, 92.50425492592578, 93.74518765143628, 96.0472443373698, 99.45353579521179, 102.77029031627583, 103.0412715066154, 106.43659973594377, 107.63031687601557, 110.80084069944778, 110.80411809345462, 115.85926755194394, 116.80956419683852, 121.38100075494422, 123.01176906531711, 125.17448039605932, 125.4760053734875, 124.72383503856416, 126.66700200087539, 127.84739562700366, 127.57568435622333, 128.63642275108478, 126.6817599287505, 132.10763807341107, 134.41670175992738, 143.16118064239078, 158.46236309690295, 187.60134008185904, 4.539011567163299]","[10.925964877290546, 50.02414557618915, 63.348796511596106, 73.90033321560554, 80.06929293218649, 80.2650916261493, 81.84237445975249, 82.63539208106275, 84.47051572799683, 86.69585468184273, 88.47159022205281, 89.33583980236413, 91.25860089176106, 93.19781216135564, 94.40103828232243, 96.64634879130237, 99.9140981593222, 103.36273554361091, 103.49815196586106, 106.83693127024848, 108.0552554760339, 111.05903847487468, 111.08027997472377, 116.1507125125741, 117.05868582230694, 121.78849120409696, 123.28053768316529, 125.51626639479315, 125.75493284472361, 125.18976616184476, 127.04690827288628, 128.3701356941799, 128.2949122773609, 129.65463469838195, 127.90000969508905, 133.43699171851588, 135.98751099598206, 144.4999627659746, 159.29702589421902, 188.3263338202927, 4.484587649972934]"
8,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of item                                                                  8
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                       gred
lemma                                                              cred
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                  def_art_fem_sing_noun
token_id                                                            2.0
prev_word                                                             Y
incorrect_form                                                     cred
incorrect_sentence    Y cred yw bod y system bresennol â chapasiti i...
num_diffs                                                             1
Name: 8, dtype: object>",2,gred,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",cred,"Y cred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,def_art_fem_sing_noun,6.603548493878595,6.724869881357465,0.12132138747887034,"[10.893419956338816, 52.175583625661915, 67.98013507908789, 86.53479281787214, 97.62246146695367, 103.65931833201441, 107.91845121054814, 109.83323948958824, 111.63485640492932, 113.4097948403194, 115.16278770052153, 116.58926123586194, 116.73722125743997, 119.39539161221734, 120.7787132098757, 123.98734821122268, 124.83994220865183, 129.91407228338306, 130.55666971206665, 135.63552785125273, 137.94569160628677, 142.94420421122985, 143.76301431243286, 149.12321034793197, 151.83398464835923, 158.65204331792634, 164.34872197077192, 172.94685685223547, 179.01693614597977, 182.4095377133324, 188.7967268997331, 195.97280002115602, 200.01467388662797, 204.03190785415214, 209.99551299522662, 216.0875129487751, 222.67035885611227, 234.21011477503282, 256.4542286642667, 291.48676536823143, 6.603548493878595]","[10.911199229104179, 53.11433056422642, 72.1467389038631, 98.83551238264356, 114.08766419546944, 123.52448960712978, 129.37742737361364, 132.38990766661507, 135.13736707823617, 137.79729650701796, 139.99745636326927, 141.76085344382696, 142.05212238856726, 144.7810973269599, 146.35995531082153, 149.8526304108756, 150.5310116154807, 155.74324540581023, 156.17778607777186, 160.56966259802826, 163.28860006587587, 168.43581769296102, 168.9803856568677, 174.4119838987078, 176.74085111596756, 183.72028280156, 188.67110028703297, 197.93855258503132, 202.95136307499237, 206.0996850510294, 212.21060575753967, 218.032706954647, 220.68827466809722, 223.72046848278737, 227.31322149500505, 232.31518728392453, 238.5599073810237, 248.54048285756394, 270.8542074816568, 301.8955656460353, 6.724869881357465]"
9,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of item                                                                  9
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                  bresennol
lemma                                                         presennol
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 fem_sing_noun_modifier
token_id                                                            7.0
prev_word                                                        system
incorrect_form                                                presennol
incorrect_sentence    Y gred yw bod y system presennol â chapasiti i...
num_diffs                                                             1
Name: 9, dtype: object>",2,bresennol,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",presennol,"Y gred yw bod y system presennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,fem_sing_noun_modifier,6.603548493878595,6.714199985776629,0.11065149189803414,"[10.893419956338816, 52.175583625661915, 67.98013507908789, 86.53479281787214, 97.62246146695367, 103.65931833201441, 107.91845121054814, 109.83323948958824, 111.63485640492932, 113.4097948403194, 115.16278770052153, 116.58926123586194, 116.73722125743997, 119.39539161221734, 120.7787132098757, 123.98734821122268, 124.83994220865183, 129.91407228338306, 130.55666971206665, 135.63552785125273, 137.94569160628677, 142.94420421122985, 143.76301431243286, 149.12321034793197, 151.83398464835923, 158.65204331792634, 164.34872197077192, 172.94685685223547, 179.01693614597977, 182.4095377133324, 188.7967268997331, 195.97280002115602, 200.01467388662797, 204.03190785415214, 209.99551299522662, 216.0875129487751, 222.67035885611227, 234.21011477503282, 256.4542286642667, 291.48676536823143, 6.603548493878595]","[10.923768622534615, 52.91469168663025, 68.97805295671735, 87.97534215450287, 99.49848110335213, 106.06734764575958, 110.74079411370414, 113.2086991923196, 115.16744715826852, 117.04293017727989, 119.24732552255902, 120.81332920278821, 121.00249132088253, 123.92743921279907, 125.39303828988757, 128.54864055769784, 128.94365794318063, 134.5482040643692, 134.59358221292496, 139.9089661879199, 142.80378607766968, 148.1798238541394, 149.43115492377655, 154.53882976089204, 157.77542764799935, 164.7928317955562, 170.54661135588373, 179.20937007665634, 185.86503465686525, 188.5924919183765, 195.40647467445316, 202.90388161216728, 207.70363974996977, 212.47978240464414, 220.9774203981672, 227.19047918436783, 235.28175187386972, 246.10714157990046, 266.8809530735016, 299.009343283517, 6.714199985776629]"
