index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,incorrect_form_mut_type,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 0
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         pasio
incorrect_sentence         Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,none,3.1896728988279377,3.1856147552791394,-0.004058143548798299,"[11.9375, 11.862938596491228, 11.888157894736842, 11.928728070175438, 11.900219298245615, 11.970394736842104, 12.213815789473685, 16.39144736842105, 16.450657894736842, 16.539473684210527, 16.48793859649123, 16.292763157894736, 16.19956140350877, 16.342105263157894, 16.378837719298247, 16.50657894736842, 16.486842105263158, 16.601973684210527, 16.87828947368421, 17.23739035087719, 17.89967105263158, 18.40734649122807, 19.093201754385966, 20.72752192982456, 25.099780701754387, 31.357456140350877, 39.08114035087719, 42.22539747807018, 45.23915287486294, 50.72392406798246, 64.42434210526316, 69.86508446408992, 85.68362373427341, 84.54792867417922, 63.95943270858965, 43.95615635211008, 3.1896728988279377]","[11.9375, 11.866228070175438, 11.898026315789474, 11.93530701754386, 11.893640350877194, 11.960526315789474, 12.221491228070175, 16.412280701754387, 16.48135964912281, 16.537280701754387, 16.478070175438596, 16.26425438596491, 16.19298245614035, 16.26864035087719, 16.27357456140351, 16.39144736842105, 16.405701754385966, 16.475877192982455, 16.714912280701753, 17.08388157894737, 17.705592105263158, 18.28234649122807, 18.961622807017545, 20.382127192982455, 24.86293859649123, 30.99561403508772, 38.42982456140351, 41.58799342105263, 44.50340726082785, 50.09484649122807, 63.71600877192982, 69.77761787280701, 85.56061540570175, 82.76586487209588, 63.69190832815672, 43.97634160100368, 3.1856147552791394]"
1,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 1
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         basio
incorrect_sentence         Oedd y fflam yn cael ei basio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 1, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",basio,"Oedd y fflam yn cael ei basio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,SM,3.1896728988279377,3.2675353895153916,0.07786249068745388,"[11.9375, 11.862938596491228, 11.888157894736842, 11.928728070175438, 11.900219298245615, 11.970394736842104, 12.213815789473685, 16.39144736842105, 16.450657894736842, 16.539473684210527, 16.48793859649123, 16.292763157894736, 16.19956140350877, 16.342105263157894, 16.378837719298247, 16.50657894736842, 16.486842105263158, 16.601973684210527, 16.87828947368421, 17.23739035087719, 17.89967105263158, 18.40734649122807, 19.093201754385966, 20.72752192982456, 25.099780701754387, 31.357456140350877, 39.08114035087719, 42.22539747807018, 45.23915287486294, 50.72392406798246, 64.42434210526316, 69.86508446408992, 85.68362373427341, 84.54792867417922, 63.95943270858965, 43.95615635211008, 3.1896728988279377]","[11.93859649122807, 11.87609649122807, 11.910087719298245, 11.963815789473685, 11.921052631578947, 11.93969298245614, 12.18530701754386, 16.37390350877193, 16.45614035087719, 16.530701754385966, 16.50438596491228, 16.25767543859649, 16.17763157894737, 16.25, 16.303179824561404, 16.43859649122807, 16.42763157894737, 16.49013157894737, 16.725877192982455, 17.05921052631579, 17.72423245614035, 18.385416666666668, 19.12390350877193, 20.685855263157894, 25.161184210526315, 31.18859649122807, 38.67763157894737, 41.96004660087719, 45.03844893606085, 50.309998629385966, 64.17872807017544, 70.0360321580318, 85.97514049002999, 82.41396829747318, 65.24013756659993, 45.680967144798814, 3.2675353895153916]"
2,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 2
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                        mhasio
incorrect_sentence         Oedd y fflam yn cael ei mhasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 2, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",mhasio,"Oedd y fflam yn cael ei mhasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,NM,3.1896728988279377,3.3806369674616845,0.19096406863374682,"[11.9375, 11.862938596491228, 11.888157894736842, 11.928728070175438, 11.900219298245615, 11.970394736842104, 12.213815789473685, 16.39144736842105, 16.450657894736842, 16.539473684210527, 16.48793859649123, 16.292763157894736, 16.19956140350877, 16.342105263157894, 16.378837719298247, 16.50657894736842, 16.486842105263158, 16.601973684210527, 16.87828947368421, 17.23739035087719, 17.89967105263158, 18.40734649122807, 19.093201754385966, 20.72752192982456, 25.099780701754387, 31.357456140350877, 39.08114035087719, 42.22539747807018, 45.23915287486294, 50.72392406798246, 64.42434210526316, 69.86508446408992, 85.68362373427341, 84.54792867417922, 63.95943270858965, 43.95615635211008, 3.1896728988279377]","[11.936422413793103, 11.854525862068966, 11.889008620689655, 11.93426724137931, 11.885775862068966, 11.913793103448276, 12.173491379310345, 16.251077586206897, 16.336206896551722, 16.364224137931036, 16.32758620689655, 16.129310344827587, 16.007543103448278, 16.132543103448278, 16.14709051724138, 16.307112068965516, 16.314655172413794, 16.41810344827586, 16.64978448275862, 16.978448275862068, 17.61799568965517, 18.177262931034484, 18.90301724137931, 20.39924568965517, 24.634698275862068, 31.064655172413794, 38.81681034482759, 41.933459051724135, 44.59058774750808, 50.2540072737069, 63.838362068965516, 69.39250235721983, 84.88257678007257, 82.54320447814875, 64.27049001948586, 46.097274194503655, 3.3806369674616845]"
3,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 3
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           pob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 3, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,none,3.1896728988279377,3.5009916573762894,0.31131875854835167,"[11.9375, 11.862938596491228, 11.888157894736842, 11.928728070175438, 11.900219298245615, 11.970394736842104, 12.213815789473685, 16.39144736842105, 16.450657894736842, 16.539473684210527, 16.48793859649123, 16.292763157894736, 16.19956140350877, 16.342105263157894, 16.378837719298247, 16.50657894736842, 16.486842105263158, 16.601973684210527, 16.87828947368421, 17.23739035087719, 17.89967105263158, 18.40734649122807, 19.093201754385966, 20.72752192982456, 25.099780701754387, 31.357456140350877, 39.08114035087719, 42.22539747807018, 45.23915287486294, 50.72392406798246, 64.42434210526316, 69.86508446408992, 85.68362373427341, 84.54792867417922, 63.95943270858965, 43.95615635211008, 3.1896728988279377]","[11.934151785714286, 11.861607142857142, 11.891741071428571, 11.954241071428571, 11.919642857142858, 11.984375, 12.248883928571429, 16.568080357142858, 16.590401785714285, 16.693080357142858, 16.65625, 16.505580357142858, 16.410714285714285, 16.544642857142858, 16.56640625, 16.744419642857142, 16.731026785714285, 16.848214285714285, 17.127790178571427, 17.498325892857142, 18.143415178571427, 18.680245535714285, 19.401785714285715, 21.122209821428573, 25.572544642857142, 31.805803571428573, 39.254464285714285, 42.579520089285715, 45.35077122279576, 50.79527064732143, 64.55022321428571, 70.08368791852679, 86.06148856239659, 85.53667341811317, 65.97656512047563, 47.34599842982633, 3.5009916573762894]"
4,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 4
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           bob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 4, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",bob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym bob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,SM,3.1896728988279377,3.3977982806307927,0.208125381802855,"[11.9375, 11.862938596491228, 11.888157894736842, 11.928728070175438, 11.900219298245615, 11.970394736842104, 12.213815789473685, 16.39144736842105, 16.450657894736842, 16.539473684210527, 16.48793859649123, 16.292763157894736, 16.19956140350877, 16.342105263157894, 16.378837719298247, 16.50657894736842, 16.486842105263158, 16.601973684210527, 16.87828947368421, 17.23739035087719, 17.89967105263158, 18.40734649122807, 19.093201754385966, 20.72752192982456, 25.099780701754387, 31.357456140350877, 39.08114035087719, 42.22539747807018, 45.23915287486294, 50.72392406798246, 64.42434210526316, 69.86508446408992, 85.68362373427341, 84.54792867417922, 63.95943270858965, 43.95615635211008, 3.1896728988279377]","[11.936383928571429, 11.858258928571429, 11.885044642857142, 11.9375, 11.905133928571429, 11.954241071428571, 12.232142857142858, 16.510044642857142, 16.594866071428573, 16.699776785714285, 16.637276785714285, 16.449776785714285, 16.347098214285715, 16.455357142857142, 16.512834821428573, 16.676339285714285, 16.657366071428573, 16.7890625, 17.06640625, 17.453125, 18.130022321428573, 18.670200892857142, 19.331473214285715, 21.082589285714285, 25.537946428571427, 31.805803571428573, 39.42857142857143, 42.464285714285715, 44.967049734933035, 49.695382254464285, 63.38169642857143, 67.80235508510044, 84.00372750631401, 83.08077131850379, 63.07479341966765, 44.962069858397754, 3.3977982806307927]"
5,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 5
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                          phob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 5, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",phob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym phob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,AM,3.1896728988279377,3.5116581540358696,0.32198525520793186,"[11.9375, 11.862938596491228, 11.888157894736842, 11.928728070175438, 11.900219298245615, 11.970394736842104, 12.213815789473685, 16.39144736842105, 16.450657894736842, 16.539473684210527, 16.48793859649123, 16.292763157894736, 16.19956140350877, 16.342105263157894, 16.378837719298247, 16.50657894736842, 16.486842105263158, 16.601973684210527, 16.87828947368421, 17.23739035087719, 17.89967105263158, 18.40734649122807, 19.093201754385966, 20.72752192982456, 25.099780701754387, 31.357456140350877, 39.08114035087719, 42.22539747807018, 45.23915287486294, 50.72392406798246, 64.42434210526316, 69.86508446408992, 85.68362373427341, 84.54792867417922, 63.95943270858965, 43.95615635211008, 3.1896728988279377]","[11.93421052631579, 11.858552631578947, 11.887061403508772, 11.93530701754386, 11.904605263157896, 11.952850877192983, 12.230263157894736, 16.466008771929825, 16.56688596491228, 16.646929824561404, 16.61293859649123, 16.422149122807017, 16.32017543859649, 16.43530701754386, 16.46875, 16.61842105263158, 16.614035087719298, 16.713815789473685, 16.996162280701753, 17.38048245614035, 18.013706140350877, 18.52686403508772, 19.18311403508772, 20.835526315789473, 25.23135964912281, 31.476973684210527, 39.31140350877193, 42.56208881578947, 45.31773831551535, 50.676603618421055, 64.61239035087719, 69.70060649671052, 86.274242737837, 86.16229357635765, 66.18311651756889, 45.900235299478496, 3.5116581540358696]"
6,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 6
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                       cydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 6, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,none,3.1896728988279377,3.2833543681261834,0.09368146929824572,"[11.9375, 11.862938596491228, 11.888157894736842, 11.928728070175438, 11.900219298245615, 11.970394736842104, 12.213815789473685, 16.39144736842105, 16.450657894736842, 16.539473684210527, 16.48793859649123, 16.292763157894736, 16.19956140350877, 16.342105263157894, 16.378837719298247, 16.50657894736842, 16.486842105263158, 16.601973684210527, 16.87828947368421, 17.23739035087719, 17.89967105263158, 18.40734649122807, 19.093201754385966, 20.72752192982456, 25.099780701754387, 31.357456140350877, 39.08114035087719, 42.22539747807018, 45.23915287486294, 50.72392406798246, 64.42434210526316, 69.86508446408992, 85.68362373427341, 84.54792867417922, 63.95943270858965, 43.95615635211008, 3.1896728988279377]","[11.93859649122807, 11.867324561403509, 11.895833333333334, 11.93421052631579, 11.916666666666666, 11.989035087719298, 12.293859649122806, 16.410087719298247, 16.475877192982455, 16.526315789473685, 16.50219298245614, 16.349780701754387, 16.228070175438596, 16.364035087719298, 16.385416666666668, 16.525219298245613, 16.49780701754386, 16.614035087719298, 16.86732456140351, 17.21655701754386, 17.90844298245614, 18.45668859649123, 19.101973684210527, 20.66831140350877, 24.94188596491228, 31.292763157894736, 39.10526315789474, 42.332853618421055, 45.48367041872259, 51.06602933114035, 64.89144736842105, 70.19841779742325, 86.3459044339364, 85.29792867417922, 65.14802919981773, 44.526331790706564, 3.2833543681261834]"
7,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 7
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                     nghydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 7, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",nghydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i nghydfynd â'r ras.",SM,L,i,NM,3.1896728988279377,3.3178766123179733,0.12820371349003556,"[11.9375, 11.862938596491228, 11.888157894736842, 11.928728070175438, 11.900219298245615, 11.970394736842104, 12.213815789473685, 16.39144736842105, 16.450657894736842, 16.539473684210527, 16.48793859649123, 16.292763157894736, 16.19956140350877, 16.342105263157894, 16.378837719298247, 16.50657894736842, 16.486842105263158, 16.601973684210527, 16.87828947368421, 17.23739035087719, 17.89967105263158, 18.40734649122807, 19.093201754385966, 20.72752192982456, 25.099780701754387, 31.357456140350877, 39.08114035087719, 42.22539747807018, 45.23915287486294, 50.72392406798246, 64.42434210526316, 69.86508446408992, 85.68362373427341, 84.54792867417922, 63.95943270858965, 43.95615635211008, 3.1896728988279377]","[11.939655172413794, 11.867456896551724, 11.889008620689655, 11.920258620689655, 11.869612068965518, 11.950431034482758, 12.210129310344827, 16.27262931034483, 16.29310344827586, 16.35991379310345, 16.37176724137931, 16.205818965517242, 16.154094827586206, 16.280172413793103, 16.333512931034484, 16.46228448275862, 16.44935344827586, 16.582974137931036, 16.873922413793103, 17.244073275862068, 17.934806034482758, 18.440193965517242, 19.076508620689655, 20.551185344827587, 24.945043103448278, 31.433189655172413, 39.08620689655172, 42.3702182112069, 45.53244334253772, 50.81812365301724, 64.71875, 69.5225830078125, 86.3744233250618, 85.87037817979682, 65.39978731706225, 44.50897947467607, 3.3178766123179733]"
8,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 8
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                      chydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 8, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i chydfynd â'r ras.",SM,L,i,AM,3.1896728988279377,3.291147423201594,0.10147452437365612,"[11.9375, 11.862938596491228, 11.888157894736842, 11.928728070175438, 11.900219298245615, 11.970394736842104, 12.213815789473685, 16.39144736842105, 16.450657894736842, 16.539473684210527, 16.48793859649123, 16.292763157894736, 16.19956140350877, 16.342105263157894, 16.378837719298247, 16.50657894736842, 16.486842105263158, 16.601973684210527, 16.87828947368421, 17.23739035087719, 17.89967105263158, 18.40734649122807, 19.093201754385966, 20.72752192982456, 25.099780701754387, 31.357456140350877, 39.08114035087719, 42.22539747807018, 45.23915287486294, 50.72392406798246, 64.42434210526316, 69.86508446408992, 85.68362373427341, 84.54792867417922, 63.95943270858965, 43.95615635211008, 3.1896728988279377]","[11.939655172413794, 11.864224137931034, 11.898706896551724, 11.932112068965518, 11.895474137931034, 11.989224137931034, 12.255387931034482, 16.301724137931036, 16.36314655172414, 16.43103448275862, 16.426724137931036, 16.28502155172414, 16.158405172413794, 16.30064655172414, 16.309806034482758, 16.447198275862068, 16.44073275862069, 16.561422413793103, 16.834051724137932, 17.19989224137931, 17.866918103448278, 18.37122844827586, 19.051724137931036, 20.56896551724138, 24.933189655172413, 31.505387931034484, 39.29094827586207, 42.5577182112069, 45.644512308054956, 51.336442618534484, 65.14331896551724, 70.10447955953664, 86.76235436365522, 85.22382645565888, 65.05495973085534, 44.14656744948749, 3.291147423201594]"
9,Qwen/Qwen3-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 9
item                                                                       3
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            cael
lemma                                                                   cael
mutation_type                                                          no_AM
trigger_type                                                     no_mutation
specific_trigger                                                 no_mutation
token_id                                                                 5.0
prev_word                                                                 yn
incorrect_form                                                         chael
incorrect_sentence         Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 9, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,AM,3.1896728988279377,3.4501007565280846,0.26042785770014687,"[11.9375, 11.862938596491228, 11.888157894736842, 11.928728070175438, 11.900219298245615, 11.970394736842104, 12.213815789473685, 16.39144736842105, 16.450657894736842, 16.539473684210527, 16.48793859649123, 16.292763157894736, 16.19956140350877, 16.342105263157894, 16.378837719298247, 16.50657894736842, 16.486842105263158, 16.601973684210527, 16.87828947368421, 17.23739035087719, 17.89967105263158, 18.40734649122807, 19.093201754385966, 20.72752192982456, 25.099780701754387, 31.357456140350877, 39.08114035087719, 42.22539747807018, 45.23915287486294, 50.72392406798246, 64.42434210526316, 69.86508446408992, 85.68362373427341, 84.54792867417922, 63.95943270858965, 43.95615635211008, 3.1896728988279377]","[11.9375, 11.861842105263158, 11.883771929824562, 11.918859649122806, 11.87280701754386, 11.926535087719298, 12.192982456140351, 16.341008771929825, 16.398026315789473, 16.50219298245614, 16.474780701754387, 16.29824561403509, 16.24342105263158, 16.330043859649123, 16.367872807017545, 16.458333333333332, 16.450657894736842, 16.582236842105264, 16.81030701754386, 17.172149122807017, 17.82510964912281, 18.296600877192983, 18.99232456140351, 20.586622807017545, 24.79605263157895, 30.93311403508772, 38.2609649122807, 41.396038925438596, 44.096609015213815, 49.5660978618421, 62.875, 67.68720981530976, 85.93891344781508, 83.36655359937434, 64.90131598606445, 45.834259039477296, 3.4501007565280846]"
