index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,incorrect_form_mut_type,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 0
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         pasio
incorrect_sentence         Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,none,37.61573093220339,37.93140889830509,0.3156779661016955,"[12.8125, 13.479078389830509, 14.086996822033898, 14.47947563559322, 14.71239406779661, 14.866260593220339, 14.99947033898305, 15.051641949152541, 18.51853813559322, 19.01853813559322, 19.609772245762713, 20.020789194915253, 20.21543961864407, 20.257415254237287, 20.36864406779661, 20.492981991525422, 20.58249470338983, 20.68948622881356, 20.83951271186441, 20.945047669491526, 21.156647245762713, 21.409295550847457, 21.745233050847457, 22.078919491525422, 22.744041313559322, 23.557865466101696, 23.6953125, 24.449417372881356, 27.185911016949152, 32.150026483050844, 37.61573093220339]","[12.859772245762711, 13.510460805084746, 14.122881355932204, 14.476959745762711, 14.68114406779661, 14.849708686440678, 15.005826271186441, 15.034295550847459, 18.47073622881356, 18.987023305084747, 19.576536016949152, 19.961599576271187, 20.14420021186441, 20.17531779661017, 20.2734375, 20.398172669491526, 20.5223781779661, 20.61361228813559, 20.730270127118644, 20.84361758474576, 21.102886652542374, 21.40188029661017, 21.766154661016948, 22.13029661016949, 22.77979343220339, 23.62076271186441, 23.724311440677965, 24.45074152542373, 27.171212923728813, 31.984772245762713, 37.93140889830509]"
1,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 1
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         basio
incorrect_sentence         Oedd y fflam yn cael ei basio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 1, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",basio,"Oedd y fflam yn cael ei basio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,SM,37.61573093220339,38.21332097457627,0.5975900423728788,"[12.8125, 13.479078389830509, 14.086996822033898, 14.47947563559322, 14.71239406779661, 14.866260593220339, 14.99947033898305, 15.051641949152541, 18.51853813559322, 19.01853813559322, 19.609772245762713, 20.020789194915253, 20.21543961864407, 20.257415254237287, 20.36864406779661, 20.492981991525422, 20.58249470338983, 20.68948622881356, 20.83951271186441, 20.945047669491526, 21.156647245762713, 21.409295550847457, 21.745233050847457, 22.078919491525422, 22.744041313559322, 23.557865466101696, 23.6953125, 24.449417372881356, 27.185911016949152, 32.150026483050844, 37.61573093220339]","[12.87010063559322, 13.509401483050848, 14.119438559322035, 14.483712923728813, 14.679555084745763, 14.84375, 14.973384533898304, 15.001721398305085, 18.452330508474578, 18.974443855932204, 19.58395127118644, 19.95895127118644, 20.15863347457627, 20.202860169491526, 20.306938559322035, 20.432335805084747, 20.53032309322034, 20.649629237288135, 20.777542372881356, 20.86268538135593, 21.073490466101696, 21.38135593220339, 21.7578125, 22.10447563559322, 22.76655190677966, 23.576006355932204, 23.6708156779661, 24.38029661016949, 27.071504237288135, 31.804157838983052, 38.21332097457627]"
2,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 2
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                        mhasio
incorrect_sentence         Oedd y fflam yn cael ei mhasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 2, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",mhasio,"Oedd y fflam yn cael ei mhasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,NM,37.61573093220339,37.44583333333333,-0.16989759887005818,"[12.8125, 13.479078389830509, 14.086996822033898, 14.47947563559322, 14.71239406779661, 14.866260593220339, 14.99947033898305, 15.051641949152541, 18.51853813559322, 19.01853813559322, 19.609772245762713, 20.020789194915253, 20.21543961864407, 20.257415254237287, 20.36864406779661, 20.492981991525422, 20.58249470338983, 20.68948622881356, 20.83951271186441, 20.945047669491526, 21.156647245762713, 21.409295550847457, 21.745233050847457, 22.078919491525422, 22.744041313559322, 23.557865466101696, 23.6953125, 24.449417372881356, 27.185911016949152, 32.150026483050844, 37.61573093220339]","[12.83671875, 13.45390625, 14.06328125, 14.421875, 14.608463541666667, 14.78046875, 14.9078125, 14.958333333333334, 18.37109375, 18.878385416666667, 19.471484375, 19.85859375, 20.028125, 20.078385416666666, 20.192578125, 20.329036458333334, 20.41328125, 20.547786458333334, 20.664973958333334, 20.753385416666667, 20.959375, 21.221484375, 21.552473958333334, 21.872786458333334, 22.555338541666668, 23.261848958333335, 23.352213541666668, 24.008072916666666, 26.402604166666666, 30.846223958333333, 37.44583333333333]"
3,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 3
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           pob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 3, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,none,37.61573093220339,38.06276939655172,0.4470384643483314,"[12.8125, 13.479078389830509, 14.086996822033898, 14.47947563559322, 14.71239406779661, 14.866260593220339, 14.99947033898305, 15.051641949152541, 18.51853813559322, 19.01853813559322, 19.609772245762713, 20.020789194915253, 20.21543961864407, 20.257415254237287, 20.36864406779661, 20.492981991525422, 20.58249470338983, 20.68948622881356, 20.83951271186441, 20.945047669491526, 21.156647245762713, 21.409295550847457, 21.745233050847457, 22.078919491525422, 22.744041313559322, 23.557865466101696, 23.6953125, 24.449417372881356, 27.185911016949152, 32.150026483050844, 37.61573093220339]","[12.797413793103448, 13.496901939655173, 14.090247844827585, 14.47454202586207, 14.726158405172415, 14.859240301724139, 15.005387931034482, 15.057516163793103, 18.56963900862069, 19.03771551724138, 19.62432650862069, 20.049703663793103, 20.25646551724138, 20.291487068965516, 20.411099137931036, 20.54242995689655, 20.634024784482758, 20.750942887931036, 20.90759698275862, 21.01158405172414, 21.23895474137931, 21.45689655172414, 21.787311422413794, 22.10088900862069, 22.75053879310345, 23.60088900862069, 23.688981681034484, 24.42174030172414, 27.00067349137931, 31.79310344827586, 38.06276939655172]"
4,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 4
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           bob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 4, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",bob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym bob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,SM,37.61573093220339,38.105334051724135,0.4896031195207442,"[12.8125, 13.479078389830509, 14.086996822033898, 14.47947563559322, 14.71239406779661, 14.866260593220339, 14.99947033898305, 15.051641949152541, 18.51853813559322, 19.01853813559322, 19.609772245762713, 20.020789194915253, 20.21543961864407, 20.257415254237287, 20.36864406779661, 20.492981991525422, 20.58249470338983, 20.68948622881356, 20.83951271186441, 20.945047669491526, 21.156647245762713, 21.409295550847457, 21.745233050847457, 22.078919491525422, 22.744041313559322, 23.557865466101696, 23.6953125, 24.449417372881356, 27.185911016949152, 32.150026483050844, 37.61573093220339]","[12.816810344827585, 13.49609375, 14.079741379310345, 14.483970905172415, 14.721443965517242, 14.859913793103448, 14.991783405172415, 15.04229525862069, 18.560614224137932, 19.077855603448278, 19.669181034482758, 20.099407327586206, 20.282462284482758, 20.312095905172413, 20.415005387931036, 20.541082974137932, 20.640220905172413, 20.786637931034484, 20.946524784482758, 21.030980603448278, 21.259698275862068, 21.483970905172413, 21.82098599137931, 22.16271551724138, 22.83216594827586, 23.692887931034484, 23.8203125, 24.543238146551722, 27.233432112068964, 32.17416487068966, 38.105334051724135]"
5,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 5
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                          phob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 5, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",phob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym phob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,AM,37.61573093220339,38.030190677966104,0.41445974576271283,"[12.8125, 13.479078389830509, 14.086996822033898, 14.47947563559322, 14.71239406779661, 14.866260593220339, 14.99947033898305, 15.051641949152541, 18.51853813559322, 19.01853813559322, 19.609772245762713, 20.020789194915253, 20.21543961864407, 20.257415254237287, 20.36864406779661, 20.492981991525422, 20.58249470338983, 20.68948622881356, 20.83951271186441, 20.945047669491526, 21.156647245762713, 21.409295550847457, 21.745233050847457, 22.078919491525422, 22.744041313559322, 23.557865466101696, 23.6953125, 24.449417372881356, 27.185911016949152, 32.150026483050844, 37.61573093220339]","[12.812102754237289, 13.48040254237288, 14.06885593220339, 14.453125, 14.711731991525424, 14.870762711864407, 15.014565677966102, 15.079316737288135, 18.56607521186441, 19.072960805084747, 19.662341101694917, 20.062235169491526, 20.259931144067796, 20.27582097457627, 20.37831038135593, 20.494438559322035, 20.57468220338983, 20.694120762711865, 20.8828125, 20.970074152542374, 21.190545550847457, 21.411414194915253, 21.76708156779661, 22.107256355932204, 22.784957627118644, 23.65188029661017, 23.813162076271187, 24.578919491525422, 27.2723781779661, 32.30429025423729, 38.030190677966104]"
6,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 6
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                       cydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 6, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,none,37.61573093220339,37.277542372881356,-0.3381885593220346,"[12.8125, 13.479078389830509, 14.086996822033898, 14.47947563559322, 14.71239406779661, 14.866260593220339, 14.99947033898305, 15.051641949152541, 18.51853813559322, 19.01853813559322, 19.609772245762713, 20.020789194915253, 20.21543961864407, 20.257415254237287, 20.36864406779661, 20.492981991525422, 20.58249470338983, 20.68948622881356, 20.83951271186441, 20.945047669491526, 21.156647245762713, 21.409295550847457, 21.745233050847457, 22.078919491525422, 22.744041313559322, 23.557865466101696, 23.6953125, 24.449417372881356, 27.185911016949152, 32.150026483050844, 37.61573093220339]","[12.77489406779661, 13.384533898305085, 14.005164194915254, 14.375662076271187, 14.565677966101696, 14.716366525423728, 14.853681144067796, 14.918299788135593, 18.358580508474578, 18.849443855932204, 19.39353813559322, 19.8046875, 20.024629237288135, 20.099311440677965, 20.187102754237287, 20.26893538135593, 20.330376059322035, 20.38863877118644, 20.52873411016949, 20.611626059322035, 20.83832097457627, 21.05720338983051, 21.409957627118644, 21.708289194915253, 22.32229872881356, 23.12751588983051, 23.202727754237287, 23.915783898305083, 26.604343220338983, 31.600370762711865, 37.277542372881356]"
7,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 7
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                     nghydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 7, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",nghydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i nghydfynd â'r ras.",SM,L,i,NM,37.61573093220339,37.51588983050848,-0.09984110169491345,"[12.8125, 13.479078389830509, 14.086996822033898, 14.47947563559322, 14.71239406779661, 14.866260593220339, 14.99947033898305, 15.051641949152541, 18.51853813559322, 19.01853813559322, 19.609772245762713, 20.020789194915253, 20.21543961864407, 20.257415254237287, 20.36864406779661, 20.492981991525422, 20.58249470338983, 20.68948622881356, 20.83951271186441, 20.945047669491526, 21.156647245762713, 21.409295550847457, 21.745233050847457, 22.078919491525422, 22.744041313559322, 23.557865466101696, 23.6953125, 24.449417372881356, 27.185911016949152, 32.150026483050844, 37.61573093220339]","[12.788797669491526, 13.436705508474576, 14.068326271186441, 14.481594279661017, 14.710540254237289, 14.874073093220339, 15.030323093220339, 15.106859110169491, 18.557468220338983, 19.07388771186441, 19.645259533898304, 20.07282838983051, 20.268802966101696, 20.3192531779661, 20.414327330508474, 20.539724576271187, 20.61970338983051, 20.71623411016949, 20.852754237288135, 20.97907838983051, 21.214909957627118, 21.449417372881356, 21.78482521186441, 22.08951271186441, 22.71861758474576, 23.49563029661017, 23.62923728813559, 24.315677966101696, 27.03482521186441, 31.97206038135593, 37.51588983050848]"
8,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 8
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                      chydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 8, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i chydfynd â'r ras.",SM,L,i,AM,37.61573093220339,37.37976694915254,-0.2359639830508513,"[12.8125, 13.479078389830509, 14.086996822033898, 14.47947563559322, 14.71239406779661, 14.866260593220339, 14.99947033898305, 15.051641949152541, 18.51853813559322, 19.01853813559322, 19.609772245762713, 20.020789194915253, 20.21543961864407, 20.257415254237287, 20.36864406779661, 20.492981991525422, 20.58249470338983, 20.68948622881356, 20.83951271186441, 20.945047669491526, 21.156647245762713, 21.409295550847457, 21.745233050847457, 22.078919491525422, 22.744041313559322, 23.557865466101696, 23.6953125, 24.449417372881356, 27.185911016949152, 32.150026483050844, 37.61573093220339]","[12.784030720338983, 13.45458156779661, 14.08540783898305, 14.489671610169491, 14.720074152542374, 14.88718220338983, 15.035354872881356, 15.100503177966102, 18.570842161016948, 19.08395127118644, 19.639300847457626, 20.084348516949152, 20.27793961864407, 20.34083686440678, 20.445577330508474, 20.542240466101696, 20.615995762711865, 20.70564088983051, 20.85487288135593, 20.981594279661017, 21.199417372881356, 21.46888241525424, 21.796345338983052, 22.122351694915253, 22.73927436440678, 23.520391949152543, 23.66154661016949, 24.32666843220339, 27.04925847457627, 31.923993644067796, 37.37976694915254]"
9,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 9
item                                                                       3
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            cael
lemma                                                                   cael
mutation_type                                                          no_AM
trigger_type                                                     no_mutation
specific_trigger                                                 no_mutation
token_id                                                                 5.0
prev_word                                                                 yn
incorrect_form                                                         chael
incorrect_sentence         Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 9, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,AM,37.61573093220339,37.4609375,-0.15479343220339103,"[12.8125, 13.479078389830509, 14.086996822033898, 14.47947563559322, 14.71239406779661, 14.866260593220339, 14.99947033898305, 15.051641949152541, 18.51853813559322, 19.01853813559322, 19.609772245762713, 20.020789194915253, 20.21543961864407, 20.257415254237287, 20.36864406779661, 20.492981991525422, 20.58249470338983, 20.68948622881356, 20.83951271186441, 20.945047669491526, 21.156647245762713, 21.409295550847457, 21.745233050847457, 22.078919491525422, 22.744041313559322, 23.557865466101696, 23.6953125, 24.449417372881356, 27.185911016949152, 32.150026483050844, 37.61573093220339]","[12.830905720338983, 13.484110169491526, 14.094014830508474, 14.517611228813559, 14.769200211864407, 14.911811440677965, 15.041710805084746, 15.104740466101696, 18.556938559322035, 19.07719809322034, 19.670550847457626, 20.03919491525424, 20.23583156779661, 20.2801906779661, 20.36189088983051, 20.485963983050848, 20.587658898305083, 20.692531779661017, 20.8359375, 20.930481991525422, 21.17041843220339, 21.401085805084747, 21.74655720338983, 22.0869968220339, 22.767346398305083, 23.563294491525422, 23.648702330508474, 24.331170550847457, 26.80270127118644, 31.202595338983052, 37.4609375]"
10,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                10
item                                                                       3
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            cael
lemma                                                                   cael
mutation_type                                                          no_AM
trigger_type                                                     no_mutation
specific_trigger                                                 no_mutation
token_id                                                                 5.0
prev_word                                                                 yn
incorrect_form                                                          gael
incorrect_sentence         Oedd y fflam yn gael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 10, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",gael,"Oedd y fflam yn gael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,SM,37.61573093220339,37.42571504237288,-0.1900158898305122,"[12.8125, 13.479078389830509, 14.086996822033898, 14.47947563559322, 14.71239406779661, 14.866260593220339, 14.99947033898305, 15.051641949152541, 18.51853813559322, 19.01853813559322, 19.609772245762713, 20.020789194915253, 20.21543961864407, 20.257415254237287, 20.36864406779661, 20.492981991525422, 20.58249470338983, 20.68948622881356, 20.83951271186441, 20.945047669491526, 21.156647245762713, 21.409295550847457, 21.745233050847457, 22.078919491525422, 22.744041313559322, 23.557865466101696, 23.6953125, 24.449417372881356, 27.185911016949152, 32.150026483050844, 37.61573093220339]","[12.80084745762712, 13.45709745762712, 14.057997881355933, 14.463453389830509, 14.704846398305085, 14.833554025423728, 14.950609110169491, 15.031514830508474, 18.4854343220339, 19.011917372881356, 19.617981991525422, 20.028469279661017, 20.163268008474578, 20.23530190677966, 20.315280720338983, 20.46186440677966, 20.560381355932204, 20.68842690677966, 20.836202330508474, 20.954449152542374, 21.209745762711865, 21.466896186440678, 21.83262711864407, 22.173199152542374, 22.896186440677965, 23.69186970338983, 23.749470338983052, 24.422669491525422, 26.806011652542374, 31.33832097457627, 37.42571504237288]"
