index,model,sentence_id,correct_form,correct_sentence,incorrect_sentence,incorrect_form,mutation_type,trigger_type,specific_trigger,layer_nll_correct,layer_nll_incorrect
0,britllm/britllm-3b-v0.1,cy_ccg_test:00521,ddim,"Ym Mangor, mae Undeb y Myfyrwyr yn cynnig canolbwynt ar gyfer gweithgareddau ac adloniant ac mae ein holl glybiau a chymdeithasau am ddim i ymuno â nhw.","Ym Mangor, mae Undeb y Myfyrwyr yn cynnig canolbwynt ar gyfer gweithgareddau ac adloniant ac mae ein holl glybiau a chymdeithasau am dim i ymuno â nhw.",dim,SM,L,am,"[14.34375, 9.484580592105264, 8.92151521381579, 8.932771381578947, 9.307514391447368, 9.504163240131579, 9.741416529605264, 9.716282894736842, 9.629214638157896, 9.448627672697368, 9.211836965460526, 9.225174753289474, 9.119294819078947, 8.847990337171053, 8.966411389802632, 8.833239103618421, 8.51806640625, 8.347219366776315, 8.557848478618421, 8.591128700657896, 8.592722039473685, 8.48194001850329, 7.920031095805921, 7.848754079718339, 7.50414356432463, 7.23805015965512, 6.688759954352128, 5.442730470707542, 4.241104869466079, 3.1656970036657235, 2.2193789936994253, 1.4537539089980878, 1.3264694951082532]","[14.355625, 9.476614583333333, 8.9171875, 8.91859375, 9.324895833333333, 9.570677083333333, 9.810260416666667, 9.837395833333334, 9.697760416666666, 9.523125, 9.256106770833334, 9.31142578125, 9.18466796875, 8.962721354166666, 9.074036458333333, 8.96625, 8.6334375, 8.480885416666666, 8.73578125, 8.812096354166666, 8.798268229166666, 8.619508463541667, 7.940475260416667, 7.866927083333334, 7.530289713541666, 7.254177449544271, 6.547298431396484, 5.370465259552002, 4.236176671981812, 3.2138349692026775, 2.3161335357030235, 1.5757134612401327, 1.4619088665644329]"
1,britllm/britllm-3b-v0.1,cy_ccg_train:01304,Cymru,"Wrth i Blaid Cymru ddathlu 100 mlynedd ers ei sefydlu ddydd Mawrth, mae'r arweinydd Rhun ap Iorwerth yn dweud fod yr heriau y mae Cymru yn ei wynebu yn ""fwy nag erioed"".","Wrth i Blaid Cymru ddathlu 100 mlynedd ers ei sefydlu ddydd Mawrth, mae'r arweinydd Rhun ap Iorwerth yn dweud fod yr heriau y mae Gymru yn ei wynebu yn ""fwy nag erioed"".",Gymru,no_SM,no_mutation,no_mutation,"[14.10884831460674, 9.13770628511236, 8.638035463483146, 8.681487008426966, 9.05760621488764, 8.955078125, 9.00563992275281, 9.062324438202246, 8.885423981741573, 9.001349631320224, 8.60255003511236, 8.834094101123595, 8.789391678370787, 8.911887179599718, 9.061139396067416, 9.024852966994382, 8.88527036516854, 8.584763430477528, 8.67600070224719, 8.561057101474718, 8.849702642205056, 8.398119294241573, 8.173952424124385, 7.957304193732444, 8.335833945970856, 8.009442961617802, 7.35964895366283, 6.475661090250766, 4.487725557905905, 3.0115219957373114, 1.9653155227725425, 1.2941770366068637, 1.0327414488524533]","[14.05521418539326, 9.120237886235955, 8.607356039325843, 8.67139220505618, 9.009809515449438, 8.915357268258427, 8.928831636235955, 8.986042837078651, 8.841884655898877, 8.939727440308989, 8.56693293539326, 8.778616573033707, 8.74098051264045, 8.875392270891854, 9.01540554775281, 9.011641941713483, 8.904669943820224, 8.623650368679776, 8.72191011235955, 8.601480205407304, 8.869453344452246, 8.431849104634832, 8.230900282270452, 8.002511356653793, 8.42168366507198, 8.111603468991397, 7.472845851705316, 6.58640218048953, 4.613421290108327, 3.1027085620365784, 2.0157127822383067, 1.3883480181854762, 1.1081512992301683]"
2,britllm/britllm-3b-v0.1,cy_ccg_train:00559,Gymraeg,"Rydyn ni'n gweithio trwy gyfrwng y Gymraeg a'r Saesneg, felly mae rhuglder yn y Gymraeg (wrth ysgrifennu ac wrth siarad) yn ddymunol, er nad yn hanfodol ar gyfer y swydd hon.","Rydyn ni'n gweithio trwy gyfrwng y Gymraeg a'r Saesneg, felly mae rhuglder yn y Cymraeg (wrth ysgrifennu ac wrth siarad) yn ddymunol, er nad yn hanfodol ar gyfer y swydd hon.",Cymraeg,SM,MS,def_art_fem_sing_noun,"[14.05120127688172, 9.055359543010752, 8.629872311827956, 8.724210349462366, 9.23828125, 9.357274865591398, 9.63724378360215, 9.45249495967742, 9.29771505376344, 9.452851982526882, 9.578692036290322, 9.69105447748656, 9.449413012432796, 9.375745547715054, 9.48891129032258, 9.393460181451612, 8.97471438172043, 8.766228788642474, 8.919451969926076, 9.00899907594086, 8.967923072076612, 10.201807493804603, 9.814522691952284, 10.429295529601394, 9.532685088854963, 8.742315064194383, 7.009279271607758, 5.962826354529268, 4.116745210463001, 2.5340656875282206, 1.6896052386171074, 1.3392621317217428, 0.9010111644703854]","[14.095976142473118, 9.05674563172043, 8.644615255376344, 8.740633400537634, 9.25638440860215, 9.358114919354838, 9.69130124327957, 9.512768817204302, 9.356770833333334, 9.500987063172044, 9.644153225806452, 9.767772387432796, 9.52601541498656, 9.461420530913978, 9.592300907258064, 9.473401797715054, 9.031628024193548, 8.833475092405914, 8.98210948000672, 9.084771925403226, 9.028501449092742, 10.294499551096271, 9.948920137138776, 10.602850432037025, 9.697044123885451, 8.910156198727186, 7.123285557634087, 6.058101545098007, 4.235299889759351, 2.6380589405695596, 1.7693861351218274, 1.4176567908256286, 1.0085231668205672]"
3,britllm/britllm-3b-v0.1,cy_ccg_test:00185,gwbwl,Roedd y syniad o greu canolfan iaith yn Nant Gwrtheyrn ddiwedd yr 1970au yn gwbwl anghredadwy ac amhosib.,Roedd y syniad o greu canolfan iaith yn Nant Gwrtheyrn ddiwedd yr 1970au yn cwbwl anghredadwy ac amhosib.,cwbwl,SM,MS,yn_complement_adj_noun,"[14.220454545454546, 8.8109375, 8.580326704545454, 8.65234375, 9.018892045454546, 9.204651988636364, 9.527130681818182, 9.304545454545455, 8.81328125, 8.881995738636364, 8.800071022727273, 8.653125, 8.650390625, 8.411305930397727, 8.543594637784091, 8.64156161221591, 8.242953213778408, 8.0512939453125, 7.952463600852273, 7.862584339488636, 7.607388583096591, 7.546557062322443, 7.180254572088068, 6.934050958806818, 6.4431524103338065, 6.050478848544034, 5.353655797784978, 4.885065451535311, 3.7037275140935724, 3.1302686539563265, 2.344398628581654, 2.0645726789127696, 1.5090888131748545]","[14.085227272727273, 8.780397727272728, 8.559232954545454, 8.620099431818181, 9.000177556818182, 9.17705965909091, 9.425710227272727, 9.175852272727273, 8.722727272727273, 8.855894886363636, 8.847336647727273, 8.685617897727273, 8.692933238636364, 8.512646484375, 8.621178089488636, 8.751087535511363, 8.356589577414773, 8.137693093039772, 8.050914417613637, 7.9746626420454545, 7.738787286931818, 7.623583984375, 7.219035200639205, 6.9787353515625, 6.524846302379261, 6.0778581099076705, 5.412106947465376, 4.870761030370539, 3.7666228554465553, 3.1977413545955313, 2.465669449892911, 2.2193521521308206, 1.6784093379974365]"
4,britllm/britllm-3b-v0.1,cy_ccg_dev:00282,flynyddoedd,"Agwedd bwysig ar yr ymgyrch codi arian i sefydlu coleg statws prifysgol ym Mangor, oedd y cyfraniadau gwirfoddol a wnaed gan bobl lleol, gan gynnwys ffermwyr a chwarelwyr, o'u tâl wythnosol dros nifer o flynyddoedd.","Agwedd bwysig ar yr ymgyrch codi arian i sefydlu coleg statws prifysgol ym Mangor, oedd y cyfraniadau gwirfoddol a wnaed gan bobl lleol, gan gynnwys ffermwyr a chwarelwyr, o'u tâl wythnosol dros nifer o blynyddoedd.",blynyddoedd,SM,L,o,"[14.315574363425926, 9.143247251157407, 8.695746527777779, 8.76242404513889, 9.180573640046296, 9.346969039351851, 9.438151041666666, 9.414623119212964, 9.016746238425926, 9.06165455005787, 8.95590549045139, 8.934651692708334, 8.731460006148726, 8.594324747721354, 8.879436916775173, 9.006586569326895, 8.726607146086517, 8.522917288321036, 8.758894035109767, 8.60386742485894, 8.356679563169125, 8.07799364460839, 7.771624211911802, 7.676186950118454, 7.559067929232562, 7.01795811675213, 6.717744608720143, 5.656595625259258, 3.9785730088198625, 3.2188698671482228, 2.353593018319872, 1.8869359184194494, 1.581290089421802]","[14.301569667431192, 9.08093821674312, 8.66384747706422, 8.765105361238533, 9.206547448394495, 9.371344610091743, 9.458894782110091, 9.437697104357799, 9.04655246559633, 9.020915460149082, 8.951794545584862, 8.915289922591743, 8.747147586367547, 8.61807950921015, 8.910861234052465, 9.037829897819309, 8.757802980755446, 8.530519537969466, 8.772824766439035, 8.622580152039134, 8.385795103300602, 8.110648098341915, 7.764039310840292, 7.699354399234877, 7.6149795952193235, 7.068942791825041, 6.828746526613148, 5.76866308920974, 4.054509437412297, 3.3751351559927705, 2.4546424872284636, 1.9613509560943743, 1.6709787440956185]"
5,britllm/britllm-3b-v0.1,cy_ccg_train:00071,ganlyniad,"O ganlyniad i'r ddarpariaeth Gymraeg, rwyf wedi derbyn rhagor o brofiadau yn y Gymraeg wrth gymharu â myfyrwyr uniaith Saesneg.","O canlyniad i'r ddarpariaeth Gymraeg, rwyf wedi derbyn rhagor o brofiadau yn y Gymraeg wrth gymharu â myfyrwyr uniaith Saesneg.",canlyniad,SM,L,O,"[13.349076704545455, 9.147964015151516, 8.658558238636363, 8.65130800189394, 9.217388731060606, 9.443536931818182, 9.638435132575758, 9.492542613636363, 9.17193418560606, 9.158794981060606, 9.227080374053031, 9.333392518939394, 9.317737926136363, 9.059836647727273, 9.202266808712121, 9.468838778409092, 9.045780066287879, 8.852731415719697, 8.94281190814394, 8.778542258522727, 9.05419921875, 10.011027018229166, 9.637731378728693, 9.38604551373106, 8.334609522964016, 7.496859463778409, 6.134712219238281, 4.815649552778765, 3.307339467785575, 2.8281709533749204, 2.434632982268478, 1.9756935130466113, 1.501232289906704]","[13.415384615384616, 9.204807692307693, 8.725841346153846, 8.72274639423077, 9.233653846153846, 9.484375, 9.678966346153846, 9.534254807692308, 9.17998798076923, 9.13359375, 9.154462139423076, 9.193194110576924, 9.278335336538461, 9.024429086538461, 9.232061298076923, 9.488731971153847, 9.07998798076923, 8.883834134615384, 8.910336538461538, 8.78448016826923, 9.039513221153847, 9.829972956730769, 9.340778996394231, 9.207579627403845, 8.250634765625, 7.3498121995192305, 6.037189659705529, 4.660172623854417, 3.29597304050739, 2.8481177770174466, 2.6246357697706957, 2.23693551833813, 1.706793343103849]"
6,britllm/britllm-3b-v0.1,cy_ccg_dev:00363,chael,"Erbyn 1959 llwyddodd y Blaid i ymladd ugain o seddi a chael 77,571o bleidleisiau yn yr Etholiad Cyffredinol.","Erbyn 1959 llwyddodd y Blaid i ymladd ugain o seddi a cael 77,571o bleidleisiau yn yr Etholiad Cyffredinol.",cael,AM,L,a,"[13.852247807017545, 9.354440789473685, 8.764665570175438, 8.85546875, 9.284402412280702, 9.445038377192983, 9.44483278508772, 9.247395833333334, 8.950863486842104, 8.9140625, 8.992393092105264, 8.923605400219298, 8.717756304824562, 8.703193530701755, 8.904643811677632, 8.869187739857455, 8.625520405016447, 8.53039336622807, 8.570989240679825, 8.404393246299342, 8.664653577302632, 8.547839783785635, 8.819468715734649, 8.949124520285087, 8.02514005962171, 8.245409513774671, 7.5250693873355265, 6.085157160173383, 4.7262930619089225, 3.745863630060564, 2.92466065758153, 2.532159037757338, 1.8741342979565]","[13.925849780701755, 9.364720394736842, 8.749657346491228, 8.88329221491228, 9.300233004385966, 9.455386513157896, 9.472998903508772, 9.348615679824562, 8.980742872807017, 8.905290570175438, 8.983449835526315, 8.981051260964913, 8.748509457236842, 8.676218133223685, 8.889340049342104, 8.807531524122806, 8.65295838473136, 8.476777729235197, 8.503501490542764, 8.31933165433114, 8.657068085252194, 8.540172911526865, 8.74939179002193, 8.908031798245615, 8.115780479029604, 8.398307934141995, 7.563111422354715, 6.121981704444216, 4.7709600883617735, 3.828618200201737, 2.935562535336143, 2.596659915489063, 2.0388294291077997]"
7,britllm/britllm-3b-v0.1,cy_ccg_train:01100,fyw,Nod ychwanegol y Strategaeth hon yw sicrhau bod pob dysgwr a myfyriwr mewn lleoliad cyfrwng Saesneg yn manteisio ar gyfleoedd i ddatblygu sgiliau iaith sy'n cyfoethogi eu profiad o fyw mewn gwlad ddwyieithog.,Nod ychwanegol y Strategaeth hon yw sicrhau bod pob dysgwr a myfyriwr mewn lleoliad cyfrwng Saesneg yn manteisio ar gyfleoedd i ddatblygu sgiliau iaith sy'n cyfoethogi eu profiad o byw mewn gwlad ddwyieithog.,byw,SM,L,o,"[14.344407126168225, 9.438230140186915, 8.823671144859814, 8.929212908878505, 9.485908294392523, 9.539153767523365, 9.598386390186915, 9.679979556074766, 9.364175671728972, 9.236236857476635, 9.204475759345794, 9.156980140186915, 9.08146539135514, 8.857969480140186, 9.070148218457945, 9.024715245327103, 8.771411360981308, 8.600211740654206, 8.764164719626168, 8.644175306658878, 8.756571261682243, 9.442213967581775, 9.145239428939107, 9.250999450683594, 8.656159160293152, 8.142857203973788, 6.685961714414793, 5.745692591800868, 3.8802878722966274, 3.085911623785429, 1.9044406469737258, 1.6412727765947859, 1.2420060545484597]","[14.357827240566039, 9.428176591981131, 8.818359375, 8.92110112028302, 9.474167158018869, 9.55625368514151, 9.635723761792454, 9.727188974056604, 9.367869251179245, 9.212485259433961, 9.195349351415095, 9.152196344339623, 9.07200766509434, 8.84629274764151, 9.060791015625, 9.036482900943396, 8.808741155660377, 8.598061615566039, 8.738428655660377, 8.63858435288915, 8.77616450471698, 9.445879090507075, 9.132889081846994, 9.24620164115474, 8.67100740828604, 8.189239501953125, 6.760193230970851, 5.810196062303939, 3.923024447459095, 3.0960527849647232, 1.8860379783612378, 1.6435642321154755, 1.2843632855505314]"
8,britllm/britllm-3b-v0.1,cy_ccg_train:01355,bwnc,"Mae'n bwnc eithaf arbenigol ac yn un technegol iawn, gyda nifer o is-feysydd sy'n aml iawn yn methu â chyfathrebu â'i gilydd.","Mae'n pwnc eithaf arbenigol ac yn un technegol iawn, gyda nifer o is-feysydd sy'n aml iawn yn methu â chyfathrebu â'i gilydd.",pwnc,SM,MS,yn_complement_adj_noun,"[14.341105769230769, 9.539002403846155, 9.14032451923077, 9.100240384615384, 9.453846153846154, 9.73233173076923, 9.702944711538462, 9.700420673076923, 9.144711538461538, 8.906189903846155, 8.778185096153846, 8.826637620192308, 8.643941556490384, 8.663931039663462, 8.616541466346154, 8.572445913461538, 8.4060546875, 8.090084134615385, 8.221213942307692, 8.016135817307692, 7.907327035757212, 7.795342782827524, 7.676478283221905, 8.160069509652944, 9.23503554050739, 8.24798307785621, 6.949984906269954, 6.147401103606591, 4.617162631108211, 3.486821623948904, 2.8086676065738385, 2.205755563882681, 1.450759066068209]","[14.419230769230769, 9.556430288461538, 9.142247596153846, 9.100240384615384, 9.466346153846153, 9.762439903846154, 9.72626201923077, 9.701802884615384, 9.157752403846153, 8.884555288461538, 8.840354567307692, 8.982151442307693, 8.879120342548077, 8.922498497596154, 8.854176682692307, 8.708278245192307, 8.520688100961538, 8.19579326923077, 8.331099759615384, 8.07178485576923, 7.919704026442307, 7.863726689265325, 7.757999654916617, 8.234298647367037, 9.207848094059871, 8.359429636368384, 7.129444182836092, 6.241911792755127, 4.7530344596275915, 3.543286052116981, 2.859561456166781, 2.2349075794219972, 1.4740055230947642]"
9,britllm/britllm-3b-v0.1,cy_ccg_test:00718,nghell,Newydd fod yn gwylio'r ffilm yng nghell b ym Mlaenau Ffestiniog.,Newydd fod yn gwylio'r ffilm yng cell b ym Mlaenau Ffestiniog.,cell,NM,L,yng,"[14.843513257575758, 9.476917613636363, 9.151633522727273, 9.03705018939394, 9.390151515151516, 9.469815340909092, 9.610795454545455, 9.634173768939394, 9.343098958333334, 9.192294034090908, 9.109138257575758, 9.339725378787879, 9.056818181818182, 8.89056581439394, 8.969578598484848, 8.742069128787879, 8.408573035037879, 8.178207859848484, 8.459221117424242, 8.572975852272727, 8.763080018939394, 8.177630800189394, 7.437707149621212, 7.0451068300189394, 6.830185398910984, 6.405362678296639, 5.733108029221043, 4.728049769546047, 3.8964782483649976, 3.6001672166766543, 3.4099078720266167, 3.267968535423279, 2.6143718416040596]","[14.8642578125, 9.1217041015625, 8.844482421875, 8.7913818359375, 9.20703125, 9.3385009765625, 9.5098876953125, 9.63226318359375, 9.3505859375, 9.233642578125, 9.1651611328125, 9.18701171875, 8.96697998046875, 8.8148193359375, 9.030059814453125, 8.701263427734375, 8.306770324707031, 8.119949340820312, 8.3341064453125, 8.482879638671875, 8.694671630859375, 8.205184936523438, 7.6039276123046875, 7.180622100830078, 6.841702461242676, 6.636592149734497, 5.962072491645813, 5.023217141628265, 4.21150478720665, 3.8300870284438133, 3.5776935257017612, 3.5167672745883465, 3.21298086643219]"
