index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,goldfish-models/cym_latn_1000mb,"<bound method IndexOpsMixin.item of item                                                                  0
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                     phasio
lemma                                                             pasio
mutation_type                                                        AM
trigger_type                                                          L
specific_trigger                                                     ei
token_id                                                            7.0
prev_word                                                            ei
incorrect_form                                                    pasio
incorrect_sentence    Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                             1
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,3.106169467485909,3.190857446912144,0.08468797942623496,"[10.72020914895194, 9.796444511413574, 9.325640269688197, 8.873625973292759, 8.399319458007813, 7.879102666037423, 7.372810213906424, 6.617193644387381, 5.747686720745904, 4.971183376227106, 4.477536793851427, 4.1331125097615375, 3.106169467485909]","[10.709388160705567, 9.784696469988141, 9.319565950121198, 8.869308199201312, 8.406325258527483, 7.884218651907784, 7.382401588984898, 6.635806291443961, 5.780838741574969, 5.018202884708132, 4.5556496976741725, 4.22480417947684, 3.190857446912144]"
1,goldfish-models/cym_latn_1000mb,"<bound method IndexOpsMixin.item of item                                                                  1
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       mhob
lemma                                                               pob
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                     ym
token_id                                                           15.0
prev_word                                                            ym
incorrect_form                                                      pob
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 1, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,3.106169467485909,3.335140010887491,0.22897054340158185,"[10.72020914895194, 9.796444511413574, 9.325640269688197, 8.873625973292759, 8.399319458007813, 7.879102666037423, 7.372810213906424, 6.617193644387381, 5.747686720745904, 4.971183376227106, 4.477536793851427, 4.1331125097615375, 3.106169467485909]","[10.713148008074079, 9.834046418326242, 9.376254245213099, 8.942180347442626, 8.485289996010916, 7.981009524209159, 7.4985335894993375, 6.762905393327985, 5.910186094045639, 5.160085781557219, 4.692723699712327, 4.351390423945018, 3.335140010887491]"
2,goldfish-models/cym_latn_1000mb,"<bound method IndexOpsMixin.item of item                                                                  2
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gydfynd
lemma                                                           cydfynd
mutation_type                                                        SM
trigger_type                                                          L
specific_trigger                                                      i
token_id                                                           25.0
prev_word                                                             i
incorrect_form                                                  cydfynd
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 2, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,3.106169467485909,3.306838372522699,0.2006689050367898,"[10.72020914895194, 9.796444511413574, 9.325640269688197, 8.873625973292759, 8.399319458007813, 7.879102666037423, 7.372810213906424, 6.617193644387381, 5.747686720745904, 4.971183376227106, 4.477536793851427, 4.1331125097615375, 3.106169467485909]","[10.719618851797922, 9.82918311527797, 9.373175539289202, 8.929745292663574, 8.474551391601562, 7.972416400909424, 7.485906996045794, 6.750865936279297, 5.901775190659932, 5.137140506931714, 4.656382502562233, 4.312229426418032, 3.306838372522699]"
3,goldfish-models/cym_latn_1000mb,"<bound method IndexOpsMixin.item of item                                                                  3
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       cael
lemma                                                              cael
mutation_type                                                     no_AM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            5.0
prev_word                                                            yn
incorrect_form                                                    chael
incorrect_sentence    Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                             1
Name: 3, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,3.106169467485909,3.4059443099690334,0.29977484248312436,"[10.72020914895194, 9.796444511413574, 9.325640269688197, 8.873625973292759, 8.399319458007813, 7.879102666037423, 7.372810213906424, 6.617193644387381, 5.747686720745904, 4.971183376227106, 4.477536793851427, 4.1331125097615375, 3.106169467485909]","[10.733734212602888, 9.859001813616072, 9.401295157841274, 8.962015342712402, 8.50328415461949, 7.997105598449707, 7.503913811274937, 6.764837901932853, 5.925305404833385, 5.169730964090143, 4.694818774131792, 4.364705283833402, 3.4059443099690334]"
4,goldfish-models/cym_latn_1000mb,"<bound method IndexOpsMixin.item of item                                                                  4
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gymuned
lemma                                                           cymuned
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                      num_fem_sing_noun
token_id                                                           10.0
prev_word                                                            un
incorrect_form                                                  cymuned
incorrect_sentence    Oedd y fflam yn cael ei phasio o un cymuned i'...
num_diffs                                                             1
Name: 4, dtype: object>",0,gymuned,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cymuned,"Oedd y fflam yn cael ei phasio o un cymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",SM,MS,num_fem_sing_noun,3.106169467485909,3.1500889638039684,0.04391949631805936,"[10.72020914895194, 9.796444511413574, 9.325640269688197, 8.873625973292759, 8.399319458007813, 7.879102666037423, 7.372810213906424, 6.617193644387381, 5.747686720745904, 4.971183376227106, 4.477536793851427, 4.1331125097615375, 3.106169467485909]","[10.720036097935267, 9.80413750239781, 9.342837388174875, 8.897466673169816, 8.427021694183349, 7.913462924957275, 7.415743555341448, 6.646240673746381, 5.774197283812931, 5.002377848114286, 4.490423560887575, 4.159637747704982, 3.1500889638039684]"
5,goldfish-models/cym_latn_1000mb,"<bound method IndexOpsMixin.item of item                                                                  5
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                    nghanol
lemma                                                             canol
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                    yng
token_id                                                            9.0
prev_word                                                           yng
incorrect_form                                                    canol
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng canol dinas Ba...
num_diffs                                                             1
Name: 5, dtype: object>",1,nghanol,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",canol,"O'n ni yn rhan o'r ras oedd yng canol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",NM,L,yng,3.7834983906708657,4.147067697842916,0.36356930717205005,"[10.69245646794637, 9.685979429880778, 9.248282225926717, 8.831439065933228, 8.418186330795288, 8.013000758488973, 7.513280057907105, 6.836099163691203, 6.120960092544555, 5.347442573308944, 4.843507207433382, 4.624729409317175, 3.7834983906708657]","[10.685281531016033, 9.711646334330242, 9.29290452003479, 8.899421087900798, 8.502883529663086, 8.106960837046305, 7.625954532623291, 6.966948866844177, 6.263694043954214, 5.514434082309405, 5.024984103441239, 4.836898364126682, 4.147067697842916]"
6,goldfish-models/cym_latn_1000mb,"<bound method IndexOpsMixin.item of item                                                                  6
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                       rhan
lemma                                                              rhan
mutation_type                                                     no_SM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            4.0
prev_word                                                            yn
incorrect_form                                                      ran
incorrect_sentence    O'n ni yn ran o'r ras oedd yng nghanol dinas B...
num_diffs                                                             1
Name: 6, dtype: object>",1,rhan,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",ran,"O'n ni yn ran o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",no_SM,no_mutation,no_mutation,3.7834983906708657,3.9541236042045056,0.1706252135336399,"[10.69245646794637, 9.685979429880778, 9.248282225926717, 8.831439065933228, 8.418186330795288, 8.013000758488973, 7.513280057907105, 6.836099163691203, 6.120960092544555, 5.347442573308944, 4.843507207433382, 4.624729409317175, 3.7834983906708657]","[10.694864018758137, 9.723514143625895, 9.298903767267863, 8.886477820078532, 8.481827958424885, 8.114872233072917, 7.62409151395162, 6.95424075126648, 6.265246530373891, 5.518907287716866, 5.027932866911093, 4.826117360095183, 3.9541236042045056]"
7,goldfish-models/cym_latn_1000mb,"<bound method IndexOpsMixin.item of item                                                                  7
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                     wahodd
lemma                                                           gwahodd
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 direct_object_mutation
token_id                                                           15.0
prev_word                                                           nhw
incorrect_form                                                  gwahodd
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
num_diffs                                                             1
Name: 7, dtype: object>",1,wahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",gwahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw gwahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",SM,MS,direct_object_mutation,3.7834983906708657,3.9269707429377982,0.14347235226693256,"[10.69245646794637, 9.685979429880778, 9.248282225926717, 8.831439065933228, 8.418186330795288, 8.013000758488973, 7.513280057907105, 6.836099163691203, 6.120960092544555, 5.347442573308944, 4.843507207433382, 4.624729409317175, 3.7834983906708657]","[10.688623650868733, 9.691662915547688, 9.260071102778117, 8.846013768513997, 8.442714611689249, 8.0421515305837, 7.554297637939453, 6.903447477022807, 6.217172523339589, 5.452902633945147, 4.940822987258434, 4.744913263618946, 3.9269707429377982]"
8,goldfish-models/cym_latn_1000mb,"<bound method IndexOpsMixin.item of item                                                                  8
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                       gred
lemma                                                              cred
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                  def_art_fem_sing_noun
token_id                                                            2.0
prev_word                                                             Y
incorrect_form                                                     cred
incorrect_sentence    Y cred yw bod y system bresennol â chapasiti i...
num_diffs                                                             1
Name: 8, dtype: object>",2,gred,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",cred,"Y cred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,def_art_fem_sing_noun,3.6551480491956077,4.0575603147347765,0.40241226553916887,"[10.790169027116564, 9.982039186689589, 9.553348488277859, 9.13913271162245, 8.719348192214966, 8.258853938844469, 7.830831315782335, 7.1799783441755505, 6.317560924424066, 5.684106184376611, 5.1496902571784124, 4.863119125366211, 3.6551480491956077]","[10.788829538557264, 10.020672427283394, 9.589935302734375, 9.183387253019545, 8.80197180642022, 8.349214712778727, 7.928196907043457, 7.311616738637288, 6.531720969412062, 5.982335342301263, 5.498720301522149, 5.236880991193983, 4.0575603147347765]"
9,goldfish-models/cym_latn_1000mb,"<bound method IndexOpsMixin.item of item                                                                  9
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                  bresennol
lemma                                                         presennol
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 fem_sing_noun_modifier
token_id                                                            7.0
prev_word                                                        system
incorrect_form                                                presennol
incorrect_sentence    Y gred yw bod y system presennol â chapasiti i...
num_diffs                                                             1
Name: 9, dtype: object>",2,bresennol,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",presennol,"Y gred yw bod y system presennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,fem_sing_noun_modifier,3.6551480491956077,3.888437885377142,0.23328983618153432,"[10.790169027116564, 9.982039186689589, 9.553348488277859, 9.13913271162245, 8.719348192214966, 8.258853938844469, 7.830831315782335, 7.1799783441755505, 6.317560924424066, 5.684106184376611, 5.1496902571784124, 4.863119125366211, 3.6551480491956077]","[10.784940772586399, 9.978560553656685, 9.565539677937826, 9.172450568940905, 8.756279018190172, 8.303993701934814, 7.850940412945217, 7.216807921727498, 6.374861372841729, 5.751356263955434, 5.331783056259155, 5.028608865208096, 3.888437885377142]"
