index,model,sentence_id,correct_form,correct_sentence,incorrect_sentence,incorrect_form,mutation_type,trigger_type,specific_trigger,layer_nll_correct,layer_nll_incorrect
0,meta-llama/Llama-3.1-8B,cy_ccg_test:00521,ddim,"Ym Mangor, mae Undeb y Myfyrwyr yn cynnig canolbwynt ar gyfer gweithgareddau ac adloniant ac mae ein holl glybiau a chymdeithasau am ddim i ymuno â nhw.","Ym Mangor, mae Undeb y Myfyrwyr yn cynnig canolbwynt ar gyfer gweithgareddau ac adloniant ac mae ein holl glybiau a chymdeithasau am dim i ymuno â nhw.",dim,SM,L,am,"[13.828846153846154, 13.609134615384615, 13.662980769230769, 13.753365384615385, 14.564423076923077, 14.559615384615384, 14.12451923076923, 14.847115384615385, 14.8125, 15.1625, 14.939423076923077, 14.651923076923078, 14.618269230769231, 13.998076923076923, 14.084615384615384, 14.251923076923077, 13.986538461538462, 12.547596153846154, 12.359615384615385, 11.971153846153847, 11.933173076923078, 11.647596153846154, 11.636538461538462, 11.537259615384615, 11.162259615384615, 10.487199519230769, 10.260757211538461, 9.68389423076923, 8.69735576923077, 7.574879807692308, 6.0976491487943205, 3.931009439321665, 2.5873954369471623]","[13.8916015625, 13.60107421875, 13.61669921875, 13.79736328125, 14.6767578125, 14.634765625, 14.22705078125, 14.9384765625, 14.9638671875, 15.2646484375, 15.0068359375, 14.748046875, 14.7080078125, 14.1826171875, 14.296875, 14.35546875, 14.0966796875, 12.63916015625, 12.474609375, 12.0302734375, 12.01123046875, 11.66357421875, 11.6318359375, 11.505615234375, 11.124755859375, 10.41766357421875, 10.19451904296875, 9.604736328125, 8.568115234375, 7.4832763671875, 6.044975697994232, 3.9710386395454407, 2.7255061455070972]"
1,meta-llama/Llama-3.1-8B,cy_ccg_train:01304,Cymru,"Wrth i Blaid Cymru ddathlu 100 mlynedd ers ei sefydlu ddydd Mawrth, mae'r arweinydd Rhun ap Iorwerth yn dweud fod yr heriau y mae Cymru yn ei wynebu yn ""fwy nag erioed"".","Wrth i Blaid Cymru ddathlu 100 mlynedd ers ei sefydlu ddydd Mawrth, mae'r arweinydd Rhun ap Iorwerth yn dweud fod yr heriau y mae Gymru yn ei wynebu yn ""fwy nag erioed"".",Gymru,no_SM,no_mutation,no_mutation,"[13.636986301369863, 13.736301369863014, 13.730736301369863, 14.02140410958904, 14.214897260273972, 14.195633561643836, 14.040239726027398, 13.883347602739725, 13.755993150684931, 13.718321917808218, 13.586900684931507, 13.35402397260274, 13.261130136986301, 12.788099315068493, 12.775256849315069, 13.090325342465754, 12.757277397260275, 11.820205479452055, 11.422731164383562, 11.204623287671232, 11.235338184931507, 10.77734375, 10.831442636986301, 10.979692851027398, 11.354311590325343, 10.238869444964683, 9.613323890999572, 8.521773873943172, 7.577376483237907, 6.5149078369140625, 4.613729816593536, 3.0897854125663025, 1.8076362985454193]","[13.71701388888889, 13.761284722222221, 13.634114583333334, 13.897569444444445, 14.108506944444445, 14.132378472222221, 14.013020833333334, 13.850477430555555, 13.723958333333334, 13.672743055555555, 13.501302083333334, 13.272135416666666, 13.203125, 12.698350694444445, 12.659288194444445, 12.98220486111111, 12.75564236111111, 11.80642361111111, 11.423828125, 11.1875, 11.247721354166666, 10.754720052083334, 10.873372395833334, 11.005018446180555, 11.443433973524305, 10.27864540947808, 9.716894361707899, 8.679275724622938, 7.739149941338433, 6.613801956176758, 4.709093305799696, 3.19286619954639, 1.9055948108434677]"
2,meta-llama/Llama-3.1-8B,cy_ccg_train:00559,Gymraeg,"Rydyn ni'n gweithio trwy gyfrwng y Gymraeg a'r Saesneg, felly mae rhuglder yn y Gymraeg (wrth ysgrifennu ac wrth siarad) yn ddymunol, er nad yn hanfodol ar gyfer y swydd hon.","Rydyn ni'n gweithio trwy gyfrwng y Gymraeg a'r Saesneg, felly mae rhuglder yn y Cymraeg (wrth ysgrifennu ac wrth siarad) yn ddymunol, er nad yn hanfodol ar gyfer y swydd hon.",Cymraeg,SM,MS,def_art_fem_sing_noun,"[14.050675675675675, 13.765202702702704, 13.410472972972974, 13.576013513513514, 14.320945945945946, 14.556587837837839, 13.952702702702704, 14.375844594594595, 14.170608108108109, 14.30489864864865, 14.05489864864865, 14.234797297297296, 14.532094594594595, 14.129222972972974, 14.283783783783784, 14.480152027027026, 14.21114864864865, 13.161317567567568, 12.341216216216216, 12.02491554054054, 12.042440878378379, 11.67335304054054, 11.6875, 11.884712837837839, 11.861486486486486, 10.30980785472973, 9.652238175675675, 8.700591216216216, 7.73949535472973, 6.823756862331081, 4.895659163191512, 3.0497749947212838, 1.6253937386177681]","[13.976666666666667, 13.7475, 13.466666666666667, 13.660833333333333, 14.434166666666666, 14.625833333333333, 13.980833333333333, 14.401666666666667, 14.1925, 14.31, 14.085833333333333, 14.2725, 14.596666666666666, 14.1875, 14.256666666666666, 14.512916666666667, 14.283333333333333, 13.238333333333333, 12.422916666666667, 12.125833333333333, 12.11875, 11.781041666666667, 11.7525, 11.896666666666667, 11.84, 10.377552083333333, 9.695625, 8.698177083333333, 7.703776041666667, 6.853255208333334, 4.9740083821614585, 3.114183349609375, 1.672794329325358]"
3,meta-llama/Llama-3.1-8B,cy_ccg_test:00185,gwbwl,Roedd y syniad o greu canolfan iaith yn Nant Gwrtheyrn ddiwedd yr 1970au yn gwbwl anghredadwy ac amhosib.,Roedd y syniad o greu canolfan iaith yn Nant Gwrtheyrn ddiwedd yr 1970au yn cwbwl anghredadwy ac amhosib.,cwbwl,SM,MS,yn_complement_adj_noun,"[13.44186046511628, 12.966569767441861, 12.795058139534884, 13.29796511627907, 14.018895348837209, 14.042151162790697, 13.731104651162791, 13.667151162790697, 13.960755813953488, 14.12936046511628, 14.119186046511627, 14.05813953488372, 14.293604651162791, 13.468023255813954, 13.664244186046512, 13.625726744186046, 13.519622093023257, 12.333938953488373, 11.97420058139535, 10.98546511627907, 11.127906976744185, 10.787699854651162, 10.941269985465116, 10.453488372093023, 10.270712209302326, 9.382108466569768, 8.942201126453488, 8.687886082848838, 7.620730377906977, 6.963208575581396, 5.608256495276163, 4.352545982183412, 2.7408076441565226]","[13.277616279069768, 12.877906976744185, 12.693313953488373, 13.274709302325581, 14.005813953488373, 13.86046511627907, 13.61046511627907, 13.559593023255815, 13.896802325581396, 14.161337209302326, 14.07703488372093, 13.968023255813954, 14.17296511627907, 13.343023255813954, 13.530523255813954, 13.515261627906977, 13.435319767441861, 12.19876453488372, 11.940770348837209, 10.961482558139535, 11.080668604651162, 10.75281613372093, 10.858421148255815, 10.373819040697674, 10.188317587209303, 9.315588662790697, 8.92882449127907, 8.741279069767442, 7.6019031613372094, 6.960664970930233, 5.592994867369186, 4.432942057764808, 2.8151640781136447]"
4,meta-llama/Llama-3.1-8B,cy_ccg_dev:00282,flynyddoedd,"Agwedd bwysig ar yr ymgyrch codi arian i sefydlu coleg statws prifysgol ym Mangor, oedd y cyfraniadau gwirfoddol a wnaed gan bobl lleol, gan gynnwys ffermwyr a chwarelwyr, o'u tâl wythnosol dros nifer o flynyddoedd.","Agwedd bwysig ar yr ymgyrch codi arian i sefydlu coleg statws prifysgol ym Mangor, oedd y cyfraniadau gwirfoddol a wnaed gan bobl lleol, gan gynnwys ffermwyr a chwarelwyr, o'u tâl wythnosol dros nifer o blynyddoedd.",blynyddoedd,SM,L,o,"[14.152472527472527, 14.085851648351648, 13.833104395604396, 14.096153846153847, 14.57967032967033, 14.534340659340659, 14.150755494505495, 14.56662087912088, 14.55631868131868, 14.619505494505495, 14.322802197802197, 13.927197802197803, 14.710164835164836, 14.028846153846153, 13.979739010989011, 14.061813186813186, 13.967032967032967, 13.026098901098901, 12.604739010989011, 12.140796703296703, 11.986607142857142, 11.802884615384615, 11.783653846153847, 11.708962912087912, 11.526270604395604, 10.531164148351648, 9.922819368131869, 9.367681146978022, 8.284061641483516, 7.321349426940247, 5.656878796252576, 3.6884388347248453, 2.1487330538885936]","[14.123641304347826, 14.093070652173912, 13.877038043478262, 14.099864130434783, 14.594429347826088, 14.54008152173913, 14.15319293478261, 14.635190217391305, 14.595108695652174, 14.715353260869565, 14.342391304347826, 13.904891304347826, 14.690896739130435, 13.976902173913043, 13.9296875, 14.060122282608695, 14.008152173913043, 13.020040760869565, 12.573709239130435, 12.12024456521739, 11.980298913043478, 11.792798913043478, 11.76460597826087, 11.677649456521738, 11.466372282608695, 10.505689538043478, 9.907566236413043, 9.375891644021738, 8.344278086786685, 7.4388427734375, 5.730143671450407, 3.7057884879734204, 2.1630220814891485]"
5,meta-llama/Llama-3.1-8B,cy_ccg_train:00071,ganlyniad,"O ganlyniad i'r ddarpariaeth Gymraeg, rwyf wedi derbyn rhagor o brofiadau yn y Gymraeg wrth gymharu â myfyrwyr uniaith Saesneg.","O canlyniad i'r ddarpariaeth Gymraeg, rwyf wedi derbyn rhagor o brofiadau yn y Gymraeg wrth gymharu â myfyrwyr uniaith Saesneg.",canlyniad,SM,L,O,"[13.728587962962964, 13.827546296296296, 13.481481481481481, 13.68923611111111, 14.586805555555555, 14.56712962962963, 14.133680555555555, 14.842592592592593, 14.98263888888889, 14.95138888888889, 14.599537037037036, 14.637731481481481, 15.247685185185185, 14.575231481481481, 14.425347222222221, 14.42650462962963, 14.133101851851851, 13.055555555555555, 12.677662037037036, 12.335069444444445, 12.379050925925926, 12.035300925925926, 11.810185185185185, 11.743055555555555, 11.519675925925926, 10.331145109953704, 9.824363425925926, 9.111979166666666, 8.10474537037037, 6.9575376157407405, 4.91680003978588, 3.7996858667444298, 2.5155874534889504]","[13.603587962962964, 13.886574074074074, 13.507523148148149, 13.71238425925926, 14.561921296296296, 14.445601851851851, 13.917824074074074, 14.74537037037037, 14.797453703703704, 14.847222222222221, 14.45949074074074, 14.565972222222221, 15.104166666666666, 14.26388888888889, 14.125578703703704, 14.173032407407407, 13.945023148148149, 13.061921296296296, 12.71412037037037, 12.274305555555555, 12.217881944444445, 11.887731481481481, 11.758680555555555, 11.685185185185185, 11.43605324074074, 10.24461082175926, 9.846354166666666, 9.151909722222221, 8.13064236111111, 6.995659722222222, 4.991385848433883, 3.9166943585431135, 2.4192753544560186]"
6,meta-llama/Llama-3.1-8B,cy_ccg_dev:00363,chael,"Erbyn 1959 llwyddodd y Blaid i ymladd ugain o seddi a chael 77,571o bleidleisiau yn yr Etholiad Cyffredinol.","Erbyn 1959 llwyddodd y Blaid i ymladd ugain o seddi a cael 77,571o bleidleisiau yn yr Etholiad Cyffredinol.",cael,AM,L,a,"[14.053977272727273, 13.394886363636363, 13.076704545454545, 13.012784090909092, 13.657670454545455, 14.237215909090908, 14.022727272727273, 14.046875, 14.216619318181818, 14.078125, 14.086647727272727, 14.005681818181818, 14.252840909090908, 13.666193181818182, 13.882102272727273, 13.756392045454545, 13.546875, 12.759232954545455, 12.358664772727273, 11.841619318181818, 11.823153409090908, 11.459517045454545, 11.684303977272727, 11.062855113636363, 11.049005681818182, 9.95703125, 9.446555397727273, 9.633877840909092, 8.753240411931818, 7.988619717684659, 6.38675273548473, 4.675614096901634, 3.0266975923018022]","[13.784090909090908, 13.490056818181818, 13.154829545454545, 13.244318181818182, 13.946022727272727, 14.481534090909092, 14.178977272727273, 14.373579545454545, 14.490767045454545, 14.268465909090908, 14.169034090909092, 14.026988636363637, 14.306818181818182, 13.704545454545455, 13.8125, 13.713778409090908, 13.427556818181818, 12.668323863636363, 12.329545454545455, 11.877130681818182, 11.918323863636363, 11.495738636363637, 11.738991477272727, 11.110440340909092, 11.129261363636363, 10.095348011363637, 9.500532670454545, 9.688831676136363, 8.805442116477273, 8.074557217684658, 6.417114951393821, 4.757516340775923, 3.096135833046653]"
7,meta-llama/Llama-3.1-8B,cy_ccg_train:01100,fyw,Nod ychwanegol y Strategaeth hon yw sicrhau bod pob dysgwr a myfyriwr mewn lleoliad cyfrwng Saesneg yn manteisio ar gyfleoedd i ddatblygu sgiliau iaith sy'n cyfoethogi eu profiad o fyw mewn gwlad ddwyieithog.,Nod ychwanegol y Strategaeth hon yw sicrhau bod pob dysgwr a myfyriwr mewn lleoliad cyfrwng Saesneg yn manteisio ar gyfleoedd i ddatblygu sgiliau iaith sy'n cyfoethogi eu profiad o byw mewn gwlad ddwyieithog.,byw,SM,L,o,"[13.730182926829269, 13.642530487804878, 13.721798780487806, 13.761051829268293, 14.31859756097561, 14.478658536585366, 14.269054878048781, 14.888719512195122, 14.834603658536585, 14.808689024390244, 14.323170731707316, 14.257621951219512, 14.698932926829269, 14.085746951219512, 14.170731707317072, 14.058689024390244, 14.060213414634147, 13.182545731707316, 12.600990853658537, 11.829077743902438, 11.695884146341463, 11.505335365853659, 11.501143292682928, 11.476181402439025, 11.401962652439025, 9.897341844512194, 9.353313166920731, 8.713122856326219, 8.006193579697028, 6.900803542718655, 5.177789920713844, 3.4959074811237616, 2.1250451338000413]","[13.762957317073171, 13.731707317073171, 13.778201219512194, 13.809070121951219, 14.34375, 14.464176829268293, 14.298780487804878, 14.922256097560975, 14.810975609756097, 14.754573170731707, 14.321646341463415, 14.234756097560975, 14.660060975609756, 14.058307926829269, 14.137195121951219, 14.053353658536585, 14.085365853658537, 13.215701219512194, 12.647865853658537, 11.848894817073171, 11.70388719512195, 11.496951219512194, 11.505335365853659, 11.509336890243903, 11.403487042682928, 9.948790015243903, 9.384563166920731, 8.755996331935975, 8.043160043111662, 6.942343176864997, 5.237681784280917, 3.5627067379835173, 2.184226915603731]"
8,meta-llama/Llama-3.1-8B,cy_ccg_train:01355,bwnc,"Mae'n bwnc eithaf arbenigol ac yn un technegol iawn, gyda nifer o is-feysydd sy'n aml iawn yn methu â chyfathrebu â'i gilydd.","Mae'n pwnc eithaf arbenigol ac yn un technegol iawn, gyda nifer o is-feysydd sy'n aml iawn yn methu â chyfathrebu â'i gilydd.",pwnc,SM,MS,yn_complement_adj_noun,"[13.49639423076923, 13.65625, 13.528846153846153, 13.90625, 14.37139423076923, 13.741586538461538, 13.492788461538462, 14.247596153846153, 14.350961538461538, 14.195913461538462, 14.283653846153847, 13.915865384615385, 13.942307692307692, 13.084134615384615, 13.23798076923077, 13.604567307692308, 13.510817307692308, 12.788461538461538, 12.5859375, 12.012620192307692, 11.857572115384615, 12.0703125, 11.432692307692308, 11.515024038461538, 11.412560096153847, 10.327373798076923, 10.020282451923077, 9.53369140625, 8.460336538461538, 7.304011418269231, 5.657921424278846, 4.130858201246995, 2.379125787661626]","[13.524038461538462, 13.717548076923077, 13.640625, 13.997596153846153, 14.389423076923077, 13.679086538461538, 13.403846153846153, 14.165865384615385, 14.228365384615385, 14.176682692307692, 14.207932692307692, 13.78125, 13.82451923076923, 13.122596153846153, 13.334134615384615, 13.67548076923077, 13.576923076923077, 12.810096153846153, 12.59014423076923, 12.032451923076923, 11.861177884615385, 12.128004807692308, 11.432692307692308, 11.50420673076923, 11.389423076923077, 10.32587139423077, 9.998948317307692, 9.488544170673077, 8.498328575721153, 7.387319711538462, 5.7216045673076925, 4.1946551983173075, 2.4938005759165836]"
9,meta-llama/Llama-3.1-8B,cy_ccg_test:00718,nghell,Newydd fod yn gwylio'r ffilm yng nghell b ym Mlaenau Ffestiniog.,Newydd fod yn gwylio'r ffilm yng cell b ym Mlaenau Ffestiniog.,cell,NM,L,yng,"[14.106481481481481, 13.791666666666666, 13.722222222222221, 14.157407407407407, 14.341435185185185, 14.648148148148149, 14.280092592592593, 14.090277777777779, 14.215277777777779, 14.625, 14.377314814814815, 14.055555555555555, 14.23611111111111, 13.814814814814815, 13.652777777777779, 13.6875, 13.421296296296296, 12.498842592592593, 11.840277777777779, 11.440393518518519, 11.007523148148149, 10.887731481481481, 10.734953703703704, 10.62962962962963, 10.556712962962964, 9.362268518518519, 8.700231481481481, 8.200231481481481, 7.637152777777778, 6.886284722222222, 5.936722366898148, 5.147044994212963, 3.99770270453559]","[13.731971153846153, 13.366586538461538, 13.350961538461538, 13.990384615384615, 14.275240384615385, 14.319711538461538, 14.002403846153847, 13.899038461538462, 14.05048076923077, 14.334134615384615, 14.110576923076923, 13.875, 13.973557692307692, 13.530048076923077, 13.354567307692308, 13.37860576923077, 13.06610576923077, 12.056490384615385, 11.502403846153847, 11.186298076923077, 10.90264423076923, 10.877403846153847, 10.868990384615385, 10.77764423076923, 10.579326923076923, 9.46875, 8.798076923076923, 8.26201923076923, 7.745793269230769, 7.051081730769231, 6.229881873497596, 5.398399939903846, 4.2990725590632515]"
