index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,incorrect_form_mut_type,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,microsoft/phi-2,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 0
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         pasio
incorrect_sentence         Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,none,4.57777089921255,4.596326555524554,0.018555656312003954,"[10.741071428571429, 9.933035714285714, 10.76016865079365, 11.925285218253968, 12.496961805555555, 12.573970734126984, 12.643353174603174, 12.683035714285714, 12.756572420634921, 13.092044890873016, 12.899026537698413, 12.835348462301587, 12.874503968253968, 12.74285404265873, 12.664341517857142, 12.714905753968255, 12.82679191468254, 12.728066096230158, 12.78865947420635, 12.922030009920634, 12.703497023809524, 12.909078931051587, 12.945242745535714, 12.61261470734127, 12.992582775297619, 12.51960681733631, 12.47011990017361, 11.56405276343936, 10.648354000515408, 10.628214881533669, 10.103906589841086, 11.18081693800669, 4.57777089921255]","[10.734623015873016, 9.921440972222221, 10.747085813492063, 11.891493055555555, 12.457186259920634, 12.531125992063492, 12.57576884920635, 12.623170882936508, 12.695281498015873, 13.044053819444445, 12.86368427579365, 12.791542658730158, 12.851748511904763, 12.721090649801587, 12.642826140873016, 12.67404513888889, 12.757626488095237, 12.659102182539682, 12.735336061507937, 12.898809523809524, 12.687050471230158, 12.922588045634921, 12.969044518849206, 12.597520616319445, 12.942320808531745, 12.410413953993055, 12.330584813678076, 11.463653685554625, 10.592338350084093, 10.555578201536148, 10.004941255327255, 10.99781576792399, 4.596326555524554]"
1,microsoft/phi-2,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 1
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         basio
incorrect_sentence         Oedd y fflam yn cael ei basio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 1, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",basio,"Oedd y fflam yn cael ei basio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,SM,4.57777089921255,4.511813693576389,-0.06595720563616059,"[10.741071428571429, 9.933035714285714, 10.76016865079365, 11.925285218253968, 12.496961805555555, 12.573970734126984, 12.643353174603174, 12.683035714285714, 12.756572420634921, 13.092044890873016, 12.899026537698413, 12.835348462301587, 12.874503968253968, 12.74285404265873, 12.664341517857142, 12.714905753968255, 12.82679191468254, 12.728066096230158, 12.78865947420635, 12.922030009920634, 12.703497023809524, 12.909078931051587, 12.945242745535714, 12.61261470734127, 12.992582775297619, 12.51960681733631, 12.47011990017361, 11.56405276343936, 10.648354000515408, 10.628214881533669, 10.103906589841086, 11.18081693800669, 4.57777089921255]","[10.73983134920635, 9.897879464285714, 10.711805555555555, 11.843656994047619, 12.417131696428571, 12.480902777777779, 12.52015128968254, 12.550657242063492, 12.630208333333334, 12.941685267857142, 12.744233630952381, 12.682880704365079, 12.724330357142858, 12.584356398809524, 12.547030009920634, 12.610615079365079, 12.703093998015873, 12.588278149801587, 12.639012896825397, 12.79265873015873, 12.604817708333334, 12.803160652281745, 12.850372798859127, 12.520806206597221, 12.837518601190476, 12.314470563616071, 12.2341550796751, 11.344406370132688, 10.489929744175502, 10.498392740885416, 9.991973581768217, 11.25714439815945, 4.511813693576389]"
2,microsoft/phi-2,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 2
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                        mhasio
incorrect_sentence         Oedd y fflam yn cael ei mhasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 2, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",mhasio,"Oedd y fflam yn cael ei mhasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,NM,4.57777089921255,4.587747097015381,0.009976197802830988,"[10.741071428571429, 9.933035714285714, 10.76016865079365, 11.925285218253968, 12.496961805555555, 12.573970734126984, 12.643353174603174, 12.683035714285714, 12.756572420634921, 13.092044890873016, 12.899026537698413, 12.835348462301587, 12.874503968253968, 12.74285404265873, 12.664341517857142, 12.714905753968255, 12.82679191468254, 12.728066096230158, 12.78865947420635, 12.922030009920634, 12.703497023809524, 12.909078931051587, 12.945242745535714, 12.61261470734127, 12.992582775297619, 12.51960681733631, 12.47011990017361, 11.56405276343936, 10.648354000515408, 10.628214881533669, 10.103906589841086, 11.18081693800669, 4.57777089921255]","[10.735595703125, 9.896240234375, 10.71807861328125, 11.831146240234375, 12.384979248046875, 12.45989990234375, 12.492919921875, 12.525970458984375, 12.57965087890625, 12.931365966796875, 12.73797607421875, 12.666015625, 12.70733642578125, 12.580413818359375, 12.503631591796875, 12.53118896484375, 12.61767578125, 12.50323486328125, 12.561126708984375, 12.725753784179688, 12.512649536132812, 12.73748779296875, 12.762504577636719, 12.379539489746094, 12.701217651367188, 12.192520141601562, 12.108525276184082, 11.2059485912323, 10.267923593521118, 10.242187023162842, 9.692248549312353, 10.696150436997414, 4.587747097015381]"
3,microsoft/phi-2,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 3
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           pob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 3, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,none,4.57777089921255,4.4952308900894655,-0.08254000912308435,"[10.741071428571429, 9.933035714285714, 10.76016865079365, 11.925285218253968, 12.496961805555555, 12.573970734126984, 12.643353174603174, 12.683035714285714, 12.756572420634921, 13.092044890873016, 12.899026537698413, 12.835348462301587, 12.874503968253968, 12.74285404265873, 12.664341517857142, 12.714905753968255, 12.82679191468254, 12.728066096230158, 12.78865947420635, 12.922030009920634, 12.703497023809524, 12.909078931051587, 12.945242745535714, 12.61261470734127, 12.992582775297619, 12.51960681733631, 12.47011990017361, 11.56405276343936, 10.648354000515408, 10.628214881533669, 10.103906589841086, 11.18081693800669, 4.57777089921255]","[10.742691532258064, 9.96194556451613, 10.823651713709678, 12.023941532258064, 12.631111391129032, 12.706653225806452, 12.774256552419354, 12.824061239919354, 12.904076360887096, 13.251260080645162, 13.053112399193548, 12.972561743951612, 13.021232358870968, 12.934302545362904, 12.872574344758064, 12.956495715725806, 13.05405745967742, 12.93080582157258, 13.00261466733871, 13.080093876008064, 12.839638986895162, 13.064264112903226, 13.074966922883064, 12.72854712701613, 13.079715851814516, 12.56002906060988, 12.566948675340221, 11.663313342678931, 10.707929518914991, 10.822552219513923, 10.289654958632685, 11.158896923065186, 4.4952308900894655]"
4,microsoft/phi-2,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 4
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           bob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 4, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",bob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym bob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,SM,4.57777089921255,4.644878449987193,0.06710755077464281,"[10.741071428571429, 9.933035714285714, 10.76016865079365, 11.925285218253968, 12.496961805555555, 12.573970734126984, 12.643353174603174, 12.683035714285714, 12.756572420634921, 13.092044890873016, 12.899026537698413, 12.835348462301587, 12.874503968253968, 12.74285404265873, 12.664341517857142, 12.714905753968255, 12.82679191468254, 12.728066096230158, 12.78865947420635, 12.922030009920634, 12.703497023809524, 12.909078931051587, 12.945242745535714, 12.61261470734127, 12.992582775297619, 12.51960681733631, 12.47011990017361, 11.56405276343936, 10.648354000515408, 10.628214881533669, 10.103906589841086, 11.18081693800669, 4.57777089921255]","[10.74359631147541, 9.990522540983607, 10.863857581967213, 12.096631659836065, 12.68045594262295, 12.805199795081966, 12.893154456967213, 12.913230020491802, 12.999263575819672, 13.329597848360656, 13.122566598360656, 13.054975665983607, 13.127913678278688, 13.054287269467213, 13.004322489754099, 13.07117699795082, 13.195728739754099, 13.120069159836065, 13.195696721311476, 13.293561091188524, 13.061171234631148, 13.296394723360656, 13.326596119364755, 13.00084448642418, 13.33616162909836, 12.816552334144466, 12.822223600794057, 11.934522284836065, 11.019840240478516, 11.08543833748239, 10.68295329125201, 11.767524609800246, 4.644878449987193]"
5,microsoft/phi-2,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 5
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                          phob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 5, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",phob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym phob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,AM,4.57777089921255,4.5745726554624495,-0.00319824375010036,"[10.741071428571429, 9.933035714285714, 10.76016865079365, 11.925285218253968, 12.496961805555555, 12.573970734126984, 12.643353174603174, 12.683035714285714, 12.756572420634921, 13.092044890873016, 12.899026537698413, 12.835348462301587, 12.874503968253968, 12.74285404265873, 12.664341517857142, 12.714905753968255, 12.82679191468254, 12.728066096230158, 12.78865947420635, 12.922030009920634, 12.703497023809524, 12.909078931051587, 12.945242745535714, 12.61261470734127, 12.992582775297619, 12.51960681733631, 12.47011990017361, 11.56405276343936, 10.648354000515408, 10.628214881533669, 10.103906589841086, 11.18081693800669, 4.57777089921255]","[10.741683467741936, 9.953314012096774, 10.795173891129032, 11.993668094758064, 12.577715473790322, 12.682900705645162, 12.75387474798387, 12.7802734375, 12.856949344758064, 13.206495715725806, 13.017861643145162, 12.944776965725806, 12.980752268145162, 12.88152091733871, 12.824061239919354, 12.904485887096774, 13.015372983870968, 12.930396295362904, 13.011498235887096, 13.099341607862904, 12.838079637096774, 13.05172631048387, 13.038479712701612, 12.725180349042338, 13.082527406754032, 12.616935483870968, 12.647998440650202, 11.686353375834804, 10.78165691129623, 10.956686696698588, 10.52262145088565, 11.661792908945392, 4.5745726554624495]"
6,microsoft/phi-2,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 6
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                       cydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 6, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,none,4.57777089921255,4.648033020988343,0.0702621217757935,"[10.741071428571429, 9.933035714285714, 10.76016865079365, 11.925285218253968, 12.496961805555555, 12.573970734126984, 12.643353174603174, 12.683035714285714, 12.756572420634921, 13.092044890873016, 12.899026537698413, 12.835348462301587, 12.874503968253968, 12.74285404265873, 12.664341517857142, 12.714905753968255, 12.82679191468254, 12.728066096230158, 12.78865947420635, 12.922030009920634, 12.703497023809524, 12.909078931051587, 12.945242745535714, 12.61261470734127, 12.992582775297619, 12.51960681733631, 12.47011990017361, 11.56405276343936, 10.648354000515408, 10.628214881533669, 10.103906589841086, 11.18081693800669, 4.57777089921255]","[10.74045138888889, 9.989583333333334, 10.820684523809524, 11.972284226190476, 12.540860615079366, 12.580977182539682, 12.590959821428571, 12.635664682539682, 12.684027777777779, 13.009517609126984, 12.83420138888889, 12.799107142857142, 12.821428571428571, 12.701807415674603, 12.59725322420635, 12.638795882936508, 12.71227058531746, 12.59396701388889, 12.65562996031746, 12.73499503968254, 12.508990575396826, 12.680594308035714, 12.727639818948413, 12.40815662202381, 12.846687437996032, 12.399970160590279, 12.30347648499504, 11.392658294193328, 10.487934233650329, 10.547826494489398, 10.222001302809943, 11.46199887896341, 4.648033020988343]"
7,microsoft/phi-2,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 7
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                     nghydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 7, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",nghydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i nghydfynd â'r ras.",SM,L,i,NM,4.57777089921255,4.564174175262451,-0.0135967239500987,"[10.741071428571429, 9.933035714285714, 10.76016865079365, 11.925285218253968, 12.496961805555555, 12.573970734126984, 12.643353174603174, 12.683035714285714, 12.756572420634921, 13.092044890873016, 12.899026537698413, 12.835348462301587, 12.874503968253968, 12.74285404265873, 12.664341517857142, 12.714905753968255, 12.82679191468254, 12.728066096230158, 12.78865947420635, 12.922030009920634, 12.703497023809524, 12.909078931051587, 12.945242745535714, 12.61261470734127, 12.992582775297619, 12.51960681733631, 12.47011990017361, 11.56405276343936, 10.648354000515408, 10.628214881533669, 10.103906589841086, 11.18081693800669, 4.57777089921255]","[10.7445068359375, 9.97686767578125, 10.79571533203125, 11.928802490234375, 12.52001953125, 12.589599609375, 12.61224365234375, 12.65045166015625, 12.69921875, 13.0328369140625, 12.817047119140625, 12.734710693359375, 12.769927978515625, 12.62933349609375, 12.543914794921875, 12.60687255859375, 12.707489013671875, 12.614013671875, 12.674041748046875, 12.7857666015625, 12.55291748046875, 12.772254943847656, 12.820091247558594, 12.451126098632812, 12.826042175292969, 12.417280197143555, 12.354406356811523, 11.482287168502808, 10.543981373310089, 10.614611506462097, 10.088373057544231, 11.140761077404022, 4.564174175262451]"
8,microsoft/phi-2,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 8
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                      chydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 8, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i chydfynd â'r ras.",SM,L,i,AM,4.57777089921255,4.689058334108383,0.11128743489583304,"[10.741071428571429, 9.933035714285714, 10.76016865079365, 11.925285218253968, 12.496961805555555, 12.573970734126984, 12.643353174603174, 12.683035714285714, 12.756572420634921, 13.092044890873016, 12.899026537698413, 12.835348462301587, 12.874503968253968, 12.74285404265873, 12.664341517857142, 12.714905753968255, 12.82679191468254, 12.728066096230158, 12.78865947420635, 12.922030009920634, 12.703497023809524, 12.909078931051587, 12.945242745535714, 12.61261470734127, 12.992582775297619, 12.51960681733631, 12.47011990017361, 11.56405276343936, 10.648354000515408, 10.628214881533669, 10.103906589841086, 11.18081693800669, 4.57777089921255]","[10.741443452380953, 9.941034226190476, 10.763082837301587, 11.933965773809524, 12.510478670634921, 12.592757936507937, 12.65687003968254, 12.697854662698413, 12.785249255952381, 13.119853670634921, 12.925502232142858, 12.859250992063492, 12.923859126984127, 12.806361607142858, 12.72429935515873, 12.776754712301587, 12.878131200396826, 12.793929811507937, 12.855282738095237, 12.97677951388889, 12.741908482142858, 12.967982700892858, 13.01385013640873, 12.6806640625, 13.151064918154763, 12.735675145709326, 12.677275158110119, 11.764790610661583, 10.846301669166202, 10.881243145655072, 10.394012322501531, 11.587208399696955, 4.689058334108383]"
9,microsoft/phi-2,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 9
item                                                                       3
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            cael
lemma                                                                   cael
mutation_type                                                          no_AM
trigger_type                                                     no_mutation
specific_trigger                                                 no_mutation
token_id                                                                 5.0
prev_word                                                                 yn
incorrect_form                                                         chael
incorrect_sentence         Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 9, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,AM,4.57777089921255,4.65321519639757,0.07544429718501977,"[10.741071428571429, 9.933035714285714, 10.76016865079365, 11.925285218253968, 12.496961805555555, 12.573970734126984, 12.643353174603174, 12.683035714285714, 12.756572420634921, 13.092044890873016, 12.899026537698413, 12.835348462301587, 12.874503968253968, 12.74285404265873, 12.664341517857142, 12.714905753968255, 12.82679191468254, 12.728066096230158, 12.78865947420635, 12.922030009920634, 12.703497023809524, 12.909078931051587, 12.945242745535714, 12.61261470734127, 12.992582775297619, 12.51960681733631, 12.47011990017361, 11.56405276343936, 10.648354000515408, 10.628214881533669, 10.103906589841086, 11.18081693800669, 4.57777089921255]","[10.738839285714286, 9.961123511904763, 10.781187996031745, 11.892733134920634, 12.479693700396826, 12.560887896825397, 12.633990575396826, 12.694010416666666, 12.764105902777779, 13.068483382936508, 12.882998511904763, 12.840029761904763, 12.893477182539682, 12.773111979166666, 12.712425595238095, 12.751426091269842, 12.830853174603174, 12.722733754960318, 12.77508060515873, 12.897119915674603, 12.638873387896826, 12.916139632936508, 12.955721416170634, 12.570141989087302, 12.941902281746032, 12.429334852430555, 12.377042255704366, 11.463968912760416, 10.57197498139881, 10.565597049773686, 10.076946845130315, 11.244458410474989, 4.65321519639757]"
