index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of item                                                                  0
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                     phasio
lemma                                                             pasio
mutation_type                                                        AM
trigger_type                                                          L
specific_trigger                                                     ei
token_id                                                            7.0
prev_word                                                            ei
incorrect_form                                                    pasio
incorrect_sentence    Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                             1
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,2.7705616457708953,2.6198366757096916,-0.15072497006120367,"[11.751077586206897, 11.758620689655173, 12.964439655172415, 12.967672413793103, 12.979525862068966, 12.994612068965518, 13.007543103448276, 13.019396551724139, 12.997844827586206, 12.99676724137931, 12.979525862068966, 12.980603448275861, 13.006465517241379, 12.988146551724139, 12.966594827586206, 12.969827586206897, 12.923491379310345, 12.811422413793103, 12.74676724137931, 12.627155172413794, 12.57219827586207, 12.473060344827585, 12.39655172413793, 12.234913793103448, 12.18426724137931, 11.876077586206897, 11.679956896551724, 11.398706896551724, 11.178340517241379, 10.96551724137931, 10.242456896551724, 9.1875, 2.7705616457708953]","[11.751077586206897, 11.758620689655173, 12.963362068965518, 12.96875, 12.979525862068966, 12.985991379310345, 12.998922413793103, 13.020474137931034, 12.99676724137931, 12.989224137931034, 12.977370689655173, 12.981681034482758, 13.007543103448276, 12.994612068965518, 12.974137931034482, 12.969827586206897, 12.92780172413793, 12.8125, 12.743534482758621, 12.632543103448276, 12.57219827586207, 12.489224137931034, 12.411637931034482, 12.244612068965518, 12.195043103448276, 11.904094827586206, 11.696120689655173, 11.408943965517242, 11.183189655172415, 10.955818965517242, 10.191271551724139, 9.123653017241379, 2.6198366757096916]"
1,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of item                                                                  1
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       mhob
lemma                                                               pob
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                     ym
token_id                                                           15.0
prev_word                                                            ym
incorrect_form                                                      pob
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 1, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,2.7705616457708953,2.983418247155976,0.21285660138508078,"[11.751077586206897, 11.758620689655173, 12.964439655172415, 12.967672413793103, 12.979525862068966, 12.994612068965518, 13.007543103448276, 13.019396551724139, 12.997844827586206, 12.99676724137931, 12.979525862068966, 12.980603448275861, 13.006465517241379, 12.988146551724139, 12.966594827586206, 12.969827586206897, 12.923491379310345, 12.811422413793103, 12.74676724137931, 12.627155172413794, 12.57219827586207, 12.473060344827585, 12.39655172413793, 12.234913793103448, 12.18426724137931, 11.876077586206897, 11.679956896551724, 11.398706896551724, 11.178340517241379, 10.96551724137931, 10.242456896551724, 9.1875, 2.7705616457708953]","[11.75219298245614, 11.758771929824562, 12.985745614035087, 12.992324561403509, 13.005482456140351, 13.015350877192983, 13.027412280701755, 13.037280701754385, 13.014254385964913, 13.010964912280702, 12.99780701754386, 13.00219298245614, 13.029605263157896, 13.005482456140351, 12.987938596491228, 12.990131578947368, 12.946271929824562, 12.831140350877194, 12.775219298245615, 12.648026315789474, 12.589912280701755, 12.5, 12.426535087719298, 12.25, 12.197368421052632, 11.883771929824562, 11.68640350877193, 11.40844298245614, 11.194627192982455, 10.985745614035087, 10.263706140350877, 9.234375, 2.983418247155976]"
2,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of item                                                                  2
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gydfynd
lemma                                                           cydfynd
mutation_type                                                        SM
trigger_type                                                          L
specific_trigger                                                      i
token_id                                                           25.0
prev_word                                                             i
incorrect_form                                                  cydfynd
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 2, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,2.7705616457708953,2.820139029930378,0.04957738415948265,"[11.751077586206897, 11.758620689655173, 12.964439655172415, 12.967672413793103, 12.979525862068966, 12.994612068965518, 13.007543103448276, 13.019396551724139, 12.997844827586206, 12.99676724137931, 12.979525862068966, 12.980603448275861, 13.006465517241379, 12.988146551724139, 12.966594827586206, 12.969827586206897, 12.923491379310345, 12.811422413793103, 12.74676724137931, 12.627155172413794, 12.57219827586207, 12.473060344827585, 12.39655172413793, 12.234913793103448, 12.18426724137931, 11.876077586206897, 11.679956896551724, 11.398706896551724, 11.178340517241379, 10.96551724137931, 10.242456896551724, 9.1875, 2.7705616457708953]","[11.751077586206897, 11.757543103448276, 12.964439655172415, 12.96875, 12.97844827586207, 12.992456896551724, 13.006465517241379, 13.018318965517242, 12.997844827586206, 12.997844827586206, 12.979525862068966, 12.980603448275861, 13.00323275862069, 12.983836206896552, 12.95905172413793, 12.966594827586206, 12.921336206896552, 12.81573275862069, 12.75, 12.627155172413794, 12.57219827586207, 12.474137931034482, 12.397629310344827, 12.231681034482758, 12.179956896551724, 11.879310344827585, 11.682112068965518, 11.403556034482758, 11.183189655172415, 10.968211206896552, 10.242456896551724, 9.19342672413793, 2.820139029930378]"
3,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of item                                                                  3
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       cael
lemma                                                              cael
mutation_type                                                     no_AM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            5.0
prev_word                                                            yn
incorrect_form                                                    chael
incorrect_sentence    Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                             1
Name: 3, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,2.7705616457708953,2.991352410152041,0.22079076438114553,"[11.751077586206897, 11.758620689655173, 12.964439655172415, 12.967672413793103, 12.979525862068966, 12.994612068965518, 13.007543103448276, 13.019396551724139, 12.997844827586206, 12.99676724137931, 12.979525862068966, 12.980603448275861, 13.006465517241379, 12.988146551724139, 12.966594827586206, 12.969827586206897, 12.923491379310345, 12.811422413793103, 12.74676724137931, 12.627155172413794, 12.57219827586207, 12.473060344827585, 12.39655172413793, 12.234913793103448, 12.18426724137931, 11.876077586206897, 11.679956896551724, 11.398706896551724, 11.178340517241379, 10.96551724137931, 10.242456896551724, 9.1875, 2.7705616457708953]","[11.751077586206897, 11.757543103448276, 12.962284482758621, 12.96551724137931, 12.977370689655173, 12.991379310344827, 13.00323275862069, 13.019396551724139, 12.994612068965518, 12.987068965517242, 12.979525862068966, 12.982758620689655, 13.010775862068966, 12.985991379310345, 12.963362068965518, 12.95905172413793, 12.920258620689655, 12.8125, 12.744612068965518, 12.625, 12.563577586206897, 12.470905172413794, 12.397629310344827, 12.234913793103448, 12.188577586206897, 11.876077586206897, 11.688577586206897, 11.40948275862069, 11.184806034482758, 10.97844827586207, 10.282866379310345, 9.249461206896552, 2.991352410152041]"
4,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of item                                                                  4
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gymuned
lemma                                                           cymuned
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                      num_fem_sing_noun
token_id                                                           10.0
prev_word                                                            un
incorrect_form                                                  cymuned
incorrect_sentence    Oedd y fflam yn cael ei phasio o un cymuned i'...
num_diffs                                                             1
Name: 4, dtype: object>",0,gymuned,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cymuned,"Oedd y fflam yn cael ei phasio o un cymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",SM,MS,num_fem_sing_noun,2.7705616457708953,2.691888550580558,-0.07867309519033716,"[11.751077586206897, 11.758620689655173, 12.964439655172415, 12.967672413793103, 12.979525862068966, 12.994612068965518, 13.007543103448276, 13.019396551724139, 12.997844827586206, 12.99676724137931, 12.979525862068966, 12.980603448275861, 13.006465517241379, 12.988146551724139, 12.966594827586206, 12.969827586206897, 12.923491379310345, 12.811422413793103, 12.74676724137931, 12.627155172413794, 12.57219827586207, 12.473060344827585, 12.39655172413793, 12.234913793103448, 12.18426724137931, 11.876077586206897, 11.679956896551724, 11.398706896551724, 11.178340517241379, 10.96551724137931, 10.242456896551724, 9.1875, 2.7705616457708953]","[11.75, 11.75635593220339, 12.944915254237289, 12.945974576271187, 12.959745762711865, 12.970338983050848, 12.984110169491526, 12.99364406779661, 12.971398305084746, 12.967161016949152, 12.960805084745763, 12.962923728813559, 12.981991525423728, 12.961864406779661, 12.938559322033898, 12.95021186440678, 12.903601694915254, 12.783898305084746, 12.716101694915254, 12.595338983050848, 12.539194915254237, 12.444915254237289, 12.371822033898304, 12.197033898305085, 12.145127118644067, 11.83156779661017, 11.638771186440678, 11.358580508474576, 11.119173728813559, 10.92584745762712, 10.180614406779661, 9.123940677966102, 2.691888550580558]"
5,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of item                                                                  5
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                    nghanol
lemma                                                             canol
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                    yng
token_id                                                            9.0
prev_word                                                           yng
incorrect_form                                                    canol
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng canol dinas Ba...
num_diffs                                                             1
Name: 5, dtype: object>",1,nghanol,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",canol,"O'n ni yn rhan o'r ras oedd yng canol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",NM,L,yng,3.433112564086914,3.6819913435955436,0.24887877950862958,"[11.75, 11.76375, 13.1475, 13.15375, 13.175, 13.1725, 13.175, 13.18375, 13.20125, 13.2025, 13.19, 13.19, 13.19125, 13.1675, 13.16375, 13.14, 13.12, 13.03875, 12.99125, 12.925, 12.8775, 12.83125, 12.7725, 12.6175, 12.53125, 12.25125, 12.02375, 11.8025, 11.530625, 11.309375, 10.698125, 9.488125, 3.433112564086914]","[11.75, 11.76530612244898, 13.177295918367347, 13.184948979591837, 13.201530612244898, 13.198979591836734, 13.201530612244898, 13.209183673469388, 13.23469387755102, 13.224489795918368, 13.215561224489797, 13.220663265306122, 13.220663265306122, 13.204081632653061, 13.200255102040817, 13.170918367346939, 13.14795918367347, 13.066326530612244, 13.02295918367347, 12.957908163265307, 12.910714285714286, 12.869897959183673, 12.798469387755102, 12.64795918367347, 12.5625, 12.283163265306122, 12.059948979591837, 11.834183673469388, 11.547831632653061, 11.35204081632653, 10.779974489795919, 9.598852040816327, 3.6819913435955436]"
6,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of item                                                                  6
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                       rhan
lemma                                                              rhan
mutation_type                                                     no_SM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            4.0
prev_word                                                            yn
incorrect_form                                                      ran
incorrect_sentence    O'n ni yn ran o'r ras oedd yng nghanol dinas B...
num_diffs                                                             1
Name: 6, dtype: object>",1,rhan,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",ran,"O'n ni yn ran o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",no_SM,no_mutation,no_mutation,3.433112564086914,3.5986009325299944,0.16548836844308035,"[11.75, 11.76375, 13.1475, 13.15375, 13.175, 13.1725, 13.175, 13.18375, 13.20125, 13.2025, 13.19, 13.19, 13.19125, 13.1675, 13.16375, 13.14, 13.12, 13.03875, 12.99125, 12.925, 12.8775, 12.83125, 12.7725, 12.6175, 12.53125, 12.25125, 12.02375, 11.8025, 11.530625, 11.309375, 10.698125, 9.488125, 3.433112564086914]","[11.75, 11.764030612244898, 13.176020408163266, 13.184948979591837, 13.204081632653061, 13.200255102040817, 13.205357142857142, 13.213010204081632, 13.238520408163266, 13.237244897959183, 13.221938775510203, 13.22576530612245, 13.22704081632653, 13.200255102040817, 13.198979591836734, 13.174744897959183, 13.158163265306122, 13.08673469387755, 13.021683673469388, 12.95280612244898, 12.90561224489796, 12.860969387755102, 12.798469387755102, 12.654336734693878, 12.553571428571429, 12.269132653061224, 12.043367346938776, 11.830994897959183, 11.560586734693878, 11.348214285714286, 10.753188775510203, 9.54719387755102, 3.5986009325299944]"
7,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of item                                                                  7
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                     wahodd
lemma                                                           gwahodd
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 direct_object_mutation
token_id                                                           15.0
prev_word                                                           nhw
incorrect_form                                                  gwahodd
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
num_diffs                                                             1
Name: 7, dtype: object>",1,wahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",gwahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw gwahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",SM,MS,direct_object_mutation,3.433112564086914,3.354659959381702,-0.07845260470521209,"[11.75, 11.76375, 13.1475, 13.15375, 13.175, 13.1725, 13.175, 13.18375, 13.20125, 13.2025, 13.19, 13.19, 13.19125, 13.1675, 13.16375, 13.14, 13.12, 13.03875, 12.99125, 12.925, 12.8775, 12.83125, 12.7725, 12.6175, 12.53125, 12.25125, 12.02375, 11.8025, 11.530625, 11.309375, 10.698125, 9.488125, 3.433112564086914]","[11.75, 11.762254901960784, 13.117647058823529, 13.125, 13.144607843137255, 13.14093137254902, 13.14093137254902, 13.153186274509803, 13.166666666666666, 13.169117647058824, 13.158088235294118, 13.160539215686274, 13.167892156862745, 13.136029411764707, 13.14093137254902, 13.110294117647058, 13.084558823529411, 13.009803921568627, 12.963235294117647, 12.893382352941176, 12.844362745098039, 12.797794117647058, 12.736519607843137, 12.573529411764707, 12.486519607843137, 12.21078431372549, 11.968137254901961, 11.747549019607844, 11.465073529411764, 11.26593137254902, 10.661151960784315, 9.456495098039216, 3.354659959381702]"
8,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of item                                                                  8
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                       gred
lemma                                                              cred
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                  def_art_fem_sing_noun
token_id                                                            2.0
prev_word                                                             Y
incorrect_form                                                     cred
incorrect_sentence    Y cred yw bod y system bresennol â chapasiti i...
num_diffs                                                             1
Name: 8, dtype: object>",2,gred,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",cred,"Y cred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,def_art_fem_sing_noun,4.034786101310484,4.386136881510416,0.35135078019993227,"[11.75, 11.754032258064516, 13.963709677419354, 13.97983870967742, 13.993951612903226, 13.993951612903226, 13.985887096774194, 13.985887096774194, 13.977822580645162, 13.965725806451612, 13.953629032258064, 13.94758064516129, 13.963709677419354, 13.92741935483871, 13.919354838709678, 13.949596774193548, 13.889112903225806, 13.86491935483871, 13.745967741935484, 13.649193548387096, 13.596774193548388, 13.566532258064516, 13.483870967741936, 13.34475806451613, 13.276209677419354, 13.050403225806452, 12.836693548387096, 12.514112903225806, 12.16633064516129, 12.035282258064516, 11.535282258064516, 10.610887096774194, 4.034786101310484]","[11.75, 11.754166666666666, 14.035416666666666, 14.05, 14.064583333333333, 14.070833333333333, 14.064583333333333, 14.05, 14.04375, 14.027083333333334, 14.00625, 14.0125, 14.04375, 13.995833333333334, 13.98125, 14.020833333333334, 13.95625, 13.925, 13.827083333333333, 13.752083333333333, 13.691666666666666, 13.664583333333333, 13.6, 13.45625, 13.383333333333333, 13.14375, 12.945833333333333, 12.622916666666667, 12.327083333333333, 12.136458333333334, 11.691666666666666, 10.73125, 4.386136881510416]"
9,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of item                                                                  9
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                  bresennol
lemma                                                         presennol
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 fem_sing_noun_modifier
token_id                                                            7.0
prev_word                                                        system
incorrect_form                                                presennol
incorrect_sentence    Y gred yw bod y system presennol â chapasiti i...
num_diffs                                                             1
Name: 9, dtype: object>",2,bresennol,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",presennol,"Y gred yw bod y system presennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,fem_sing_noun_modifier,4.034786101310484,4.168098958333333,0.13331285702284923,"[11.75, 11.754032258064516, 13.963709677419354, 13.97983870967742, 13.993951612903226, 13.993951612903226, 13.985887096774194, 13.985887096774194, 13.977822580645162, 13.965725806451612, 13.953629032258064, 13.94758064516129, 13.963709677419354, 13.92741935483871, 13.919354838709678, 13.949596774193548, 13.889112903225806, 13.86491935483871, 13.745967741935484, 13.649193548387096, 13.596774193548388, 13.566532258064516, 13.483870967741936, 13.34475806451613, 13.276209677419354, 13.050403225806452, 12.836693548387096, 12.514112903225806, 12.16633064516129, 12.035282258064516, 11.535282258064516, 10.610887096774194, 4.034786101310484]","[11.75, 11.75625, 14.04375, 14.05625, 14.06875, 14.0625, 14.052083333333334, 14.054166666666667, 14.041666666666666, 14.045833333333333, 14.035416666666666, 14.0375, 14.045833333333333, 14.004166666666666, 14.004166666666666, 14.027083333333334, 13.970833333333333, 13.947916666666666, 13.835416666666667, 13.735416666666667, 13.68125, 13.641666666666667, 13.564583333333333, 13.427083333333334, 13.379166666666666, 13.139583333333333, 12.935416666666667, 12.610416666666667, 12.270833333333334, 12.102083333333333, 11.592708333333333, 10.653645833333334, 4.168098958333333]"
