index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,incorrect_form_mut_type,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 0
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         pasio
incorrect_sentence         Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,none,2.7705616457708953,2.6198366757096916,-0.15072497006120367,"[11.751077586206897, 11.758620689655173, 12.964439655172415, 12.967672413793103, 12.979525862068966, 12.994612068965518, 13.007543103448276, 13.019396551724139, 12.997844827586206, 12.99676724137931, 12.979525862068966, 12.980603448275861, 13.006465517241379, 12.988146551724139, 12.966594827586206, 12.969827586206897, 12.923491379310345, 12.811422413793103, 12.74676724137931, 12.627155172413794, 12.57219827586207, 12.473060344827585, 12.39655172413793, 12.234913793103448, 12.18426724137931, 11.876077586206897, 11.679956896551724, 11.398706896551724, 11.178340517241379, 10.96551724137931, 10.242456896551724, 9.1875, 2.7705616457708953]","[11.751077586206897, 11.758620689655173, 12.963362068965518, 12.96875, 12.979525862068966, 12.985991379310345, 12.998922413793103, 13.020474137931034, 12.99676724137931, 12.989224137931034, 12.977370689655173, 12.981681034482758, 13.007543103448276, 12.994612068965518, 12.974137931034482, 12.969827586206897, 12.92780172413793, 12.8125, 12.743534482758621, 12.632543103448276, 12.57219827586207, 12.489224137931034, 12.411637931034482, 12.244612068965518, 12.195043103448276, 11.904094827586206, 11.696120689655173, 11.408943965517242, 11.183189655172415, 10.955818965517242, 10.191271551724139, 9.123653017241379, 2.6198366757096916]"
1,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 1
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         basio
incorrect_sentence         Oedd y fflam yn cael ei basio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 1, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",basio,"Oedd y fflam yn cael ei basio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,SM,2.7705616457708953,2.622543992667363,-0.14801765310353243,"[11.751077586206897, 11.758620689655173, 12.964439655172415, 12.967672413793103, 12.979525862068966, 12.994612068965518, 13.007543103448276, 13.019396551724139, 12.997844827586206, 12.99676724137931, 12.979525862068966, 12.980603448275861, 13.006465517241379, 12.988146551724139, 12.966594827586206, 12.969827586206897, 12.923491379310345, 12.811422413793103, 12.74676724137931, 12.627155172413794, 12.57219827586207, 12.473060344827585, 12.39655172413793, 12.234913793103448, 12.18426724137931, 11.876077586206897, 11.679956896551724, 11.398706896551724, 11.178340517241379, 10.96551724137931, 10.242456896551724, 9.1875, 2.7705616457708953]","[11.751077586206897, 11.758620689655173, 12.963362068965518, 12.969827586206897, 12.97844827586207, 12.99030172413793, 13.007543103448276, 13.02801724137931, 13.001077586206897, 12.997844827586206, 12.987068965517242, 12.993534482758621, 13.017241379310345, 12.998922413793103, 12.97198275862069, 12.967672413793103, 12.931034482758621, 12.81573275862069, 12.747844827586206, 12.636853448275861, 12.576508620689655, 12.489224137931034, 12.418103448275861, 12.254310344827585, 12.210129310344827, 11.90301724137931, 11.699353448275861, 11.424030172413794, 11.197737068965518, 10.982758620689655, 10.235991379310345, 9.16217672413793, 2.622543992667363]"
2,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 2
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                        mhasio
incorrect_sentence         Oedd y fflam yn cael ei mhasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 2, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",mhasio,"Oedd y fflam yn cael ei mhasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,NM,2.7705616457708953,2.8441678709903004,0.07360622521940519,"[11.751077586206897, 11.758620689655173, 12.964439655172415, 12.967672413793103, 12.979525862068966, 12.994612068965518, 13.007543103448276, 13.019396551724139, 12.997844827586206, 12.99676724137931, 12.979525862068966, 12.980603448275861, 13.006465517241379, 12.988146551724139, 12.966594827586206, 12.969827586206897, 12.923491379310345, 12.811422413793103, 12.74676724137931, 12.627155172413794, 12.57219827586207, 12.473060344827585, 12.39655172413793, 12.234913793103448, 12.18426724137931, 11.876077586206897, 11.679956896551724, 11.398706896551724, 11.178340517241379, 10.96551724137931, 10.242456896551724, 9.1875, 2.7705616457708953]","[11.751059322033898, 11.757415254237289, 12.942796610169491, 12.948093220338983, 12.958686440677965, 12.96822033898305, 12.98728813559322, 13.0, 12.98093220338983, 12.976694915254237, 12.96822033898305, 12.960805084745763, 12.98834745762712, 12.96927966101695, 12.941737288135593, 12.941737288135593, 12.900423728813559, 12.788135593220339, 12.720338983050848, 12.604872881355933, 12.538135593220339, 12.44915254237288, 12.376059322033898, 12.220338983050848, 12.166313559322035, 11.877118644067796, 11.683262711864407, 11.40572033898305, 11.19915254237288, 10.985699152542374, 10.252648305084746, 9.21927966101695, 2.8441678709903004]"
3,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 3
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           pob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 3, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,none,2.7705616457708953,2.983418247155976,0.21285660138508078,"[11.751077586206897, 11.758620689655173, 12.964439655172415, 12.967672413793103, 12.979525862068966, 12.994612068965518, 13.007543103448276, 13.019396551724139, 12.997844827586206, 12.99676724137931, 12.979525862068966, 12.980603448275861, 13.006465517241379, 12.988146551724139, 12.966594827586206, 12.969827586206897, 12.923491379310345, 12.811422413793103, 12.74676724137931, 12.627155172413794, 12.57219827586207, 12.473060344827585, 12.39655172413793, 12.234913793103448, 12.18426724137931, 11.876077586206897, 11.679956896551724, 11.398706896551724, 11.178340517241379, 10.96551724137931, 10.242456896551724, 9.1875, 2.7705616457708953]","[11.75219298245614, 11.758771929824562, 12.985745614035087, 12.992324561403509, 13.005482456140351, 13.015350877192983, 13.027412280701755, 13.037280701754385, 13.014254385964913, 13.010964912280702, 12.99780701754386, 13.00219298245614, 13.029605263157896, 13.005482456140351, 12.987938596491228, 12.990131578947368, 12.946271929824562, 12.831140350877194, 12.775219298245615, 12.648026315789474, 12.589912280701755, 12.5, 12.426535087719298, 12.25, 12.197368421052632, 11.883771929824562, 11.68640350877193, 11.40844298245614, 11.194627192982455, 10.985745614035087, 10.263706140350877, 9.234375, 2.983418247155976]"
4,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 4
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           bob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 4, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",bob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym bob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,SM,2.7705616457708953,2.9668358250668176,0.1962741792959224,"[11.751077586206897, 11.758620689655173, 12.964439655172415, 12.967672413793103, 12.979525862068966, 12.994612068965518, 13.007543103448276, 13.019396551724139, 12.997844827586206, 12.99676724137931, 12.979525862068966, 12.980603448275861, 13.006465517241379, 12.988146551724139, 12.966594827586206, 12.969827586206897, 12.923491379310345, 12.811422413793103, 12.74676724137931, 12.627155172413794, 12.57219827586207, 12.473060344827585, 12.39655172413793, 12.234913793103448, 12.18426724137931, 11.876077586206897, 11.679956896551724, 11.398706896551724, 11.178340517241379, 10.96551724137931, 10.242456896551724, 9.1875, 2.7705616457708953]","[11.75109649122807, 11.758771929824562, 12.985745614035087, 12.992324561403509, 13.00328947368421, 13.015350877192983, 13.028508771929825, 13.039473684210526, 13.015350877192983, 13.013157894736842, 12.99780701754386, 13.00109649122807, 13.030701754385966, 13.005482456140351, 12.985745614035087, 12.990131578947368, 12.944078947368421, 12.830043859649123, 12.774122807017545, 12.648026315789474, 12.591008771929825, 12.49890350877193, 12.429824561403509, 12.255482456140351, 12.205043859649123, 11.891447368421053, 11.692982456140351, 11.418859649122806, 11.207236842105264, 10.990131578947368, 10.270833333333334, 9.245339912280702, 2.9668358250668176]"
5,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 5
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                          phob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 5, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",phob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym phob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,AM,2.7705616457708953,2.922716732682853,0.15215508691195767,"[11.751077586206897, 11.758620689655173, 12.964439655172415, 12.967672413793103, 12.979525862068966, 12.994612068965518, 13.007543103448276, 13.019396551724139, 12.997844827586206, 12.99676724137931, 12.979525862068966, 12.980603448275861, 13.006465517241379, 12.988146551724139, 12.966594827586206, 12.969827586206897, 12.923491379310345, 12.811422413793103, 12.74676724137931, 12.627155172413794, 12.57219827586207, 12.473060344827585, 12.39655172413793, 12.234913793103448, 12.18426724137931, 11.876077586206897, 11.679956896551724, 11.398706896551724, 11.178340517241379, 10.96551724137931, 10.242456896551724, 9.1875, 2.7705616457708953]","[11.751077586206897, 11.757543103448276, 12.963362068965518, 12.970905172413794, 12.981681034482758, 12.992456896551724, 13.00323275862069, 13.019396551724139, 12.99676724137931, 12.995689655172415, 12.977370689655173, 12.982758620689655, 13.00969827586207, 12.984913793103448, 12.967672413793103, 12.967672413793103, 12.924568965517242, 12.808189655172415, 12.752155172413794, 12.62823275862069, 12.57219827586207, 12.47198275862069, 12.399784482758621, 12.233836206896552, 12.188577586206897, 11.880387931034482, 11.683189655172415, 11.404094827586206, 11.184806034482758, 10.966594827586206, 10.239224137931034, 9.19989224137931, 2.922716732682853]"
6,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 6
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                       cydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 6, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,none,2.7705616457708953,2.820139029930378,0.04957738415948265,"[11.751077586206897, 11.758620689655173, 12.964439655172415, 12.967672413793103, 12.979525862068966, 12.994612068965518, 13.007543103448276, 13.019396551724139, 12.997844827586206, 12.99676724137931, 12.979525862068966, 12.980603448275861, 13.006465517241379, 12.988146551724139, 12.966594827586206, 12.969827586206897, 12.923491379310345, 12.811422413793103, 12.74676724137931, 12.627155172413794, 12.57219827586207, 12.473060344827585, 12.39655172413793, 12.234913793103448, 12.18426724137931, 11.876077586206897, 11.679956896551724, 11.398706896551724, 11.178340517241379, 10.96551724137931, 10.242456896551724, 9.1875, 2.7705616457708953]","[11.751077586206897, 11.757543103448276, 12.964439655172415, 12.96875, 12.97844827586207, 12.992456896551724, 13.006465517241379, 13.018318965517242, 12.997844827586206, 12.997844827586206, 12.979525862068966, 12.980603448275861, 13.00323275862069, 12.983836206896552, 12.95905172413793, 12.966594827586206, 12.921336206896552, 12.81573275862069, 12.75, 12.627155172413794, 12.57219827586207, 12.474137931034482, 12.397629310344827, 12.231681034482758, 12.179956896551724, 11.879310344827585, 11.682112068965518, 11.403556034482758, 11.183189655172415, 10.968211206896552, 10.242456896551724, 9.19342672413793, 2.820139029930378]"
7,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 7
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                     nghydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 7, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",nghydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i nghydfynd â'r ras.",SM,L,i,NM,2.7705616457708953,2.8708983922408797,0.10033674646998447,"[11.751077586206897, 11.758620689655173, 12.964439655172415, 12.967672413793103, 12.979525862068966, 12.994612068965518, 13.007543103448276, 13.019396551724139, 12.997844827586206, 12.99676724137931, 12.979525862068966, 12.980603448275861, 13.006465517241379, 12.988146551724139, 12.966594827586206, 12.969827586206897, 12.923491379310345, 12.811422413793103, 12.74676724137931, 12.627155172413794, 12.57219827586207, 12.473060344827585, 12.39655172413793, 12.234913793103448, 12.18426724137931, 11.876077586206897, 11.679956896551724, 11.398706896551724, 11.178340517241379, 10.96551724137931, 10.242456896551724, 9.1875, 2.7705616457708953]","[11.751059322033898, 11.758474576271187, 12.944915254237289, 12.948093220338983, 12.960805084745763, 12.974576271186441, 12.985169491525424, 12.996822033898304, 12.977754237288135, 12.973516949152541, 12.955508474576272, 12.959745762711865, 12.983050847457626, 12.965042372881356, 12.941737288135593, 12.940677966101696, 12.899364406779661, 12.790254237288135, 12.727754237288135, 12.611228813559322, 12.55614406779661, 12.463983050847459, 12.385593220338983, 12.228813559322035, 12.180084745762711, 11.884533898305085, 11.694915254237289, 11.417372881355933, 11.19968220338983, 10.978813559322035, 10.25052966101695, 9.201800847457626, 2.8708983922408797]"
8,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 8
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                      chydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 8, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i chydfynd â'r ras.",SM,L,i,AM,2.7705616457708953,2.8186783955014985,0.0481167497306032,"[11.751077586206897, 11.758620689655173, 12.964439655172415, 12.967672413793103, 12.979525862068966, 12.994612068965518, 13.007543103448276, 13.019396551724139, 12.997844827586206, 12.99676724137931, 12.979525862068966, 12.980603448275861, 13.006465517241379, 12.988146551724139, 12.966594827586206, 12.969827586206897, 12.923491379310345, 12.811422413793103, 12.74676724137931, 12.627155172413794, 12.57219827586207, 12.473060344827585, 12.39655172413793, 12.234913793103448, 12.18426724137931, 11.876077586206897, 11.679956896551724, 11.398706896551724, 11.178340517241379, 10.96551724137931, 10.242456896551724, 9.1875, 2.7705616457708953]","[11.751077586206897, 11.757543103448276, 12.96551724137931, 12.96875, 12.97844827586207, 12.993534482758621, 13.006465517241379, 13.020474137931034, 12.995689655172415, 12.993534482758621, 12.97844827586207, 12.97844827586207, 13.005387931034482, 12.989224137931034, 12.962284482758621, 12.966594827586206, 12.924568965517242, 12.817887931034482, 12.752155172413794, 12.635775862068966, 12.581896551724139, 12.487068965517242, 12.407327586206897, 12.247844827586206, 12.193965517241379, 11.899784482758621, 11.700431034482758, 11.425646551724139, 11.206896551724139, 10.991918103448276, 10.260237068965518, 9.205818965517242, 2.8186783955014985]"
9,meta-llama/Llama-3.1-8B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 9
item                                                                       3
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            cael
lemma                                                                   cael
mutation_type                                                          no_AM
trigger_type                                                     no_mutation
specific_trigger                                                 no_mutation
token_id                                                                 5.0
prev_word                                                                 yn
incorrect_form                                                         chael
incorrect_sentence         Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 9, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,AM,2.7705616457708953,2.991352410152041,0.22079076438114553,"[11.751077586206897, 11.758620689655173, 12.964439655172415, 12.967672413793103, 12.979525862068966, 12.994612068965518, 13.007543103448276, 13.019396551724139, 12.997844827586206, 12.99676724137931, 12.979525862068966, 12.980603448275861, 13.006465517241379, 12.988146551724139, 12.966594827586206, 12.969827586206897, 12.923491379310345, 12.811422413793103, 12.74676724137931, 12.627155172413794, 12.57219827586207, 12.473060344827585, 12.39655172413793, 12.234913793103448, 12.18426724137931, 11.876077586206897, 11.679956896551724, 11.398706896551724, 11.178340517241379, 10.96551724137931, 10.242456896551724, 9.1875, 2.7705616457708953]","[11.751077586206897, 11.757543103448276, 12.962284482758621, 12.96551724137931, 12.977370689655173, 12.991379310344827, 13.00323275862069, 13.019396551724139, 12.994612068965518, 12.987068965517242, 12.979525862068966, 12.982758620689655, 13.010775862068966, 12.985991379310345, 12.963362068965518, 12.95905172413793, 12.920258620689655, 12.8125, 12.744612068965518, 12.625, 12.563577586206897, 12.470905172413794, 12.397629310344827, 12.234913793103448, 12.188577586206897, 11.876077586206897, 11.688577586206897, 11.40948275862069, 11.184806034482758, 10.97844827586207, 10.282866379310345, 9.249461206896552, 2.991352410152041]"
