index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,incorrect_form_mut_type,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 0
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         pasio
incorrect_sentence         Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,none,1.5466152284596417,1.6333050793164396,0.08668985085679792,"[10.369721283783784, 10.23849239864865, 10.09543918918919, 10.00929054054054, 10.008709881756756, 9.969594594594595, 9.943676097972974, 9.90799197635135, 9.790593327702704, 9.745988175675675, 13.117081925675675, 13.04054054054054, 13.005173141891891, 12.915857263513514, 12.880806587837839, 12.78542018581081, 12.675622888513514, 12.60837204391892, 12.511190878378379, 12.28051097972973, 12.00754856418919, 11.522751266891891, 10.744694890202704, 10.370433910472974, 9.905379011824325, 10.01414695945946, 9.669031916437921, 9.124524503140837, 8.178910419747636, 7.761398932418308, 6.49628002901335, 3.2517489645932174, 1.5466152284596417]","[10.370184075342467, 10.23972602739726, 10.097816780821917, 10.010595034246576, 10.012146832191782, 9.97468964041096, 9.94777397260274, 9.917701198630137, 9.801048801369863, 9.763966181506849, 13.175727739726028, 13.09578339041096, 13.049657534246576, 12.959118150684931, 12.916577482876713, 12.820473030821917, 12.716556078767123, 12.646939212328768, 12.555650684931507, 12.324967893835616, 12.061804366438356, 11.575181934931507, 10.792594178082192, 10.380511558219178, 9.915092572773972, 10.057630565068493, 9.663818359375, 9.1622436732462, 8.178957738288462, 7.759525073717718, 6.593915573538166, 3.4335049096852135, 1.6333050793164396]"
1,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 1
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         basio
incorrect_sentence         Oedd y fflam yn cael ei basio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 1, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",basio,"Oedd y fflam yn cael ei basio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,SM,1.5466152284596417,1.5520636790419278,0.005448450582286046,"[10.369721283783784, 10.23849239864865, 10.09543918918919, 10.00929054054054, 10.008709881756756, 9.969594594594595, 9.943676097972974, 9.90799197635135, 9.790593327702704, 9.745988175675675, 13.117081925675675, 13.04054054054054, 13.005173141891891, 12.915857263513514, 12.880806587837839, 12.78542018581081, 12.675622888513514, 12.60837204391892, 12.511190878378379, 12.28051097972973, 12.00754856418919, 11.522751266891891, 10.744694890202704, 10.370433910472974, 9.905379011824325, 10.01414695945946, 9.669031916437921, 9.124524503140837, 8.178910419747636, 7.761398932418308, 6.49628002901335, 3.2517489645932174, 1.5466152284596417]","[10.36964897260274, 10.24015410958904, 10.09952910958904, 10.012200342465754, 10.015036386986301, 9.97634845890411, 9.951787243150685, 9.920751284246576, 9.797249571917808, 9.762253852739725, 13.174229452054794, 13.100813356164384, 13.065496575342467, 12.980147688356164, 12.944937928082192, 12.848030821917808, 12.73025470890411, 12.667219606164384, 12.56827910958904, 12.33797089041096, 12.078874143835616, 11.597549229452055, 10.813918022260275, 10.422945205479452, 9.922142551369863, 10.101475545804794, 9.726088432416525, 9.211512108371682, 8.157903449176109, 7.776398805722798, 6.66651842692127, 3.307060961853968, 1.5520636790419278]"
2,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 2
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                        mhasio
incorrect_sentence         Oedd y fflam yn cael ei mhasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 2, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",mhasio,"Oedd y fflam yn cael ei mhasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,NM,1.5466152284596417,1.789892534951906,0.2432773064922642,"[10.369721283783784, 10.23849239864865, 10.09543918918919, 10.00929054054054, 10.008709881756756, 9.969594594594595, 9.943676097972974, 9.90799197635135, 9.790593327702704, 9.745988175675675, 13.117081925675675, 13.04054054054054, 13.005173141891891, 12.915857263513514, 12.880806587837839, 12.78542018581081, 12.675622888513514, 12.60837204391892, 12.511190878378379, 12.28051097972973, 12.00754856418919, 11.522751266891891, 10.744694890202704, 10.370433910472974, 9.905379011824325, 10.01414695945946, 9.669031916437921, 9.124524503140837, 8.178910419747636, 7.761398932418308, 6.49628002901335, 3.2517489645932174, 1.5466152284596417]","[10.36961570945946, 10.238703547297296, 10.098078547297296, 10.013513513513514, 10.01319679054054, 9.974609375, 9.948638091216216, 9.920608108108109, 9.803526182432432, 9.76002956081081, 13.129011824324325, 13.044130067567568, 13.01583614864865, 12.916913006756756, 12.889305320945946, 12.78615920608108, 12.66575168918919, 12.600770692567568, 12.505701013513514, 12.277660472972974, 11.994985219594595, 11.49561866554054, 10.75876266891892, 10.33717799831081, 9.928803315033784, 10.10354201858108, 9.72677364864865, 9.175482724163983, 8.160359530835539, 7.83800597770794, 6.754320856687185, 3.7856342180355176, 1.789892534951906]"
3,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 3
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           pob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 3, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,none,1.5466152284596417,1.6819170321503731,0.13530180369073141,"[10.369721283783784, 10.23849239864865, 10.09543918918919, 10.00929054054054, 10.008709881756756, 9.969594594594595, 9.943676097972974, 9.90799197635135, 9.790593327702704, 9.745988175675675, 13.117081925675675, 13.04054054054054, 13.005173141891891, 12.915857263513514, 12.880806587837839, 12.78542018581081, 12.675622888513514, 12.60837204391892, 12.511190878378379, 12.28051097972973, 12.00754856418919, 11.522751266891891, 10.744694890202704, 10.370433910472974, 9.905379011824325, 10.01414695945946, 9.669031916437921, 9.124524503140837, 8.178910419747636, 7.761398932418308, 6.49628002901335, 3.2517489645932174, 1.5466152284596417]","[10.369970034246576, 10.239190924657533, 10.093857020547945, 10.009417808219178, 10.008187071917808, 9.968321917808218, 9.943332619863014, 9.91079837328767, 9.789972174657533, 9.746468321917808, 13.155500856164384, 13.07544948630137, 13.03660102739726, 12.939907962328768, 12.909781678082192, 12.825128424657533, 12.712489297945206, 12.64206977739726, 12.537457191780822, 12.314105308219178, 12.04874785958904, 11.565924657534246, 10.752274186643836, 10.360070633561644, 9.943787457191782, 10.07935573630137, 9.706615291229665, 9.12534358403454, 8.245668582720299, 7.880931893440142, 6.6476330332560085, 3.4440479164254176, 1.6819170321503731]"
4,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 4
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           bob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 4, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",bob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym bob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,SM,1.5466152284596417,1.6682097405603487,0.12159451210070693,"[10.369721283783784, 10.23849239864865, 10.09543918918919, 10.00929054054054, 10.008709881756756, 9.969594594594595, 9.943676097972974, 9.90799197635135, 9.790593327702704, 9.745988175675675, 13.117081925675675, 13.04054054054054, 13.005173141891891, 12.915857263513514, 12.880806587837839, 12.78542018581081, 12.675622888513514, 12.60837204391892, 12.511190878378379, 12.28051097972973, 12.00754856418919, 11.522751266891891, 10.744694890202704, 10.370433910472974, 9.905379011824325, 10.01414695945946, 9.669031916437921, 9.124524503140837, 8.178910419747636, 7.761398932418308, 6.49628002901335, 3.2517489645932174, 1.5466152284596417]","[10.370184075342467, 10.239404965753424, 10.093642979452055, 10.007705479452055, 10.00636772260274, 9.966823630136986, 9.942904537671232, 9.909300085616438, 9.794467037671232, 9.751284246575343, 13.162778253424657, 13.084332191780822, 13.048373287671232, 12.954623287671232, 12.927868150684931, 12.836526113013699, 12.716449058219178, 12.650203339041095, 12.55859375, 12.33224529109589, 12.06763698630137, 11.585241866438356, 10.785022474315069, 10.394103167808218, 9.937339469178083, 10.072302413313356, 9.713502648758562, 9.162555119762683, 8.303264048001537, 7.901407238555281, 6.639793464582261, 3.3921042305149443, 1.6682097405603487]"
5,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 5
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                          phob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 5, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",phob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym phob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,AM,1.5466152284596417,1.7004153058953482,0.15380007743570645,"[10.369721283783784, 10.23849239864865, 10.09543918918919, 10.00929054054054, 10.008709881756756, 9.969594594594595, 9.943676097972974, 9.90799197635135, 9.790593327702704, 9.745988175675675, 13.117081925675675, 13.04054054054054, 13.005173141891891, 12.915857263513514, 12.880806587837839, 12.78542018581081, 12.675622888513514, 12.60837204391892, 12.511190878378379, 12.28051097972973, 12.00754856418919, 11.522751266891891, 10.744694890202704, 10.370433910472974, 9.905379011824325, 10.01414695945946, 9.669031916437921, 9.124524503140837, 8.178910419747636, 7.761398932418308, 6.49628002901335, 3.2517489645932174, 1.5466152284596417]","[10.369755993150685, 10.238334760273972, 10.092251712328768, 10.00845462328767, 10.005725599315069, 9.968428938356164, 9.944295804794521, 9.911226455479452, 9.799068921232877, 9.748501712328768, 13.15357448630137, 13.075342465753424, 13.035530821917808, 12.948469606164384, 12.911547517123287, 12.82892765410959, 12.715753424657533, 12.645440924657533, 12.548961900684931, 12.321008133561644, 12.0546875, 11.555757705479452, 10.752274186643836, 10.352846746575343, 9.930677440068493, 10.065075181934931, 9.700465372163956, 9.11702038490609, 8.267820570566883, 7.909667068964814, 6.693943618095084, 3.441375010634122, 1.7004153058953482]"
6,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 6
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                       cydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 6, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,none,1.5466152284596417,1.6899182103775643,0.14330298191792257,"[10.369721283783784, 10.23849239864865, 10.09543918918919, 10.00929054054054, 10.008709881756756, 9.969594594594595, 9.943676097972974, 9.90799197635135, 9.790593327702704, 9.745988175675675, 13.117081925675675, 13.04054054054054, 13.005173141891891, 12.915857263513514, 12.880806587837839, 12.78542018581081, 12.675622888513514, 12.60837204391892, 12.511190878378379, 12.28051097972973, 12.00754856418919, 11.522751266891891, 10.744694890202704, 10.370433910472974, 9.905379011824325, 10.01414695945946, 9.669031916437921, 9.124524503140837, 8.178910419747636, 7.761398932418308, 6.49628002901335, 3.2517489645932174, 1.5466152284596417]","[10.369932432432432, 10.238809121621621, 10.097128378378379, 10.013830236486486, 10.013249577702704, 9.97677364864865, 9.949271537162161, 9.909470016891891, 9.78858741554054, 9.743454391891891, 13.105152027027026, 13.047191722972974, 13.005912162162161, 12.91501266891892, 12.881228885135135, 12.782041807432432, 12.67604518581081, 12.60763302364865, 12.524757179054054, 12.29027660472973, 12.024018158783784, 11.548722550675675, 10.762748099662161, 10.405220650337839, 9.97434543918919, 10.044869087837839, 9.711815911370355, 9.165183814796242, 8.21993676713995, 7.812581138030903, 6.696249037175565, 3.5936608282295435, 1.6899182103775643]"
7,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 7
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                     nghydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 7, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",nghydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i nghydfynd â'r ras.",SM,L,i,NM,1.5466152284596417,1.7537317419052123,0.20711651344557058,"[10.369721283783784, 10.23849239864865, 10.09543918918919, 10.00929054054054, 10.008709881756756, 9.969594594594595, 9.943676097972974, 9.90799197635135, 9.790593327702704, 9.745988175675675, 13.117081925675675, 13.04054054054054, 13.005173141891891, 12.915857263513514, 12.880806587837839, 12.78542018581081, 12.675622888513514, 12.60837204391892, 12.511190878378379, 12.28051097972973, 12.00754856418919, 11.522751266891891, 10.744694890202704, 10.370433910472974, 9.905379011824325, 10.01414695945946, 9.669031916437921, 9.124524503140837, 8.178910419747636, 7.761398932418308, 6.49628002901335, 3.2517489645932174, 1.5466152284596417]","[10.3696875, 10.2390625, 10.097291666666667, 10.013645833333333, 10.015989583333333, 9.9803125, 9.954114583333334, 9.91328125, 9.792239583333334, 9.746666666666666, 13.066875, 12.996979166666666, 12.956666666666667, 12.869479166666666, 12.8378125, 12.735052083333333, 12.63109375, 12.55984375, 12.478125, 12.255052083333334, 11.98875, 11.50078125, 10.717890625, 10.393619791666667, 9.938776041666667, 9.981028645833334, 9.63367919921875, 9.116194254557291, 8.145165084203084, 7.7041011794408165, 6.623766330083211, 3.6255842638015747, 1.7537317419052123]"
8,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 8
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                      chydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 8, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i chydfynd â'r ras.",SM,L,i,AM,1.5466152284596417,1.7171992498475153,0.17058402138787354,"[10.369721283783784, 10.23849239864865, 10.09543918918919, 10.00929054054054, 10.008709881756756, 9.969594594594595, 9.943676097972974, 9.90799197635135, 9.790593327702704, 9.745988175675675, 13.117081925675675, 13.04054054054054, 13.005173141891891, 12.915857263513514, 12.880806587837839, 12.78542018581081, 12.675622888513514, 12.60837204391892, 12.511190878378379, 12.28051097972973, 12.00754856418919, 11.522751266891891, 10.744694890202704, 10.370433910472974, 9.905379011824325, 10.01414695945946, 9.669031916437921, 9.124524503140837, 8.178910419747636, 7.761398932418308, 6.49628002901335, 3.2517489645932174, 1.5466152284596417]","[10.370038006756756, 10.238597972972974, 10.096811655405405, 10.012141047297296, 10.013249577702704, 9.975929054054054, 9.950538429054054, 9.91063133445946, 9.792388091216216, 9.74144847972973, 13.10863597972973, 13.050147804054054, 13.013091216216216, 12.922930743243244, 12.896537162162161, 12.802100929054054, 12.694520692567568, 12.621674408783784, 12.527449324324325, 12.303051097972974, 12.038692989864865, 11.56033572635135, 10.790883657094595, 10.474899704391891, 10.054317989864865, 10.097827808277026, 9.807512437975085, 9.274007848791173, 8.36950011833294, 7.933056907073872, 6.682708666131303, 3.6480607696481653, 1.7171992498475153]"
9,britllm/britllm-3b-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 9
item                                                                       3
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            cael
lemma                                                                   cael
mutation_type                                                          no_AM
trigger_type                                                     no_mutation
specific_trigger                                                 no_mutation
token_id                                                                 5.0
prev_word                                                                 yn
incorrect_form                                                         chael
incorrect_sentence         Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 9, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,AM,1.5466152284596417,1.7371562590470184,0.1905410305873767,"[10.369721283783784, 10.23849239864865, 10.09543918918919, 10.00929054054054, 10.008709881756756, 9.969594594594595, 9.943676097972974, 9.90799197635135, 9.790593327702704, 9.745988175675675, 13.117081925675675, 13.04054054054054, 13.005173141891891, 12.915857263513514, 12.880806587837839, 12.78542018581081, 12.675622888513514, 12.60837204391892, 12.511190878378379, 12.28051097972973, 12.00754856418919, 11.522751266891891, 10.744694890202704, 10.370433910472974, 9.905379011824325, 10.01414695945946, 9.669031916437921, 9.124524503140837, 8.178910419747636, 7.761398932418308, 6.49628002901335, 3.2517489645932174, 1.5466152284596417]","[10.36961570945946, 10.239336993243244, 10.098078547297296, 10.01097972972973, 10.00881545608108, 9.970069679054054, 9.94357052364865, 9.906936233108109, 9.794921875, 9.74292652027027, 13.111908783783784, 13.034522804054054, 12.988175675675675, 12.893739442567568, 12.86428420608108, 12.768105996621621, 12.666015625, 12.59522804054054, 12.497255067567568, 12.28420608108108, 11.987436655405405, 11.484955658783784, 10.70067039695946, 10.340292440878379, 9.880542652027026, 10.004810230152026, 9.729347847603464, 9.226424810048696, 8.24768989794963, 7.916716955803536, 6.758941637503134, 3.658006516662804, 1.7371562590470184]"
