,item,sent_id,source,correct_sentence,correct_form,lemma,mutation_type,trigger_type,specific_trigger,token_id,prev_word,incorrect_form,incorrect_sentence,num_diffs,incorrect_form_mut_type
0,0,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",phasio,pasio,AM,L,ei,7.0,ei,pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",1,none
1,0,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",phasio,pasio,AM,L,ei,7.0,ei,basio,"Oedd y fflam yn cael ei basio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",1,SM
2,0,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",phasio,pasio,AM,L,ei,7.0,ei,mhasio,"Oedd y fflam yn cael ei mhasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",1,NM
3,1,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",mhob,pob,NM,L,ym,15.0,ym,pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",1,none
4,1,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",mhob,pob,NM,L,ym,15.0,ym,bob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym bob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",1,SM
5,1,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",mhob,pob,NM,L,ym,15.0,ym,phob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym phob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",1,AM
6,2,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",gydfynd,cydfynd,SM,L,i,25.0,i,cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",1,none
7,2,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",gydfynd,cydfynd,SM,L,i,25.0,i,nghydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i nghydfynd â'r ras.",1,NM
8,2,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",gydfynd,cydfynd,SM,L,i,25.0,i,chydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i chydfynd â'r ras.",1,AM
9,3,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cael,cael,no_AM,no_mutation,no_mutation,5.0,yn,chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",1,AM
