model;index;sentence_id;item;correct_form;correct_sentence;mutation_type;trigger_type;specific_trigger;incorrect_form;incorrect_sentence;incorrect_form_mut_type;correct_nll_mean;incorrect_nll_mean;delta;accuracy;nll_distance;layer_nll_correct;layer_nll_incorrect
goldfish-models/cym_latn_5mb;0;0;0;phasio;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;AM;L;ei;pasio;Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;no_mutation;4,95671217526708;4,90002187022141;-5,66903050456729e-02;0;0,00000000000000e+00;[10.76456241607666, 10.282555988856725, 9.615113585335868, 9.002464553288052, 4.956712175267083];[10.757444981166294, 10.236867877415248, 9.604330117361886, 9.04155296598162, 4.90002187022141]
goldfish-models/cym_latn_5mb;1;0;1;mhob;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;NM;L;ym;pob;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;no_mutation;4,95671217526708;5,18947136316981;2,32759187902723e-01;1;2,29405654866147e-02;[10.76456241607666, 10.282555988856725, 9.615113585335868, 9.002464553288052, 4.956712175267083];[10.762664059230259, 10.296367727007185, 9.645514025006975, 9.065786252702985, 5.189471363169806]
goldfish-models/cym_latn_5mb;2;0;2;gydfynd;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;SM;L;i;cydfynd;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.;no_mutation;4,95671217526708;5,04967449051993;9,29623152528496e-02;1;9,29029812236798e-03;[10.76456241607666, 10.282555988856725, 9.615113585335868, 9.002464553288052, 4.956712175267083];[10.762757056100028, 10.29249700818743, 9.637611416407994, 9.043993977137974, 5.049674490519933]
goldfish-models/cym_latn_5mb;3;0;3;cael;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;no_mutation;no_mutation;no_mutation;chael;Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;AM;4,95671217526708;5,27908872961998;3,22376554352897e-01;1;3,14950004741670e-02;[10.76456241607666, 10.282555988856725, 9.615113585335868, 9.002464553288052, 4.956712175267083];[10.776028605869838, 10.326491028921945, 9.648529297964913, 9.057676342555455, 5.27908872961998]
goldfish-models/cym_latn_5mb;4;0;4;gymuned;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;SM;MS;num_fem_sing_noun;cymuned;Oedd y fflam yn cael ei phasio o un cymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;no_mutation;4,95671217526708;4,98984223859651;3,31300633294243e-02;1;3,33080803169861e-03;[10.76456241607666, 10.282555988856725, 9.615113585335868, 9.002464553288052, 4.956712175267083];[10.763876833234514, 10.273933601379394, 9.640375873020718, 9.035485771724156, 4.989842238596507]
goldfish-models/cym_latn_5mb;5;1;5;nghanol;O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.;NM;L;yng;canol;O'n ni yn rhan o'r ras oedd yng canol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.;no_mutation;5,56126874541083;5,84213972139743;2,80870975986605e-01;1;2,46304406971066e-02;[10.768034996524934, 10.386398899939753, 9.694568910906392, 8.883869555688673, 5.5612687454108265];[10.763009901969664, 10.399402956808768, 9.735629758527201, 8.965106256546512, 5.842139721397431]
goldfish-models/cym_latn_5mb;6;1;6;rhan;O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.;no_mutation;no_mutation;no_mutation;ran;O'n ni yn ran o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.;SM;5,56126874541083;5,82130731113495;2,60038565724127e-01;1;2,28453176532553e-02;[10.768034996524934, 10.386398899939753, 9.694568910906392, 8.883869555688673, 5.5612687454108265];[10.768598002772178, 10.403437245276667, 9.732829093933105, 8.973890443002023, 5.821307311134953]
goldfish-models/cym_latn_5mb;7;1;7;wahodd;O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.;SM;MS;direct_object_mutation;gwahodd;O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw gwahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.;no_mutation;5,56126874541083;5,60621965364102;4,49509082301978e-02;1;4,02515826513100e-03;[10.768034996524934, 10.386398899939753, 9.694568910906392, 8.883869555688673, 5.5612687454108265];[10.76661503699518, 10.389621457745951, 9.70863486874488, 8.906618425923009, 5.606219653641024]
goldfish-models/cym_latn_5mb;8;2;8;gred;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;SM;MS;def_art_fem_sing_noun;cred;Y cred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;no_mutation;5,33698142437558;5,56055950314591;2,23578078770323e-01;1;2,05163789021138e-02;[10.814636130081979, 10.219337463378906, 9.54514475872642, 8.94565278605411, 5.336981424375584];[10.815967409234299, 10.309808781272487, 9.636980558696546, 9.001950439653898, 5.560559503145908]
goldfish-models/cym_latn_5mb;9;2;9;bresennol;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;SM;MS;fem_sing_noun_modifier;presennol;Y gred yw bod y system presennol â chapasiti i bweru tua 144,000 o gartrefi.;no_mutation;5,33698142437558;5,23367898891631;-1,03302435459275e-01;0;0,00000000000000e+00;[10.814636130081979, 10.219337463378906, 9.54514475872642, 8.94565278605411, 5.336981424375584];[10.811064117833189, 10.216703264336838, 9.54155455137554, 8.949368200804058, 5.233678988916309]
