index,model,sentence_id,correct_form,correct_sentence,incorrect_sentence,incorrect_form,mutation_type,trigger_type,specific_trigger,layer_nll_correct,layer_nll_incorrect
0,goldfish-models/cym_latn_1000mb,cy_ccg_test:00521,ddim,"Ym Mangor, mae Undeb y Myfyrwyr yn cynnig canolbwynt ar gyfer gweithgareddau ac adloniant ac mae ein holl glybiau a chymdeithasau am ddim i ymuno â nhw.","Ym Mangor, mae Undeb y Myfyrwyr yn cynnig canolbwynt ar gyfer gweithgareddau ac adloniant ac mae ein holl glybiau a chymdeithasau am dim i ymuno â nhw.",dim,SM,L,am,"[41.284668922424316, 9.200471973419189, 7.562371548016866, 6.399588401118915, 5.29021518205603, 4.339317673444748, 3.7691902995109556, 3.289353731709222, 3.047284351258228, 2.8023990221632022, 2.708506288814048, 2.6094796667496363, 2.7087023106714088]","[41.0541971206665, 9.440647228558857, 7.809797948598861, 6.648632917801539, 5.594055267423391, 4.660902494192124, 4.1216985935966175, 3.634796703296403, 3.409552311679969, 3.2022095288150014, 3.124255405801038, 3.007696592062712, 3.060135035465161]"
1,goldfish-models/cym_latn_1000mb,cy_ccg_train:01304,Cymru,"Wrth i Blaid Cymru ddathlu 100 mlynedd ers ei sefydlu ddydd Mawrth, mae'r arweinydd Rhun ap Iorwerth yn dweud fod yr heriau y mae Cymru yn ei wynebu yn ""fwy nag erioed"".","Wrth i Blaid Cymru ddathlu 100 mlynedd ers ei sefydlu ddydd Mawrth, mae'r arweinydd Rhun ap Iorwerth yn dweud fod yr heriau y mae Gymru yn ei wynebu yn ""fwy nag erioed"".",Gymru,no_SM,no_mutation,no_mutation,"[41.61742978346975, 9.032034226938299, 7.485677486775737, 6.09204391037163, 5.150518865177506, 4.710792405824912, 4.208569697447513, 3.7010856484504124, 3.32029509407125, 3.145004461421386, 2.9400581467994735, 2.588534385946236, 2.596895962880042]","[42.00447589472721, 9.144642182870916, 7.573446930827279, 6.176201814883633, 5.211262361783731, 4.8106783714733625, 4.29928581318573, 3.807532996919594, 3.4222348369657993, 3.2650733554343643, 3.0619976292609383, 2.732242940091773, 2.777181389410735]"
2,goldfish-models/cym_latn_1000mb,cy_ccg_train:00559,Gymraeg,"Rydyn ni'n gweithio trwy gyfrwng y Gymraeg a'r Saesneg, felly mae rhuglder yn y Gymraeg (wrth ysgrifennu ac wrth siarad) yn ddymunol, er nad yn hanfodol ar gyfer y swydd hon.","Rydyn ni'n gweithio trwy gyfrwng y Gymraeg a'r Saesneg, felly mae rhuglder yn y Cymraeg (wrth ysgrifennu ac wrth siarad) yn ddymunol, er nad yn hanfodol ar gyfer y swydd hon.",Cymraeg,SM,MS,def_art_fem_sing_noun,"[40.63714209057036, 9.36284620776063, 7.349807274306104, 5.9316250669459505, 4.732501440548471, 4.064419135406968, 3.4399632394391424, 3.1301142181702226, 2.891151879510809, 2.6760700045394645, 2.3775920607430243, 2.189349807382054, 2.2951771828922487]","[40.405695688156854, 9.44138466531322, 7.451109743366639, 6.054458658077887, 4.874732790603524, 4.263003512995229, 3.692455999065368, 3.3465049766126045, 3.1228793126190015, 2.8826666366339415, 2.588079956088872, 2.37967654533159, 2.4524135372291007]"
3,goldfish-models/cym_latn_1000mb,cy_ccg_test:00185,gwbwl,Roedd y syniad o greu canolfan iaith yn Nant Gwrtheyrn ddiwedd yr 1970au yn gwbwl anghredadwy ac amhosib.,Roedd y syniad o greu canolfan iaith yn Nant Gwrtheyrn ddiwedd yr 1970au yn cwbwl anghredadwy ac amhosib.,cwbwl,SM,MS,yn_complement_adj_noun,"[42.582984924316406, 8.881220278285799, 7.913688716434297, 7.27155944279262, 6.477559572174435, 5.6681664898282005, 5.408549374058133, 5.085069439240864, 4.800323659110637, 4.469615518359379, 4.037775450053492, 3.7283413002400527, 4.091489963233471]","[42.228150503976, 9.10833249773298, 8.0950817437399, 7.468764344851176, 6.714665483860743, 5.918263066382635, 5.769473856403714, 5.509560163531985, 5.1616168387589, 4.833092047367245, 4.374412873205507, 4.030042820410537, 4.460132111750898]"
4,goldfish-models/cym_latn_1000mb,cy_ccg_dev:00282,flynyddoedd,"Agwedd bwysig ar yr ymgyrch codi arian i sefydlu coleg statws prifysgol ym Mangor, oedd y cyfraniadau gwirfoddol a wnaed gan bobl lleol, gan gynnwys ffermwyr a chwarelwyr, o'u tâl wythnosol dros nifer o flynyddoedd.","Agwedd bwysig ar yr ymgyrch codi arian i sefydlu coleg statws prifysgol ym Mangor, oedd y cyfraniadau gwirfoddol a wnaed gan bobl lleol, gan gynnwys ffermwyr a chwarelwyr, o'u tâl wythnosol dros nifer o blynyddoedd.",blynyddoedd,SM,L,o,"[41.61620194571359, 9.694948196411133, 8.21993044302577, 6.99067991688138, 6.078758719421568, 5.481793639205751, 5.083323588860886, 4.65159667913048, 4.509057695711298, 4.0833425761333535, 3.9574770217850093, 3.7382608272490048, 4.065943936506907]","[41.6014586857387, 9.902309681688036, 8.355778769368218, 7.137928060122898, 6.215871196417582, 5.573933340254284, 5.193023710201184, 4.765559596231296, 4.608195694473882, 4.207403069362044, 4.097296568964209, 3.888835464205061, 4.218604410688083]"
5,goldfish-models/cym_latn_1000mb,cy_ccg_train:00071,ganlyniad,"O ganlyniad i'r ddarpariaeth Gymraeg, rwyf wedi derbyn rhagor o brofiadau yn y Gymraeg wrth gymharu â myfyrwyr uniaith Saesneg.","O canlyniad i'r ddarpariaeth Gymraeg, rwyf wedi derbyn rhagor o brofiadau yn y Gymraeg wrth gymharu â myfyrwyr uniaith Saesneg.",canlyniad,SM,L,O,"[41.56012680053711, 8.845847729444504, 7.118117133378982, 5.851070539355278, 5.074976063966751, 4.496095710247755, 4.233372499011457, 3.707539776340127, 3.5321260293573142, 3.5494293774291874, 3.475185173517093, 3.4668200067803263, 3.7015756807103752]","[41.70235427856446, 9.074919741153717, 7.413879953026772, 6.145170916318893, 5.368453311771154, 4.85168274268508, 4.664336541220546, 4.203117340654135, 4.062800223454833, 4.110458969566971, 4.024170103799552, 3.9638568785041572, 4.2140044973045585]"
6,goldfish-models/cym_latn_1000mb,cy_ccg_dev:00363,chael,"Erbyn 1959 llwyddodd y Blaid i ymladd ugain o seddi a chael 77,571o bleidleisiau yn yr Etholiad Cyffredinol.","Erbyn 1959 llwyddodd y Blaid i ymladd ugain o seddi a cael 77,571o bleidleisiau yn yr Etholiad Cyffredinol.",cael,AM,L,a,"[43.9207587864088, 10.067013771637626, 8.678832595763, 7.8151978656001715, 6.773245350174282, 6.125120880811111, 5.88727322091227, 5.772936642169952, 5.616285623415656, 5.103074595332146, 4.7273792760527655, 4.414770557180695, 4.774190302776254]","[43.46140405406123, 10.267951897952868, 8.85520659322324, 7.988259528642115, 6.959365931542023, 6.288459525160167, 6.084081794904626, 5.998899633469789, 5.85634543714316, 5.333979513982068, 4.9313408311294475, 4.633651893423951, 4.948847699424495]"
7,goldfish-models/cym_latn_1000mb,cy_ccg_train:01100,fyw,Nod ychwanegol y Strategaeth hon yw sicrhau bod pob dysgwr a myfyriwr mewn lleoliad cyfrwng Saesneg yn manteisio ar gyfleoedd i ddatblygu sgiliau iaith sy'n cyfoethogi eu profiad o fyw mewn gwlad ddwyieithog.,Nod ychwanegol y Strategaeth hon yw sicrhau bod pob dysgwr a myfyriwr mewn lleoliad cyfrwng Saesneg yn manteisio ar gyfleoedd i ddatblygu sgiliau iaith sy'n cyfoethogi eu profiad o byw mewn gwlad ddwyieithog.,byw,SM,L,o,"[42.77332651292956, 9.560489506334871, 7.91310921553019, 6.09952653018204, 5.066368103832812, 4.4667028386045144, 4.0629265946713655, 3.392423697369727, 3.161455526718291, 2.8469049077625765, 2.748908222682469, 2.6757830149876396, 3.1791678161668666]","[42.65451797279152, 9.572278618812561, 7.961514569617607, 6.210381173604244, 5.179604635850803, 4.569691770382829, 4.186716424653659, 3.5077107876438545, 3.302913348690758, 3.0037003063716345, 2.9056477334796345, 2.823071058341648, 3.333648446648432]"
8,goldfish-models/cym_latn_1000mb,cy_ccg_train:01355,bwnc,"Mae'n bwnc eithaf arbenigol ac yn un technegol iawn, gyda nifer o is-feysydd sy'n aml iawn yn methu â chyfathrebu â'i gilydd.","Mae'n pwnc eithaf arbenigol ac yn un technegol iawn, gyda nifer o is-feysydd sy'n aml iawn yn methu â chyfathrebu â'i gilydd.",pwnc,SM,MS,yn_complement_adj_noun,"[41.12866065081428, 8.267796977477914, 6.543094256344964, 5.046692373121486, 4.15393620291177, 3.7928046654252445, 3.507410423391882, 3.26588605322382, 3.2957877623865737, 3.1522671319886713, 3.0203796517457437, 2.8699378771566177, 2.8106429276881766]","[41.30206321267521, 8.274775070302626, 6.580704196411021, 5.133713894907166, 4.28179552888169, 3.946819323388969, 3.6608966620748533, 3.4325435597942593, 3.4498696979323595, 3.2893198072030345, 3.1441982519767513, 3.0187641397932405, 2.9687091051112957]"
9,goldfish-models/cym_latn_1000mb,cy_ccg_test:00718,nghell,Newydd fod yn gwylio'r ffilm yng nghell b ym Mlaenau Ffestiniog.,Newydd fod yn gwylio'r ffilm yng cell b ym Mlaenau Ffestiniog.,cell,NM,L,yng,"[45.17565031612621, 9.612402502228232, 7.808466219726731, 6.414405604495721, 5.459059587296317, 5.0210868155255035, 4.623673014342785, 4.342717723811374, 4.133926137624418, 3.9761494628208527, 4.018677720224813, 3.815740757238339, 3.8320034621009493]","[43.86862862110138, 9.59287752956152, 7.994927826337516, 6.732137229293585, 5.811642190441489, 5.418148383498192, 5.182497552596033, 4.977911522146314, 4.788231790298596, 4.431435926118866, 4.452409542369423, 4.355504253559047, 4.505890383938095]"
10,goldfish-models/cym_latn_1000mb,cy_ccg_train:01107,ddulliau,Felly doedd dim osgoi ar ddulliau o anufudd-dod dinesig.,Felly doedd dim osgoi ar dulliau o anufudd-dod dinesig.,dulliau,SM,L,ar,"[43.30725640517015, 9.43521206195538, 7.97527920282804, 6.909796290672743, 6.479052832493415, 5.978493699660668, 5.977425100711676, 5.672897384716914, 5.465626281041366, 5.504779143975331, 5.33174539443392, 5.158744738222315, 5.390762894486006]","[42.96355570279635, 9.569359339200533, 8.10716203542856, 6.999877709608811, 6.544189673203689, 6.061599435714575, 6.042377497141178, 5.810553896885652, 5.625502457985511, 5.684648749920038, 5.569982586571803, 5.373834686640364, 5.566055686714558]"
11,goldfish-models/cym_latn_1000mb,cy_ccg_train:00508,ddarfu,Digwydd cyrraedd mewn pryd ddarfu mi i'w achub rhag boddi.,Digwydd cyrraedd mewn pryd darfu mi i'w achub rhag boddi.,darfu,SM,MS,inflected_zero_trigger,"[41.724536759512766, 9.101079906736102, 7.859816517148699, 6.840782489095416, 6.0948171104703635, 5.702481435877936, 5.610788937125887, 5.653027393988201, 5.801190434822014, 5.946332835725376, 6.090295861874308, 6.006900778838566, 6.634518178978136]","[41.59493024008615, 9.259831598826818, 7.805211986814227, 6.718980893492699, 5.993982349123273, 5.488700894372804, 5.485006331333092, 5.597088862742696, 5.684543473912137, 5.860368560467448, 6.14887677452394, 6.042107707687786, 6.5185727540935785]"
