"item","correct_sentence","incorrect_form_1","incorrect_form_2","incorrect_form_3","incorrect_sentence_1","incorrect_sentence_2","incorrect_sentence_3"
"648","Mae Cadno yn poeni bod am fod yn y tŷ ar ei phen ei hun.","pen","ben","mhen","Mae Cadno yn poeni bod am fod yn y tŷ ar ei pen ei hun.","Mae Cadno yn poeni bod am fod yn y tŷ ar ei ben ei hun.","Mae Cadno yn poeni bod am fod yn y tŷ ar ei mhen ei hun."
"1121","Ym mis Tachwedd 2011, fe ddaeth wyth gwaith yn fwy o bobl i siarad gyda Cyngor Ar Bopeth i drafod eu biliau tanwydd nag a ddaeth yn ystod Tachwedd 2010.","Chyngor","Gyngor","Nghyngor","Ym mis Tachwedd 2011, fe ddaeth wyth gwaith yn fwy o bobl i siarad gyda Chyngor Ar Bopeth i drafod eu biliau tanwydd nag a ddaeth yn ystod Tachwedd 2010.","Ym mis Tachwedd 2011, fe ddaeth wyth gwaith yn fwy o bobl i siarad gyda Gyngor Ar Bopeth i drafod eu biliau tanwydd nag a ddaeth yn ystod Tachwedd 2010.","Ym mis Tachwedd 2011, fe ddaeth wyth gwaith yn fwy o bobl i siarad gyda Nghyngor Ar Bopeth i drafod eu biliau tanwydd nag a ddaeth yn ystod Tachwedd 2010."
"1539","Hefyd yn ymddangos ar yr albwm mae Seckou Keita, y chwaraewr adnabyddus o Senegal, a Rowan Rheinigans, enillydd Gwobr Werin BBC Radio 2.","Gwerin","Ngwerin",NA,"Hefyd yn ymddangos ar yr albwm mae Seckou Keita, y chwaraewr adnabyddus o Senegal, a Rowan Rheinigans, enillydd Gwobr Gwerin BBC Radio 2.","Hefyd yn ymddangos ar yr albwm mae Seckou Keita, y chwaraewr adnabyddus o Senegal, a Rowan Rheinigans, enillydd Gwobr Ngwerin BBC Radio 2.",NA
"2321","Wnaeth hi chwerthin mor uchel.","Gwnaeth","Ngwnaeth",NA,"Gwnaeth hi chwerthin mor uchel.","Ngwnaeth hi chwerthin mor uchel.",NA
"3036","Gyda Chalan Gaeaf a Noson Tân Gwyllt wedi hen fynd heibio, yn naturiol, rydym yn dechrau meddwl am y Nadolig.","Calan","Galan","Nghalan","Gyda Calan Gaeaf a Noson Tân Gwyllt wedi hen fynd heibio, yn naturiol, rydym yn dechrau meddwl am y Nadolig.","Gyda Galan Gaeaf a Noson Tân Gwyllt wedi hen fynd heibio, yn naturiol, rydym yn dechrau meddwl am y Nadolig.","Gyda Nghalan Gaeaf a Noson Tân Gwyllt wedi hen fynd heibio, yn naturiol, rydym yn dechrau meddwl am y Nadolig."
"3265","Byddi ti'n lywydd.","llywydd",NA,NA,"Byddi ti'n llywydd.",NA,NA
"3811","Y mae'n hynod o ddiddorol i gael asesu'r wahanol fathau o ddamcaniaethau theatraidd a fodolir ers canrifoedd, a sut yr oedd yn datblygu wedi i nifer o ddigwyddiadau hanesyddol.","gwahanol","ngwahanol",NA,"Y mae'n hynod o ddiddorol i gael asesu'r gwahanol fathau o ddamcaniaethau theatraidd a fodolir ers canrifoedd, a sut yr oedd yn datblygu wedi i nifer o ddigwyddiadau hanesyddol.","Y mae'n hynod o ddiddorol i gael asesu'r ngwahanol fathau o ddamcaniaethau theatraidd a fodolir ers canrifoedd, a sut yr oedd yn datblygu wedi i nifer o ddigwyddiadau hanesyddol.",NA
"4109","Os am gymdeithasu yn Gymraeg beth am ymuno ag Adran neu Uwch Adran lle gellid wneud amrywiol weithgareddau yn wythnosol!","gwneud","ngwneud",NA,"Os am gymdeithasu yn Gymraeg beth am ymuno ag Adran neu Uwch Adran lle gellid gwneud amrywiol weithgareddau yn wythnosol!","Os am gymdeithasu yn Gymraeg beth am ymuno ag Adran neu Uwch Adran lle gellid ngwneud amrywiol weithgareddau yn wythnosol!",NA
"4280","Oes y Seintiau yw'r enw traddodiadol am y cyfnod ar ôl ymadawiad y Rhufeiniaid o Ynys Brydain pan ymledwyd Cristnogaeth gan genhadon brodorol ymhlith pobloedd Celtaidd Prydain ac Iwerddon.","Prydain","Mhrydain","Phrydain","Oes y Seintiau yw'r enw traddodiadol am y cyfnod ar ôl ymadawiad y Rhufeiniaid o Ynys Prydain pan ymledwyd Cristnogaeth gan genhadon brodorol ymhlith pobloedd Celtaidd Prydain ac Iwerddon.","Oes y Seintiau yw'r enw traddodiadol am y cyfnod ar ôl ymadawiad y Rhufeiniaid o Ynys Mhrydain pan ymledwyd Cristnogaeth gan genhadon brodorol ymhlith pobloedd Celtaidd Prydain ac Iwerddon.","Oes y Seintiau yw'r enw traddodiadol am y cyfnod ar ôl ymadawiad y Rhufeiniaid o Ynys Phrydain pan ymledwyd Cristnogaeth gan genhadon brodorol ymhlith pobloedd Celtaidd Prydain ac Iwerddon."
"5095","Coronodd ei yrfa focsio wych drwy ennill ei chweched ornest a deugain yn olynol.","gwych","ngwych",NA,"Coronodd ei yrfa focsio gwych drwy ennill ei chweched ornest a deugain yn olynol.","Coronodd ei yrfa focsio ngwych drwy ennill ei chweched ornest a deugain yn olynol.",NA
