item;sent_id;source;correct_sentence;correct_form;lemma;mutation_type;trigger_type;specific_trigger
0;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;phasio;pasio;AM;L;ei
1;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;mhob;pob;NM;L;ym
2;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;gydfynd;cydfynd;SM;L;i
3;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;cael;cael;no_AM;no_mutation;no_mutation
4;0;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.;gymuned;cymuned;SM;MS;num_fem_sing_noun
5;1;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.;nghanol;canol;NM;L;yng
6;1;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.;rhan;rhan;no_SM;no_mutation;no_mutation
7;1;https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko;O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.;wahodd;gwahodd;SM;MS;direct_object_mutation
8;2;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;gred;crec;SM;MS;def_art_fem_sing_noun
9;2;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;bresennol;presennol;SM;MS;fem_sing_noun_modifier
10;2;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;chapasiti;capasiti;AM;L;â
11;2;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.;bweru;pweru;SM;L;i
12;3;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint;prosiect;prosiect;no_AM;no_mutation;no_mutation
13;3;https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo;Y prosiect mwyaf sydd ar y gweill yw fferm solar Alaw Môn ar Ynys Môn, fydd yn 660 erw o faint;fydd;bod;SM;MS;relative_zero_trigger
