index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of item                                                                  0
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                     phasio
lemma                                                             pasio
mutation_type                                                        AM
trigger_type                                                          L
specific_trigger                                                     ei
token_id                                                            7.0
prev_word                                                            ei
incorrect_form                                                    pasio
incorrect_sentence    Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                             1
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,3.4767320976882683,3.359063570616675,-0.11766852707159314,"[11.751024590163935, 11.39344262295082, 11.317622950819672, 11.153688524590164, 11.07172131147541, 11.00204918032787, 10.90061475409836, 10.699795081967213, 10.504610655737705, 10.602459016393443, 49.606813524590166, 49.87986680327869, 50.439805327868854, 50.888063524590166, 51.415599385245905, 51.88319672131148, 52.517546106557376, 52.72720286885246, 52.942622950819676, 53.48872950819672, 54.010245901639344, 55.076588114754095, 54.89446721311475, 55.39830942622951, 55.782786885245905, 57.14011270491803, 58.36065573770492, 58.97781121926229, 61.099641393442624, 68.01229508196721, 77.14683657786885, 80.74064322377815, 89.32223514650688, 88.90868341141059, 97.71544410557043, 98.95711830014088, 97.41427712362321, 92.82369325981766, 89.34316794012413, 88.14917291383274, 75.56512394889457, 55.47144590244918, 3.4767320976882683]","[11.751024590163935, 11.390368852459016, 11.308401639344263, 11.15061475409836, 11.091188524590164, 11.01639344262295, 10.899590163934427, 10.698770491803279, 10.471311475409836, 10.538422131147541, 49.49564549180328, 49.75640368852459, 50.283043032786885, 50.64523565573771, 51.1844262295082, 51.62090163934426, 52.240266393442624, 52.38627049180328, 52.57095286885246, 53.138063524590166, 53.64446721311475, 54.72976434426229, 54.55327868852459, 55.05404713114754, 55.35476434426229, 56.72220799180328, 57.77551869877049, 58.18724385245902, 60.14180968237705, 67.17405225409836, 75.99001024590164, 78.9141345414959, 87.97617827868852, 86.7961065671483, 96.94544057963324, 98.71650070440573, 96.84040609148683, 92.75099731664189, 89.10310348917227, 88.23646731259393, 75.34853477556197, 54.938930431350336, 3.359063570616675]"
1,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of item                                                                  1
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       mhob
lemma                                                               pob
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                     ym
token_id                                                           15.0
prev_word                                                            ym
incorrect_form                                                      pob
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 1, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,3.4767320976882683,3.637933349609375,0.1612012519211068,"[11.751024590163935, 11.39344262295082, 11.317622950819672, 11.153688524590164, 11.07172131147541, 11.00204918032787, 10.90061475409836, 10.699795081967213, 10.504610655737705, 10.602459016393443, 49.606813524590166, 49.87986680327869, 50.439805327868854, 50.888063524590166, 51.415599385245905, 51.88319672131148, 52.517546106557376, 52.72720286885246, 52.942622950819676, 53.48872950819672, 54.010245901639344, 55.076588114754095, 54.89446721311475, 55.39830942622951, 55.782786885245905, 57.14011270491803, 58.36065573770492, 58.97781121926229, 61.099641393442624, 68.01229508196721, 77.14683657786885, 80.74064322377815, 89.32223514650688, 88.90868341141059, 97.71544410557043, 98.95711830014088, 97.41427712362321, 92.82369325981766, 89.34316794012413, 88.14917291383274, 75.56512394889457, 55.47144590244918, 3.4767320976882683]","[11.751041666666667, 11.378125, 11.301041666666666, 11.132291666666667, 11.076041666666667, 11.003125, 10.895833333333334, 10.664583333333333, 10.469270833333333, 10.544270833333334, 50.20104166666667, 50.49375, 51.120052083333334, 51.52317708333333, 52.10794270833333, 52.569010416666664, 53.17552083333333, 53.397135416666664, 53.590625, 54.15286458333333, 54.67760416666667, 55.76614583333333, 55.60768229166667, 56.129947916666666, 56.588802083333334, 57.89817708333333, 59.322265625, 59.862858072916666, 62.03567708333333, 69.09322916666666, 77.32630208333333, 80.70437847773233, 90.72005272308985, 90.01419270833334, 98.47243652542433, 100.20601501464844, 98.40041717688243, 93.96342838406562, 90.57608263691266, 89.70810050169626, 77.27144521077474, 57.671914013226825, 3.637933349609375]"
2,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of item                                                                  2
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gydfynd
lemma                                                           cydfynd
mutation_type                                                        SM
trigger_type                                                          L
specific_trigger                                                      i
token_id                                                           25.0
prev_word                                                             i
incorrect_form                                                  cydfynd
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 2, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,3.4767320976882683,3.452031781596522,-0.024700316091746277,"[11.751024590163935, 11.39344262295082, 11.317622950819672, 11.153688524590164, 11.07172131147541, 11.00204918032787, 10.90061475409836, 10.699795081967213, 10.504610655737705, 10.602459016393443, 49.606813524590166, 49.87986680327869, 50.439805327868854, 50.888063524590166, 51.415599385245905, 51.88319672131148, 52.517546106557376, 52.72720286885246, 52.942622950819676, 53.48872950819672, 54.010245901639344, 55.076588114754095, 54.89446721311475, 55.39830942622951, 55.782786885245905, 57.14011270491803, 58.36065573770492, 58.97781121926229, 61.099641393442624, 68.01229508196721, 77.14683657786885, 80.74064322377815, 89.32223514650688, 88.90868341141059, 97.71544410557043, 98.95711830014088, 97.41427712362321, 92.82369325981766, 89.34316794012413, 88.14917291383274, 75.56512394889457, 55.47144590244918, 3.4767320976882683]","[11.75100806451613, 11.391129032258064, 11.30141129032258, 11.131048387096774, 11.055443548387096, 10.972782258064516, 10.85483870967742, 10.631048387096774, 10.462197580645162, 10.54233870967742, 48.913306451612904, 49.20211693548387, 49.722026209677416, 50.16910282258065, 50.715473790322584, 51.17716733870968, 51.850680443548384, 51.996975806451616, 52.231350806451616, 52.707661290322584, 53.23059475806452, 54.330267137096776, 54.141129032258064, 54.66910282258065, 55.041078629032256, 56.33039314516129, 57.529076360887096, 58.161432081653224, 60.21830897177419, 67.10987903225806, 76.08600050403226, 79.3879715588785, 88.60736038607936, 87.85370464671043, 96.6434208135451, 97.67151961788055, 96.51445007324219, 92.14899155401415, 89.23783458625117, 87.69212980231931, 76.06205743358981, 56.964345968538716, 3.452031781596522]"
3,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of item                                                                  3
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       cael
lemma                                                              cael
mutation_type                                                     no_AM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            5.0
prev_word                                                            yn
incorrect_form                                                    chael
incorrect_sentence    Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                             1
Name: 3, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,3.4767320976882683,3.667202308529713,0.19047021084144466,"[11.751024590163935, 11.39344262295082, 11.317622950819672, 11.153688524590164, 11.07172131147541, 11.00204918032787, 10.90061475409836, 10.699795081967213, 10.504610655737705, 10.602459016393443, 49.606813524590166, 49.87986680327869, 50.439805327868854, 50.888063524590166, 51.415599385245905, 51.88319672131148, 52.517546106557376, 52.72720286885246, 52.942622950819676, 53.48872950819672, 54.010245901639344, 55.076588114754095, 54.89446721311475, 55.39830942622951, 55.782786885245905, 57.14011270491803, 58.36065573770492, 58.97781121926229, 61.099641393442624, 68.01229508196721, 77.14683657786885, 80.74064322377815, 89.32223514650688, 88.90868341141059, 97.71544410557043, 98.95711830014088, 97.41427712362321, 92.82369325981766, 89.34316794012413, 88.14917291383274, 75.56512394889457, 55.47144590244918, 3.4767320976882683]","[11.75, 11.398565573770492, 11.320696721311476, 11.156762295081966, 11.082991803278688, 11.024590163934427, 10.9375, 10.754610655737705, 10.582479508196721, 10.685963114754099, 49.72336065573771, 50.017930327868854, 50.58094262295082, 51.02996926229508, 51.614754098360656, 52.064549180327866, 52.681736680327866, 52.91367827868852, 53.12628073770492, 53.654456967213115, 54.2000512295082, 55.28253073770492, 55.15945184426229, 55.60860655737705, 55.877561475409834, 56.962858606557376, 58.057248975409834, 59.06931992827869, 61.16688012295082, 68.03483606557377, 76.60444415983606, 79.90813913892526, 89.01332030530835, 87.37972272810389, 95.04250048809364, 96.91591156506148, 95.76192586930071, 92.6917094558966, 90.00621421806147, 90.0421328212394, 77.71593258029125, 58.55945824990507, 3.667202308529713]"
4,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of item                                                                  4
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gymuned
lemma                                                           cymuned
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                      num_fem_sing_noun
token_id                                                           10.0
prev_word                                                            un
incorrect_form                                                  cymuned
incorrect_sentence    Oedd y fflam yn cael ei phasio o un cymuned i'...
num_diffs                                                             1
Name: 4, dtype: object>",0,gymuned,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cymuned,"Oedd y fflam yn cael ei phasio o un cymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",SM,MS,num_fem_sing_noun,3.4767320976882683,3.3824974798387095,-0.09423461784955878,"[11.751024590163935, 11.39344262295082, 11.317622950819672, 11.153688524590164, 11.07172131147541, 11.00204918032787, 10.90061475409836, 10.699795081967213, 10.504610655737705, 10.602459016393443, 49.606813524590166, 49.87986680327869, 50.439805327868854, 50.888063524590166, 51.415599385245905, 51.88319672131148, 52.517546106557376, 52.72720286885246, 52.942622950819676, 53.48872950819672, 54.010245901639344, 55.076588114754095, 54.89446721311475, 55.39830942622951, 55.782786885245905, 57.14011270491803, 58.36065573770492, 58.97781121926229, 61.099641393442624, 68.01229508196721, 77.14683657786885, 80.74064322377815, 89.32223514650688, 88.90868341141059, 97.71544410557043, 98.95711830014088, 97.41427712362321, 92.82369325981766, 89.34316794012413, 88.14917291383274, 75.56512394889457, 55.47144590244918, 3.4767320976882683]","[11.747983870967742, 11.389112903225806, 11.32258064516129, 11.15524193548387, 11.07258064516129, 10.983870967741936, 10.86491935483871, 10.663810483870968, 10.42741935483871, 10.497479838709678, 48.85786290322581, 49.14717741935484, 49.72681451612903, 50.23412298387097, 50.728578629032256, 51.192036290322584, 51.82157258064516, 52.07963709677419, 52.30871975806452, 52.822328629032256, 53.319556451612904, 54.37626008064516, 54.26008064516129, 54.71118951612903, 55.035786290322584, 56.49319556451613, 57.71887600806452, 58.083228326612904, 60.050025201612904, 67.19984879032258, 76.68220766129032, 80.86005229334677, 88.69959677419355, 87.44065031313127, 95.99968499329782, 96.98146204794607, 95.77541326707409, 90.77833885146725, 87.60990180507783, 85.73478249772903, 73.62177084722826, 53.86344501087743, 3.3824974798387095]"
5,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of item                                                                  5
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                    nghanol
lemma                                                             canol
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                    yng
token_id                                                            9.0
prev_word                                                           yng
incorrect_form                                                    canol
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng canol dinas Ba...
num_diffs                                                             1
Name: 5, dtype: object>",1,nghanol,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",canol,"O'n ni yn rhan o'r ras oedd yng canol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",NM,L,yng,4.30392853418986,4.487304183672059,0.18337564948219853,"[11.737268518518519, 11.412037037037036, 11.708333333333334, 11.518518518518519, 11.399305555555555, 11.275462962962964, 11.109953703703704, 10.840277777777779, 10.656828703703704, 10.613425925925926, 54.448495370370374, 54.8365162037037, 55.3587962962963, 55.81061921296296, 56.390625, 56.962673611111114, 57.428385416666664, 57.723379629629626, 57.6673900462963, 58.312355324074076, 58.65928819444444, 59.56358506944444, 59.595920138888886, 60.306857638888886, 60.50394241898148, 61.260891384548614, 62.063973603425204, 62.71011182996962, 64.92882264101947, 70.86606626157408, 77.00072339508269, 80.75665648778279, 91.03978606727388, 93.11567744502315, 98.72720675998264, 101.85582365813079, 103.14498004206905, 97.7774899314951, 91.70478487677045, 90.84940631301315, 77.03036104970508, 58.799997903682566, 4.30392853418986]","[11.735849056603774, 11.413915094339623, 11.681603773584905, 11.508254716981131, 11.411556603773585, 11.264150943396226, 11.10554245283019, 10.79127358490566, 10.612617924528301, 10.539504716981131, 55.211674528301884, 55.62028301886792, 56.140035377358494, 56.57841981132076, 57.214770047169814, 57.81043632075472, 58.21403301886792, 58.42393867924528, 58.34168632075472, 59.00117924528302, 59.413841391509436, 60.34220224056604, 60.44428066037736, 61.18499410377358, 61.5455483490566, 62.13067972435142, 63.009458002054465, 63.76182297040831, 65.85672357847106, 71.70752874410377, 78.33637973497498, 82.03781066750581, 91.52727023835452, 93.81632333431604, 99.17724839696345, 102.80947127657116, 104.25110446282153, 98.68632216948383, 93.55836922267697, 92.60408739773732, 78.66271454658148, 60.3496121483029, 4.487304183672059]"
6,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of item                                                                  6
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                       rhan
lemma                                                              rhan
mutation_type                                                     no_SM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            4.0
prev_word                                                            yn
incorrect_form                                                      ran
incorrect_sentence    O'n ni yn ran o'r ras oedd yng nghanol dinas B...
num_diffs                                                             1
Name: 6, dtype: object>",1,rhan,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",ran,"O'n ni yn ran o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",no_SM,no_mutation,no_mutation,4.30392853418986,4.436117118259646,0.13218858406978562,"[11.737268518518519, 11.412037037037036, 11.708333333333334, 11.518518518518519, 11.399305555555555, 11.275462962962964, 11.109953703703704, 10.840277777777779, 10.656828703703704, 10.613425925925926, 54.448495370370374, 54.8365162037037, 55.3587962962963, 55.81061921296296, 56.390625, 56.962673611111114, 57.428385416666664, 57.723379629629626, 57.6673900462963, 58.312355324074076, 58.65928819444444, 59.56358506944444, 59.595920138888886, 60.306857638888886, 60.50394241898148, 61.260891384548614, 62.063973603425204, 62.71011182996962, 64.92882264101947, 70.86606626157408, 77.00072339508269, 80.75665648778279, 91.03978606727388, 93.11567744502315, 98.72720675998264, 101.85582365813079, 103.14498004206905, 97.7774899314951, 91.70478487677045, 90.84940631301315, 77.03036104970508, 58.799997903682566, 4.30392853418986]","[11.73820754716981, 11.418632075471699, 11.737028301886792, 11.568396226415095, 11.441037735849056, 11.326650943396226, 11.181014150943396, 10.893278301886792, 10.741745283018869, 10.689858490566039, 55.34905660377358, 55.73201650943396, 56.26474056603774, 56.65860849056604, 57.21653891509434, 57.7467570754717, 58.21447523584906, 58.58475825471698, 58.56603773584906, 59.157871462264154, 59.49373525943396, 60.3274616745283, 60.447597287735846, 61.156434257075475, 61.258033608490564, 62.031664578419814, 62.929872620780515, 63.35942624649912, 65.33314193869536, 71.98274432488208, 77.8332842116086, 81.02167044945483, 92.29123692467527, 93.72853923293779, 99.58018867924528, 102.90449164048681, 104.17107434542675, 100.0224065668178, 95.352081064908, 94.92423812398371, 80.75001727410083, 62.5430217239092, 4.436117118259646]"
7,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of item                                                                  7
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                     wahodd
lemma                                                           gwahodd
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 direct_object_mutation
token_id                                                           15.0
prev_word                                                           nhw
incorrect_form                                                  gwahodd
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
num_diffs                                                             1
Name: 7, dtype: object>",1,wahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",gwahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw gwahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",SM,MS,direct_object_mutation,4.30392853418986,4.070106744766235,-0.23382178942362497,"[11.737268518518519, 11.412037037037036, 11.708333333333334, 11.518518518518519, 11.399305555555555, 11.275462962962964, 11.109953703703704, 10.840277777777779, 10.656828703703704, 10.613425925925926, 54.448495370370374, 54.8365162037037, 55.3587962962963, 55.81061921296296, 56.390625, 56.962673611111114, 57.428385416666664, 57.723379629629626, 57.6673900462963, 58.312355324074076, 58.65928819444444, 59.56358506944444, 59.595920138888886, 60.306857638888886, 60.50394241898148, 61.260891384548614, 62.063973603425204, 62.71011182996962, 64.92882264101947, 70.86606626157408, 77.00072339508269, 80.75665648778279, 91.03978606727388, 93.11567744502315, 98.72720675998264, 101.85582365813079, 103.14498004206905, 97.7774899314951, 91.70478487677045, 90.84940631301315, 77.03036104970508, 58.799997903682566, 4.30392853418986]","[11.744419642857142, 11.393973214285714, 11.65625, 11.4453125, 11.332589285714286, 11.224330357142858, 11.075892857142858, 10.776227678571429, 10.549665178571429, 10.463169642857142, 52.72154017857143, 53.08482142857143, 53.578125, 53.9873046875, 54.555385044642854, 55.167410714285715, 55.6318359375, 55.81919642857143, 55.781668526785715, 56.41810825892857, 56.729910714285715, 57.65736607142857, 57.648856026785715, 58.206821986607146, 58.44447544642857, 59.23927525111607, 60.11752591814314, 60.823756081717356, 62.92132248197283, 69.71121651785714, 75.83775115225997, 79.49191134316581, 89.38323120985713, 90.84140450613839, 97.623110092112, 100.06464059012276, 99.78712361199516, 94.14453270179885, 88.02216748467514, 87.78830865664142, 73.7728593136583, 55.936698853969574, 4.070106744766235]"
8,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of item                                                                  8
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                       gred
lemma                                                              cred
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                  def_art_fem_sing_noun
token_id                                                            2.0
prev_word                                                             Y
incorrect_form                                                     cred
incorrect_sentence    Y cred yw bod y system bresennol â chapasiti i...
num_diffs                                                             1
Name: 8, dtype: object>",2,gred,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",cred,"Y cred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,def_art_fem_sing_noun,5.043498883928572,5.2180319393382355,0.1745330554096638,"[11.732142857142858, 11.303571428571429, 11.219642857142857, 11.083928571428572, 10.996428571428572, 10.8875, 10.7375, 10.522321428571429, 10.260714285714286, 10.045535714285714, 77.13571428571429, 77.34821428571429, 77.66026785714286, 77.96160714285715, 78.65691964285715, 79.12276785714286, 79.38125, 79.72823660714286, 79.88504464285714, 80.31517857142858, 80.92466517857143, 81.51685267857142, 80.99017857142857, 81.6828125, 82.03191964285715, 82.46043526785714, 82.49128766741072, 82.70941685267857, 84.21510881696429, 90.36161329405648, 95.05272718157087, 104.96071428571429, 112.06428572790963, 111.33928572109767, 118.65357900347028, 124.97868259974888, 126.72483258928571, 126.83777553013392, 125.05206473214285, 126.99821428571428, 104.15051967075892, 77.83226056780134, 5.043498883928572]","[11.738970588235293, 11.334558823529411, 11.255514705882353, 11.110294117647058, 11.007352941176471, 10.878676470588236, 10.731617647058824, 10.541360294117647, 10.305147058823529, 10.174632352941176, 79.26746323529412, 79.42922794117646, 79.67279411764706, 79.96001838235294, 80.50229779411765, 80.91222426470588, 81.16176470588235, 81.3568474264706, 81.4896599264706, 82.15866268382354, 82.80537683823529, 83.4634650735294, 82.99821920955883, 83.64846622242646, 83.87046185661765, 84.1358283547794, 84.22679946001838, 84.61219518324909, 86.69766055836396, 93.02712062877767, 97.36770450367646, 103.45955882703556, 112.80147059524761, 112.61397077406154, 121.10296170851764, 126.80083870186525, 130.06985294117646, 129.88005545910667, 128.5128676470588, 131.12138127228792, 107.5884327713181, 79.87139623305377, 5.2180319393382355]"
9,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of item                                                                  9
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                  bresennol
lemma                                                         presennol
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 fem_sing_noun_modifier
token_id                                                            7.0
prev_word                                                        system
incorrect_form                                                presennol
incorrect_sentence    Y gred yw bod y system presennol â chapasiti i...
num_diffs                                                             1
Name: 9, dtype: object>",2,bresennol,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",presennol,"Y gred yw bod y system presennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,fem_sing_noun_modifier,5.043498883928572,5.1009988223805145,0.05749993845194279,"[11.732142857142858, 11.303571428571429, 11.219642857142857, 11.083928571428572, 10.996428571428572, 10.8875, 10.7375, 10.522321428571429, 10.260714285714286, 10.045535714285714, 77.13571428571429, 77.34821428571429, 77.66026785714286, 77.96160714285715, 78.65691964285715, 79.12276785714286, 79.38125, 79.72823660714286, 79.88504464285714, 80.31517857142858, 80.92466517857143, 81.51685267857142, 80.99017857142857, 81.6828125, 82.03191964285715, 82.46043526785714, 82.49128766741072, 82.70941685267857, 84.21510881696429, 90.36161329405648, 95.05272718157087, 104.96071428571429, 112.06428572790963, 111.33928572109767, 118.65357900347028, 124.97868259974888, 126.72483258928571, 126.83777553013392, 125.05206473214285, 126.99821428571428, 104.15051967075892, 77.83226056780134, 5.043498883928572]","[11.729779411764707, 11.306985294117647, 11.220588235294118, 11.084558823529411, 10.987132352941176, 10.889705882352942, 10.707720588235293, 10.462316176470589, 10.244485294117647, 10.124080882352942, 79.23115808823529, 79.54273897058823, 79.81525735294117, 80.07858455882354, 80.7318474264706, 81.29021139705883, 81.48988970588235, 81.86431525735294, 81.96897977941177, 82.51436121323529, 83.18646599264706, 83.82450597426471, 83.35707720588235, 84.0892693014706, 84.39866727941177, 84.68314855238971, 84.67578843060662, 85.15024521771599, 86.68047018612133, 92.39568509073818, 96.99100988051471, 105.7435661764706, 114.66911788197125, 114.44485307090423, 121.79444436465992, 127.04446231617646, 129.79503676470588, 129.15277099609375, 127.45209099264706, 129.324448827435, 106.19117647058823, 79.48931166704963, 5.1009988223805145]"
