index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of item                                                                  0
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                     phasio
lemma                                                             pasio
mutation_type                                                        AM
trigger_type                                                          L
specific_trigger                                                     ei
token_id                                                            7.0
prev_word                                                            ei
incorrect_form                                                    pasio
incorrect_sentence    Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                             1
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,2.080917762007032,2.0556796132654385,-0.02523814874159358,"[10.325, 10.004464285714286, 10.101785714285715, 10.012053571428572, 9.757589285714285, 9.520982142857143, 9.179464285714285, 8.803571428571429, 31.509375, 31.3171875, 31.11629464285714, 31.828069196428572, 31.852315848214285, 31.799148995535713, 31.60952845982143, 31.660302734375, 31.139236886160713, 31.45771356310163, 32.463355117184776, 34.31366064207894, 34.87302613769259, 36.544563298566004, 33.10670937810625, 25.392973477499826, 2.080917762007032]","[10.326992753623188, 10.009963768115941, 10.111413043478262, 10.003623188405797, 9.72463768115942, 9.45788043478261, 9.124547101449275, 8.737998188405797, 31.76653079710145, 31.58582427536232, 31.38586956521739, 32.111639492753625, 32.10790307971015, 32.053385416666664, 31.827304121376812, 31.893448539402176, 31.313724241394926, 31.583169190779977, 32.804288947063945, 34.69785165613976, 35.27847128501837, 37.27476637259774, 33.04965129278708, 25.436693112055462, 2.0556796132654385]"
1,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of item                                                                  1
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       mhob
lemma                                                               pob
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                     ym
token_id                                                           15.0
prev_word                                                            ym
incorrect_form                                                      pob
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 1, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,2.080917762007032,2.2740503146367916,0.1931325526297596,"[10.325, 10.004464285714286, 10.101785714285715, 10.012053571428572, 9.757589285714285, 9.520982142857143, 9.179464285714285, 8.803571428571429, 31.509375, 31.3171875, 31.11629464285714, 31.828069196428572, 31.852315848214285, 31.799148995535713, 31.60952845982143, 31.660302734375, 31.139236886160713, 31.45771356310163, 32.463355117184776, 34.31366064207894, 34.87302613769259, 36.544563298566004, 33.10670937810625, 25.392973477499826, 2.080917762007032]","[10.324448529411764, 10.0, 10.110294117647058, 10.026654411764707, 9.7890625, 9.558823529411764, 9.210018382352942, 8.843290441176471, 32.193704044117645, 32.01263786764706, 31.787224264705884, 32.5114315257353, 32.54856962316177, 32.500617532169116, 32.33419979319853, 32.37981818704044, 31.816837086397058, 32.1811785697937, 33.149782051058374, 35.05085223211962, 35.8458390148247, 36.37907012946465, 34.57267087697983, 26.996650516986847, 2.2740503146367916]"
2,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of item                                                                  2
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gydfynd
lemma                                                           cydfynd
mutation_type                                                        SM
trigger_type                                                          L
specific_trigger                                                      i
token_id                                                           25.0
prev_word                                                             i
incorrect_form                                                  cydfynd
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 2, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,2.080917762007032,2.1736214450427465,0.09270368303571441,"[10.325, 10.004464285714286, 10.101785714285715, 10.012053571428572, 9.757589285714285, 9.520982142857143, 9.179464285714285, 8.803571428571429, 31.509375, 31.3171875, 31.11629464285714, 31.828069196428572, 31.852315848214285, 31.799148995535713, 31.60952845982143, 31.660302734375, 31.139236886160713, 31.45771356310163, 32.463355117184776, 34.31366064207894, 34.87302613769259, 36.544563298566004, 33.10670937810625, 25.392973477499826, 2.080917762007032]","[10.326785714285714, 10.00625, 10.102678571428571, 10.025446428571428, 9.773660714285715, 9.539732142857142, 9.197321428571428, 8.825, 31.512276785714285, 31.30625, 31.10580357142857, 31.82963169642857, 31.854547991071428, 31.780398995535716, 31.600376674107142, 31.639767020089284, 31.19950474330357, 31.519041688101634, 32.60039124999727, 34.528879104341776, 35.15711152383259, 37.03096078634262, 33.75767049108233, 25.884721520968846, 2.1736214450427465]"
3,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of item                                                                  3
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       cael
lemma                                                              cael
mutation_type                                                     no_AM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            5.0
prev_word                                                            yn
incorrect_form                                                    chael
incorrect_sentence    Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                             1
Name: 3, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,2.080917762007032,2.2388885123389106,0.15797075033187857,"[10.325, 10.004464285714286, 10.101785714285715, 10.012053571428572, 9.757589285714285, 9.520982142857143, 9.179464285714285, 8.803571428571429, 31.509375, 31.3171875, 31.11629464285714, 31.828069196428572, 31.852315848214285, 31.799148995535713, 31.60952845982143, 31.660302734375, 31.139236886160713, 31.45771356310163, 32.463355117184776, 34.31366064207894, 34.87302613769259, 36.544563298566004, 33.10670937810625, 25.392973477499826, 2.080917762007032]","[10.325892857142858, 10.008035714285715, 10.10982142857143, 10.022767857142858, 9.785267857142857, 9.549553571428572, 9.211160714285715, 8.847767857142857, 31.566294642857144, 31.352120535714285, 31.166852678571427, 31.845703125, 31.875111607142856, 31.82120535714286, 31.637137276785715, 31.740380859375, 31.3076171875, 31.64973392486572, 32.70209646395275, 34.68199021816254, 35.47169369459152, 37.083149179390496, 33.883860976355415, 26.521135078157698, 2.2388885123389106]"
4,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of item                                                                  4
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gymuned
lemma                                                           cymuned
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                      num_fem_sing_noun
token_id                                                           10.0
prev_word                                                            un
incorrect_form                                                  cymuned
incorrect_sentence    Oedd y fflam yn cael ei phasio o un cymuned i'...
num_diffs                                                             1
Name: 4, dtype: object>",0,gymuned,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cymuned,"Oedd y fflam yn cael ei phasio o un cymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",SM,MS,num_fem_sing_noun,2.080917762007032,2.0569250788007465,-0.02399268320628556,"[10.325, 10.004464285714286, 10.101785714285715, 10.012053571428572, 9.757589285714285, 9.520982142857143, 9.179464285714285, 8.803571428571429, 31.509375, 31.3171875, 31.11629464285714, 31.828069196428572, 31.852315848214285, 31.799148995535713, 31.60952845982143, 31.660302734375, 31.139236886160713, 31.45771356310163, 32.463355117184776, 34.31366064207894, 34.87302613769259, 36.544563298566004, 33.10670937810625, 25.392973477499826, 2.080917762007032]","[10.325892857142858, 10.008928571428571, 10.102678571428571, 10.011160714285714, 9.760714285714286, 9.529017857142858, 9.190178571428572, 8.806919642857142, 31.5015625, 31.298772321428572, 31.103348214285713, 31.809207589285716, 31.843777901785714, 31.80118582589286, 31.652804129464286, 31.694991629464287, 31.180873325892858, 31.465306391034808, 32.3578045300075, 34.203626103060586, 34.59623554604394, 36.063524869510104, 32.5963255575725, 24.97218483856746, 2.0569250788007465]"
5,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of item                                                                  5
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                    nghanol
lemma                                                             canol
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                    yng
token_id                                                            9.0
prev_word                                                           yng
incorrect_form                                                    canol
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng canol dinas Ba...
num_diffs                                                             1
Name: 5, dtype: object>",1,nghanol,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",canol,"O'n ni yn rhan o'r ras oedd yng canol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",NM,L,yng,2.6475946756831386,2.9203418578420366,0.27274718215889804,"[10.322368421052632, 10.023026315789474, 10.230263157894736, 10.193530701754385, 9.962719298245615, 9.68421052631579, 9.349780701754385, 8.776315789473685, 36.66063596491228, 36.40241228070175, 36.317434210526315, 36.56578947368421, 36.524945175438596, 36.433936403508774, 36.38113349780702, 36.42763157894737, 36.040672971491226, 36.03882050095943, 37.157051956444455, 39.459986090660095, 41.76771160385065, 42.41477748176508, 38.96612616589195, 31.08882010819619, 2.6475946756831386]","[10.324776785714286, 10.0390625, 10.268973214285714, 10.241071428571429, 10.03125, 9.754464285714286, 9.448660714285714, 8.895089285714286, 37.31333705357143, 37.058314732142854, 36.962193080357146, 37.21470424107143, 37.187918526785715, 37.076729910714285, 37.06141880580357, 37.13588169642857, 36.703892299107146, 36.808462960379465, 38.02922282900129, 40.533247494271826, 43.13753379029887, 43.97336491303785, 40.488539308309555, 32.763046281678335, 2.9203418578420366]"
6,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of item                                                                  6
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                       rhan
lemma                                                              rhan
mutation_type                                                     no_SM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            4.0
prev_word                                                            yn
incorrect_form                                                      ran
incorrect_sentence    O'n ni yn ran o'r ras oedd yng nghanol dinas B...
num_diffs                                                             1
Name: 6, dtype: object>",1,rhan,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",ran,"O'n ni yn ran o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",no_SM,no_mutation,no_mutation,2.6475946756831386,2.7757867170231685,0.12819204134002993,"[10.322368421052632, 10.023026315789474, 10.230263157894736, 10.193530701754385, 9.962719298245615, 9.68421052631579, 9.349780701754385, 8.776315789473685, 36.66063596491228, 36.40241228070175, 36.317434210526315, 36.56578947368421, 36.524945175438596, 36.433936403508774, 36.38113349780702, 36.42763157894737, 36.040672971491226, 36.03882050095943, 37.157051956444455, 39.459986090660095, 41.76771160385065, 42.41477748176508, 38.96612616589195, 31.08882010819619, 2.6475946756831386]","[10.325892857142858, 10.0390625, 10.260044642857142, 10.233816964285714, 10.013950892857142, 9.736049107142858, 9.411272321428571, 8.853794642857142, 37.242745535714285, 36.997767857142854, 36.912527901785715, 37.1396484375, 37.078892299107146, 36.994210379464285, 36.969935825892854, 37.122628348214285, 36.804966517857146, 36.9389157976423, 38.02511058534895, 40.396640811647686, 42.92048094528062, 43.62338991676058, 40.50579376518726, 32.1879910081625, 2.7757867170231685]"
7,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of item                                                                  7
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                     wahodd
lemma                                                           gwahodd
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 direct_object_mutation
token_id                                                           15.0
prev_word                                                           nhw
incorrect_form                                                  gwahodd
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
num_diffs                                                             1
Name: 7, dtype: object>",1,wahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",gwahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw gwahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",SM,MS,direct_object_mutation,2.6475946756831386,2.6214944514734992,-0.02610022420963931,"[10.322368421052632, 10.023026315789474, 10.230263157894736, 10.193530701754385, 9.962719298245615, 9.68421052631579, 9.349780701754385, 8.776315789473685, 36.66063596491228, 36.40241228070175, 36.317434210526315, 36.56578947368421, 36.524945175438596, 36.433936403508774, 36.38113349780702, 36.42763157894737, 36.040672971491226, 36.03882050095943, 37.157051956444455, 39.459986090660095, 41.76771160385065, 42.41477748176508, 38.96612616589195, 31.08882010819619, 2.6475946756831386]","[10.32219827586207, 10.018318965517242, 10.213362068965518, 10.174030172413794, 9.93426724137931, 9.647629310344827, 9.30657327586207, 8.727909482758621, 36.09671336206897, 35.838362068965516, 35.76131465517241, 36.02316810344828, 35.950633081896555, 35.843884698275865, 35.78781654094828, 35.82772090517241, 35.4571322737069, 35.43524169921875, 36.43410827373636, 38.463038532898345, 40.48267556470016, 41.15057789868322, 37.58084219283071, 30.226103476409254, 2.6214944514734992]"
8,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of item                                                                  8
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                       gred
lemma                                                              cred
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                  def_art_fem_sing_noun
token_id                                                            2.0
prev_word                                                             Y
incorrect_form                                                     cred
incorrect_sentence    Y cred yw bod y system bresennol â chapasiti i...
num_diffs                                                             1
Name: 8, dtype: object>",2,gred,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",cred,"Y cred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,def_art_fem_sing_noun,2.9633584552341037,3.0405850172042848,0.07722656197018107,"[10.34375, 10.164930555555555, 10.84375, 10.890625, 10.746527777777779, 10.65451388888889, 10.397569444444445, 9.63454861111111, 54.630208333333336, 54.642795138888886, 54.45855034722222, 54.32378472222222, 54.498263888888886, 54.056477864583336, 53.969943576388886, 53.502658420138886, 52.87682088216146, 52.999261644151474, 53.9177029132843, 55.53033878405889, 56.3246556851599, 57.97892441352209, 50.32530506120788, 37.340798791911865, 2.9633584552341037]","[10.342857142857143, 10.175, 10.8875, 10.971428571428572, 10.855357142857143, 10.764285714285714, 10.519642857142857, 9.782142857142857, 55.83571428571429, 55.62589285714286, 55.64107142857143, 55.47790178571429, 55.39296875, 54.910491071428574, 54.79380580357143, 54.5908203125, 54.05035226004464, 54.09533865792411, 55.17920093536377, 57.113468752588545, 57.86939126764025, 59.15329884460994, 51.58493184702737, 38.81655931472778, 3.0405850172042848]"
9,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of item                                                                  9
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                  bresennol
lemma                                                         presennol
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 fem_sing_noun_modifier
token_id                                                            7.0
prev_word                                                        system
incorrect_form                                                presennol
incorrect_sentence    Y gred yw bod y system presennol â chapasiti i...
num_diffs                                                             1
Name: 9, dtype: object>",2,bresennol,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",presennol,"Y gred yw bod y system presennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,fem_sing_noun_modifier,2.9633584552341037,2.972302998815264,0.008944543581160147,"[10.34375, 10.164930555555555, 10.84375, 10.890625, 10.746527777777779, 10.65451388888889, 10.397569444444445, 9.63454861111111, 54.630208333333336, 54.642795138888886, 54.45855034722222, 54.32378472222222, 54.498263888888886, 54.056477864583336, 53.969943576388886, 53.502658420138886, 52.87682088216146, 52.999261644151474, 53.9177029132843, 55.53033878405889, 56.3246556851599, 57.97892441352209, 50.32530506120788, 37.340798791911865, 2.9633584552341037]","[10.346428571428572, 10.160714285714286, 10.864285714285714, 10.932142857142857, 10.814285714285715, 10.730357142857143, 10.483035714285714, 9.73482142857143, 55.840178571428574, 55.652678571428574, 55.73303571428571, 55.622767857142854, 55.51517857142857, 55.005580357142854, 54.9296875, 54.586049107142856, 53.969880022321426, 54.031238664899554, 55.06721295629229, 56.63364544595991, 57.5787632056645, 59.216219888414656, 51.494751708848135, 37.86613659858703, 2.972302998815264]"
