sent_id	sentence	sentence_en	mutated_word	lemma	mutation_type	token_id	pos	dep_rel	features	verb_form	previous_word	previous_lemma	prev_pos	prev_features	before_previous_word	head_id	head_form	head_pos	head_feats	head_gender	head_number	trigger_type	specific_trigger
cy_ccg_train:00359	Y mae'n hynod o ddiddorol i gael asesu'r wahanol fathau o ddamcaniaethau theatraidd a fodolir ers canrifoedd, a sut yr oedd yn datblygu wedi i nifer o ddigwyddiadau hanesyddol.	It is particularly interesting to assess the different types of theatrical theories that have existed for centuries, and how it developed after a number of historical events.	wahanol	gwahanol	SM	11	ADJ	amod	{'Degree': 'Pos', 'Mutation': 'SM'}		'r	y	DET	{'PronType': 'Art'}	asesu	12	fathau	NOUN	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Plur'}	Masc	Plur	MS	adj_before_noun
cy_ccg_train:00910	Sut long ddaru ti deithio ynddi?	What kind of ship do you travel in?	long	llong	SM	2	NOUN	root	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}		Sut	sut	ADV			0						MS	adj_before_noun
cy_ccg_train:01174	Ers agor yn 1983 rydyn ni wedi helpu miloedd o ddarpar dechnegwyr, hyrwyddwyr, perfformwyr, ffotograffwyr a mwy yn ystod camau cynnar eu gyrfaoedd.		dechnegwyr	technegwr	SM	13	NOUN	nmod	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Plur'}		ddarpar	darpar	NOUN	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}	o	12	o	ADP				MS	adj_before_noun
cy_ccg_train:01221	Mae'r sgiliau a'r profiadau y byddwch yn eu hennill yn cael eu gwerthfawrogi'n fawr gan ddarpar gyflogwyr ac yn caniatáu i'n graddedigion ddilyn amrywiaeth eang o yrfaoedd.		gyflogwyr	cyflogwr	SM	20	NOUN	nmod	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Plur'}		ddarpar	darpar	NOUN	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}	gan	19	ddarpar	NOUN	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}	Masc	Sing	MS	adj_before_noun
cy_ccg_dev:00055	"Maen nhw'n prynu a choginio bwyd i'w gilydd pob nos, fel pâr hen briod; ond yn gadael y llestri ym mhob man."	"They buy and cook food for each other every night, like an old married couple; but leave the dishes everywhere."	briod	priod	SM	17	ADJ	amod	{'Degree': 'Pos', 'Mutation': 'SM'}		hen	hen	ADJ	{'Degree': 'Pos'}	pâr	15	pâr	NOUN	{'Gender': 'Masc', 'Number': 'Sing'}	Masc	Sing	MS	adj_before_noun
cy_ccg_dev:00264	Credwn mewn dinasyddiaeth gynhwysol, sy'n croesawu a dathlu'r ffaith fod pob un – o ba bynnag gefndir – sy'n dewis gwneud Cymru yn gartref iddynt yn ddinasyddion llawn y Gymru newydd.	We believe in inclusive citizenship, which welcomes and celebrates the fact that everyone - whatever their background - who chooses to make Wales their home is full citizens of the new Wales.	gefndir	cefndir	SM	20	NOUN	nmod	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}		bynnag	pynnag	ADV	{'Mutation': 'SM'}	ba	15	un	NUM	{'NumForm': 'Word', 'NumType': 'Card'}			MS	adj_before_noun
cy_ccg_dev:00347	Ar gyfer y sawl sy'n methu ag ymweld â'u llyfrgell i gasglu llyfrau - am ba bynnag reswm - bydd modd archebu llyfrau ar gyfer eu cludo i'r cartref.	For those unable to visit their library to collect books - for whatever reason - books can be ordered for home delivery.	reswm	rheswm	SM	20	NOUN	nmod	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}		bynnag	pynnag	ADV	{'Mutation': 'SM'}	ba	7	methu	NOUN	{'Number': 'Sing', 'VerbForm': 'Vnoun'}		Sing	MS	adj_before_noun
cy_ccg_test:00208	Pan fydd rhagor o wybodaeth ar gael i'w rhannu, a ddaw'r Dirprwy Weinidog yn ei hôl i'r Siambr i roi adroddiad ehangach?	When more information is available to share, will the Deputy Minister come back to the Chamber to give a wider report?	Weinidog	gweinidog	SM	16	NOUN	nmod	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}		Dirprwy	dirprwy	NOUN	{'Gender': 'Masc', 'Number': 'Sing'}	'r	15	Dirprwy	NOUN	{'Gender': 'Masc', 'Number': 'Sing'}	Masc	Sing	MS	adj_before_noun
cy_ccg_test:00323	A wnewch chi ymuno â mi i groesawu gwaith da y Dirprwy Brif Weinidog a'r Gweinidog dros yr Economi a Thrafnidiaeth wrth hyrwyddo economi Abertawe ar yr adeg anodd hon?	Will you join me in welcoming the good work of the Deputy First Minister and Minister for the Economy and Transport in promoting the Swansea economy at this difficult time?	Brif	prif	SM	13	ADJ	amod	{'Degree': 'Pos', 'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}		Dirprwy	dirprwy	ADJ	{'Degree': 'Pos', 'Gender': 'Masc', 'Number': 'Sing'}	y	14	Weinidog	NOUN	{'Gender': 'Masc', 'Mutation': 'SM', 'Number': 'Sing'}	Masc	Sing	MS	adj_before_noun
cy_ccg_test:00518	Yn ogystal, er mwyn ei gwneud hi'n haws ichi setlo yn ystod eich semester cyntaf, rhoddir Arweinydd Cyfoed i bob glasfyfyriwr: hynny yw, myfyriwr o'r ail neu'r drydedd flwyddyn a fydd yn barod i roi gair o gyngor ichi am faterion yn ymwneud â bywyd myfyriwr nodweddiadol.	In addition, to make it easier for you to settle in your first semester, each fresher is given a Peer Guide: that is, a second or third year student who will be ready to give you some advice about issues related to typical student life.	drydedd	trydydd	SM	36	ADJ	conj	{'Degree': 'Pos', 'Gender': 'Fem', 'Mutation': 'SM', 'NumType': 'Ord'}		'r	y	DET	{'PronType': 'Art'}	neu	33	'r	DET	{'PronType': 'Art'}			MS	fem_sing_noun_modifier
