index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,incorrect_form_mut_type,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 0
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         pasio
incorrect_sentence         Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,none,2.080917762007032,2.0556796132654385,-0.02523814874159358,"[10.325, 10.004464285714286, 10.101785714285715, 10.012053571428572, 9.757589285714285, 9.520982142857143, 9.179464285714285, 8.803571428571429, 31.509375, 31.3171875, 31.11629464285714, 31.828069196428572, 31.852315848214285, 31.799148995535713, 31.60952845982143, 31.660302734375, 31.139236886160713, 31.45771356310163, 32.463355117184776, 34.31366064207894, 34.87302613769259, 36.544563298566004, 33.10670937810625, 25.392973477499826, 2.080917762007032]","[10.326992753623188, 10.009963768115941, 10.111413043478262, 10.003623188405797, 9.72463768115942, 9.45788043478261, 9.124547101449275, 8.737998188405797, 31.76653079710145, 31.58582427536232, 31.38586956521739, 32.111639492753625, 32.10790307971015, 32.053385416666664, 31.827304121376812, 31.893448539402176, 31.313724241394926, 31.583169190779977, 32.804288947063945, 34.69785165613976, 35.27847128501837, 37.27476637259774, 33.04965129278708, 25.436693112055462, 2.0556796132654385]"
1,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 1
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         basio
incorrect_sentence         Oedd y fflam yn cael ei basio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 1, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",basio,"Oedd y fflam yn cael ei basio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,SM,2.080917762007032,2.007663319076317,-0.07325444293071515,"[10.325, 10.004464285714286, 10.101785714285715, 10.012053571428572, 9.757589285714285, 9.520982142857143, 9.179464285714285, 8.803571428571429, 31.509375, 31.3171875, 31.11629464285714, 31.828069196428572, 31.852315848214285, 31.799148995535713, 31.60952845982143, 31.660302734375, 31.139236886160713, 31.45771356310163, 32.463355117184776, 34.31366064207894, 34.87302613769259, 36.544563298566004, 33.10670937810625, 25.392973477499826, 2.080917762007032]","[10.326992753623188, 10.016304347826088, 10.11231884057971, 10.006340579710145, 9.727355072463768, 9.467391304347826, 9.127264492753623, 8.771286231884059, 31.790534420289855, 31.594995471014492, 31.402173913043477, 32.12777400362319, 32.13586956521739, 32.063674705615945, 31.84469825634058, 31.912045686141305, 31.303093509397645, 31.59221881368886, 32.78448822532875, 34.78992965601493, 35.293777483097024, 37.2746792409731, 33.09453283531079, 25.25183181659035, 2.007663319076317]"
2,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 2
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                        mhasio
incorrect_sentence         Oedd y fflam yn cael ei mhasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 2, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",mhasio,"Oedd y fflam yn cael ei mhasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,NM,2.080917762007032,2.2626982297216145,0.18178046771458245,"[10.325, 10.004464285714286, 10.101785714285715, 10.012053571428572, 9.757589285714285, 9.520982142857143, 9.179464285714285, 8.803571428571429, 31.509375, 31.3171875, 31.11629464285714, 31.828069196428572, 31.852315848214285, 31.799148995535713, 31.60952845982143, 31.660302734375, 31.139236886160713, 31.45771356310163, 32.463355117184776, 34.31366064207894, 34.87302613769259, 36.544563298566004, 33.10670937810625, 25.392973477499826, 2.080917762007032]","[10.325892857142858, 10.019642857142857, 10.113392857142857, 10.019196428571428, 9.744196428571428, 9.49955357142857, 9.169196428571428, 8.794642857142858, 31.47700892857143, 31.26986607142857, 31.069642857142856, 31.78549107142857, 31.805691964285714, 31.723284040178573, 31.499720982142858, 31.509207589285715, 30.991943359375, 31.2344357081822, 32.442474813120704, 34.68437876871654, 35.365749086652485, 36.867017769813536, 34.11192831311907, 26.77920502253941, 2.2626982297216145]"
3,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 3
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           pob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 3, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,none,2.080917762007032,2.2740503146367916,0.1931325526297596,"[10.325, 10.004464285714286, 10.101785714285715, 10.012053571428572, 9.757589285714285, 9.520982142857143, 9.179464285714285, 8.803571428571429, 31.509375, 31.3171875, 31.11629464285714, 31.828069196428572, 31.852315848214285, 31.799148995535713, 31.60952845982143, 31.660302734375, 31.139236886160713, 31.45771356310163, 32.463355117184776, 34.31366064207894, 34.87302613769259, 36.544563298566004, 33.10670937810625, 25.392973477499826, 2.080917762007032]","[10.324448529411764, 10.0, 10.110294117647058, 10.026654411764707, 9.7890625, 9.558823529411764, 9.210018382352942, 8.843290441176471, 32.193704044117645, 32.01263786764706, 31.787224264705884, 32.5114315257353, 32.54856962316177, 32.500617532169116, 32.33419979319853, 32.37981818704044, 31.816837086397058, 32.1811785697937, 33.149782051058374, 35.05085223211962, 35.8458390148247, 36.37907012946465, 34.57267087697983, 26.996650516986847, 2.2740503146367916]"
4,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 4
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           bob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 4, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",bob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym bob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,SM,2.080917762007032,2.2194474140803018,0.13852965207326973,"[10.325, 10.004464285714286, 10.101785714285715, 10.012053571428572, 9.757589285714285, 9.520982142857143, 9.179464285714285, 8.803571428571429, 31.509375, 31.3171875, 31.11629464285714, 31.828069196428572, 31.852315848214285, 31.799148995535713, 31.60952845982143, 31.660302734375, 31.139236886160713, 31.45771356310163, 32.463355117184776, 34.31366064207894, 34.87302613769259, 36.544563298566004, 33.10670937810625, 25.392973477499826, 2.080917762007032]","[10.32427536231884, 10.0, 10.096920289855072, 10.016757246376812, 9.780797101449275, 9.554347826086957, 9.218297101449275, 8.85643115942029, 31.894701086956523, 31.70018115942029, 31.499320652173914, 32.22854393115942, 32.26061480978261, 32.23192651721015, 32.07027004076087, 32.10988451086956, 31.559181102807973, 31.848572109056555, 32.88431044074073, 34.91970055517943, 35.586674837098606, 36.57594756803651, 33.938659875289254, 26.335680298183274, 2.2194474140803018]"
5,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 5
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                          phob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 5, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",phob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym phob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,AM,2.080917762007032,2.2601813095203345,0.17926354751330242,"[10.325, 10.004464285714286, 10.101785714285715, 10.012053571428572, 9.757589285714285, 9.520982142857143, 9.179464285714285, 8.803571428571429, 31.509375, 31.3171875, 31.11629464285714, 31.828069196428572, 31.852315848214285, 31.799148995535713, 31.60952845982143, 31.660302734375, 31.139236886160713, 31.45771356310163, 32.463355117184776, 34.31366064207894, 34.87302613769259, 36.544563298566004, 33.10670937810625, 25.392973477499826, 2.080917762007032]","[10.32336956521739, 9.992753623188406, 10.091485507246377, 10.017210144927537, 9.778532608695652, 9.552083333333334, 9.218297101449275, 8.846014492753623, 31.85552536231884, 31.66508152173913, 31.446557971014492, 32.16174139492754, 32.18452785326087, 32.13160948822464, 31.985832767210145, 32.023621490036234, 31.45057036911232, 31.82575618356898, 32.93615464369456, 34.98608028197634, 35.84435169765915, 36.492300750552744, 34.3185520120289, 26.70112279359845, 2.2601813095203345]"
6,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 6
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                       cydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 6, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,none,2.080917762007032,2.1736214450427465,0.09270368303571441,"[10.325, 10.004464285714286, 10.101785714285715, 10.012053571428572, 9.757589285714285, 9.520982142857143, 9.179464285714285, 8.803571428571429, 31.509375, 31.3171875, 31.11629464285714, 31.828069196428572, 31.852315848214285, 31.799148995535713, 31.60952845982143, 31.660302734375, 31.139236886160713, 31.45771356310163, 32.463355117184776, 34.31366064207894, 34.87302613769259, 36.544563298566004, 33.10670937810625, 25.392973477499826, 2.080917762007032]","[10.326785714285714, 10.00625, 10.102678571428571, 10.025446428571428, 9.773660714285715, 9.539732142857142, 9.197321428571428, 8.825, 31.512276785714285, 31.30625, 31.10580357142857, 31.82963169642857, 31.854547991071428, 31.780398995535716, 31.600376674107142, 31.639767020089284, 31.19950474330357, 31.519041688101634, 32.60039124999727, 34.528879104341776, 35.15711152383259, 37.03096078634262, 33.75767049108233, 25.884721520968846, 2.1736214450427465]"
7,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 7
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                     nghydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 7, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",nghydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i nghydfynd â'r ras.",SM,L,i,NM,2.080917762007032,2.3010863938801727,0.22016863187314062,"[10.325, 10.004464285714286, 10.101785714285715, 10.012053571428572, 9.757589285714285, 9.520982142857143, 9.179464285714285, 8.803571428571429, 31.509375, 31.3171875, 31.11629464285714, 31.828069196428572, 31.852315848214285, 31.799148995535713, 31.60952845982143, 31.660302734375, 31.139236886160713, 31.45771356310163, 32.463355117184776, 34.31366064207894, 34.87302613769259, 36.544563298566004, 33.10670937810625, 25.392973477499826, 2.080917762007032]","[10.32394366197183, 9.994718309859154, 10.077464788732394, 9.984595070422536, 9.731073943661972, 9.50044014084507, 9.149647887323944, 8.777728873239436, 31.160431338028168, 30.99449823943662, 30.776188380281692, 31.501045334507044, 31.535733934859156, 31.476933868838028, 31.331137213908452, 31.393080160651408, 30.964300451144368, 31.27790641784668, 32.41281146566633, 34.256838402277985, 34.94845473766327, 36.87558158014862, 33.661984621638986, 26.094696839090805, 2.3010863938801727]"
8,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 8
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                      chydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 8, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i chydfynd â'r ras.",SM,L,i,AM,2.080917762007032,2.1183454167674967,0.03742765476046461,"[10.325, 10.004464285714286, 10.101785714285715, 10.012053571428572, 9.757589285714285, 9.520982142857143, 9.179464285714285, 8.803571428571429, 31.509375, 31.3171875, 31.11629464285714, 31.828069196428572, 31.852315848214285, 31.799148995535713, 31.60952845982143, 31.660302734375, 31.139236886160713, 31.45771356310163, 32.463355117184776, 34.31366064207894, 34.87302613769259, 36.544563298566004, 33.10670937810625, 25.392973477499826, 2.080917762007032]","[10.326584507042254, 10.003521126760564, 10.095070422535212, 10.014524647887324, 9.755281690140846, 9.52156690140845, 9.183978873239436, 8.808098591549296, 31.195422535211268, 30.993397887323944, 30.79863556338028, 31.47353653169014, 31.500082526408452, 31.44326309419014, 31.2626953125, 31.30065058318662, 30.862187775088028, 31.12341698122696, 32.15736472270858, 33.77444059748045, 34.39657426384133, 35.896671575559694, 32.72804781248872, 25.15357088035261, 2.1183454167674967]"
9,britllm/TransWebLLM,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 9
item                                                                       3
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            cael
lemma                                                                   cael
mutation_type                                                          no_AM
trigger_type                                                     no_mutation
specific_trigger                                                 no_mutation
token_id                                                                 5.0
prev_word                                                                 yn
incorrect_form                                                         chael
incorrect_sentence         Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 9, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,AM,2.080917762007032,2.2388885123389106,0.15797075033187857,"[10.325, 10.004464285714286, 10.101785714285715, 10.012053571428572, 9.757589285714285, 9.520982142857143, 9.179464285714285, 8.803571428571429, 31.509375, 31.3171875, 31.11629464285714, 31.828069196428572, 31.852315848214285, 31.799148995535713, 31.60952845982143, 31.660302734375, 31.139236886160713, 31.45771356310163, 32.463355117184776, 34.31366064207894, 34.87302613769259, 36.544563298566004, 33.10670937810625, 25.392973477499826, 2.080917762007032]","[10.325892857142858, 10.008035714285715, 10.10982142857143, 10.022767857142858, 9.785267857142857, 9.549553571428572, 9.211160714285715, 8.847767857142857, 31.566294642857144, 31.352120535714285, 31.166852678571427, 31.845703125, 31.875111607142856, 31.82120535714286, 31.637137276785715, 31.740380859375, 31.3076171875, 31.64973392486572, 32.70209646395275, 34.68199021816254, 35.47169369459152, 37.083149179390496, 33.883860976355415, 26.521135078157698, 2.2388885123389106]"
