index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,incorrect_form_mut_type,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,goldfish-models/cym_latn_100mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 0
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         pasio
incorrect_sentence         Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,none,3.8679197147621642,3.925709345524332,0.05778963076216792,"[10.745987973894392, 10.15683822631836, 9.769482367379325, 9.325488676343646, 8.855893734523228, 8.465840816497803, 8.035041918073382, 7.666941561017718, 7.219239003317696, 6.8173031193869456, 6.505247449874878, 6.319284275599888, 3.8679197147621642]","[10.7351742880685, 10.145486395699637, 9.770179884774345, 9.344728360857282, 8.893356541224888, 8.512671089172363, 8.077535288674492, 7.713463020324707, 7.279732159205845, 6.887433699199131, 6.576407732282366, 6.392705358777728, 3.925709345524332]"
1,goldfish-models/cym_latn_100mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 1
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         basio
incorrect_sentence         Oedd y fflam yn cael ei basio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 1, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",basio,"Oedd y fflam yn cael ei basio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,SM,3.8679197147621642,3.8055103978009095,-0.062409316961254735,"[10.745987973894392, 10.15683822631836, 9.769482367379325, 9.325488676343646, 8.855893734523228, 8.465840816497803, 8.035041918073382, 7.666941561017718, 7.219239003317696, 6.8173031193869456, 6.505247449874878, 6.319284275599888, 3.8679197147621642]","[10.738228143964495, 10.141052654811315, 9.751210376194544, 9.312837409973145, 8.853664915902273, 8.467245755876814, 8.023140035356795, 7.654268659864154, 7.208036231994629, 6.805019766943795, 6.4929800237928115, 6.299941274097987, 3.8055103978009095]"
2,goldfish-models/cym_latn_100mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 2
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                        mhasio
incorrect_sentence         Oedd y fflam yn cael ei mhasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 2, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",mhasio,"Oedd y fflam yn cael ei mhasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,NM,3.8679197147621642,4.044449912177192,0.1765301974150275,"[10.745987973894392, 10.15683822631836, 9.769482367379325, 9.325488676343646, 8.855893734523228, 8.465840816497803, 8.035041918073382, 7.666941561017718, 7.219239003317696, 6.8173031193869456, 6.505247449874878, 6.319284275599888, 3.8679197147621642]","[10.742918782764011, 10.176077127456665, 9.794039779239231, 9.365947365760803, 8.943765057457817, 8.582729167408413, 8.173811992009481, 7.834961586528355, 7.400065488285488, 7.006030976772308, 6.693106909592946, 6.508077965842353, 4.044449912177192]"
3,goldfish-models/cym_latn_100mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 3
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           pob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 3, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,none,3.8679197147621642,4.126537814323924,0.2586180995617595,"[10.745987973894392, 10.15683822631836, 9.769482367379325, 9.325488676343646, 8.855893734523228, 8.465840816497803, 8.035041918073382, 7.666941561017718, 7.219239003317696, 6.8173031193869456, 6.505247449874878, 6.319284275599888, 3.8679197147621642]","[10.740993663242884, 10.178110831124442, 9.801896612984793, 9.361241817474365, 8.9096358026777, 8.53081727709089, 8.110041550227574, 7.750265448434012, 7.3144877297537665, 6.935147891725813, 6.6546894005366735, 6.481538806642805, 4.126537814323924]"
4,goldfish-models/cym_latn_100mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 4
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           bob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 4, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",bob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym bob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,SM,3.8679197147621642,4.148228007568313,0.28030829280614844,"[10.745987973894392, 10.15683822631836, 9.769482367379325, 9.325488676343646, 8.855893734523228, 8.465840816497803, 8.035041918073382, 7.666941561017718, 7.219239003317696, 6.8173031193869456, 6.505247449874878, 6.319284275599888, 3.8679197147621642]","[10.741215651375907, 10.177407945905413, 9.798642539978028, 9.36069939477103, 8.906801700592041, 8.529892253875733, 8.10838050842285, 7.757666805812291, 7.3137090819222585, 6.930402040481567, 6.652879633222308, 6.480015911374774, 4.148228007568313]"
5,goldfish-models/cym_latn_100mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 5
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                          phob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 5, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",phob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym phob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,AM,3.8679197147621642,4.183232901577971,0.31531318681580656,"[10.745987973894392, 10.15683822631836, 9.769482367379325, 9.325488676343646, 8.855893734523228, 8.465840816497803, 8.035041918073382, 7.666941561017718, 7.219239003317696, 6.8173031193869456, 6.505247449874878, 6.319284275599888, 3.8679197147621642]","[10.747816821507046, 10.188409914289203, 9.81456846509661, 9.375503880637032, 8.920550755092076, 8.543219947814942, 8.113342039925712, 7.766310555594308, 7.328643158503941, 6.939767163140433, 6.656936495644706, 6.494723803656441, 4.183232901577971]"
6,goldfish-models/cym_latn_100mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 6
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                       cydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 6, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,none,3.8679197147621642,4.0355955402899,0.16767582552773552,"[10.745987973894392, 10.15683822631836, 9.769482367379325, 9.325488676343646, 8.855893734523228, 8.465840816497803, 8.035041918073382, 7.666941561017718, 7.219239003317696, 6.8173031193869456, 6.505247449874878, 6.319284275599888, 3.8679197147621642]","[10.745069558279855, 10.172291564941407, 9.788733782087053, 9.361629499707902, 8.893719209943498, 8.518015248434883, 8.091413143702916, 7.73213415145874, 7.3062216077532085, 6.906478725160871, 6.602388082231794, 6.423122242518834, 4.0355955402899]"
7,goldfish-models/cym_latn_100mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 7
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                     nghydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 7, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",nghydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i nghydfynd â'r ras.",SM,L,i,NM,3.8679197147621642,4.133178237519626,0.265258522757462,"[10.745987973894392, 10.15683822631836, 9.769482367379325, 9.325488676343646, 8.855893734523228, 8.465840816497803, 8.035041918073382, 7.666941561017718, 7.219239003317696, 6.8173031193869456, 6.505247449874878, 6.319284275599888, 3.8679197147621642]","[10.75033277784075, 10.187002536228725, 9.812053326198033, 9.388699763161796, 8.929966763087682, 8.56637453351702, 8.144163581303188, 7.785829939161029, 7.349124499729702, 6.949121032442365, 6.647318608420235, 6.457258694512504, 4.133178237519626]"
8,goldfish-models/cym_latn_100mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 8
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                      chydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 8, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i chydfynd â'r ras.",SM,L,i,AM,3.8679197147621642,4.038734604644456,0.17081488988229188,"[10.745987973894392, 10.15683822631836, 9.769482367379325, 9.325488676343646, 8.855893734523228, 8.465840816497803, 8.035041918073382, 7.666941561017718, 7.219239003317696, 6.8173031193869456, 6.505247449874878, 6.319284275599888, 3.8679197147621642]","[10.750212560381208, 10.179096112932477, 9.800476891653878, 9.374846390315465, 8.912638078417096, 8.537092999049596, 8.112921728406633, 7.7435038430350165, 7.310527869633266, 6.908302245821272, 6.60112658909389, 6.416730669566563, 4.038734604644456]"
9,goldfish-models/cym_latn_100mb,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 9
item                                                                       3
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            cael
lemma                                                                   cael
mutation_type                                                          no_AM
trigger_type                                                     no_mutation
specific_trigger                                                 no_mutation
token_id                                                                 5.0
prev_word                                                                 yn
incorrect_form                                                         chael
incorrect_sentence         Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 9, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,AM,3.8679197147621642,4.080788080866582,0.21286836610441773,"[10.745987973894392, 10.15683822631836, 9.769482367379325, 9.325488676343646, 8.855893734523228, 8.465840816497803, 8.035041918073382, 7.666941561017718, 7.219239003317696, 6.8173031193869456, 6.505247449874878, 6.319284275599888, 3.8679197147621642]","[10.760234015328544, 10.203012248447964, 9.82527367728097, 9.389103494371687, 8.92975605555943, 8.555600466047014, 8.136230182647704, 7.778689466203962, 7.341891915457589, 6.946730354854039, 6.641566474097115, 6.459145866121564, 4.080788080866582]"
