item,sent_id,source,correct_sentence,correct_form,lemma,mutation_type,trigger_type,specific_trigger,token_id,prev_word,incorrect_form,incorrect_sentence,num_diffs
0,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",phasio,pasio,AM,L,ei,7.0,ei,pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",1
1,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",mhob,pob,NM,L,ym,15.0,ym,pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",1
2,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",gydfynd,cydfynd,SM,L,i,25.0,i,cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",1
3,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cael,cael,no_AM,no_mutation,no_mutation,5.0,yn,chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",1
4,0,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",gymuned,cymuned,SM,MS,num_fem_sing_noun,10.0,un,cymuned,"Oedd y fflam yn cael ei phasio o un cymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",1
5,1,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",nghanol,canol,NM,L,yng,9.0,yng,canol,"O'n ni yn rhan o'r ras oedd yng canol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",1
6,1,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",rhan,rhan,no_SM,no_mutation,no_mutation,4.0,yn,ran,"O'n ni yn ran o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",1
7,1,https://www.bbc.com/cymrufyw/erthyglau/cx2d29p7yeko,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",wahodd,gwahodd,SM,MS,direct_object_mutation,15.0,nhw,gwahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw gwahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",1
8,2,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",gred,cred,SM,MS,def_art_fem_sing_noun,2.0,Y,cred,"Y cred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",1
9,2,https://www.bbc.com/cymrufyw/erthyglau/cx21lw1w09jo,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",bresennol,presennol,SM,MS,fem_sing_noun_modifier,7.0,system,presennol,"Y gred yw bod y system presennol â chapasiti i bweru tua 144,000 o gartrefi.",1
