index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of item                                                                  0
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                     phasio
lemma                                                             pasio
mutation_type                                                        AM
trigger_type                                                          L
specific_trigger                                                     ei
token_id                                                            7.0
prev_word                                                            ei
incorrect_form                                                    pasio
incorrect_sentence    Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                             1
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,2.380214248712914,2.3040507848605842,-0.07616346385232964,"[11.76083348926745, 11.758542362012362, 12.177985191345215, 12.179374711555347, 12.184842845849824, 12.196204135292454, 12.198344230651855, 12.217796409339236, 12.211409485130979, 12.201964763172885, 12.199555631269488, 12.198512328298468, 12.214955697979843, 12.189760174667626, 12.184063811051217, 12.17037856787966, 12.146310404727334, 12.03860346476237, 11.988096621998569, 11.922025412843938, 11.859282041850843, 11.759137203818874, 11.718108545269882, 11.588441413745546, 11.521308949119167, 11.255482640182763, 11.057869459453382, 10.783636327375445, 10.486255662483082, 10.132507148541903, 9.523354931881553, 8.504882703747665, 2.380214248712914]","[11.760609007718271, 11.757980145906147, 12.17741952862656, 12.1797512790613, 12.183942811530933, 12.193814779582777, 12.197021317063717, 12.217772500556812, 12.209327413324724, 12.197725630643076, 12.194381462900262, 12.193485260009766, 12.211107873080069, 12.190025664212412, 12.18234482146146, 12.162534630089475, 12.141291852582965, 12.030905037595515, 11.977690897489849, 11.91423114977385, 11.85167998598333, 11.749900633828682, 11.703609550208377, 11.570697985197368, 11.49560923325388, 11.238343422872978, 11.031098315590306, 10.748825993454247, 10.450034258658427, 10.091763839387058, 9.464773872442413, 8.453258288534064, 2.3040507848605842]"
1,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of item                                                                  1
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       mhob
lemma                                                               pob
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                     ym
token_id                                                           15.0
prev_word                                                            ym
incorrect_form                                                      pob
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 1, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,2.380214248712914,2.6167239699508564,0.23650972123794256,"[11.76083348926745, 11.758542362012362, 12.177985191345215, 12.179374711555347, 12.184842845849824, 12.196204135292454, 12.198344230651855, 12.217796409339236, 12.211409485130979, 12.201964763172885, 12.199555631269488, 12.198512328298468, 12.214955697979843, 12.189760174667626, 12.184063811051217, 12.17037856787966, 12.146310404727334, 12.03860346476237, 11.988096621998569, 11.922025412843938, 11.859282041850843, 11.759137203818874, 11.718108545269882, 11.588441413745546, 11.521308949119167, 11.255482640182763, 11.057869459453382, 10.783636327375445, 10.486255662483082, 10.132507148541903, 9.523354931881553, 8.504882703747665, 2.380214248712914]","[11.760844843728202, 11.758266466004509, 12.186196225030082, 12.188000014850072, 12.1937883411135, 12.203738229615348, 12.205007467951093, 12.22259065083095, 12.219533273151942, 12.20948782988957, 12.207188435963221, 12.205908111163549, 12.223280838557653, 12.197806188038417, 12.19332776750837, 12.17867614541735, 12.157260247639247, 12.04664591380528, 11.998531120164055, 11.93144154548645, 11.867680140904017, 11.772147059440613, 11.732428738049098, 11.593606131417411, 11.524688839912415, 11.256229826382228, 11.057461261749268, 10.788910371916634, 10.489446588924952, 10.14862710237503, 9.549688696861267, 8.554016360214778, 2.6167239699508564]"
2,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of item                                                                  2
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gydfynd
lemma                                                           cydfynd
mutation_type                                                        SM
trigger_type                                                          L
specific_trigger                                                      i
token_id                                                           25.0
prev_word                                                             i
incorrect_form                                                  cydfynd
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 2, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,2.380214248712914,2.482376624656976,0.10216237594406197,"[11.76083348926745, 11.758542362012362, 12.177985191345215, 12.179374711555347, 12.184842845849824, 12.196204135292454, 12.198344230651855, 12.217796409339236, 12.211409485130979, 12.201964763172885, 12.199555631269488, 12.198512328298468, 12.214955697979843, 12.189760174667626, 12.184063811051217, 12.17037856787966, 12.146310404727334, 12.03860346476237, 11.988096621998569, 11.922025412843938, 11.859282041850843, 11.759137203818874, 11.718108545269882, 11.588441413745546, 11.521308949119167, 11.255482640182763, 11.057869459453382, 10.783636327375445, 10.486255662483082, 10.132507148541903, 9.523354931881553, 8.504882703747665, 2.380214248712914]","[11.760618561192564, 11.758220522027267, 12.177709428887619, 12.17894671256082, 12.18485552804512, 12.19515629818565, 12.196064664606462, 12.216348614609032, 12.20760623195715, 12.199431536490458, 12.19573221708599, 12.195535325167471, 12.212839143318043, 12.187306471038283, 12.181462488676372, 12.168340917219195, 12.142513693424693, 12.040882110595703, 11.99153058570728, 11.922893306665253, 11.860750901071649, 11.762247654429654, 11.719897671749717, 11.589242951911793, 11.519815177248235, 11.261060932226348, 11.058901820266456, 10.788741898118404, 10.490020768684253, 10.13706259978445, 9.531584438524748, 8.515818027027866, 2.482376624656976]"
3,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of item                                                                  3
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       cael
lemma                                                              cael
mutation_type                                                     no_AM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            5.0
prev_word                                                            yn
incorrect_form                                                    chael
incorrect_sentence    Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                             1
Name: 3, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,2.380214248712914,2.5748825088294485,0.1946682601165346,"[11.76083348926745, 11.758542362012362, 12.177985191345215, 12.179374711555347, 12.184842845849824, 12.196204135292454, 12.198344230651855, 12.217796409339236, 12.211409485130979, 12.201964763172885, 12.199555631269488, 12.198512328298468, 12.214955697979843, 12.189760174667626, 12.184063811051217, 12.17037856787966, 12.146310404727334, 12.03860346476237, 11.988096621998569, 11.922025412843938, 11.859282041850843, 11.759137203818874, 11.718108545269882, 11.588441413745546, 11.521308949119167, 11.255482640182763, 11.057869459453382, 10.783636327375445, 10.486255662483082, 10.132507148541903, 9.523354931881553, 8.504882703747665, 2.380214248712914]","[11.761121766609058, 11.757770371018795, 12.176547953957005, 12.178005871019865, 12.184399420754952, 12.192093029356839, 12.196198179010759, 12.214217721370229, 12.207439874347887, 12.199118413423237, 12.197251838550233, 12.196298515587522, 12.210533409787898, 12.184375846595096, 12.180324002316123, 12.164597695333915, 12.143620022556238, 12.039716887892338, 11.98919779794258, 11.921633553086666, 11.854092012371932, 11.756936675623843, 11.72039948848256, 11.589884473566423, 11.524751596283494, 11.258898400423819, 11.068516781455592, 10.797672957704778, 10.496330395079495, 10.140905882182874, 9.547738694308096, 8.533415242245322, 2.5748825088294485]"
4,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of item                                                                  4
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gymuned
lemma                                                           cymuned
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                      num_fem_sing_noun
token_id                                                           10.0
prev_word                                                            un
incorrect_form                                                  cymuned
incorrect_sentence    Oedd y fflam yn cael ei phasio o un cymuned i'...
num_diffs                                                             1
Name: 4, dtype: object>",0,gymuned,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cymuned,"Oedd y fflam yn cael ei phasio o un cymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",SM,MS,num_fem_sing_noun,2.380214248712914,2.296622403912399,-0.08359184480051507,"[11.76083348926745, 11.758542362012362, 12.177985191345215, 12.179374711555347, 12.184842845849824, 12.196204135292454, 12.198344230651855, 12.217796409339236, 12.211409485130979, 12.201964763172885, 12.199555631269488, 12.198512328298468, 12.214955697979843, 12.189760174667626, 12.184063811051217, 12.17037856787966, 12.146310404727334, 12.03860346476237, 11.988096621998569, 11.922025412843938, 11.859282041850843, 11.759137203818874, 11.718108545269882, 11.588441413745546, 11.521308949119167, 11.255482640182763, 11.057869459453382, 10.783636327375445, 10.486255662483082, 10.132507148541903, 9.523354931881553, 8.504882703747665, 2.380214248712914]","[11.760069123629865, 11.757658004760742, 12.16991718884172, 12.17178252647663, 12.177059814847748, 12.187937259674072, 12.190100719188822, 12.207251335012502, 12.198373399931809, 12.19350472811995, 12.191593564789871, 12.18820045734274, 12.20417231526868, 12.180306155106116, 12.176128518992456, 12.163524068635086, 12.136210129178803, 12.02595620319761, 11.974029080621127, 11.910143852233887, 11.847684712245547, 11.74924505167994, 11.708568079718228, 11.572282067660627, 11.502393541664913, 11.240244174825735, 11.044745741219357, 10.768357079604577, 10.46488566234194, 10.123177215970795, 9.504500693288342, 8.490461546799231, 2.296622403912399]"
5,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of item                                                                  5
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                    nghanol
lemma                                                             canol
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                    yng
token_id                                                            9.0
prev_word                                                           yng
incorrect_form                                                    canol
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng canol dinas Ba...
num_diffs                                                             1
Name: 5, dtype: object>",1,nghanol,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",canol,"O'n ni yn rhan o'r ras oedd yng canol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",NM,L,yng,3.0848694992675183,3.355903782439782,0.27103428317226363,"[11.760381873773069, 11.762784724332848, 12.288345765094368, 12.294643363174128, 12.30458185624103, 12.314125664380132, 12.307556541598572, 12.31061820594632, 12.320825206990145, 12.321561813354492, 12.31876836504255, 12.308260723036163, 12.309796333312988, 12.299000506498375, 12.313330202686544, 12.281137622132594, 12.257932468336456, 12.184815757128657, 12.161664573513733, 12.129219853148168, 12.087642475050323, 12.021722735190878, 11.983371092348683, 11.871044567653112, 11.774469784327916, 11.56307891923554, 11.350579125540596, 11.139082908630371, 10.834894900419274, 10.507295919924367, 9.980730027568583, 8.82368702791175, 3.0848694992675183]","[11.7606942653656, 11.763245542844137, 12.299409111340841, 12.305359482765198, 12.313368320465088, 12.324493090311686, 12.317159831523895, 12.323693374792734, 12.33677085240682, 12.333179314931234, 12.329628566900888, 12.319250027338663, 12.319880068302155, 12.310318152109781, 12.323799888292948, 12.29429699977239, 12.26851091782252, 12.194484849770864, 12.171974758307138, 12.14144641160965, 12.103881895542145, 12.039584537347158, 11.999191780885061, 11.886949717998505, 11.793418049812317, 11.580259760220846, 11.363598763942719, 11.152152419090271, 10.837613840897879, 10.52478430668513, 10.042951464653015, 8.907619833946228, 3.355903782439782]"
6,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of item                                                                  6
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                       rhan
lemma                                                              rhan
mutation_type                                                     no_SM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            4.0
prev_word                                                            yn
incorrect_form                                                      ran
incorrect_sentence    O'n ni yn ran o'r ras oedd yng nghanol dinas B...
num_diffs                                                             1
Name: 6, dtype: object>",1,rhan,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",ran,"O'n ni yn ran o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",no_SM,no_mutation,no_mutation,3.0848694992675183,3.2863921338324267,0.20152263456490838,"[11.760381873773069, 11.762784724332848, 12.288345765094368, 12.294643363174128, 12.30458185624103, 12.314125664380132, 12.307556541598572, 12.31061820594632, 12.320825206990145, 12.321561813354492, 12.31876836504255, 12.308260723036163, 12.309796333312988, 12.299000506498375, 12.313330202686544, 12.281137622132594, 12.257932468336456, 12.184815757128657, 12.161664573513733, 12.129219853148168, 12.087642475050323, 12.021722735190878, 11.983371092348683, 11.871044567653112, 11.774469784327916, 11.56307891923554, 11.350579125540596, 11.139082908630371, 10.834894900419274, 10.507295919924367, 9.980730027568583, 8.82368702791175, 3.0848694992675183]","[11.760464588801065, 11.757384022076925, 12.29969741900762, 12.307182848453522, 12.313954095045725, 12.323645253976187, 12.319646755854288, 12.322398702303568, 12.332851012547811, 12.331517179807028, 12.327428420384726, 12.319533427556356, 12.319495677947998, 12.308073361714682, 12.319460292657217, 12.288615643978119, 12.268932263056437, 12.2041703859965, 12.178409894307455, 12.144936621189117, 12.102459291617075, 12.03517476717631, 11.995727002620697, 11.881523668766022, 11.788659512996674, 11.578721423943838, 11.371592064698538, 11.1665980219841, 10.87351002295812, 10.550094246864319, 10.038451363643011, 8.887288292249044, 3.2863921338324267]"
7,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of item                                                                  7
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                     wahodd
lemma                                                           gwahodd
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 direct_object_mutation
token_id                                                           15.0
prev_word                                                           nhw
incorrect_form                                                  gwahodd
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
num_diffs                                                             1
Name: 7, dtype: object>",1,wahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",gwahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw gwahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",SM,MS,direct_object_mutation,3.0848694992675183,3.0660581581658333,-0.01881134110168503,"[11.760381873773069, 11.762784724332848, 12.288345765094368, 12.294643363174128, 12.30458185624103, 12.314125664380132, 12.307556541598572, 12.31061820594632, 12.320825206990145, 12.321561813354492, 12.31876836504255, 12.308260723036163, 12.309796333312988, 12.299000506498375, 12.313330202686544, 12.281137622132594, 12.257932468336456, 12.184815757128657, 12.161664573513733, 12.129219853148168, 12.087642475050323, 12.021722735190878, 11.983371092348683, 11.871044567653112, 11.774469784327916, 11.56307891923554, 11.350579125540596, 11.139082908630371, 10.834894900419274, 10.507295919924367, 9.980730027568583, 8.82368702791175, 3.0848694992675183]","[11.760079402923584, 11.760991859436036, 12.276299247741699, 12.283070163726807, 12.292131652832031, 12.30007345199585, 12.292212200164794, 12.29551067352295, 12.304470043182373, 12.308676147460938, 12.304704551696778, 12.294503765106201, 12.298234634399414, 12.288434619903564, 12.301281795501708, 12.268467597961425, 12.24540292739868, 12.17617395401001, 12.151542625427247, 12.117455253601074, 12.072845897674561, 12.006865463256837, 11.966322021484375, 11.84629343032837, 11.752696189880371, 11.542993965148925, 11.333553314208984, 11.119606552124024, 10.8082594871521, 10.487590560913086, 9.95818344116211, 8.810295858383178, 3.0660581581658333]"
8,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of item                                                                  8
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                       gred
lemma                                                              cred
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                  def_art_fem_sing_noun
token_id                                                            2.0
prev_word                                                             Y
incorrect_form                                                     cred
incorrect_sentence    Y cred yw bod y system bresennol â chapasiti i...
num_diffs                                                             1
Name: 8, dtype: object>",2,gred,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",cred,"Y cred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,def_art_fem_sing_noun,2.880745171625555,2.929018590647972,0.048273419022416775,"[11.760608514149984, 11.759978771209717, 12.797823111216227, 12.804750410715739, 12.807347456614176, 12.81263837814331, 12.791609764099121, 12.792844454447428, 12.791521040598552, 12.788340441385905, 12.772531541188558, 12.781178379058838, 12.786801274617513, 12.755522314707438, 12.766215387980143, 12.722401968638103, 12.696635055541993, 12.620647970835368, 12.552138328552246, 12.50524549484253, 12.459390767415364, 12.389504432678223, 12.34525270462036, 12.23039592107137, 12.139348920186361, 11.93000243504842, 11.702459144592286, 11.399455706278482, 11.011542097727459, 10.669397926330566, 10.173736763000488, 9.08939208984375, 2.880745171625555]","[11.761631932751886, 11.761898369624697, 12.537589369149044, 12.543237357304013, 12.545368030153472, 12.542835038283776, 12.520371469958075, 12.518781760643268, 12.512270039525525, 12.502048525316962, 12.476200037989123, 12.482530824069318, 12.485044512255438, 12.450278216394885, 12.46591617321146, 12.44511239282016, 12.416645806411218, 12.336834841761096, 12.27436585261904, 12.240224344977017, 12.202929792733029, 12.135695687655744, 12.084632347370016, 11.976765073578933, 11.884435982539737, 11.663145986096612, 11.43568752551901, 11.140726977381213, 10.77539769534407, 10.458130244551034, 9.942293413754168, 8.95697547649515, 2.929018590647972]"
9,LLaMAX/LLaMAX3-8B,"<bound method IndexOpsMixin.item of item                                                                  9
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                  bresennol
lemma                                                         presennol
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 fem_sing_noun_modifier
token_id                                                            7.0
prev_word                                                        system
incorrect_form                                                presennol
incorrect_sentence    Y gred yw bod y system presennol â chapasiti i...
num_diffs                                                             1
Name: 9, dtype: object>",2,bresennol,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",presennol,"Y gred yw bod y system presennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,fem_sing_noun_modifier,2.880745171625555,3.022999361898687,0.1422541902731318,"[11.760608514149984, 11.759978771209717, 12.797823111216227, 12.804750410715739, 12.807347456614176, 12.81263837814331, 12.791609764099121, 12.792844454447428, 12.791521040598552, 12.788340441385905, 12.772531541188558, 12.781178379058838, 12.786801274617513, 12.755522314707438, 12.766215387980143, 12.722401968638103, 12.696635055541993, 12.620647970835368, 12.552138328552246, 12.50524549484253, 12.459390767415364, 12.389504432678223, 12.34525270462036, 12.23039592107137, 12.139348920186361, 11.93000243504842, 11.702459144592286, 11.399455706278482, 11.011542097727459, 10.669397926330566, 10.173736763000488, 9.08939208984375, 2.880745171625555]","[11.760780235816693, 11.759330486429148, 12.836228896831644, 12.843335118787042, 12.846855262230182, 12.849840098413928, 12.829106955692685, 12.83252712775921, 12.829927839081863, 12.830447887552195, 12.81458749442265, 12.824374757964035, 12.832673467438797, 12.796610010081324, 12.805376611906906, 12.757669021343363, 12.730552771995807, 12.657108010916874, 12.592514070971259, 12.537946273540628, 12.495295623253131, 12.430938983785696, 12.382593023365942, 12.27000407514901, 12.189846269015607, 11.969541746994544, 11.751932571674216, 11.435034883433374, 11.049308513772898, 10.684205795156545, 10.174217141907791, 9.045102004347177, 3.022999361898687]"
