index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,incorrect_form_mut_type,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,mistralai/Mistral-7B-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 0
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         pasio
incorrect_sentence         Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,none,2.796550584876019,2.796277438893038,-0.0002731459829812266,"[10.375, 10.375, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.62590579710145, 10.62590579710145, 10.62409420289855, 10.62409420289855, 10.62590579710145, 10.628623188405797, 10.63586956521739, 10.633152173913043, 10.644021739130435, 10.647644927536232, 10.643115942028986, 10.644021739130435, 10.629528985507246, 10.623188405797102, 10.61413043478261, 10.61231884057971, 10.554347826086957, 10.530797101449275, 10.498188405797102, 10.441123188405797, 10.33695652173913, 10.144021739130435, 9.865036231884059, 2.796550584876019]","[10.375, 10.375, 10.628676470588236, 10.628676470588236, 10.628676470588236, 10.628676470588236, 10.628676470588236, 10.628676470588236, 10.628676470588236, 10.629595588235293, 10.629595588235293, 10.627757352941176, 10.627757352941176, 10.628676470588236, 10.632352941176471, 10.639705882352942, 10.636029411764707, 10.648897058823529, 10.651654411764707, 10.647058823529411, 10.647058823529411, 10.632352941176471, 10.625, 10.618566176470589, 10.616727941176471, 10.555147058823529, 10.53125, 10.5, 10.443933823529411, 10.34375, 10.149816176470589, 9.871323529411764, 2.796277438893038]"
1,mistralai/Mistral-7B-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 1
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         basio
incorrect_sentence         Oedd y fflam yn cael ei basio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 1, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",basio,"Oedd y fflam yn cael ei basio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,SM,2.796550584876019,2.806547950295841,0.009997365419821769,"[10.375, 10.375, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.62590579710145, 10.62590579710145, 10.62409420289855, 10.62409420289855, 10.62590579710145, 10.628623188405797, 10.63586956521739, 10.633152173913043, 10.644021739130435, 10.647644927536232, 10.643115942028986, 10.644021739130435, 10.629528985507246, 10.623188405797102, 10.61413043478261, 10.61231884057971, 10.554347826086957, 10.530797101449275, 10.498188405797102, 10.441123188405797, 10.33695652173913, 10.144021739130435, 9.865036231884059, 2.796550584876019]","[10.375, 10.375, 10.628676470588236, 10.628676470588236, 10.628676470588236, 10.628676470588236, 10.628676470588236, 10.628676470588236, 10.628676470588236, 10.629595588235293, 10.629595588235293, 10.627757352941176, 10.627757352941176, 10.628676470588236, 10.632352941176471, 10.639705882352942, 10.636948529411764, 10.648897058823529, 10.652573529411764, 10.645220588235293, 10.645220588235293, 10.633272058823529, 10.625, 10.617647058823529, 10.616727941176471, 10.556066176470589, 10.532169117647058, 10.499080882352942, 10.445772058823529, 10.34375, 10.151654411764707, 9.870404411764707, 2.806547950295841]"
2,mistralai/Mistral-7B-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 2
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                        mhasio
incorrect_sentence         Oedd y fflam yn cael ei mhasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 2, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",mhasio,"Oedd y fflam yn cael ei mhasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,NM,2.796550584876019,2.9112648341966714,0.11471424932065233,"[10.375, 10.375, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.62590579710145, 10.62590579710145, 10.62409420289855, 10.62409420289855, 10.62590579710145, 10.628623188405797, 10.63586956521739, 10.633152173913043, 10.644021739130435, 10.647644927536232, 10.643115942028986, 10.644021739130435, 10.629528985507246, 10.623188405797102, 10.61413043478261, 10.61231884057971, 10.554347826086957, 10.530797101449275, 10.498188405797102, 10.441123188405797, 10.33695652173913, 10.144021739130435, 9.865036231884059, 2.796550584876019]","[10.375, 10.375, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.62590579710145, 10.62590579710145, 10.62409420289855, 10.62409420289855, 10.62590579710145, 10.628623188405797, 10.634963768115941, 10.632246376811594, 10.645833333333334, 10.64945652173913, 10.643115942028986, 10.644021739130435, 10.630434782608695, 10.62409420289855, 10.615036231884059, 10.615942028985508, 10.557971014492754, 10.535326086956522, 10.50090579710145, 10.446557971014492, 10.345108695652174, 10.152173913043478, 9.872282608695652, 2.9112648341966714]"
3,mistralai/Mistral-7B-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 3
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           pob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 3, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,none,2.796550584876019,2.9169452724172107,0.12039468754119165,"[10.375, 10.375, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.62590579710145, 10.62590579710145, 10.62409420289855, 10.62409420289855, 10.62590579710145, 10.628623188405797, 10.63586956521739, 10.633152173913043, 10.644021739130435, 10.647644927536232, 10.643115942028986, 10.644021739130435, 10.629528985507246, 10.623188405797102, 10.61413043478261, 10.61231884057971, 10.554347826086957, 10.530797101449275, 10.498188405797102, 10.441123188405797, 10.33695652173913, 10.144021739130435, 9.865036231884059, 2.796550584876019]","[10.375, 10.375, 10.632462686567164, 10.632462686567164, 10.632462686567164, 10.632462686567164, 10.632462686567164, 10.632462686567164, 10.632462686567164, 10.63339552238806, 10.63339552238806, 10.631529850746269, 10.631529850746269, 10.632462686567164, 10.636194029850746, 10.640858208955224, 10.638059701492537, 10.648320895522389, 10.653917910447761, 10.647388059701493, 10.647388059701493, 10.632462686567164, 10.625932835820896, 10.618470149253731, 10.614738805970148, 10.553171641791044, 10.528917910447761, 10.498134328358208, 10.439365671641792, 10.334888059701493, 10.145522388059701, 9.867537313432836, 2.9169452724172107]"
4,mistralai/Mistral-7B-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 4
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           bob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 4, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",bob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym bob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,SM,2.796550584876019,2.9771562263147153,0.18060564143869628,"[10.375, 10.375, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.62590579710145, 10.62590579710145, 10.62409420289855, 10.62409420289855, 10.62590579710145, 10.628623188405797, 10.63586956521739, 10.633152173913043, 10.644021739130435, 10.647644927536232, 10.643115942028986, 10.644021739130435, 10.629528985507246, 10.623188405797102, 10.61413043478261, 10.61231884057971, 10.554347826086957, 10.530797101449275, 10.498188405797102, 10.441123188405797, 10.33695652173913, 10.144021739130435, 9.865036231884059, 2.796550584876019]","[10.375, 10.375, 10.632462686567164, 10.632462686567164, 10.632462686567164, 10.632462686567164, 10.632462686567164, 10.632462686567164, 10.632462686567164, 10.63339552238806, 10.63339552238806, 10.631529850746269, 10.631529850746269, 10.632462686567164, 10.636194029850746, 10.64179104477612, 10.638992537313433, 10.649253731343284, 10.654850746268657, 10.649253731343284, 10.650186567164178, 10.63339552238806, 10.627798507462687, 10.619402985074627, 10.615671641791044, 10.555970149253731, 10.529850746268657, 10.499067164179104, 10.442164179104477, 10.336753731343284, 10.149253731343284, 9.870335820895523, 2.9771562263147153]"
5,mistralai/Mistral-7B-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 5
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                          phob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 5, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",phob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym phob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,AM,2.796550584876019,3.005159490248736,0.20860890537271715,"[10.375, 10.375, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.62590579710145, 10.62590579710145, 10.62409420289855, 10.62409420289855, 10.62590579710145, 10.628623188405797, 10.63586956521739, 10.633152173913043, 10.644021739130435, 10.647644927536232, 10.643115942028986, 10.644021739130435, 10.629528985507246, 10.623188405797102, 10.61413043478261, 10.61231884057971, 10.554347826086957, 10.530797101449275, 10.498188405797102, 10.441123188405797, 10.33695652173913, 10.144021739130435, 9.865036231884059, 2.796550584876019]","[10.375, 10.375, 10.628676470588236, 10.628676470588236, 10.628676470588236, 10.628676470588236, 10.628676470588236, 10.628676470588236, 10.628676470588236, 10.629595588235293, 10.629595588235293, 10.627757352941176, 10.627757352941176, 10.629595588235293, 10.632352941176471, 10.636948529411764, 10.633272058823529, 10.646139705882353, 10.652573529411764, 10.647977941176471, 10.647058823529411, 10.632352941176471, 10.625, 10.615808823529411, 10.614889705882353, 10.555147058823529, 10.529411764705882, 10.499080882352942, 10.442095588235293, 10.336397058823529, 10.148897058823529, 9.873161764705882, 3.005159490248736]"
6,mistralai/Mistral-7B-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 6
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                       cydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 6, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,none,2.796550584876019,2.852228800455729,0.05567821557970998,"[10.375, 10.375, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.62590579710145, 10.62590579710145, 10.62409420289855, 10.62409420289855, 10.62590579710145, 10.628623188405797, 10.63586956521739, 10.633152173913043, 10.644021739130435, 10.647644927536232, 10.643115942028986, 10.644021739130435, 10.629528985507246, 10.623188405797102, 10.61413043478261, 10.61231884057971, 10.554347826086957, 10.530797101449275, 10.498188405797102, 10.441123188405797, 10.33695652173913, 10.144021739130435, 9.865036231884059, 2.796550584876019]","[10.375, 10.375, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.62590579710145, 10.62590579710145, 10.62409420289855, 10.62409420289855, 10.62590579710145, 10.628623188405797, 10.63586956521739, 10.634057971014492, 10.644021739130435, 10.647644927536232, 10.644021739130435, 10.644021739130435, 10.629528985507246, 10.62409420289855, 10.61322463768116, 10.61322463768116, 10.554347826086957, 10.528985507246377, 10.5, 10.440217391304348, 10.33876811594203, 10.148550724637682, 9.867753623188406, 2.852228800455729]"
7,mistralai/Mistral-7B-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 7
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                     nghydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 7, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",nghydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i nghydfynd â'r ras.",SM,L,i,NM,2.796550584876019,2.882604326520647,0.08605374164462809,"[10.375, 10.375, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.62590579710145, 10.62590579710145, 10.62409420289855, 10.62409420289855, 10.62590579710145, 10.628623188405797, 10.63586956521739, 10.633152173913043, 10.644021739130435, 10.647644927536232, 10.643115942028986, 10.644021739130435, 10.629528985507246, 10.623188405797102, 10.61413043478261, 10.61231884057971, 10.554347826086957, 10.530797101449275, 10.498188405797102, 10.441123188405797, 10.33695652173913, 10.144021739130435, 9.865036231884059, 2.796550584876019]","[10.375, 10.375, 10.621428571428572, 10.621428571428572, 10.621428571428572, 10.621428571428572, 10.621428571428572, 10.621428571428572, 10.621428571428572, 10.622321428571428, 10.622321428571428, 10.620535714285714, 10.620535714285714, 10.622321428571428, 10.624107142857143, 10.632142857142858, 10.630357142857143, 10.64017857142857, 10.644642857142857, 10.639285714285714, 10.64017857142857, 10.625, 10.61875, 10.60892857142857, 10.60625, 10.549107142857142, 10.525892857142857, 10.494642857142857, 10.435714285714285, 10.333035714285714, 10.14375, 9.864285714285714, 2.882604326520647]"
8,mistralai/Mistral-7B-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 8
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                      chydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 8, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i chydfynd â'r ras.",SM,L,i,AM,2.796550584876019,2.8482659381368887,0.05171535326086962,"[10.375, 10.375, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.62590579710145, 10.62590579710145, 10.62409420289855, 10.62409420289855, 10.62590579710145, 10.628623188405797, 10.63586956521739, 10.633152173913043, 10.644021739130435, 10.647644927536232, 10.643115942028986, 10.644021739130435, 10.629528985507246, 10.623188405797102, 10.61413043478261, 10.61231884057971, 10.554347826086957, 10.530797101449275, 10.498188405797102, 10.441123188405797, 10.33695652173913, 10.144021739130435, 9.865036231884059, 2.796550584876019]","[10.375, 10.375, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.62590579710145, 10.62590579710145, 10.62409420289855, 10.62409420289855, 10.62590579710145, 10.628623188405797, 10.634963768115941, 10.633152173913043, 10.644021739130435, 10.648550724637682, 10.644021739130435, 10.643115942028986, 10.628623188405797, 10.622282608695652, 10.61322463768116, 10.610507246376812, 10.554347826086957, 10.529891304347826, 10.49909420289855, 10.440217391304348, 10.33786231884058, 10.15036231884058, 9.867753623188406, 2.8482659381368887]"
9,mistralai/Mistral-7B-v0.1,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 9
item                                                                       3
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            cael
lemma                                                                   cael
mutation_type                                                          no_AM
trigger_type                                                     no_mutation
specific_trigger                                                 no_mutation
token_id                                                                 5.0
prev_word                                                                 yn
incorrect_form                                                         chael
incorrect_sentence         Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 9, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,AM,2.796550584876019,2.9389161925384966,0.14236560766247752,"[10.375, 10.375, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.62590579710145, 10.62590579710145, 10.62409420289855, 10.62409420289855, 10.62590579710145, 10.628623188405797, 10.63586956521739, 10.633152173913043, 10.644021739130435, 10.647644927536232, 10.643115942028986, 10.644021739130435, 10.629528985507246, 10.623188405797102, 10.61413043478261, 10.61231884057971, 10.554347826086957, 10.530797101449275, 10.498188405797102, 10.441123188405797, 10.33695652173913, 10.144021739130435, 9.865036231884059, 2.796550584876019]","[10.375, 10.375, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.625, 10.62590579710145, 10.62590579710145, 10.62409420289855, 10.623188405797102, 10.62409420289855, 10.627717391304348, 10.633152173913043, 10.633152173913043, 10.643115942028986, 10.645833333333334, 10.642210144927537, 10.642210144927537, 10.627717391304348, 10.620471014492754, 10.61413043478261, 10.611413043478262, 10.555253623188406, 10.528985507246377, 10.50090579710145, 10.441123188405797, 10.343297101449275, 10.152173913043478, 9.875, 2.9389161925384966]"
