index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of item                                                                  0
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                     phasio
lemma                                                             pasio
mutation_type                                                        AM
trigger_type                                                          L
specific_trigger                                                     ei
token_id                                                            7.0
prev_word                                                            ei
incorrect_form                                                    pasio
incorrect_sentence    Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                             1
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,35.65558792372882,35.74933792372882,0.09375,"[12.714247881355933, 12.958686440677965, 13.142478813559322, 13.509798728813559, 13.759533898305085, 13.844676906779661, 13.903469279661017, 13.961731991525424, 16.658368644067796, 17.17280190677966, 17.576006355932204, 17.874735169491526, 18.032441737288135, 18.146186440677965, 18.26655190677966, 18.323093220338983, 18.436308262711865, 18.475370762711865, 18.708818855932204, 19.006091101694917, 19.337658898305083, 19.635593220338983, 19.93405720338983, 20.434851694915253, 20.985566737288135, 21.4698093220339, 21.438294491525422, 21.65956038135593, 24.155720338983052, 28.70113877118644, 35.65558792372882]","[12.664856991525424, 12.92531779661017, 13.132944915254237, 13.524496822033898, 13.787473516949152, 13.908765889830509, 13.9765625, 14.043299788135593, 16.714909957627118, 17.225238347457626, 17.59123411016949, 17.862155720338983, 18.009401483050848, 18.118379237288135, 18.251853813559322, 18.296875, 18.42876059322034, 18.475370762711865, 18.73689088983051, 19.02489406779661, 19.420021186440678, 19.677966101694917, 19.970603813559322, 20.453787076271187, 21.02780720338983, 21.486626059322035, 21.509401483050848, 21.714777542372882, 24.29700741525424, 28.790651483050848, 35.74933792372882]"
1,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of item                                                                  1
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       mhob
lemma                                                               pob
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                     ym
token_id                                                           15.0
prev_word                                                            ym
incorrect_form                                                      pob
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 1, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,35.65558792372882,35.71578663793103,0.06019871420221534,"[12.714247881355933, 12.958686440677965, 13.142478813559322, 13.509798728813559, 13.759533898305085, 13.844676906779661, 13.903469279661017, 13.961731991525424, 16.658368644067796, 17.17280190677966, 17.576006355932204, 17.874735169491526, 18.032441737288135, 18.146186440677965, 18.26655190677966, 18.323093220338983, 18.436308262711865, 18.475370762711865, 18.708818855932204, 19.006091101694917, 19.337658898305083, 19.635593220338983, 19.93405720338983, 20.434851694915253, 20.985566737288135, 21.4698093220339, 21.438294491525422, 21.65956038135593, 24.155720338983052, 28.70113877118644, 35.65558792372882]","[12.723060344827585, 13.010237068965518, 13.239762931034482, 13.57745150862069, 13.835129310344827, 13.936018318965518, 14.014682112068966, 14.072602370689655, 16.812230603448278, 17.327047413793103, 17.736530172413794, 18.02653556034483, 18.177801724137932, 18.29768318965517, 18.418238146551722, 18.488550646551722, 18.57758620689655, 18.64075969827586, 18.849272629310345, 19.14587823275862, 19.452182112068964, 19.754310344827587, 20.0234375, 20.499057112068964, 21.058997844827587, 21.56236530172414, 21.493803879310345, 21.656519396551722, 24.042025862068964, 28.369073275862068, 35.71578663793103]"
2,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of item                                                                  2
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gydfynd
lemma                                                           cydfynd
mutation_type                                                        SM
trigger_type                                                          L
specific_trigger                                                      i
token_id                                                           25.0
prev_word                                                             i
incorrect_form                                                  cydfynd
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 2, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,35.65558792372882,36.37897245762712,0.7233845338983045,"[12.714247881355933, 12.958686440677965, 13.142478813559322, 13.509798728813559, 13.759533898305085, 13.844676906779661, 13.903469279661017, 13.961731991525424, 16.658368644067796, 17.17280190677966, 17.576006355932204, 17.874735169491526, 18.032441737288135, 18.146186440677965, 18.26655190677966, 18.323093220338983, 18.436308262711865, 18.475370762711865, 18.708818855932204, 19.006091101694917, 19.337658898305083, 19.635593220338983, 19.93405720338983, 20.434851694915253, 20.985566737288135, 21.4698093220339, 21.438294491525422, 21.65956038135593, 24.155720338983052, 28.70113877118644, 35.65558792372882]","[12.713585805084746, 12.967028601694915, 13.112685381355933, 13.506885593220339, 13.756223516949152, 13.834083686440678, 13.89790783898305, 13.945709745762711, 16.651615466101696, 17.165254237288135, 17.565280720338983, 17.821901483050848, 17.9776218220339, 18.102356991525422, 18.23185911016949, 18.310778601694917, 18.396186440677965, 18.470074152542374, 18.716101694915253, 19.004634533898304, 19.35354872881356, 19.668167372881356, 19.94981461864407, 20.51761122881356, 21.04488877118644, 21.572960805084747, 21.59229343220339, 21.91935911016949, 24.508606991525422, 29.14486228813559, 36.37897245762712]"
3,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of item                                                                  3
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       cael
lemma                                                              cael
mutation_type                                                     no_AM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            5.0
prev_word                                                            yn
incorrect_form                                                    chael
incorrect_sentence    Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                             1
Name: 3, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,35.65558792372882,34.82786016949152,-0.8277277542372943,"[12.714247881355933, 12.958686440677965, 13.142478813559322, 13.509798728813559, 13.759533898305085, 13.844676906779661, 13.903469279661017, 13.961731991525424, 16.658368644067796, 17.17280190677966, 17.576006355932204, 17.874735169491526, 18.032441737288135, 18.146186440677965, 18.26655190677966, 18.323093220338983, 18.436308262711865, 18.475370762711865, 18.708818855932204, 19.006091101694917, 19.337658898305083, 19.635593220338983, 19.93405720338983, 20.434851694915253, 20.985566737288135, 21.4698093220339, 21.438294491525422, 21.65956038135593, 24.155720338983052, 28.70113877118644, 35.65558792372882]","[12.677833686440678, 12.94385593220339, 13.108580508474576, 13.478151483050848, 13.731329449152541, 13.806541313559322, 13.875397245762711, 13.95458156779661, 16.657574152542374, 17.199020127118644, 17.63638771186441, 17.897907838983052, 18.06673728813559, 18.172139830508474, 18.28125, 18.3526218220339, 18.447563559322035, 18.480667372881356, 18.709348516949152, 19.014830508474578, 19.326800847457626, 19.68299788135593, 20.032441737288135, 20.560778601694917, 21.121822033898304, 21.53575211864407, 21.400158898305083, 21.579449152542374, 23.634931144067796, 27.412870762711865, 34.82786016949152]"
4,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of item                                                                  4
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gymuned
lemma                                                           cymuned
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                      num_fem_sing_noun
token_id                                                           10.0
prev_word                                                            un
incorrect_form                                                  cymuned
incorrect_sentence    Oedd y fflam yn cael ei phasio o un cymuned i'...
num_diffs                                                             1
Name: 4, dtype: object>",0,gymuned,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cymuned,"Oedd y fflam yn cael ei phasio o un cymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",SM,MS,num_fem_sing_noun,35.65558792372882,35.48606770833333,-0.16952021539548667,"[12.714247881355933, 12.958686440677965, 13.142478813559322, 13.509798728813559, 13.759533898305085, 13.844676906779661, 13.903469279661017, 13.961731991525424, 16.658368644067796, 17.17280190677966, 17.576006355932204, 17.874735169491526, 18.032441737288135, 18.146186440677965, 18.26655190677966, 18.323093220338983, 18.436308262711865, 18.475370762711865, 18.708818855932204, 19.006091101694917, 19.337658898305083, 19.635593220338983, 19.93405720338983, 20.434851694915253, 20.985566737288135, 21.4698093220339, 21.438294491525422, 21.65956038135593, 24.155720338983052, 28.70113877118644, 35.65558792372882]","[12.7203125, 13.008854166666667, 13.21875, 13.567447916666667, 13.840494791666666, 13.927473958333334, 13.98671875, 14.022786458333334, 16.669921875, 17.194661458333332, 17.590625, 17.905208333333334, 18.06015625, 18.206901041666665, 18.304296875, 18.38515625, 18.493619791666667, 18.524088541666668, 18.753645833333334, 19.0640625, 19.4328125, 19.730729166666666, 20.062890625, 20.605729166666666, 21.180598958333334, 21.681119791666667, 21.604296875, 21.836458333333333, 24.31796875, 28.608723958333332, 35.48606770833333]"
5,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of item                                                                  5
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                    nghanol
lemma                                                             canol
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                    yng
token_id                                                            9.0
prev_word                                                           yng
incorrect_form                                                    canol
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng canol dinas Ba...
num_diffs                                                             1
Name: 5, dtype: object>",1,nghanol,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",canol,"O'n ni yn rhan o'r ras oedd yng canol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",NM,L,yng,36.727376302083336,37.302083333333336,0.57470703125,"[12.655924479166666, 13.075032552083334, 13.447265625, 13.685546875, 13.87109375, 13.774251302083334, 13.923177083333334, 14.158854166666666, 19.157063802083332, 19.840169270833332, 20.512369791666668, 20.898274739583332, 21.102701822916668, 21.263346354166668, 21.45166015625, 21.540201822916668, 21.651692708333332, 21.798502604166668, 21.978515625, 22.306966145833332, 22.679361979166668, 23.040201822916668, 23.361002604166668, 23.812174479166668, 24.370442708333332, 25.008463541666668, 24.559407552083332, 24.195963541666668, 25.315266927083332, 29.285319010416668, 36.727376302083336]","[12.655598958333334, 13.064127604166666, 13.38671875, 13.627766927083334, 13.794596354166666, 13.723958333333334, 13.867513020833334, 14.087076822916666, 19.106119791666668, 19.796875, 20.458170572916668, 20.884928385416668, 21.0859375, 21.228515625, 21.433268229166668, 21.531575520833332, 21.590006510416668, 21.759440104166668, 21.937662760416668, 22.231119791666668, 22.519856770833332, 22.958984375, 23.309244791666668, 23.735514322916668, 24.222005208333332, 24.931477864583332, 24.57568359375, 24.206868489583332, 25.566569010416668, 29.705078125, 37.302083333333336]"
6,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of item                                                                  6
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                       rhan
lemma                                                              rhan
mutation_type                                                     no_SM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            4.0
prev_word                                                            yn
incorrect_form                                                      ran
incorrect_sentence    O'n ni yn ran o'r ras oedd yng nghanol dinas B...
num_diffs                                                             1
Name: 6, dtype: object>",1,rhan,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",ran,"O'n ni yn ran o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",no_SM,no_mutation,no_mutation,36.727376302083336,36.422872340425535,-0.3045039616578009,"[12.655924479166666, 13.075032552083334, 13.447265625, 13.685546875, 13.87109375, 13.774251302083334, 13.923177083333334, 14.158854166666666, 19.157063802083332, 19.840169270833332, 20.512369791666668, 20.898274739583332, 21.102701822916668, 21.263346354166668, 21.45166015625, 21.540201822916668, 21.651692708333332, 21.798502604166668, 21.978515625, 22.306966145833332, 22.679361979166668, 23.040201822916668, 23.361002604166668, 23.812174479166668, 24.370442708333332, 25.008463541666668, 24.559407552083332, 24.195963541666668, 25.315266927083332, 29.285319010416668, 36.727376302083336]","[12.638962765957446, 13.063829787234043, 13.43467420212766, 13.639793882978724, 13.875831117021276, 13.815492021276595, 13.97722739361702, 14.22905585106383, 19.37932180851064, 20.11685505319149, 20.83194813829787, 21.234541223404257, 21.41373005319149, 21.58161569148936, 21.72406914893617, 21.78972739361702, 21.887632978723403, 22.02160904255319, 22.197972074468087, 22.474900265957448, 22.794547872340427, 23.13846409574468, 23.48969414893617, 23.943317819148938, 24.562333776595743, 25.275099734042552, 24.870511968085108, 24.557014627659573, 25.96060505319149, 30.490192819148938, 36.422872340425535]"
7,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of item                                                                  7
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                     wahodd
lemma                                                           gwahodd
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 direct_object_mutation
token_id                                                           15.0
prev_word                                                           nhw
incorrect_form                                                  gwahodd
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
num_diffs                                                             1
Name: 7, dtype: object>",1,wahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",gwahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw gwahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",SM,MS,direct_object_mutation,36.727376302083336,36.78077168367347,0.05339538159013557,"[12.655924479166666, 13.075032552083334, 13.447265625, 13.685546875, 13.87109375, 13.774251302083334, 13.923177083333334, 14.158854166666666, 19.157063802083332, 19.840169270833332, 20.512369791666668, 20.898274739583332, 21.102701822916668, 21.263346354166668, 21.45166015625, 21.540201822916668, 21.651692708333332, 21.798502604166668, 21.978515625, 22.306966145833332, 22.679361979166668, 23.040201822916668, 23.361002604166668, 23.812174479166668, 24.370442708333332, 25.008463541666668, 24.559407552083332, 24.195963541666668, 25.315266927083332, 29.285319010416668, 36.727376302083336]","[12.712372448979592, 13.12547831632653, 13.465401785714286, 13.66438137755102, 13.810586734693878, 13.730867346938776, 13.888711734693878, 14.11670918367347, 19.002869897959183, 19.6734693877551, 20.349330357142858, 20.75127551020408, 20.925542091836736, 21.084821428571427, 21.25845025510204, 21.3265306122449, 21.41374362244898, 21.5296556122449, 21.688297193877553, 22.017378826530614, 22.417729591836736, 22.766741071428573, 23.088647959183675, 23.549107142857142, 24.14030612244898, 24.769292091836736, 24.28970025510204, 23.859375, 25.049585459183675, 29.166135204081634, 36.78077168367347]"
8,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of item                                                                  8
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                       gred
lemma                                                              cred
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                  def_art_fem_sing_noun
token_id                                                            2.0
prev_word                                                             Y
incorrect_form                                                     cred
incorrect_sentence    Y cred yw bod y system bresennol â chapasiti i...
num_diffs                                                             1
Name: 8, dtype: object>",2,gred,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",cred,"Y cred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,def_art_fem_sing_noun,38.959263392857146,38.97858796296296,0.019324570105816008,"[12.531808035714286, 13.268136160714286, 13.65625, 13.896205357142858, 14.063058035714286, 14.114676339285714, 14.226841517857142, 14.366071428571429, 24.506417410714285, 25.631138392857142, 26.623325892857142, 27.457589285714285, 27.908482142857142, 27.951171875, 28.091796875, 28.090959821428573, 28.225446428571427, 28.517578125, 28.662109375, 28.729910714285715, 29.143694196428573, 29.570870535714285, 30.130580357142858, 30.805803571428573, 31.468470982142858, 32.652622767857146, 31.413783482142858, 30.057477678571427, 30.479631696428573, 35.07142857142857, 38.959263392857146]","[12.605034722222221, 13.271412037037036, 13.518518518518519, 13.853877314814815, 14.099247685185185, 14.24363425925926, 14.345775462962964, 14.557581018518519, 23.33159722222222, 24.32667824074074, 25.227430555555557, 25.869212962962962, 26.243055555555557, 26.29716435185185, 26.466435185185187, 26.502314814814813, 26.565104166666668, 26.797453703703702, 26.96585648148148, 27.097800925925927, 27.515046296296298, 28.035300925925927, 28.502025462962962, 29.16724537037037, 29.80324074074074, 31.01851851851852, 30.07494212962963, 29.28269675925926, 30.26417824074074, 34.66840277777778, 38.97858796296296]"
9,bigscience/bloom-7b1,"<bound method IndexOpsMixin.item of item                                                                  9
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                  bresennol
lemma                                                         presennol
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 fem_sing_noun_modifier
token_id                                                            7.0
prev_word                                                        system
incorrect_form                                                presennol
incorrect_sentence    Y gred yw bod y system presennol â chapasiti i...
num_diffs                                                             1
Name: 9, dtype: object>",2,bresennol,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",presennol,"Y gred yw bod y system presennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,fem_sing_noun_modifier,38.959263392857146,39.33043981481482,0.37117642195767075,"[12.531808035714286, 13.268136160714286, 13.65625, 13.896205357142858, 14.063058035714286, 14.114676339285714, 14.226841517857142, 14.366071428571429, 24.506417410714285, 25.631138392857142, 26.623325892857142, 27.457589285714285, 27.908482142857142, 27.951171875, 28.091796875, 28.090959821428573, 28.225446428571427, 28.517578125, 28.662109375, 28.729910714285715, 29.143694196428573, 29.570870535714285, 30.130580357142858, 30.805803571428573, 31.468470982142858, 32.652622767857146, 31.413783482142858, 30.057477678571427, 30.479631696428573, 35.07142857142857, 38.959263392857146]","[12.48900462962963, 13.21701388888889, 13.597222222222221, 13.877893518518519, 14.088541666666666, 14.133680555555555, 14.21730324074074, 14.344618055555555, 24.78125, 26.047743055555557, 27.138310185185187, 28.013599537037038, 28.47366898148148, 28.491319444444443, 28.60011574074074, 28.528645833333332, 28.62644675925926, 28.91232638888889, 29.09201388888889, 29.18287037037037, 29.586516203703702, 29.98582175925926, 30.520833333333332, 31.15277777777778, 31.80787037037037, 33.001157407407405, 31.491608796296298, 30.223958333333332, 30.69646990740741, 34.920717592592595, 39.33043981481482]"
