index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,incorrect_form_mut_type,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 0
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         pasio
incorrect_sentence         Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,none,3.4767320976882683,3.359063570616675,-0.11766852707159314,"[11.751024590163935, 11.39344262295082, 11.317622950819672, 11.153688524590164, 11.07172131147541, 11.00204918032787, 10.90061475409836, 10.699795081967213, 10.504610655737705, 10.602459016393443, 49.606813524590166, 49.87986680327869, 50.439805327868854, 50.888063524590166, 51.415599385245905, 51.88319672131148, 52.517546106557376, 52.72720286885246, 52.942622950819676, 53.48872950819672, 54.010245901639344, 55.076588114754095, 54.89446721311475, 55.39830942622951, 55.782786885245905, 57.14011270491803, 58.36065573770492, 58.97781121926229, 61.099641393442624, 68.01229508196721, 77.14683657786885, 80.74064322377815, 89.32223514650688, 88.90868341141059, 97.71544410557043, 98.95711830014088, 97.41427712362321, 92.82369325981766, 89.34316794012413, 88.14917291383274, 75.56512394889457, 55.47144590244918, 3.4767320976882683]","[11.751024590163935, 11.390368852459016, 11.308401639344263, 11.15061475409836, 11.091188524590164, 11.01639344262295, 10.899590163934427, 10.698770491803279, 10.471311475409836, 10.538422131147541, 49.49564549180328, 49.75640368852459, 50.283043032786885, 50.64523565573771, 51.1844262295082, 51.62090163934426, 52.240266393442624, 52.38627049180328, 52.57095286885246, 53.138063524590166, 53.64446721311475, 54.72976434426229, 54.55327868852459, 55.05404713114754, 55.35476434426229, 56.72220799180328, 57.77551869877049, 58.18724385245902, 60.14180968237705, 67.17405225409836, 75.99001024590164, 78.9141345414959, 87.97617827868852, 86.7961065671483, 96.94544057963324, 98.71650070440573, 96.84040609148683, 92.75099731664189, 89.10310348917227, 88.23646731259393, 75.34853477556197, 54.938930431350336, 3.359063570616675]"
1,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 1
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         basio
incorrect_sentence         Oedd y fflam yn cael ei basio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 1, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",basio,"Oedd y fflam yn cael ei basio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,SM,3.4767320976882683,3.3129172403304303,-0.16381485735783796,"[11.751024590163935, 11.39344262295082, 11.317622950819672, 11.153688524590164, 11.07172131147541, 11.00204918032787, 10.90061475409836, 10.699795081967213, 10.504610655737705, 10.602459016393443, 49.606813524590166, 49.87986680327869, 50.439805327868854, 50.888063524590166, 51.415599385245905, 51.88319672131148, 52.517546106557376, 52.72720286885246, 52.942622950819676, 53.48872950819672, 54.010245901639344, 55.076588114754095, 54.89446721311475, 55.39830942622951, 55.782786885245905, 57.14011270491803, 58.36065573770492, 58.97781121926229, 61.099641393442624, 68.01229508196721, 77.14683657786885, 80.74064322377815, 89.32223514650688, 88.90868341141059, 97.71544410557043, 98.95711830014088, 97.41427712362321, 92.82369325981766, 89.34316794012413, 88.14917291383274, 75.56512394889457, 55.47144590244918, 3.4767320976882683]","[11.753073770491802, 11.394467213114755, 11.316598360655737, 11.168032786885245, 11.086065573770492, 11.014344262295081, 10.905737704918034, 10.702868852459016, 10.47233606557377, 10.537909836065573, 49.49871926229508, 49.77433401639344, 50.27484631147541, 50.67264344262295, 51.18621926229508, 51.62038934426229, 52.26229508196721, 52.39984631147541, 52.60271516393443, 53.19595286885246, 53.71080942622951, 54.73386270491803, 54.6124487704918, 55.19877049180328, 55.497694672131146, 56.65727459016394, 57.82146516393443, 58.54266457479508, 60.54597848360656, 67.71004098360656, 76.7328381147541, 80.62410808000408, 89.20134272340869, 88.304559437955, 96.80565206535528, 98.31972416111681, 96.18841454435568, 91.97022938142058, 87.99292495211617, 86.26151481221933, 73.90478844525384, 53.175022434015744, 3.3129172403304303]"
2,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 2
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                        mhasio
incorrect_sentence         Oedd y fflam yn cael ei mhasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 2, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",mhasio,"Oedd y fflam yn cael ei mhasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,NM,3.4767320976882683,3.388025591450353,-0.08870650623791532,"[11.751024590163935, 11.39344262295082, 11.317622950819672, 11.153688524590164, 11.07172131147541, 11.00204918032787, 10.90061475409836, 10.699795081967213, 10.504610655737705, 10.602459016393443, 49.606813524590166, 49.87986680327869, 50.439805327868854, 50.888063524590166, 51.415599385245905, 51.88319672131148, 52.517546106557376, 52.72720286885246, 52.942622950819676, 53.48872950819672, 54.010245901639344, 55.076588114754095, 54.89446721311475, 55.39830942622951, 55.782786885245905, 57.14011270491803, 58.36065573770492, 58.97781121926229, 61.099641393442624, 68.01229508196721, 77.14683657786885, 80.74064322377815, 89.32223514650688, 88.90868341141059, 97.71544410557043, 98.95711830014088, 97.41427712362321, 92.82369325981766, 89.34316794012413, 88.14917291383274, 75.56512394889457, 55.47144590244918, 3.4767320976882683]","[11.753024193548388, 11.397177419354838, 11.320564516129032, 11.15625, 11.089717741935484, 11.018145161290322, 10.910282258064516, 10.673387096774194, 10.424899193548388, 10.487399193548388, 48.827368951612904, 49.08165322580645, 49.57409274193548, 49.98311491935484, 50.513608870967744, 51.04536290322581, 51.660786290322584, 51.88004032258065, 52.067288306451616, 52.66028225806452, 53.163306451612904, 54.250630040322584, 54.10521673387097, 54.68724798387097, 55.05241935483871, 56.22127016129032, 57.390688004032256, 57.99061239919355, 59.98815524193548, 67.11693548387096, 75.96333165322581, 79.89117675058303, 88.35824226563976, 87.60064894730046, 96.2530064794325, 97.96173686365927, 96.33541844737145, 91.73344474261806, 88.53094941954458, 87.03128288253662, 74.83695644332516, 54.52323629010108, 3.388025591450353]"
3,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 3
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           pob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 3, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,none,3.4767320976882683,3.637933349609375,0.1612012519211068,"[11.751024590163935, 11.39344262295082, 11.317622950819672, 11.153688524590164, 11.07172131147541, 11.00204918032787, 10.90061475409836, 10.699795081967213, 10.504610655737705, 10.602459016393443, 49.606813524590166, 49.87986680327869, 50.439805327868854, 50.888063524590166, 51.415599385245905, 51.88319672131148, 52.517546106557376, 52.72720286885246, 52.942622950819676, 53.48872950819672, 54.010245901639344, 55.076588114754095, 54.89446721311475, 55.39830942622951, 55.782786885245905, 57.14011270491803, 58.36065573770492, 58.97781121926229, 61.099641393442624, 68.01229508196721, 77.14683657786885, 80.74064322377815, 89.32223514650688, 88.90868341141059, 97.71544410557043, 98.95711830014088, 97.41427712362321, 92.82369325981766, 89.34316794012413, 88.14917291383274, 75.56512394889457, 55.47144590244918, 3.4767320976882683]","[11.751041666666667, 11.378125, 11.301041666666666, 11.132291666666667, 11.076041666666667, 11.003125, 10.895833333333334, 10.664583333333333, 10.469270833333333, 10.544270833333334, 50.20104166666667, 50.49375, 51.120052083333334, 51.52317708333333, 52.10794270833333, 52.569010416666664, 53.17552083333333, 53.397135416666664, 53.590625, 54.15286458333333, 54.67760416666667, 55.76614583333333, 55.60768229166667, 56.129947916666666, 56.588802083333334, 57.89817708333333, 59.322265625, 59.862858072916666, 62.03567708333333, 69.09322916666666, 77.32630208333333, 80.70437847773233, 90.72005272308985, 90.01419270833334, 98.47243652542433, 100.20601501464844, 98.40041717688243, 93.96342838406562, 90.57608263691266, 89.70810050169626, 77.27144521077474, 57.671914013226825, 3.637933349609375]"
4,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 4
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           bob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 4, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",bob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym bob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,SM,3.4767320976882683,3.6613367716471354,0.18460467395886715,"[11.751024590163935, 11.39344262295082, 11.317622950819672, 11.153688524590164, 11.07172131147541, 11.00204918032787, 10.90061475409836, 10.699795081967213, 10.504610655737705, 10.602459016393443, 49.606813524590166, 49.87986680327869, 50.439805327868854, 50.888063524590166, 51.415599385245905, 51.88319672131148, 52.517546106557376, 52.72720286885246, 52.942622950819676, 53.48872950819672, 54.010245901639344, 55.076588114754095, 54.89446721311475, 55.39830942622951, 55.782786885245905, 57.14011270491803, 58.36065573770492, 58.97781121926229, 61.099641393442624, 68.01229508196721, 77.14683657786885, 80.74064322377815, 89.32223514650688, 88.90868341141059, 97.71544410557043, 98.95711830014088, 97.41427712362321, 92.82369325981766, 89.34316794012413, 88.14917291383274, 75.56512394889457, 55.47144590244918, 3.4767320976882683]","[11.751041666666667, 11.380208333333334, 11.302083333333334, 11.136458333333334, 11.055208333333333, 10.983333333333333, 10.867708333333333, 10.641666666666667, 10.419791666666667, 10.483854166666667, 50.12421875, 50.38723958333333, 50.99140625, 51.42630208333333, 51.99609375, 52.416927083333334, 53.09166666666667, 53.302083333333336, 53.484375, 53.983072916666664, 54.540104166666666, 55.63098958333333, 55.481380208333334, 55.97291666666667, 56.36536458333333, 57.649739583333336, 58.887044270833336, 59.545345052083334, 61.62096354166667, 68.84921875, 77.08098958333333, 80.75162391662597, 90.2557767232259, 89.41875, 98.02330729166667, 99.57162272135416, 97.69930216471354, 93.2197489420573, 89.8320742547512, 89.04658928712209, 76.54695180257161, 56.57129552165667, 3.6613367716471354]"
5,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 5
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                          phob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 5, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",phob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym phob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,AM,3.4767320976882683,3.6813374837239583,0.20460538603569,"[11.751024590163935, 11.39344262295082, 11.317622950819672, 11.153688524590164, 11.07172131147541, 11.00204918032787, 10.90061475409836, 10.699795081967213, 10.504610655737705, 10.602459016393443, 49.606813524590166, 49.87986680327869, 50.439805327868854, 50.888063524590166, 51.415599385245905, 51.88319672131148, 52.517546106557376, 52.72720286885246, 52.942622950819676, 53.48872950819672, 54.010245901639344, 55.076588114754095, 54.89446721311475, 55.39830942622951, 55.782786885245905, 57.14011270491803, 58.36065573770492, 58.97781121926229, 61.099641393442624, 68.01229508196721, 77.14683657786885, 80.74064322377815, 89.32223514650688, 88.90868341141059, 97.71544410557043, 98.95711830014088, 97.41427712362321, 92.82369325981766, 89.34316794012413, 88.14917291383274, 75.56512394889457, 55.47144590244918, 3.4767320976882683]","[11.751041666666667, 11.391666666666667, 11.311458333333333, 11.144791666666666, 11.073958333333334, 11.020833333333334, 10.935416666666667, 10.730208333333334, 10.531770833333333, 10.611458333333333, 50.29322916666667, 50.575, 51.186197916666664, 51.60885416666667, 52.178125, 52.64505208333333, 53.30455729166667, 53.518489583333334, 53.68932291666667, 54.2421875, 54.791927083333334, 55.863671875, 55.69388020833333, 56.244791666666664, 56.66770833333333, 57.96692708333333, 59.32467447916667, 59.96064453125, 62.14427083333333, 69.24557291666666, 78.48587239583334, 81.89338385860125, 90.97734404206275, 90.11443684895833, 98.43176066279412, 99.62892252604166, 97.95595245361328, 93.51365432739257, 90.5280713657538, 90.03816634019216, 77.30399729410807, 57.630507761240004, 3.6813374837239583]"
6,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 6
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                       cydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 6, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,none,3.4767320976882683,3.452031781596522,-0.024700316091746277,"[11.751024590163935, 11.39344262295082, 11.317622950819672, 11.153688524590164, 11.07172131147541, 11.00204918032787, 10.90061475409836, 10.699795081967213, 10.504610655737705, 10.602459016393443, 49.606813524590166, 49.87986680327869, 50.439805327868854, 50.888063524590166, 51.415599385245905, 51.88319672131148, 52.517546106557376, 52.72720286885246, 52.942622950819676, 53.48872950819672, 54.010245901639344, 55.076588114754095, 54.89446721311475, 55.39830942622951, 55.782786885245905, 57.14011270491803, 58.36065573770492, 58.97781121926229, 61.099641393442624, 68.01229508196721, 77.14683657786885, 80.74064322377815, 89.32223514650688, 88.90868341141059, 97.71544410557043, 98.95711830014088, 97.41427712362321, 92.82369325981766, 89.34316794012413, 88.14917291383274, 75.56512394889457, 55.47144590244918, 3.4767320976882683]","[11.75100806451613, 11.391129032258064, 11.30141129032258, 11.131048387096774, 11.055443548387096, 10.972782258064516, 10.85483870967742, 10.631048387096774, 10.462197580645162, 10.54233870967742, 48.913306451612904, 49.20211693548387, 49.722026209677416, 50.16910282258065, 50.715473790322584, 51.17716733870968, 51.850680443548384, 51.996975806451616, 52.231350806451616, 52.707661290322584, 53.23059475806452, 54.330267137096776, 54.141129032258064, 54.66910282258065, 55.041078629032256, 56.33039314516129, 57.529076360887096, 58.161432081653224, 60.21830897177419, 67.10987903225806, 76.08600050403226, 79.3879715588785, 88.60736038607936, 87.85370464671043, 96.6434208135451, 97.67151961788055, 96.51445007324219, 92.14899155401415, 89.23783458625117, 87.69212980231931, 76.06205743358981, 56.964345968538716, 3.452031781596522]"
7,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 7
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                     nghydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 7, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",nghydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i nghydfynd â'r ras.",SM,L,i,NM,3.4767320976882683,3.458683558872768,-0.018048538815500503,"[11.751024590163935, 11.39344262295082, 11.317622950819672, 11.153688524590164, 11.07172131147541, 11.00204918032787, 10.90061475409836, 10.699795081967213, 10.504610655737705, 10.602459016393443, 49.606813524590166, 49.87986680327869, 50.439805327868854, 50.888063524590166, 51.415599385245905, 51.88319672131148, 52.517546106557376, 52.72720286885246, 52.942622950819676, 53.48872950819672, 54.010245901639344, 55.076588114754095, 54.89446721311475, 55.39830942622951, 55.782786885245905, 57.14011270491803, 58.36065573770492, 58.97781121926229, 61.099641393442624, 68.01229508196721, 77.14683657786885, 80.74064322377815, 89.32223514650688, 88.90868341141059, 97.71544410557043, 98.95711830014088, 97.41427712362321, 92.82369325981766, 89.34316794012413, 88.14917291383274, 75.56512394889457, 55.47144590244918, 3.4767320976882683]","[11.75, 11.393849206349206, 11.300595238095237, 11.11111111111111, 11.007936507936508, 10.925595238095237, 10.839285714285714, 10.603174603174603, 10.42361111111111, 10.496527777777779, 48.251736111111114, 48.55927579365079, 49.13864087301587, 49.5875496031746, 50.13492063492063, 50.63368055555556, 51.235863095238095, 51.38789682539682, 51.595982142857146, 52.088789682539684, 52.58506944444444, 53.70721726190476, 53.500372023809526, 53.98735119047619, 54.30084325396825, 55.597098214285715, 56.70610119047619, 57.408575148809526, 59.48053075396825, 66.34325396825396, 75.15804811507937, 78.56336089921376, 87.38442609423683, 87.07428076342931, 96.38717617307391, 97.69263167608352, 96.03803023080977, 91.65121490236312, 88.51481340234241, 86.99165948799678, 74.8924216013106, 55.71243174681588, 3.458683558872768]"
8,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 8
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                      chydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 8, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i chydfynd â'r ras.",SM,L,i,AM,3.4767320976882683,3.472382084015877,-0.004350013672391295,"[11.751024590163935, 11.39344262295082, 11.317622950819672, 11.153688524590164, 11.07172131147541, 11.00204918032787, 10.90061475409836, 10.699795081967213, 10.504610655737705, 10.602459016393443, 49.606813524590166, 49.87986680327869, 50.439805327868854, 50.888063524590166, 51.415599385245905, 51.88319672131148, 52.517546106557376, 52.72720286885246, 52.942622950819676, 53.48872950819672, 54.010245901639344, 55.076588114754095, 54.89446721311475, 55.39830942622951, 55.782786885245905, 57.14011270491803, 58.36065573770492, 58.97781121926229, 61.099641393442624, 68.01229508196721, 77.14683657786885, 80.74064322377815, 89.32223514650688, 88.90868341141059, 97.71544410557043, 98.95711830014088, 97.41427712362321, 92.82369325981766, 89.34316794012413, 88.14917291383274, 75.56512394889457, 55.47144590244918, 3.4767320976882683]","[11.75100806451613, 11.392137096774194, 11.299395161290322, 11.118951612903226, 11.037298387096774, 10.956653225806452, 10.862903225806452, 10.642137096774194, 10.459677419354838, 10.534778225806452, 48.91381048387097, 49.21875, 49.756048387096776, 50.203629032258064, 50.755670362903224, 51.21446572580645, 51.802797379032256, 51.943548387096776, 52.18724798387097, 52.69279233870968, 53.21900201612903, 54.34085181451613, 54.139994959677416, 54.634702620967744, 55.03629032258065, 56.33732358870968, 57.45114037298387, 58.03315587197581, 60.17477318548387, 66.87298387096774, 75.86321824596774, 79.59059252662044, 88.50857006349871, 87.76096271122655, 96.60410629741607, 97.65186235981602, 96.4176758796938, 92.41877482014317, 89.29831845721891, 88.31612173780319, 75.33423485294465, 55.939648387893556, 3.472382084015877]"
9,utter-project/EuroLLM-9B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 9
item                                                                       3
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            cael
lemma                                                                   cael
mutation_type                                                          no_AM
trigger_type                                                     no_mutation
specific_trigger                                                 no_mutation
token_id                                                                 5.0
prev_word                                                                 yn
incorrect_form                                                         chael
incorrect_sentence         Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 9, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,AM,3.4767320976882683,3.667202308529713,0.19047021084144466,"[11.751024590163935, 11.39344262295082, 11.317622950819672, 11.153688524590164, 11.07172131147541, 11.00204918032787, 10.90061475409836, 10.699795081967213, 10.504610655737705, 10.602459016393443, 49.606813524590166, 49.87986680327869, 50.439805327868854, 50.888063524590166, 51.415599385245905, 51.88319672131148, 52.517546106557376, 52.72720286885246, 52.942622950819676, 53.48872950819672, 54.010245901639344, 55.076588114754095, 54.89446721311475, 55.39830942622951, 55.782786885245905, 57.14011270491803, 58.36065573770492, 58.97781121926229, 61.099641393442624, 68.01229508196721, 77.14683657786885, 80.74064322377815, 89.32223514650688, 88.90868341141059, 97.71544410557043, 98.95711830014088, 97.41427712362321, 92.82369325981766, 89.34316794012413, 88.14917291383274, 75.56512394889457, 55.47144590244918, 3.4767320976882683]","[11.75, 11.398565573770492, 11.320696721311476, 11.156762295081966, 11.082991803278688, 11.024590163934427, 10.9375, 10.754610655737705, 10.582479508196721, 10.685963114754099, 49.72336065573771, 50.017930327868854, 50.58094262295082, 51.02996926229508, 51.614754098360656, 52.064549180327866, 52.681736680327866, 52.91367827868852, 53.12628073770492, 53.654456967213115, 54.2000512295082, 55.28253073770492, 55.15945184426229, 55.60860655737705, 55.877561475409834, 56.962858606557376, 58.057248975409834, 59.06931992827869, 61.16688012295082, 68.03483606557377, 76.60444415983606, 79.90813913892526, 89.01332030530835, 87.37972272810389, 95.04250048809364, 96.91591156506148, 95.76192586930071, 92.6917094558966, 90.00621421806147, 90.0421328212394, 77.71593258029125, 58.55945824990507, 3.667202308529713]"
