index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,microsoft/phi-2,"<bound method IndexOpsMixin.item of item                                                                  0
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                     phasio
lemma                                                             pasio
mutation_type                                                        AM
trigger_type                                                          L
specific_trigger                                                     ei
token_id                                                            7.0
prev_word                                                            ei
incorrect_form                                                    pasio
incorrect_sentence    Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                             1
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,4.57777089921255,4.596326555524554,0.018555656312003954,"[10.741071428571429, 9.933035714285714, 10.76016865079365, 11.925285218253968, 12.496961805555555, 12.573970734126984, 12.643353174603174, 12.683035714285714, 12.756572420634921, 13.092044890873016, 12.899026537698413, 12.835348462301587, 12.874503968253968, 12.74285404265873, 12.664341517857142, 12.714905753968255, 12.82679191468254, 12.728066096230158, 12.78865947420635, 12.922030009920634, 12.703497023809524, 12.909078931051587, 12.945242745535714, 12.61261470734127, 12.992582775297619, 12.51960681733631, 12.47011990017361, 11.56405276343936, 10.648354000515408, 10.628214881533669, 10.103906589841086, 11.18081693800669, 4.57777089921255]","[10.734623015873016, 9.921440972222221, 10.747085813492063, 11.891493055555555, 12.457186259920634, 12.531125992063492, 12.57576884920635, 12.623170882936508, 12.695281498015873, 13.044053819444445, 12.86368427579365, 12.791542658730158, 12.851748511904763, 12.721090649801587, 12.642826140873016, 12.67404513888889, 12.757626488095237, 12.659102182539682, 12.735336061507937, 12.898809523809524, 12.687050471230158, 12.922588045634921, 12.969044518849206, 12.597520616319445, 12.942320808531745, 12.410413953993055, 12.330584813678076, 11.463653685554625, 10.592338350084093, 10.555578201536148, 10.004941255327255, 10.99781576792399, 4.596326555524554]"
1,microsoft/phi-2,"<bound method IndexOpsMixin.item of item                                                                  1
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       mhob
lemma                                                               pob
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                     ym
token_id                                                           15.0
prev_word                                                            ym
incorrect_form                                                      pob
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 1, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,4.57777089921255,4.4952308900894655,-0.08254000912308435,"[10.741071428571429, 9.933035714285714, 10.76016865079365, 11.925285218253968, 12.496961805555555, 12.573970734126984, 12.643353174603174, 12.683035714285714, 12.756572420634921, 13.092044890873016, 12.899026537698413, 12.835348462301587, 12.874503968253968, 12.74285404265873, 12.664341517857142, 12.714905753968255, 12.82679191468254, 12.728066096230158, 12.78865947420635, 12.922030009920634, 12.703497023809524, 12.909078931051587, 12.945242745535714, 12.61261470734127, 12.992582775297619, 12.51960681733631, 12.47011990017361, 11.56405276343936, 10.648354000515408, 10.628214881533669, 10.103906589841086, 11.18081693800669, 4.57777089921255]","[10.742691532258064, 9.96194556451613, 10.823651713709678, 12.023941532258064, 12.631111391129032, 12.706653225806452, 12.774256552419354, 12.824061239919354, 12.904076360887096, 13.251260080645162, 13.053112399193548, 12.972561743951612, 13.021232358870968, 12.934302545362904, 12.872574344758064, 12.956495715725806, 13.05405745967742, 12.93080582157258, 13.00261466733871, 13.080093876008064, 12.839638986895162, 13.064264112903226, 13.074966922883064, 12.72854712701613, 13.079715851814516, 12.56002906060988, 12.566948675340221, 11.663313342678931, 10.707929518914991, 10.822552219513923, 10.289654958632685, 11.158896923065186, 4.4952308900894655]"
2,microsoft/phi-2,"<bound method IndexOpsMixin.item of item                                                                  2
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gydfynd
lemma                                                           cydfynd
mutation_type                                                        SM
trigger_type                                                          L
specific_trigger                                                      i
token_id                                                           25.0
prev_word                                                             i
incorrect_form                                                  cydfynd
incorrect_sentence    Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                             1
Name: 2, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,4.57777089921255,4.648033020988343,0.0702621217757935,"[10.741071428571429, 9.933035714285714, 10.76016865079365, 11.925285218253968, 12.496961805555555, 12.573970734126984, 12.643353174603174, 12.683035714285714, 12.756572420634921, 13.092044890873016, 12.899026537698413, 12.835348462301587, 12.874503968253968, 12.74285404265873, 12.664341517857142, 12.714905753968255, 12.82679191468254, 12.728066096230158, 12.78865947420635, 12.922030009920634, 12.703497023809524, 12.909078931051587, 12.945242745535714, 12.61261470734127, 12.992582775297619, 12.51960681733631, 12.47011990017361, 11.56405276343936, 10.648354000515408, 10.628214881533669, 10.103906589841086, 11.18081693800669, 4.57777089921255]","[10.74045138888889, 9.989583333333334, 10.820684523809524, 11.972284226190476, 12.540860615079366, 12.580977182539682, 12.590959821428571, 12.635664682539682, 12.684027777777779, 13.009517609126984, 12.83420138888889, 12.799107142857142, 12.821428571428571, 12.701807415674603, 12.59725322420635, 12.638795882936508, 12.71227058531746, 12.59396701388889, 12.65562996031746, 12.73499503968254, 12.508990575396826, 12.680594308035714, 12.727639818948413, 12.40815662202381, 12.846687437996032, 12.399970160590279, 12.30347648499504, 11.392658294193328, 10.487934233650329, 10.547826494489398, 10.222001302809943, 11.46199887896341, 4.648033020988343]"
3,microsoft/phi-2,"<bound method IndexOpsMixin.item of item                                                                  3
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                       cael
lemma                                                              cael
mutation_type                                                     no_AM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            5.0
prev_word                                                            yn
incorrect_form                                                    chael
incorrect_sentence    Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                             1
Name: 3, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,4.57777089921255,4.65321519639757,0.07544429718501977,"[10.741071428571429, 9.933035714285714, 10.76016865079365, 11.925285218253968, 12.496961805555555, 12.573970734126984, 12.643353174603174, 12.683035714285714, 12.756572420634921, 13.092044890873016, 12.899026537698413, 12.835348462301587, 12.874503968253968, 12.74285404265873, 12.664341517857142, 12.714905753968255, 12.82679191468254, 12.728066096230158, 12.78865947420635, 12.922030009920634, 12.703497023809524, 12.909078931051587, 12.945242745535714, 12.61261470734127, 12.992582775297619, 12.51960681733631, 12.47011990017361, 11.56405276343936, 10.648354000515408, 10.628214881533669, 10.103906589841086, 11.18081693800669, 4.57777089921255]","[10.738839285714286, 9.961123511904763, 10.781187996031745, 11.892733134920634, 12.479693700396826, 12.560887896825397, 12.633990575396826, 12.694010416666666, 12.764105902777779, 13.068483382936508, 12.882998511904763, 12.840029761904763, 12.893477182539682, 12.773111979166666, 12.712425595238095, 12.751426091269842, 12.830853174603174, 12.722733754960318, 12.77508060515873, 12.897119915674603, 12.638873387896826, 12.916139632936508, 12.955721416170634, 12.570141989087302, 12.941902281746032, 12.429334852430555, 12.377042255704366, 11.463968912760416, 10.57197498139881, 10.565597049773686, 10.076946845130315, 11.244458410474989, 4.65321519639757]"
4,microsoft/phi-2,"<bound method IndexOpsMixin.item of item                                                                  4
sent_id                                                               0
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                    gymuned
lemma                                                           cymuned
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                      num_fem_sing_noun
token_id                                                           10.0
prev_word                                                            un
incorrect_form                                                  cymuned
incorrect_sentence    Oedd y fflam yn cael ei phasio o un cymuned i'...
num_diffs                                                             1
Name: 4, dtype: object>",0,gymuned,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cymuned,"Oedd y fflam yn cael ei phasio o un cymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",SM,MS,num_fem_sing_noun,4.57777089921255,4.4203386306762695,-0.15743226853628034,"[10.741071428571429, 9.933035714285714, 10.76016865079365, 11.925285218253968, 12.496961805555555, 12.573970734126984, 12.643353174603174, 12.683035714285714, 12.756572420634921, 13.092044890873016, 12.899026537698413, 12.835348462301587, 12.874503968253968, 12.74285404265873, 12.664341517857142, 12.714905753968255, 12.82679191468254, 12.728066096230158, 12.78865947420635, 12.922030009920634, 12.703497023809524, 12.909078931051587, 12.945242745535714, 12.61261470734127, 12.992582775297619, 12.51960681733631, 12.47011990017361, 11.56405276343936, 10.648354000515408, 10.628214881533669, 10.103906589841086, 11.18081693800669, 4.57777089921255]","[10.739501953125, 9.97113037109375, 10.7930908203125, 11.9593505859375, 12.4508056640625, 12.533935546875, 12.6148681640625, 12.596282958984375, 12.666778564453125, 13.0166015625, 12.8719482421875, 12.805145263671875, 12.82769775390625, 12.690017700195312, 12.568115234375, 12.57550048828125, 12.691162109375, 12.579818725585938, 12.645721435546875, 12.776107788085938, 12.564620971679688, 12.815643310546875, 12.847259521484375, 12.465476989746094, 12.916549682617188, 12.41395378112793, 12.38805091381073, 11.588782556355, 10.63894603960216, 10.671036133542657, 10.090516852214932, 11.096816116943955, 4.4203386306762695]"
5,microsoft/phi-2,"<bound method IndexOpsMixin.item of item                                                                  5
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                    nghanol
lemma                                                             canol
mutation_type                                                        NM
trigger_type                                                          L
specific_trigger                                                    yng
token_id                                                            9.0
prev_word                                                           yng
incorrect_form                                                    canol
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng canol dinas Ba...
num_diffs                                                             1
Name: 5, dtype: object>",1,nghanol,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",canol,"O'n ni yn rhan o'r ras oedd yng canol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",NM,L,yng,4.873356410435268,4.923692737926136,0.050336327490867916,"[10.749860491071429, 10.084681919642858, 11.600237165178571, 13.770577566964286, 14.3134765625, 14.545758928571429, 14.751604352678571, 14.830217633928571, 14.865652901785714, 15.209263392857142, 15.203334263392858, 15.209263392857142, 15.155622209821429, 15.000697544642858, 14.717564174107142, 14.654122488839286, 14.543143136160714, 14.293631417410714, 14.120169503348214, 14.1875, 14.125087193080358, 14.630231584821429, 14.727364676339286, 14.328584943498884, 14.718466622488839, 14.195296151297432, 13.999237605503627, 13.367462158203125, 12.658200945172991, 12.476980532918658, 11.8553726204804, 12.220359121050153, 4.873356410435268]","[10.745738636363637, 10.058664772727273, 11.575426136363637, 13.746946022727272, 14.322230113636364, 14.543323863636363, 14.720738636363636, 14.811931818181819, 14.876988636363636, 15.245525568181819, 15.236505681818182, 15.266548295454545, 15.207386363636363, 15.015696022727273, 14.735866477272728, 14.619318181818182, 14.508664772727272, 14.238742897727272, 14.087997159090909, 14.186470170454545, 14.165216619318182, 14.630397727272728, 14.757173295454546, 14.411749822443182, 14.850751287286931, 14.272009832208807, 14.058086048473012, 13.500456099076704, 12.825943270596591, 12.649397191134366, 12.045469015294856, 12.453771279074928, 4.923692737926136]"
6,microsoft/phi-2,"<bound method IndexOpsMixin.item of item                                                                  6
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                       rhan
lemma                                                              rhan
mutation_type                                                     no_SM
trigger_type                                                no_mutation
specific_trigger                                            no_mutation
token_id                                                            4.0
prev_word                                                            yn
incorrect_form                                                      ran
incorrect_sentence    O'n ni yn ran o'r ras oedd yng nghanol dinas B...
num_diffs                                                             1
Name: 6, dtype: object>",1,rhan,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",ran,"O'n ni yn ran o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",no_SM,no_mutation,no_mutation,4.873356410435268,5.041437322443182,0.16808091200791342,"[10.749860491071429, 10.084681919642858, 11.600237165178571, 13.770577566964286, 14.3134765625, 14.545758928571429, 14.751604352678571, 14.830217633928571, 14.865652901785714, 15.209263392857142, 15.203334263392858, 15.209263392857142, 15.155622209821429, 15.000697544642858, 14.717564174107142, 14.654122488839286, 14.543143136160714, 14.293631417410714, 14.120169503348214, 14.1875, 14.125087193080358, 14.630231584821429, 14.727364676339286, 14.328584943498884, 14.718466622488839, 14.195296151297432, 13.999237605503627, 13.367462158203125, 12.658200945172991, 12.476980532918658, 11.8553726204804, 12.220359121050153, 4.873356410435268]","[10.752130681818182, 10.1203125, 11.678693181818181, 13.881178977272727, 14.421803977272727, 14.654048295454546, 14.884303977272728, 14.988991477272727, 15.089204545454546, 15.354332386363636, 15.288849431818182, 15.273082386363637, 15.236434659090909, 15.091264204545455, 14.808167613636364, 14.743004261363636, 14.687890625, 14.471555397727272, 14.322123579545455, 14.362961647727273, 14.377006392045455, 14.852991832386364, 14.965891335227273, 14.616253107244319, 14.841259765625, 14.407098943536932, 14.213125332919034, 13.672224287553266, 13.049837389859286, 12.957704741304571, 12.368159081719138, 12.961371265758167, 5.041437322443182]"
7,microsoft/phi-2,"<bound method IndexOpsMixin.item of item                                                                  7
sent_id                                                               1
source                https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence      O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
correct_form                                                     wahodd
lemma                                                           gwahodd
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 direct_object_mutation
token_id                                                           15.0
prev_word                                                           nhw
incorrect_form                                                  gwahodd
incorrect_sentence    O'n ni yn rhan o'r ras oedd yng nghanol dinas ...
num_diffs                                                             1
Name: 7, dtype: object>",1,wahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw wahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",gwahodd,"O'n ni yn rhan o'r ras oedd yng nghanol dinas Barcelona, lle 'naethon nhw gwahodd cymunedau o ieithoedd lleiafrifol eraill atyn nhw.",SM,MS,direct_object_mutation,4.873356410435268,4.621046635142544,-0.2523097752927246,"[10.749860491071429, 10.084681919642858, 11.600237165178571, 13.770577566964286, 14.3134765625, 14.545758928571429, 14.751604352678571, 14.830217633928571, 14.865652901785714, 15.209263392857142, 15.203334263392858, 15.209263392857142, 15.155622209821429, 15.000697544642858, 14.717564174107142, 14.654122488839286, 14.543143136160714, 14.293631417410714, 14.120169503348214, 14.1875, 14.125087193080358, 14.630231584821429, 14.727364676339286, 14.328584943498884, 14.718466622488839, 14.195296151297432, 13.999237605503627, 13.367462158203125, 12.658200945172991, 12.476980532918658, 11.8553726204804, 12.220359121050153, 4.873356410435268]","[10.74561403508772, 10.00561951754386, 11.523300438596491, 13.640967653508772, 14.167420504385966, 14.380482456140351, 14.571477521929825, 14.665981359649123, 14.716282894736842, 15.078330592105264, 15.06702302631579, 15.07874177631579, 15.019942434210526, 14.85327576754386, 14.578056469298245, 14.479303728070175, 14.388397752192983, 14.13952850877193, 13.974215323464913, 14.04906798245614, 13.988709566885966, 14.456894188596491, 14.52977658991228, 14.1068115234375, 14.51843047560307, 13.97370241399397, 13.721872965494791, 13.047504625822368, 12.296590169270834, 11.941926169813724, 11.104898339823672, 11.3020647283186, 4.621046635142544]"
8,microsoft/phi-2,"<bound method IndexOpsMixin.item of item                                                                  8
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                       gred
lemma                                                              cred
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                  def_art_fem_sing_noun
token_id                                                            2.0
prev_word                                                             Y
incorrect_form                                                     cred
incorrect_sentence    Y cred yw bod y system bresennol â chapasiti i...
num_diffs                                                             1
Name: 8, dtype: object>",2,gred,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",cred,"Y cred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,def_art_fem_sing_noun,6.19001228578629,6.487213134765625,0.29720084897933496,"[10.727318548387096, 9.728326612903226, 11.706275201612904, 15.456149193548388, 16.412424395161292, 16.834551411290324, 17.092048891129032, 17.326423891129032, 17.532951108870968, 17.662487399193548, 17.596459173387096, 17.61592741935484, 17.465095766129032, 17.29561491935484, 17.120211693548388, 17.22259324596774, 17.380693989415324, 17.256709929435484, 17.313114289314516, 17.296748991935484, 17.25846419795867, 17.299930695564516, 17.399617841166833, 17.296806089339718, 17.68514423985635, 17.695064421622984, 17.957500826927923, 18.70984625047253, 18.888712236958167, 19.94997036841608, 18.33380323840726, 18.385584369782478, 6.19001228578629]","[10.730729166666666, 9.702473958333334, 10.978776041666666, 13.39765625, 14.060026041666667, 14.386979166666666, 14.527213541666667, 14.620833333333334, 14.647786458333334, 14.766341145833334, 14.6916015625, 14.72265625, 14.58642578125, 14.4837890625, 14.39765625, 14.47626953125, 14.76494140625, 14.775846354166667, 14.865559895833334, 14.853873697916667, 14.938726806640625, 15.338627115885417, 15.360423787434895, 14.942952473958334, 15.182862345377604, 14.949673461914063, 15.389203643798828, 15.566422526041666, 15.472788492838541, 16.616874186197915, 16.885123697916665, 18.12052625020345, 6.487213134765625]"
9,microsoft/phi-2,"<bound method IndexOpsMixin.item of item                                                                  9
sent_id                                                               2
source                https://www.bbc.com/cymrufyw/erthyglau/cx21lw1...
correct_sentence      Y gred yw bod y system bresennol â chapasiti i...
correct_form                                                  bresennol
lemma                                                         presennol
mutation_type                                                        SM
trigger_type                                                         MS
specific_trigger                                 fem_sing_noun_modifier
token_id                                                            7.0
prev_word                                                        system
incorrect_form                                                presennol
incorrect_sentence    Y gred yw bod y system presennol â chapasiti i...
num_diffs                                                             1
Name: 9, dtype: object>",2,bresennol,"Y gred yw bod y system bresennol â chapasiti i bweru tua 144,000 o gartrefi.",presennol,"Y gred yw bod y system presennol â chapasiti i bweru tua 144,000 o gartrefi.",SM,MS,fem_sing_noun_modifier,6.19001228578629,6.395450846354167,0.20543856056787657,"[10.727318548387096, 9.728326612903226, 11.706275201612904, 15.456149193548388, 16.412424395161292, 16.834551411290324, 17.092048891129032, 17.326423891129032, 17.532951108870968, 17.662487399193548, 17.596459173387096, 17.61592741935484, 17.465095766129032, 17.29561491935484, 17.120211693548388, 17.22259324596774, 17.380693989415324, 17.256709929435484, 17.313114289314516, 17.296748991935484, 17.25846419795867, 17.299930695564516, 17.399617841166833, 17.296806089339718, 17.68514423985635, 17.695064421622984, 17.957500826927923, 18.70984625047253, 18.888712236958167, 19.94997036841608, 18.33380323840726, 18.385584369782478, 6.19001228578629]","[10.735416666666667, 9.859635416666666, 11.9359375, 15.818489583333333, 16.750911458333334, 17.230338541666665, 17.535286458333335, 17.716276041666667, 17.92734375, 18.101627604166666, 18.058658854166666, 18.103971354166667, 17.937630208333335, 17.8537109375, 17.7853515625, 17.917692057291667, 18.071451822916668, 17.999275716145835, 18.101570638020835, 18.043798828125, 18.02426554361979, 18.135660807291668, 18.178590393066408, 18.1333740234375, 18.452072143554688, 18.54907251993815, 18.72651570638021, 19.341449991861978, 19.483714803059897, 20.612283833821614, 19.128293863932292, 19.30560302734375, 6.395450846354167]"
