index,model,item,sentence_id,correct_form,sentence,incorrect_form,incorrect_sentence,mutation_type,trigger_type,specific_trigger,incorrect_form_mut_type,correct_nll_mean,incorrect_nll_mean,delta,layer_nll_correct,layer_nll_incorrect
0,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 0
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         pasio
incorrect_sentence         Oedd y fflam yn cael ei pasio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 0, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pasio,"Oedd y fflam yn cael ei pasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,none,4.015229034051299,3.934194238226001,-0.08103479582529838,"[10.780683150658241, 48.56473483305711, 63.37848730820876, 79.27455937312199, 88.88411300365742, 92.44630768115704, 95.67190008897047, 98.16035204667311, 100.84976155207707, 103.3632105753972, 105.56426871373104, 106.40888583843525, 106.96202113811786, 109.44622913507315, 110.53135880690354, 112.03653116959792, 115.32726049423218, 119.7481045796321, 120.11024725253765, 123.78636216383714, 124.99446452214168, 129.6163180424617, 129.79209493490364, 135.0106469301077, 134.26425624260537, 139.93554418637203, 141.98946212071638, 143.0062931042451, 142.44029981171613, 140.81464692262503, 140.96365707837617, 140.0929237292363, 137.94960789313683, 138.4152852986796, 135.43907758295242, 138.85489973109216, 138.51333936882708, 144.3142010505383, 158.73599389149592, 182.37051733457125, 4.015229034051299]","[10.753559948847844, 48.121597099304196, 62.77624457432673, 78.4525209573599, 88.30927829742431, 91.57324513655442, 94.68793119283824, 96.60923733344445, 99.0625647178063, 101.45185443438017, 103.85369013272799, 104.75675352536715, 105.56641090099629, 107.86477393370409, 108.97586466715886, 110.72637121494, 114.25929260253906, 119.06198690854586, 119.25772680135874, 122.98677316812369, 124.28415621243991, 129.03239426246057, 128.89807790609507, 134.1509300305293, 133.23470311531653, 138.9625851557805, 141.1327213360713, 142.13007094715363, 141.61209975460974, 139.94132731865795, 140.30150369497431, 139.83667518175565, 137.67291350638612, 137.89951362559748, 135.09029582096264, 138.27306773916533, 138.14109165983703, 143.81468899800228, 157.2864551617549, 179.84264728105984, 3.934194238226001]"
1,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 1
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                         basio
incorrect_sentence         Oedd y fflam yn cael ei basio o un gymuned i'r...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 1, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",basio,"Oedd y fflam yn cael ei basio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,SM,4.015229034051299,3.9487936991625108,-0.0664353348887885,"[10.780683150658241, 48.56473483305711, 63.37848730820876, 79.27455937312199, 88.88411300365742, 92.44630768115704, 95.67190008897047, 98.16035204667311, 100.84976155207707, 103.3632105753972, 105.56426871373104, 106.40888583843525, 106.96202113811786, 109.44622913507315, 110.53135880690354, 112.03653116959792, 115.32726049423218, 119.7481045796321, 120.11024725253765, 123.78636216383714, 124.99446452214168, 129.6163180424617, 129.79209493490364, 135.0106469301077, 134.26425624260537, 139.93554418637203, 141.98946212071638, 143.0062931042451, 142.44029981171613, 140.81464692262503, 140.96365707837617, 140.0929237292363, 137.94960789313683, 138.4152852986796, 135.43907758295242, 138.85489973109216, 138.51333936882708, 144.3142010505383, 158.73599389149592, 182.37051733457125, 4.015229034051299]","[10.75879651583158, 47.96376678760235, 62.656564829899715, 78.23559765448937, 88.15989702664889, 91.45376068995549, 94.57742054279034, 96.5598614179171, 99.02128331111028, 101.32488582317646, 103.79703976557805, 104.72122414662287, 105.46109679295466, 107.78842514478244, 109.04665495799138, 110.69024645731999, 113.89240771073561, 118.5673166861901, 118.76772756576538, 122.64557151794433, 123.91154107313889, 128.5491409448477, 128.17485671410194, 133.6395325440627, 132.79935822853676, 138.58190640669602, 140.78308626321646, 141.89279046480974, 141.28562366450922, 139.94695689101667, 140.28666920111493, 139.38678728250358, 137.11506131424898, 137.74553457015472, 134.73383941388187, 137.97461991299016, 137.59803636538294, 143.44295218541072, 157.404699413593, 180.31136753375714, 3.9487936991625108]"
2,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 2
item                                                                       0
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                          phasio
lemma                                                                  pasio
mutation_type                                                             AM
trigger_type                                                               L
specific_trigger                                                          ei
token_id                                                                 7.0
prev_word                                                                 ei
incorrect_form                                                        mhasio
incorrect_sentence         Oedd y fflam yn cael ei mhasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 2, dtype: object>",0,phasio,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",mhasio,"Oedd y fflam yn cael ei mhasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",AM,L,ei,NM,4.015229034051299,3.974757214359036,-0.0404718196922631,"[10.780683150658241, 48.56473483305711, 63.37848730820876, 79.27455937312199, 88.88411300365742, 92.44630768115704, 95.67190008897047, 98.16035204667311, 100.84976155207707, 103.3632105753972, 105.56426871373104, 106.40888583843525, 106.96202113811786, 109.44622913507315, 110.53135880690354, 112.03653116959792, 115.32726049423218, 119.7481045796321, 120.11024725253765, 123.78636216383714, 124.99446452214168, 129.6163180424617, 129.79209493490364, 135.0106469301077, 134.26425624260537, 139.93554418637203, 141.98946212071638, 143.0062931042451, 142.44029981171613, 140.81464692262503, 140.96365707837617, 140.0929237292363, 137.94960789313683, 138.4152852986796, 135.43907758295242, 138.85489973109216, 138.51333936882708, 144.3142010505383, 158.73599389149592, 182.37051733457125, 4.015229034051299]","[10.766920393163508, 47.86539366751006, 62.4101639660922, 77.83222617525043, 87.46530449029171, 90.7287126309944, 93.84195278630112, 96.00571697408503, 98.5793845870278, 101.12545981551662, 103.65019012942459, 104.33419246384592, 104.80420196417606, 107.0523223660209, 108.07676088448727, 109.8669910069668, 113.14468148260406, 117.65109132997918, 117.62977000438806, 121.34170079953742, 122.69064088301225, 127.38372885097156, 127.0698043794343, 132.37767559831792, 131.0851925503124, 136.5829960866408, 138.8536318432201, 139.89487758545093, 139.2397129942776, 137.85398264364756, 138.25503303607306, 137.8020640142036, 135.32364683801475, 135.69059550033694, 132.61990309906446, 136.10539455582904, 135.74237937818873, 141.1214517065973, 155.177303610426, 177.93128354621655, 3.974757214359036]"
3,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 3
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           pob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 3, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",pob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym pob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,none,4.015229034051299,4.086509193870283,0.07128015981898361,"[10.780683150658241, 48.56473483305711, 63.37848730820876, 79.27455937312199, 88.88411300365742, 92.44630768115704, 95.67190008897047, 98.16035204667311, 100.84976155207707, 103.3632105753972, 105.56426871373104, 106.40888583843525, 106.96202113811786, 109.44622913507315, 110.53135880690354, 112.03653116959792, 115.32726049423218, 119.7481045796321, 120.11024725253765, 123.78636216383714, 124.99446452214168, 129.6163180424617, 129.79209493490364, 135.0106469301077, 134.26425624260537, 139.93554418637203, 141.98946212071638, 143.0062931042451, 142.44029981171613, 140.81464692262503, 140.96365707837617, 140.0929237292363, 137.94960789313683, 138.4152852986796, 135.43907758295242, 138.85489973109216, 138.51333936882708, 144.3142010505383, 158.73599389149592, 182.37051733457125, 4.015229034051299]","[10.829966030423604, 49.45727972000364, 64.45302294171046, 80.6936063160972, 90.52697426932198, 94.19371100834438, 97.62286158970424, 100.1531633195423, 103.07113479432606, 105.65315295022631, 107.80824045150999, 108.73050031207856, 109.31269977206276, 112.07119420974973, 113.0500552767799, 114.61800556334238, 117.8894447674827, 122.3375496183123, 122.68546946843465, 126.57716832842145, 127.63570101298983, 132.44674246651786, 132.4385386118813, 137.64095707545204, 136.81536376287067, 142.29718564048645, 144.2988800586216, 145.39798220563904, 144.44218119839206, 143.02179157733832, 143.10247104697757, 142.28353811445692, 140.43156723276016, 141.03929410156024, 138.1341712115577, 141.6661436440874, 141.85783581559858, 147.69551934136285, 162.39356722907414, 185.85963452051556, 4.086509193870283]"
4,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 4
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                           bob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   SM
Name: 4, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",bob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym bob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,SM,4.015229034051299,4.1027327997994325,0.08750376574813323,"[10.780683150658241, 48.56473483305711, 63.37848730820876, 79.27455937312199, 88.88411300365742, 92.44630768115704, 95.67190008897047, 98.16035204667311, 100.84976155207707, 103.3632105753972, 105.56426871373104, 106.40888583843525, 106.96202113811786, 109.44622913507315, 110.53135880690354, 112.03653116959792, 115.32726049423218, 119.7481045796321, 120.11024725253765, 123.78636216383714, 124.99446452214168, 129.6163180424617, 129.79209493490364, 135.0106469301077, 134.26425624260537, 139.93554418637203, 141.98946212071638, 143.0062931042451, 142.44029981171613, 140.81464692262503, 140.96365707837617, 140.0929237292363, 137.94960789313683, 138.4152852986796, 135.43907758295242, 138.85489973109216, 138.51333936882708, 144.3142010505383, 158.73599389149592, 182.37051733457125, 4.015229034051299]","[10.822545657082209, 49.40010252453032, 64.38585086095901, 80.67338790590802, 90.50341933114188, 94.28748801397899, 97.610811112419, 100.08671418447344, 102.82290343632773, 105.4157585870652, 107.67636742667547, 108.60335802653479, 109.13241991921076, 111.8321335429237, 112.85341918279254, 114.52978736635238, 117.83051969134618, 122.35530495265174, 122.68574465645685, 126.5670929106455, 127.7181185919141, 132.5559053875151, 132.73389611925398, 137.89862584310865, 137.24206037369984, 142.86096269365342, 145.0393288362594, 145.95376354145438, 144.9898224377225, 143.65255089222404, 143.77103097665878, 142.75484067674668, 140.78449790250687, 141.56772725466658, 139.01565831118907, 142.4569387796542, 142.57742368607293, 148.85467665536063, 162.9542844863165, 186.47752256242055, 4.1027327997994325]"
5,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 5
item                                                                       1
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            mhob
lemma                                                                    pob
mutation_type                                                             NM
trigger_type                                                               L
specific_trigger                                                          ym
token_id                                                                15.0
prev_word                                                                 ym
incorrect_form                                                          phob
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 5, dtype: object>",0,mhob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",phob,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym phob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",NM,L,ym,AM,4.015229034051299,4.120371550350683,0.10514251629938354,"[10.780683150658241, 48.56473483305711, 63.37848730820876, 79.27455937312199, 88.88411300365742, 92.44630768115704, 95.67190008897047, 98.16035204667311, 100.84976155207707, 103.3632105753972, 105.56426871373104, 106.40888583843525, 106.96202113811786, 109.44622913507315, 110.53135880690354, 112.03653116959792, 115.32726049423218, 119.7481045796321, 120.11024725253765, 123.78636216383714, 124.99446452214168, 129.6163180424617, 129.79209493490364, 135.0106469301077, 134.26425624260537, 139.93554418637203, 141.98946212071638, 143.0062931042451, 142.44029981171613, 140.81464692262503, 140.96365707837617, 140.0929237292363, 137.94960789313683, 138.4152852986796, 135.43907758295242, 138.85489973109216, 138.51333936882708, 144.3142010505383, 158.73599389149592, 182.37051733457125, 4.015229034051299]","[10.826313987374306, 49.199972562491894, 64.18202652037144, 80.40821282565594, 90.0268270522356, 93.67882314324379, 97.04008758068085, 99.55971120297909, 102.2575693577528, 104.78744497895241, 106.87982711195946, 107.87240362167358, 108.33881750702858, 110.90076889842749, 112.06304274499416, 113.61388944834471, 116.93897024542093, 121.46402874588966, 121.84688114374876, 125.61702719330788, 126.84756228327751, 131.89643298089504, 132.0986696779728, 137.49969314038754, 136.97545663779601, 142.67872461071238, 144.77778681262862, 145.9107916969806, 145.11388451047236, 143.8569361269474, 143.8750752955675, 142.83982322365046, 140.62301537394524, 141.3086122377499, 138.33548027247866, 141.79810324330901, 141.94365936116083, 147.6949491351843, 161.99758601933718, 186.110014423728, 4.120371550350683]"
6,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 6
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                       cydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                 none
Name: 6, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",cydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i cydfynd â'r ras.",SM,L,i,none,4.015229034051299,4.048707357364205,0.0334783233129059,"[10.780683150658241, 48.56473483305711, 63.37848730820876, 79.27455937312199, 88.88411300365742, 92.44630768115704, 95.67190008897047, 98.16035204667311, 100.84976155207707, 103.3632105753972, 105.56426871373104, 106.40888583843525, 106.96202113811786, 109.44622913507315, 110.53135880690354, 112.03653116959792, 115.32726049423218, 119.7481045796321, 120.11024725253765, 123.78636216383714, 124.99446452214168, 129.6163180424617, 129.79209493490364, 135.0106469301077, 134.26425624260537, 139.93554418637203, 141.98946212071638, 143.0062931042451, 142.44029981171613, 140.81464692262503, 140.96365707837617, 140.0929237292363, 137.94960789313683, 138.4152852986796, 135.43907758295242, 138.85489973109216, 138.51333936882708, 144.3142010505383, 158.73599389149592, 182.37051733457125, 4.015229034051299]","[10.781918012178862, 48.59864008976863, 63.37161645155687, 79.32735871535081, 88.94432032658504, 92.48770841451791, 95.6977001630343, 98.14746161240798, 100.81492597139798, 103.34700841170091, 105.55841616117037, 106.43351683983435, 107.02131937467135, 109.53360437980065, 110.60873139454769, 112.10087908231296, 115.36008985959566, 119.88075661292443, 120.23418770570021, 123.97974254901592, 125.18033840472881, 129.74956577007586, 129.85584405752329, 135.29295033674973, 134.62532698557928, 140.38780851730934, 142.40069184119884, 143.4526208565785, 143.03890826150533, 141.44741933162396, 141.70190819226778, 140.72064697559063, 138.25807151427637, 138.89156213967271, 136.0842043619287, 139.19059146051654, 138.64719793246343, 144.58742243693425, 159.47130936842697, 182.91026317889873, 4.048707357364205]"
7,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 7
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                     nghydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   NM
Name: 7, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",nghydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i nghydfynd â'r ras.",SM,L,i,NM,4.015229034051299,4.075222584461937,0.059993550410637475,"[10.780683150658241, 48.56473483305711, 63.37848730820876, 79.27455937312199, 88.88411300365742, 92.44630768115704, 95.67190008897047, 98.16035204667311, 100.84976155207707, 103.3632105753972, 105.56426871373104, 106.40888583843525, 106.96202113811786, 109.44622913507315, 110.53135880690354, 112.03653116959792, 115.32726049423218, 119.7481045796321, 120.11024725253765, 123.78636216383714, 124.99446452214168, 129.6163180424617, 129.79209493490364, 135.0106469301077, 134.26425624260537, 139.93554418637203, 141.98946212071638, 143.0062931042451, 142.44029981171613, 140.81464692262503, 140.96365707837617, 140.0929237292363, 137.94960789313683, 138.4152852986796, 135.43907758295242, 138.85489973109216, 138.51333936882708, 144.3142010505383, 158.73599389149592, 182.37051733457125, 4.015229034051299]","[10.80114316206712, 49.07746824851403, 63.96096907395583, 79.91264488513653, 89.48504302685078, 93.01996458493747, 96.24071756509635, 98.70108443040114, 101.42320324824406, 104.04338035583496, 106.22692339970516, 107.08845217778132, 107.63661121955285, 110.25188214228703, 111.28293019808255, 112.75358793552105, 115.93591901339018, 120.49111074300913, 120.98966713685256, 124.63099231719971, 125.81283617753249, 130.41149966900164, 130.62333906613864, 136.0683643047626, 135.69432581388034, 141.58999692109916, 143.34862562509684, 144.38770029911626, 143.85080515786763, 142.1905866292807, 142.71921902436478, 141.77981561514048, 139.61697595486274, 140.26949183319766, 137.69470619713738, 140.70366943581746, 140.75813829761285, 146.69687522374667, 161.37227189724263, 184.7604364835299, 4.075222584461937]"
8,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 8
item                                                                       2
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                         gydfynd
lemma                                                                cydfynd
mutation_type                                                             SM
trigger_type                                                               L
specific_trigger                                                           i
token_id                                                                25.0
prev_word                                                                  i
incorrect_form                                                      chydfynd
incorrect_sentence         Oedd y fflam yn cael ei phasio o un gymuned i'...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 8, dtype: object>",0,gydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chydfynd,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i chydfynd â'r ras.",SM,L,i,AM,4.015229034051299,4.033723944511551,0.018494910460251646,"[10.780683150658241, 48.56473483305711, 63.37848730820876, 79.27455937312199, 88.88411300365742, 92.44630768115704, 95.67190008897047, 98.16035204667311, 100.84976155207707, 103.3632105753972, 105.56426871373104, 106.40888583843525, 106.96202113811786, 109.44622913507315, 110.53135880690354, 112.03653116959792, 115.32726049423218, 119.7481045796321, 120.11024725253765, 123.78636216383714, 124.99446452214168, 129.6163180424617, 129.79209493490364, 135.0106469301077, 134.26425624260537, 139.93554418637203, 141.98946212071638, 143.0062931042451, 142.44029981171613, 140.81464692262503, 140.96365707837617, 140.0929237292363, 137.94960789313683, 138.4152852986796, 135.43907758295242, 138.85489973109216, 138.51333936882708, 144.3142010505383, 158.73599389149592, 182.37051733457125, 4.015229034051299]","[10.787158349844125, 48.63110182835506, 63.437798617436336, 79.3852069561298, 88.97367456876314, 92.57946448692908, 95.81586814293495, 98.23760521228496, 100.95931604825533, 103.5654913535485, 105.7066934292133, 106.56026888627272, 107.09238957625169, 109.61345086464515, 110.67112690852238, 112.00172921694242, 115.3502452483544, 119.84799031477708, 120.29639871303851, 123.93511565281794, 125.12341018089882, 129.64701344416693, 129.7924029276921, 135.2525715314425, 134.78700114030104, 140.5929486311399, 142.5351490039092, 143.52359189070185, 142.87091602177333, 141.24646708048306, 141.625071481558, 140.72065192002518, 138.5038606423598, 138.96194709672665, 136.1139517632212, 139.3852925563661, 139.02815485023535, 144.6788500052232, 159.28525314331054, 183.00915093055139, 4.033723944511551]"
9,ai-forever/mGPT-13B,"<bound method IndexOpsMixin.item of Unnamed: 0                                                                 9
item                                                                       3
sent_id                                                                    0
source                     https://www.bbc.com/cymrufyw/erthyglau/cx2d29p...
correct_sentence           Oedd y fflam yn cael ei phasio o un gymuned i'...
correct_form                                                            cael
lemma                                                                   cael
mutation_type                                                          no_AM
trigger_type                                                     no_mutation
specific_trigger                                                 no_mutation
token_id                                                                 5.0
prev_word                                                                 yn
incorrect_form                                                         chael
incorrect_sentence         Oedd y fflam yn chael ei phasio o un gymuned i...
num_diffs                                                                  1
incorrect_form_mut_type                                                   AM
Name: 9, dtype: object>",0,cael,"Oedd y fflam yn cael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",chael,"Oedd y fflam yn chael ei phasio o un gymuned i'r llall, ac ym mhob cymuned wedyn roedd digwyddiadau fel gigs a gweithgareddau i gydfynd â'r ras.",no_AM,no_mutation,no_mutation,AM,4.015229034051299,4.12994741155551,0.11471837750421088,"[10.780683150658241, 48.56473483305711, 63.37848730820876, 79.27455937312199, 88.88411300365742, 92.44630768115704, 95.67190008897047, 98.16035204667311, 100.84976155207707, 103.3632105753972, 105.56426871373104, 106.40888583843525, 106.96202113811786, 109.44622913507315, 110.53135880690354, 112.03653116959792, 115.32726049423218, 119.7481045796321, 120.11024725253765, 123.78636216383714, 124.99446452214168, 129.6163180424617, 129.79209493490364, 135.0106469301077, 134.26425624260537, 139.93554418637203, 141.98946212071638, 143.0062931042451, 142.44029981171613, 140.81464692262503, 140.96365707837617, 140.0929237292363, 137.94960789313683, 138.4152852986796, 135.43907758295242, 138.85489973109216, 138.51333936882708, 144.3142010505383, 158.73599389149592, 182.37051733457125, 4.015229034051299]","[10.790279740553636, 48.80823489702665, 63.81726423410269, 79.90513468522292, 89.26702549274151, 92.98204689025879, 96.28404026031494, 98.8371509552002, 101.43787417778601, 103.82955677325909, 105.87375796391414, 106.6706925025353, 107.18884391784668, 109.6292329934927, 110.72146332080547, 112.10990076798659, 115.3168447127709, 119.81389514482939, 120.49942175791814, 124.10005130767823, 125.30078202761136, 129.68274552271916, 130.1312858874981, 135.24639755395742, 134.50980879343473, 140.0151969066033, 141.84045958152183, 142.8921159047346, 141.9579257578945, 140.26342846613665, 140.09019154035127, 139.44980539908775, 137.42359798779853, 137.9618933359376, 135.33783434643706, 139.02697665618302, 138.55515269717344, 144.20702112271235, 159.4742601468013, 183.36914050028875, 4.12994741155551]"
